K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0040789,0.030909,0.5,8.7627,-0.0013939,0.00050388,0.99487,0.030909,0.5,8.7627,0.00048918,2.98E-05,-0.00045426,0.0021841,-0.0010221,0.0054845,0.25,0.0652624,-0.00726816
0.0046452,0.066184,0.5,8.7627,-0.0029446,-0.0023069,1.1234,0.066184,0.5,8.7627,0.0011883,9.53E-05,-0.00074613,0.002335,-0.00082245,0.0057671,,0.0743232,-0.01193808
0.003851,0.10006,0.5,8.7627,-0.0054124,-0.0043537,1.1734,0.10006,0.5,8.7627,0.0014692,0.00016643,-0.00049794,0.0017263,-0.00057837,0.0045065,,0.061616,-0.00796704
0.0034078,0.13258,0.5,8.7627,-0.0088394,-0.00085953,1.1975,0.13258,0.5,8.7627,0.0016081,0.00015301,-0.00030733,0.0013289,-0.00062638,0.0038784,,0.0545248,-0.00491728
0.0033207,0.16379,0.5,8.7627,-0.011273,0.00023424,1.2023,0.16379,0.5,8.7627,0.0018999,0.00013674,-0.00045656,0.0010549,-0.00032831,0.0036866,,0.0531312,-0.00730496
0.0035945,0.19372,0.5,8.7627,-0.013308,-0.0066572,1.2272,0.19372,0.5,8.7627,0.0022663,0.00012731,-0.00032127,0.0009361,-0.00024926,0.0039866,,0.057512,-0.00514032
0.0039076,0.22242,0.5,8.7627,-0.016093,-0.017859,1.2412,0.22242,0.5,8.7627,0.0028578,2.75E-05,9.88E-05,0.0011752,-0.00044602,0.0037821,,0.0625216,0.0015808
0.0044701,0.24993,0.5,8.7627,-0.019127,-0.026469,1.2415,0.24993,0.5,8.7627,0.0037947,-5.48E-05,0.00046066,0.0016786,-0.00031287,0.0034669,,0.0715216,0.00737056
0.0059419,0.27629,0.5,8.7627,-0.022063,-0.032565,1.2344,0.27629,0.5,8.7627,0.0049845,9.11E-05,0.00099163,0.0025399,-8.28E-05,0.0043594,,0.0950704,0.01586608
0.0083476,0.30154,0.5,8.7627,-0.023752,-0.039996,1.2201,0.30154,0.5,8.7627,0.0064852,0.00041647,0.0019219,0.003786,0.00043904,0.006424,,0.1335616,0.0307504
0.011395,0.32572,0.5,8.7627,-0.022945,-0.047714,1.198,0.32572,0.5,8.7627,0.0082658,0.00055405,0.0028149,0.0049293,0.001129,0.0095956,,0.18232,0.0450384
0.015624,0.34887,0.5,8.7627,-0.020248,-0.055967,1.1724,0.34887,0.5,8.7627,0.0099499,0.00054468,0.0040554,0.0062735,0.0023358,0.015025,,0.249984,0.0648864
0.020419,0.37102,0.5,8.7627,-0.017142,-0.066004,1.1415,0.37102,0.5,8.7627,0.011508,0.00093191,0.0056515,0.0081447,0.0042257,0.021186,,0.326704,0.090424
0.024953,0.39221,0.5,8.7627,-0.014292,-0.074814,1.1034,0.39221,0.5,8.7627,0.012998,0.0015478,0.0070608,0.010024,0.006082,0.026883,,0.399248,0.1129728
0.029249,0.41248,0.5,8.7627,-0.012293,-0.08133,1.0667,0.41248,0.5,8.7627,0.014258,0.0024423,0.0085667,0.012482,0.0078925,0.031759,,0.467984,0.1370672
0.032912,0.43187,0.5,8.7627,-0.011553,-0.086934,1.0254,0.43187,0.5,8.7627,0.015525,0.0031756,0.0096382,0.015451,0.0091541,0.034849,,0.526592,0.1542112
