K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.045901,0.83719,0.5,8.7627,-0.032114,0.1066,0.87243,0.83719,0.5,8.7627,0.028928,0.00097847,0.002036,0.033976,0.011582,0.028898,0.25,0.734416,0.032576
0.047276,0.84544,0.5,8.7627,-0.031187,0.11178,0.88216,0.84544,0.5,8.7627,0.029159,0.0012426,0.0018178,0.035767,0.012283,0.029626,,0.756416,0.0290848
0.04833,0.8537,0.5,8.7627,-0.03084,0.11686,0.89058,0.8537,0.5,8.7627,0.02927,0.0015135,0.0019709,0.036977,0.012878,0.030414,,0.77328,0.0315344
0.048892,0.86196,0.5,8.7627,-0.03079,0.12108,0.8985,0.86196,0.5,8.7627,0.02915,0.0017922,0.0022176,0.037188,0.013539,0.031446,,0.782272,0.0354816
0.048783,0.87021,0.5,8.7627,-0.030885,0.12442,0.90741,0.87021,0.5,8.7627,0.029017,0.0022989,0.0023475,0.036561,0.013937,0.031988,,0.780528,0.03756
0.04797,0.87847,0.5,8.7627,-0.030884,0.12699,0.91599,0.87847,0.5,8.7627,0.028986,0.0027902,0.0027287,0.03537,0.013591,0.031583,,0.76752,0.0436592
0.047273,0.88672,0.5,8.7627,-0.030237,0.12856,0.92307,0.88672,0.5,8.7627,0.028967,0.003175,0.0034264,0.034496,0.013016,0.031082,,0.756368,0.0548224
0.047098,0.89498,0.5,8.7627,-0.028948,0.12874,0.928,0.89498,0.5,8.7627,0.029014,0.0036277,0.0039981,0.034372,0.012657,0.030809,,0.753568,0.0639696
0.046881,0.90324,0.5,8.7627,-0.027365,0.1287,0.93098,0.90324,0.5,8.7627,0.029108,0.0041886,0.0042103,0.034424,0.012372,0.030231,,0.750096,0.0673648
0.046385,0.91149,0.5,8.7627,-0.025559,0.12906,0.9337,0.91149,0.5,8.7627,0.02903,0.0046536,0.0042834,0.034548,0.011813,0.029192,,0.74216,0.0685344
0.046233,0.91975,0.5,8.7627,-0.023481,0.12939,0.93581,0.91975,0.5,8.7627,0.028682,0.0049099,0.0043017,0.035169,0.011095,0.028614,,0.739728,0.0688272
0.046486,0.92801,0.5,8.7627,-0.021062,0.12974,0.93641,0.92801,0.5,8.7627,0.028222,0.0051356,0.0045428,0.035717,0.010583,0.029032,,0.743776,0.0726848
0.04655,0.93626,0.5,8.7627,-0.018723,0.12991,0.93697,0.93626,0.5,8.7627,0.027842,0.005522,0.0050532,0.035942,0.010331,0.029315,,0.7448,0.0808512
0.046365,0.94452,0.5,8.7627,-0.016811,0.12958,0.9379,0.94452,0.5,8.7627,0.027509,0.0059417,0.0056075,0.036314,0.010105,0.028907,,0.74184,0.08972
0.046101,0.95277,0.5,8.7627,-0.014895,0.12837,0.93935,0.95277,0.5,8.7627,0.027085,0.006161,0.0062775,0.0366,0.009765,0.028516,,0.737616,0.10044
0.045804,0.96103,0.5,8.7627,-0.01261,0.12693,0.94007,0.96103,0.5,8.7627,0.02657,0.0062618,0.0068301,0.036765,0.0095455,0.028272,,0.732864,0.1092816
0.045419,0.96929,0.5,8.7627,-0.0099319,0.12613,0.93836,0.96929,0.5,8.7627,0.026089,0.0063546,0.0070341,0.036663,0.0095978,0.028087,,0.726704,0.1125456
0.044965,0.97754,0.5,8.7627,-0.0070455,0.12524,0.93544,0.97754,0.5,8.7627,0.025618,0.0065188,0.0070669,0.036181,0.0098352,0.028131,,0.71944,0.1130704
0.044711,0.9858,0.5,8.7627,-0.0041896,0.12277,0.93237,0.9858,0.5,8.7627,0.025047,0.0068068,0.0071169,0.036111,0.010233,0.028266,,0.715376,0.1138704
0.044817,0.99405,0.5,8.7627,-0.0013674,0.11882,0.92927,0.99405,0.5,8.7627,0.02447,0.0070175,0.0072849,0.036573,0.010641,0.02859,,0.717072,0.1165584
0.045071,1.0023,0.5,8.7627,0.0014524,0.11454,0.92609,1.0023,0.5,8.7627,0.024098,0.0070846,0.0074335,0.037135,0.010879,0.028909,,0.721136,0.118936
0.045138,1.0106,0.5,8.7627,0.004344,0.11015,0.9218,1.0106,0.5,8.7627,0.02397,0.0072346,0.0074557,0.037267,0.010711,0.029039,,0.722208,0.1192912
0.044816,1.0188,0.5,8.7627,0.0073442,0.10552,0.91705,1.0188,0.5,8.7627,0.023886,0.0074809,0.007453,0.036901,0.010223,0.028845,,0.717056,0.119248
0.044451,1.0271,0.5,8.7627,0.010294,0.10108,0.91195,1.0271,0.5,8.7627,0.023679,0.0076774,0.0074754,0.03679,0.009928,0.028433,,0.711216,0.1196064
0.044466,1.0353,0.5,8.7627,0.013086,0.097406,0.90618,1.0353,0.5,8.7627,0.023401,0.0078217,0.0074583,0.037196,0.0098683,0.028334,,0.711456,0.1193328
