K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.037641,1.6711,0.5,8.7627,0.13981,0.023132,0.39568,1.6711,0.5,8.7627,0.031732,-0.0074381,0.0050409,0.020978,-0.0052531,0.022572,0.25,0.602256,0.0806544
0.037516,1.6793,0.5,8.7627,0.13566,0.023439,0.38942,1.6793,0.5,8.7627,0.032199,-0.0073487,0.0049968,0.020425,-0.0044435,0.022408,,0.600256,0.0799488
0.037363,1.6876,0.5,8.7627,0.13161,0.02369,0.38614,1.6876,0.5,8.7627,0.032412,-0.0069683,0.0047459,0.020192,-0.0035618,0.022123,,0.597808,0.0759344
0.037223,1.6958,0.5,8.7627,0.12777,0.023829,0.38329,1.6958,0.5,8.7627,0.032212,-0.0065308,0.004481,0.020325,-0.0028276,0.021908,,0.595568,0.071696
0.036955,1.7041,0.5,8.7627,0.12411,0.024161,0.37992,1.7041,0.5,8.7627,0.031614,-0.0061363,0.0042782,0.020419,-0.002551,0.021876,,0.59128,0.0684512
0.036494,1.7123,0.5,8.7627,0.12054,0.024811,0.376,1.7123,0.5,8.7627,0.030871,-0.0057279,0.0040554,0.020188,-0.0027256,0.021928,,0.583904,0.0648864
0.035839,1.7206,0.5,8.7627,0.11681,0.025204,0.37098,1.7206,0.5,8.7627,0.030204,-0.0053865,0.0038644,0.019757,-0.0027464,0.021718,,0.573424,0.0618304
0.035184,1.7289,0.5,8.7627,0.1129,0.025642,0.36528,1.7289,0.5,8.7627,0.029665,-0.0051705,0.003627,0.019372,-0.0025878,0.02133,,0.562944,0.058032
0.035174,1.7371,0.5,8.7627,0.10932,0.026906,0.3601,1.7371,0.5,8.7627,0.029233,-0.0051063,0.0034157,0.019671,-0.0024884,0.021443,,0.562784,0.0546512
0.035548,1.7454,0.5,8.7627,0.1062,0.028204,0.35638,1.7454,0.5,8.7627,0.028895,-0.0051252,0.0032297,0.020398,-0.0022397,0.021803,,0.568768,0.0516752
0.035704,1.7536,0.5,8.7627,0.10302,0.028631,0.3542,1.7536,0.5,8.7627,0.028668,-0.0051501,0.002915,0.020806,-0.0017685,0.021933,,0.571264,0.04664
0.035538,1.7619,0.5,8.7627,0.099556,0.028304,0.35393,1.7619,0.5,8.7627,0.028533,-0.0049671,0.002537,0.020967,-0.0011308,0.021575,,0.568608,0.040592
0.035528,1.7701,0.5,8.7627,0.09608,0.027346,0.35475,1.7701,0.5,8.7627,0.028482,-0.0045248,0.0022791,0.021226,-0.00026369,0.021349,,0.568448,0.0364656
0.035932,1.7784,0.5,8.7627,0.092566,0.026473,0.35619,1.7784,0.5,8.7627,0.02865,-0.0040687,0.002062,0.02181,0.00046636,0.021405,,0.574912,0.032992
0.036437,1.7866,0.5,8.7627,0.088603,0.025457,0.35818,1.7866,0.5,8.7627,0.029096,-0.0038087,0.0018732,0.022447,0.00089261,0.021332,,0.582992,0.0299712
0.037052,1.7949,0.5,8.7627,0.084259,0.023918,0.36062,1.7949,0.5,8.7627,0.029611,-0.0037918,0.0016536,0.022889,0.001348,0.021603,,0.592832,0.0264576
0.037877,1.8032,0.5,8.7627,0.079834,0.021152,0.36512,1.8032,0.5,8.7627,0.030047,-0.0040728,0.0012446,0.023088,0.0020695,0.022619,,0.606032,0.0199136
0.038633,1.8114,0.5,8.7627,0.075288,0.017271,0.37094,1.8114,0.5,8.7627,0.030506,-0.0043344,0.0005911,0.023155,0.0030122,0.023605,,0.618128,0.0094576
0.03934,1.8197,0.5,8.7627,0.07039,0.012385,0.37642,1.8197,0.5,8.7627,0.031001,-0.0046564,-0.00048049,0.023583,0.0040039,0.024096,,0.62944,-0.00768784
0.040143,1.8279,0.5,8.7627,0.065536,0.0080936,0.38134,1.8279,0.5,8.7627,0.031445,-0.0048292,-0.0019922,0.024334,0.0051644,0.024507,,0.642288,-0.0318752
0.040947,1.8362,0.5,8.7627,0.061361,0.0053846,0.38558,1.8362,0.5,8.7627,0.031762,-0.0046255,-0.0035026,0.025037,0.0058857,0.025094,,0.655152,-0.0560416
0.041643,1.8446,0.5,8.7627,0.057683,0.0018766,0.39052,1.8446,0.5,8.7627,0.03204,-0.0043344,-0.0046924,0.02523,0.0054936,0.026016,,0.666288,-0.0750784
0.042512,1.8534,0.5,8.7627,0.054433,-0.0022371,0.39624,1.8534,0.5,8.7627,0.032613,-0.0038963,-0.0056213,0.025011,0.0050543,0.027401,,0.680192,-0.0899408
0.043865,1.8626,0.5,8.7627,0.051462,-0.0050069,0.40429,1.8626,0.5,8.7627,0.033535,-0.0034406,-0.0064013,0.025088,0.0056177,0.029106,,0.70184,-0.1024208
0.045261,1.8723,0.5,8.7627,0.047839,-0.0054996,0.41523,1.8723,0.5,8.7627,0.034396,-0.0028335,-0.0074131,0.025239,0.0063726,0.030887,,0.724176,-0.1186096
0.046382,1.8824,0.5,8.7627,0.043382,-0.0056174,0.42597,1.8824,0.5,8.7627,0.034999,-0.0022175,-0.0087221,0.025646,0.0062614,0.032119,,0.742112,-0.1395536
0.047267,1.8931,0.5,8.7627,0.03864,-0.0056882,0.43749,1.8931,0.5,8.7627,0.035492,-0.0016924,-0.010165,0.026291,0.0053968,0.032751,,0.756272,-0.16264
0.048392,1.9042,0.5,8.7627,0.033679,-0.0042807,0.45273,1.9042,0.5,8.7627,0.035991,-0.00132,-0.011732,0.026869,0.0049647,0.033923,,0.774272,-0.187712
0.050271,1.9159,0.5,8.7627,0.028445,-0.005681,0.47165,1.9159,0.5,8.7627,0.036647,-0.0012165,-0.013634,0.027851,0.005311,0.036044,,0.804336,-0.218144
0.052882,1.9282,0.5,8.7627,0.023455,-0.007544,0.49164,1.9282,0.5,8.7627,0.037587,-0.0012195,-0.015511,0.029309,0.0063043,0.038867,,0.846112,-0.248176
0.055399,1.941,0.5,8.7627,0.019354,-0.0075222,0.51301,1.941,0.5,8.7627,0.038791,-0.00137,-0.017055,0.030518,0.0067495,0.04149,,0.886384,-0.27288
0.057086,1.9545,0.5,8.7627,0.01593,-0.008073,0.53656,1.9545,0.5,8.7627,0.039917,-0.0013183,-0.018097,0.030836,0.0065051,0.04342,,0.913376,-0.289552
0.058336,1.9686,0.5,8.7627,0.012344,-0.0065727,0.56217,1.9686,0.5,8.7627,0.040561,-0.00080913,-0.019308,0.029996,0.0067709,0.046115,,0.933376,-0.308928
0.05891,1.9833,0.5,8.7627,0.0090031,-0.0055497,0.59134,1.9833,0.5,8.7627,0.040463,-0.00044094,-0.020497,0.029709,0.0066068,0.047648,,0.94256,-0.327952
0.059273,1.9988,0.5,8.7627,0.0069153,-0.0065676,0.62392,1.9988,0.5,8.7627,0.039488,6.95E-05,-0.020586,0.031209,0.0073842,0.047849,,0.948368,-0.329376
0.060517,2.0149,0.5,8.7627,0.0061269,-0.0091805,0.6578,2.0149,0.5,8.7627,0.038318,0.00050869,-0.020078,0.033475,0.0096614,0.049241,,0.968272,-0.321248
0.061338,2.0319,0.5,8.7627,0.0061426,-0.011317,0.69395,2.0319,0.5,8.7627,0.037147,8.87E-05,-0.019623,0.035503,0.011253,0.050026,,0.981408,-0.313968
0.05941,2.0496,0.5,8.7627,0.0059205,-0.012042,0.734,2.0496,0.5,8.7627,0.035619,-0.00049777,-0.019356,0.034377,0.010611,0.048824,,0.95056,-0.309696
0.057229,2.0681,0.5,8.7627,0.0055644,-0.01723,0.77586,2.0681,0.5,8.7627,0.034318,-0.001402,-0.018779,0.031376,0.010687,0.048765,,0.915664,-0.300464
0.055338,2.0875,0.5,8.7627,0.0058233,-0.019334,0.81611,2.0875,0.5,8.7627,0.033275,-0.0024324,-0.018488,0.028898,0.010851,0.048503,,0.885408,-0.295808
0.052555,2.1078,0.5,8.7627,0.0057575,-0.020014,0.85611,2.1078,0.5,8.7627,0.031829,-0.0029698,-0.018397,0.02717,0.0089359,0.046112,,0.84088,-0.294352
0.050155,2.129,0.5,8.7627,0.0045426,-0.025625,0.89489,2.129,0.5,8.7627,0.030147,-0.0036215,-0.017738,0.025933,0.0079573,0.044231,,0.80248,-0.283808
0.046262,2.1511,0.5,8.7627,0.0034647,-0.029734,0.93709,2.1511,0.5,8.7627,0.02836,-0.0036297,-0.016269,0.023692,0.007305,0.040473,,0.740192,-0.260304
0.040756,2.1743,0.5,8.7627,0.0037358,-0.032961,0.98694,2.1743,0.5,8.7627,0.025666,-0.003397,-0.014035,0.021185,0.0068161,0.034661,,0.652096,-0.22456
0.0341,2.1984,0.5,8.7627,0.0053639,-0.034864,1.0328,2.1984,0.5,8.7627,0.021838,-0.003778,-0.011387,0.017972,0.006233,0.02839,,0.5456,-0.182192
0.027132,2.2237,0.5,8.7627,0.0077814,-0.035067,1.0735,2.2237,0.5,8.7627,0.017729,-0.0040776,-0.0086853,0.013902,0.0051207,0.022632,,0.434112,-0.1389648
0.020576,2.2501,0.5,8.7627,0.0099608,-0.035261,1.1074,2.2501,0.5,8.7627,0.014262,-0.0039232,-0.0066301,0.010277,0.0041372,0.016612,,0.329216,-0.1060816
0.015044,2.2776,0.5,8.7627,0.011637,-0.033841,1.1347,2.2776,0.5,8.7627,0.01134,-0.0031862,-0.0042584,0.0074314,0.0024221,0.011317,,0.240704,-0.0681344
0.011275,2.3063,0.5,8.7627,0.012053,-0.027477,1.1531,2.3063,0.5,8.7627,0.0083975,-0.002112,-0.0022311,0.0049869,0.00054254,0.0091653,,0.1804,-0.0356976
0.0086428,2.3362,0.5,8.7627,0.010342,-0.021335,1.162,2.3362,0.5,8.7627,0.0059134,-0.0010938,-0.0014209,0.0032049,-0.00010697,0.0081674,,0.1382848,-0.0227344
0.0072076,2.3674,0.5,8.7627,0.00787,-0.022019,1.1579,2.3674,0.5,8.7627,0.0042484,-0.00040284,-0.00085022,0.0025435,-0.00055247,0.0076233,,0.1153216,-0.01360352
0.006371,2.3999,0.5,8.7627,0.0057817,-0.025479,1.144,2.3999,0.5,8.7627,0.0031262,-0.00024767,-0.00052813,0.0022521,-0.0006402,0.0073638,,0.101936,-0.00845008
0.0057255,2.4338,0.5,8.7627,0.0036834,-0.018451,1.1201,2.4338,0.5,8.7627,0.0021765,-0.00025852,-0.00017616,0.0019416,-0.00024333,0.0073328,,0.091608,-0.00281856
0.0043738,2.4691,0.5,8.7627,0.001614,-0.0091734,0.99246,2.4691,0.5,8.7627,0.000888,-9.17E-05,5.77E-05,0.0015186,-0.00021842,0.006341,,0.0699808,0.0009232
0.037817,1.6711,0.5,8.7768,0.14213,0.022659,0.40056,1.6711,0.5,8.7768,0.031081,-0.0075104,0.0049562,0.021481,-0.0053695,0.023072,,0.605072,0.0792992
0.03753,1.6793,0.5,8.7768,0.13791,0.022417,0.39393,1.6793,0.5,8.7768,0.031678,-0.0071867,0.0047859,0.020716,-0.0045335,0.022666,,0.60048,0.0765744
0.037431,1.6876,0.5,8.7768,0.13399,0.022046,0.38981,1.6876,0.5,8.7768,0.03217,-0.0067278,0.0045785,0.020424,-0.0036513,0.022267,,0.598896,0.073256
0.037305,1.6958,0.5,8.7768,0.13059,0.022638,0.3867,1.6958,0.5,8.7768,0.032252,-0.0063655,0.0044959,0.020414,-0.0029867,0.021944,,0.59688,0.0719344
0.037027,1.7041,0.5,8.7768,0.12717,0.023332,0.38356,1.7041,0.5,8.7768,0.031815,-0.0059705,0.0044139,0.020397,-0.0026867,0.021842,,0.592432,0.0706224
0.03665,1.7123,0.5,8.7768,0.1235,0.02379,0.37956,1.7123,0.5,8.7768,0.030988,-0.0055085,0.0042907,0.020375,-0.0028201,0.021938,,0.5864,0.0686512
0.035972,1.7206,0.5,8.7768,0.11956,0.023951,0.37429,1.7206,0.5,8.7768,0.030088,-0.0051681,0.0042016,0.020028,-0.0030151,0.021828,,0.575552,0.0672256
0.035167,1.7289,0.5,8.7768,0.11539,0.02405,0.36847,1.7289,0.5,8.7768,0.02934,-0.0050043,0.0040795,0.019377,-0.0030152,0.021617,,0.562672,0.065272
0.035,1.7371,0.5,8.7768,0.11149,0.025306,0.36306,1.7371,0.5,8.7768,0.028797,-0.0049817,0.0039156,0.019369,-0.0027988,0.021834,,0.56,0.0626496
0.035312,1.7454,0.5,8.7768,0.10803,0.02709,0.3594,1.7454,0.5,8.7768,0.028533,-0.0049885,0.0037642,0.019922,-0.0023193,0.02217,,0.564992,0.0602272
0.035481,1.7536,0.5,8.7768,0.10459,0.027797,0.35782,1.7536,0.5,8.7768,0.028544,-0.0049996,0.0034758,0.020308,-0.0017585,0.022111,,0.567696,0.0556128
0.035388,1.7619,0.5,8.7768,0.10105,0.027639,0.35772,1.7619,0.5,8.7768,0.028578,-0.0049176,0.0029696,0.0206,-0.0011715,0.021597,,0.566208,0.0475136
0.03541,1.7701,0.5,8.7768,0.097591,0.026659,0.35833,1.7701,0.5,8.7768,0.028491,-0.0046064,0.0025558,0.020978,-0.00038059,0.02135,,0.56656,0.0408928
0.035739,1.7784,0.5,8.7768,0.09398,0.02582,0.35952,1.7784,0.5,8.7768,0.028487,-0.0041643,0.0022043,0.021608,0.00029902,0.021384,,0.571824,0.0352688
0.036256,1.7866,0.5,8.7768,0.090038,0.024808,0.36099,1.7866,0.5,8.7768,0.028782,-0.0039188,0.0018823,0.022329,0.00077949,0.021401,,0.580096,0.0301168
0.036866,1.7949,0.5,8.7768,0.085747,0.023717,0.36286,1.7949,0.5,8.7768,0.029355,-0.0039208,0.0016071,0.022618,0.0012181,0.021759,,0.589856,0.0257136
0.037657,1.8032,0.5,8.7768,0.080889,0.021731,0.36714,1.8032,0.5,8.7768,0.030021,-0.0041578,0.0012055,0.022622,0.0017944,0.022671,,0.602512,0.019288
0.038631,1.8114,0.5,8.7768,0.075617,0.018226,0.37307,1.8114,0.5,8.7768,0.030727,-0.0043017,0.00050748,0.022907,0.0027401,0.023627,,0.618096,0.00811968
0.039542,1.8197,0.5,8.7768,0.070401,0.014127,0.37927,1.8197,0.5,8.7768,0.031452,-0.0044103,-0.0006269,0.023535,0.0037386,0.024097,,0.632672,-0.0100304
0.04046,1.8279,0.5,8.7768,0.065702,0.0098536,0.38464,1.8279,0.5,8.7768,0.031971,-0.0045419,-0.002064,0.024315,0.0047646,0.024635,,0.64736,-0.033024
0.04138,1.8362,0.5,8.7768,0.061711,0.0066717,0.38892,1.8362,0.5,8.7768,0.03216,-0.0044028,-0.0034823,0.025216,0.0055177,0.025384,,0.66208,-0.0557168
0.041928,1.8446,0.5,8.7768,0.057892,0.0028485,0.39396,1.8446,0.5,8.7768,0.032265,-0.0041069,-0.004701,0.025468,0.0053441,0.026123,,0.670848,-0.075216
0.042484,1.8534,0.5,8.7768,0.054027,-0.0014281,0.39896,1.8534,0.5,8.7768,0.032681,-0.003685,-0.0056518,0.02498,0.0048647,0.027306,,0.679744,-0.0904288
0.043631,1.8626,0.5,8.7768,0.050608,-0.0042176,0.40619,1.8626,0.5,8.7768,0.033573,-0.0032282,-0.0063541,0.024887,0.0051875,0.028803,,0.698096,-0.1016656
0.044936,1.8723,0.5,8.7768,0.047548,-0.0051986,0.41771,1.8723,0.5,8.7768,0.034571,-0.0025991,-0.0072719,0.02502,0.0059723,0.03028,,0.718976,-0.1163504
0.046096,1.8824,0.5,8.7768,0.043836,-0.0050219,0.42922,1.8824,0.5,8.7768,0.03525,-0.0020092,-0.0085166,0.025447,0.0060326,0.031496,,0.737536,-0.1362656
0.047066,1.8931,0.5,8.7768,0.039272,-0.0044779,0.44056,1.8931,0.5,8.7768,0.03572,-0.0015955,-0.0099169,0.02604,0.0052969,0.032373,,0.753056,-0.1586704
0.04821,1.9042,0.5,8.7768,0.034612,-0.0027833,0.45556,1.9042,0.5,8.7768,0.036259,-0.0011803,-0.011508,0.026466,0.0049962,0.033695,,0.77136,-0.184128
0.050139,1.9159,0.5,8.7768,0.029706,-0.0044922,0.47391,1.9159,0.5,8.7768,0.036852,-0.0010407,-0.013374,0.027412,0.0054698,0.036013,,0.802224,-0.213984
0.052703,1.9282,0.5,8.7768,0.024384,-0.0073302,0.49288,1.9282,0.5,8.7768,0.037484,-0.0011002,-0.015168,0.028952,0.0066709,0.03897,,0.843248,-0.242688
0.054908,1.941,0.5,8.7768,0.019633,-0.0072958,0.51362,1.941,0.5,8.7768,0.038454,-0.0011374,-0.01663,0.030037,0.0070501,0.041326,,0.878528,-0.26608
0.056591,1.9545,0.5,8.7768,0.015855,-0.0077875,0.53748,1.9545,0.5,8.7768,0.039588,-0.0011201,-0.017655,0.03041,0.0064393,0.043184,,0.905456,-0.28248
0.057938,1.9686,0.5,8.7768,0.012266,-0.0071273,0.56328,1.9686,0.5,8.7768,0.040093,-0.00078438,-0.01883,0.029728,0.0064776,0.046055,,0.927008,-0.30128
0.058309,1.9833,0.5,8.7768,0.009282,-0.006497,0.59127,1.9833,0.5,8.7768,0.03973,-0.0005194,-0.019902,0.029411,0.0064146,0.047477,,0.932944,-0.318432
0.058719,1.9988,0.5,8.7768,0.0077462,-0.0074679,0.6228,1.9988,0.5,8.7768,0.038907,-0.00017988,-0.020201,0.030848,0.0074185,0.047684,,0.939504,-0.323216
0.060282,2.0149,0.5,8.7768,0.00717,-0.0095706,0.65609,2.0149,0.5,8.7768,0.038068,0.00028412,-0.020267,0.033026,0.0095307,0.04947,,0.964512,-0.324272
0.061091,2.0319,0.5,8.7768,0.0066337,-0.01126,0.69216,2.0319,0.5,8.7768,0.036952,0.00010771,-0.019822,0.035081,0.011081,0.050149,,0.977456,-0.317152
0.059094,2.0496,0.5,8.7768,0.0056497,-0.011548,0.73252,2.0496,0.5,8.7768,0.035345,-0.00024866,-0.019327,0.034092,0.010431,0.048751,,0.945504,-0.309232
0.057041,2.0681,0.5,8.7768,0.005111,-0.016152,0.77417,2.0681,0.5,8.7768,0.033993,-0.0012341,-0.018898,0.031355,0.010416,0.048735,,0.912656,-0.302368
0.055199,2.0875,0.5,8.7768,0.005618,-0.018487,0.8146,2.0875,0.5,8.7768,0.03303,-0.0025553,-0.018476,0.028974,0.01076,0.048393,,0.883184,-0.295616
0.052335,2.1078,0.5,8.7768,0.0058898,-0.019294,0.85474,2.1078,0.5,8.7768,0.0317,-0.003032,-0.018115,0.027045,0.0088832,0.045925,,0.83736,-0.28984
0.049961,2.129,0.5,8.7768,0.0046769,-0.025161,0.89307,2.129,0.5,8.7768,0.029982,-0.0036465,-0.017531,0.02589,0.0079722,0.044051,,0.799376,-0.280496
0.046378,2.1511,0.5,8.7768,0.0033247,-0.029642,0.93445,2.1511,0.5,8.7768,0.028153,-0.0037599,-0.016261,0.023892,0.00741,0.04071,,0.742048,-0.260176
0.041188,2.1743,0.5,8.7768,0.0037024,-0.03288,0.98364,2.1743,0.5,8.7768,0.025649,-0.0034384,-0.014083,0.021538,0.0069456,0.035189,,0.659008,-0.225328
0.034532,2.1984,0.5,8.7768,0.0056719,-0.034872,1.0294,2.1984,0.5,8.7768,0.022086,-0.0037333,-0.011512,0.018289,0.0063517,0.02869,,0.552512,-0.184192
