K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.00212,0.030909,0.5,6.2583,-0.0087301,0.0094484,1.0052,0.030909,0.5,6.2583,0.00025381,-4.20E-05,-0.00030637,0.0019422,-0.00013926,0.002044,0.25,0.03392,-0.00490192
0.0032125,0.066184,0.5,6.2583,-0.018722,0.0066219,1.1279,0.066184,0.5,6.2583,0.00071564,0.00013283,-0.00077877,0.0020178,-0.00045702,0.0036917,,0.0514,-0.01246032
0.0032439,0.10006,0.5,6.2583,-0.028414,0.0072411,1.1523,0.10006,0.5,6.2583,0.0010582,0.00040705,-0.0008392,0.001512,-0.00051405,0.0039176,,0.0519024,-0.0134272
0.0027067,0.13258,0.5,6.2583,-0.040056,0.0092073,1.198,0.13258,0.5,6.2583,0.0012118,0.00053386,-0.00070904,0.001408,-0.0005443,0.0027935,,0.0433072,-0.01134464
0.002664,0.16379,0.5,6.2583,-0.052641,0.00093355,1.221,0.16379,0.5,6.2583,0.001373,0.00052526,-0.00057177,0.0010843,-0.00054366,0.0028708,,0.042624,-0.00914832
0.0022539,0.19372,0.5,6.2583,-0.062142,-0.0034913,1.2267,0.19372,0.5,6.2583,0.0014456,0.00013707,-7.24E-05,0.00063392,-0.00016555,0.0024283,,0.0360624,-0.0011584
0.0020341,0.22242,0.5,6.2583,-0.07076,-0.0034338,1.2478,0.22242,0.5,6.2583,0.0013496,-3.94E-05,-7.89E-05,0.00060353,-0.00015041,0.0021152,,0.0325456,-0.0012624
0.0019751,0.24993,0.5,6.2583,-0.079406,-0.0069036,1.2544,0.24993,0.5,6.2583,0.0013536,7.68E-05,-0.00012827,0.00061177,-9.11E-05,0.0019847,,0.0316016,-0.00205232
0.0021031,0.27629,0.5,6.2583,-0.086354,-0.011682,1.2537,0.27629,0.5,6.2583,0.0014237,0.0001845,-0.00033739,0.00069428,-5.46E-05,0.0020883,,0.0336496,-0.00539824
0.0020894,0.30154,0.5,6.2583,-0.094809,-0.012468,1.2614,0.30154,0.5,6.2583,0.0014609,0.00028854,-0.00051666,0.00076497,-0.00011153,0.0019529,,0.0334304,-0.00826656
0.0018689,0.32572,0.5,6.2583,-0.10495,-0.013556,1.2629,0.32572,0.5,6.2583,0.0015165,0.00044428,-0.00044864,0.00072619,-0.00029737,0.0014951,,0.0299024,-0.00717824
0.002042,0.34887,0.5,6.2583,-0.11367,-0.0198,1.2668,0.34887,0.5,6.2583,0.0015727,0.00064846,-0.00048241,0.00083086,-0.0005008,0.0016804,,0.032672,-0.00771856
0.0020936,0.37102,0.5,6.2583,-0.12043,-0.027279,1.2656,0.37102,0.5,6.2583,0.0016237,0.0006111,-0.00042672,0.00087465,-0.00036334,0.0016888,,0.0334976,-0.00682752
0.0021088,0.39221,0.5,6.2583,-0.126,-0.035704,1.272,0.39221,0.5,6.2583,0.0016519,0.00046936,-0.00040897,0.00075227,-0.00010425,0.0018135,,0.0337408,-0.00654352
0.0021649,0.41248,0.5,6.2583,-0.13111,-0.045013,1.2863,0.41248,0.5,6.2583,0.001697,0.00029812,-0.00017548,0.0007644,-4.82E-05,0.0018684,,0.0346384,-0.00280768
0.0020481,0.43187,0.5,6.2583,-0.1356,-0.055148,1.2861,0.43187,0.5,6.2583,0.0017899,0.00025126,6.11E-05,0.00095395,-9.75E-05,0.0013523,,0.0327696,0.0009776
0.0024384,0.4504,0.5,6.2583,-0.13995,-0.061141,1.2911,0.4504,0.5,6.2583,0.0019603,0.0003735,0.00035688,0.0013855,-1.19E-05,0.001531,,0.0390144,0.00571008
0.0030569,0.46812,0.5,6.2583,-0.14515,-0.064715,1.2875,0.46812,0.5,6.2583,0.0022244,0.00055923,0.00067144,0.0020369,0.00025513,0.0018524,,0.0489104,0.01074304
