K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.041994,1.6711,0.5,6.2583,0.10295,-0.051139,0.46059,1.6711,0.5,6.2583,0.037974,-0.0023908,0.0033982,0.005578,-0.0014245,0.040436,0.25,0.671904,0.0543712
0.044416,1.6793,0.5,6.2583,0.11013,-0.051106,0.48003,1.6793,0.5,6.2583,0.043164,-0.0020131,0.0030601,0.0054753,-0.0014698,0.040193,,0.710656,0.0489616
0.047499,1.6876,0.5,6.2583,0.11624,-0.050461,0.49266,1.6876,0.5,6.2583,0.04971,-0.0017248,0.0029843,0.005425,-0.0015917,0.039864,,0.759984,0.0477488
0.050833,1.6958,0.5,6.2583,0.121,-0.051892,0.49227,1.6958,0.5,6.2583,0.057895,-0.0014694,0.004341,0.0054238,-0.0013143,0.038347,,0.813328,0.069456
0.051549,1.7041,0.5,6.2583,0.12311,-0.053962,0.46408,1.7041,0.5,6.2583,0.066249,-0.0010527,0.0073395,0.0053535,-0.0010513,0.031495,,0.824784,0.117432
0.071527,1.7123,0.5,6.2583,0.12157,-0.054116,0.36708,1.7123,0.5,6.2583,0.07252,-0.00084983,0.015218,0.0051195,-0.002474,0.065415,,1.144432,0.243488
0.19641,1.7206,0.5,6.2583,0.11588,-0.051527,0.15683,1.7206,0.5,6.2583,0.07061,-0.0010932,0.035791,0.0049733,-0.0096003,0.31724,,3.14256,0.572656
0.32625,1.7289,0.5,6.2583,0.10457,-0.048142,-0.057613,1.7289,0.5,6.2583,0.059208,-0.001481,0.056197,0.0050889,-0.016772,0.58821,,5.22,0.899152
0.37111,1.7371,0.5,6.2583,0.0873,-0.042683,-0.20431,1.7371,0.5,6.2583,0.04394,-0.001868,0.062547,0.0055703,-0.017904,0.6927,,5.93776,1.000752
0.38852,1.7454,0.5,6.2583,0.080789,-0.037351,-0.3273,1.7454,0.5,6.2583,0.028706,-0.0014649,0.029903,0.0062492,-0.01759,0.74209,,6.21632,0.478448
0.26491,1.7536,0.5,6.2583,0.071412,-0.040343,-0.26703,1.7536,0.5,6.2583,0.027474,-0.00037456,-0.0053972,0.0081704,-0.012834,0.49417,,4.23856,-0.0863552
0.10596,1.7619,0.5,6.2583,0.056523,-0.04339,-0.052022,1.7619,0.5,6.2583,0.033435,0.00019803,-0.0095698,0.012153,-0.0050634,0.16633,,1.69536,-0.1531168
0.075656,1.7701,0.5,6.2583,0.057059,-0.043961,0.10274,1.7701,0.5,6.2583,0.033567,0.00064973,-0.012195,0.01726,-0.001708,0.10049,,1.210496,-0.19512
0.086068,1.7784,0.5,6.2583,0.068781,-0.051718,0.23296,1.7784,0.5,6.2583,0.033014,0.00091724,-0.014074,0.020657,-0.001632,0.11847,,1.377088,-0.225184
0.094464,1.7866,0.5,6.2583,0.093045,-0.064718,0.38082,1.7866,0.5,6.2583,0.031994,0.00054442,-0.015142,0.021103,-0.0018686,0.13583,,1.511424,-0.242272
0.095231,1.7949,0.5,6.2583,0.12862,-0.072835,0.54047,1.7949,0.5,6.2583,0.030743,-6.22E-05,-0.014498,0.019871,-0.0021456,0.13985,,1.523696,-0.231968
0.085208,1.8032,0.5,6.2583,0.17107,-0.076097,0.69794,1.8032,0.5,6.2583,0.028667,-0.00054012,-0.012751,0.01698,-0.0019304,0.12477,,1.363328,-0.204016
0.068423,1.8114,0.5,6.2583,0.21198,-0.078808,0.83562,1.8114,0.5,6.2583,0.025333,-0.00061938,-0.010618,0.013858,-0.0010159,0.097654,,1.094768,-0.169888
0.051582,1.8197,0.5,6.2583,0.24414,-0.079617,0.93797,1.8197,0.5,6.2583,0.021472,-0.00049094,-0.0079604,0.011456,-0.0010044,0.070236,,0.825312,-0.1273664
0.037468,1.8279,0.5,6.2583,0.26592,-0.079408,1.0043,1.8279,0.5,6.2583,0.018101,-0.00066856,-0.0053323,0.0087939,-0.00095783,0.04804,,0.599488,-0.0853168
0.026142,1.8362,0.5,6.2583,0.27823,-0.079216,1.0425,1.8362,0.5,6.2583,0.01532,-0.0010133,-0.0031824,0.006128,-0.00060966,0.030835,,0.418272,-0.0509184
0.018216,1.8446,0.5,6.2583,0.28236,-0.078456,1.0632,1.8446,0.5,6.2583,0.012661,-0.0010707,-0.0015188,0.0042045,-0.00062218,0.019567,,0.291456,-0.0243008
0.012851,1.8534,0.5,6.2583,0.28064,-0.077075,1.072,1.8534,0.5,6.2583,0.010005,-0.00089375,-0.00030208,0.0029509,-0.00076269,0.012745,,0.205616,-0.00483328
0.0092401,1.8626,0.5,6.2583,0.27603,-0.07585,1.0772,1.8626,0.5,6.2583,0.0076542,-0.00071345,0.00026935,0.0021492,-0.00076054,0.0086769,,0.1478416,0.0043096
0.0068434,1.8723,0.5,6.2583,0.27029,-0.075325,1.0804,1.8723,0.5,6.2583,0.0058367,-0.00062813,0.00043363,0.001795,-0.00063779,0.0060551,,0.1094944,0.00693808
0.0052527,1.8824,0.5,6.2583,0.26395,-0.074019,1.0833,1.8824,0.5,6.2583,0.0044879,-0.00055898,0.0004562,0.0016605,-0.00045997,0.004357,,0.0840432,0.0072992
0.0041516,1.8931,0.5,6.2583,0.25696,-0.07173,1.0854,1.8931,0.5,6.2583,0.0034746,-0.00047205,0.00045059,0.0014774,-0.00033825,0.0033512,,0.0664256,0.00720944
0.003276,1.9042,0.5,6.2583,0.24869,-0.068472,1.0866,1.9042,0.5,6.2583,0.0027189,-0.00040457,0.00043589,0.0011701,-0.00029826,0.002663,,0.052416,0.00697424
0.002528,1.9159,0.5,6.2583,0.23864,-0.064584,1.086,1.9159,0.5,6.2583,0.0021368,-0.00027766,0.00028892,0.00082235,-0.00013029,0.0020968,,0.040448,0.00462272
0.0019876,1.9282,0.5,6.2583,0.2278,-0.06259,1.0903,1.9282,0.5,6.2583,0.0016562,-0.0001335,4.70E-05,0.00058284,-3.19E-05,0.0017362,,0.0318016,0.000752
0.0016456,1.941,0.5,6.2583,0.21763,-0.060532,1.0987,1.941,0.5,6.2583,0.0013364,-6.54E-05,2.03E-05,0.00049294,-0.00010133,0.0014618,,0.0263296,0.0003248
0.0015352,1.9545,0.5,6.2583,0.20798,-0.055873,1.1063,1.9545,0.5,6.2583,0.0011726,-2.22E-05,0.0001191,0.00051106,-0.00024085,0.0013868,,0.0245632,0.0019056
0.0014756,1.9686,0.5,6.2583,0.19829,-0.052597,1.1066,1.9686,0.5,6.2583,0.0010516,-3.46E-05,0.00015372,0.0006085,-0.00032755,0.0012911,,0.0236096,0.00245952
0.0015616,1.9833,0.5,6.2583,0.18907,-0.051746,1.1033,1.9833,0.5,6.2583,0.00097193,-2.71E-05,0.00014264,0.00061922,-0.00025402,0.001532,,0.0249856,0.00228224
0.0016096,1.9988,0.5,6.2583,0.18028,-0.047188,1.0994,1.9988,0.5,6.2583,0.00094265,-1.40E-05,8.43E-05,0.00056751,-0.00019805,0.0017091,,0.0257536,0.0013488
0.0018562,2.0149,0.5,6.2583,0.17103,-0.042622,1.099,2.0149,0.5,6.2583,0.00095402,-8.95E-05,0.00012227,0.00067961,-0.00053497,0.0020787,,0.0296992,0.00195632
0.0019638,2.0319,0.5,6.2583,0.16107,-0.037441,1.0992,2.0319,0.5,6.2583,0.0010108,-0.00013614,0.00025602,0.00082449,-0.00068825,0.0020924,,0.0314208,0.00409632
0.0018664,2.0496,0.5,6.2583,0.151,-0.033537,1.0986,2.0496,0.5,6.2583,0.0010782,-0.0002259,0.00023321,0.0010008,-0.0006902,0.0016539,,0.0298624,0.00373136
0.0019224,2.0681,0.5,6.2583,0.14212,-0.031483,1.1001,2.0681,0.5,6.2583,0.0011531,-0.00036127,0.00021817,0.0011844,-0.00068938,0.0015072,,0.0307584,0.00349072
0.0018307,2.0875,0.5,6.2583,0.13393,-0.02702,1.1,2.0875,0.5,6.2583,0.0012367,-0.00045478,0.00031747,0.0012214,-0.00051944,0.0012031,,0.0292912,0.00507952
0.0018983,2.1078,0.5,6.2583,0.12495,-0.019415,1.0984,2.1078,0.5,6.2583,0.001218,-0.00044217,0.00036681,0.001188,-0.00057414,0.0013906,,0.0303728,0.00586896
0.0018576,2.129,0.5,6.2583,0.11577,-0.010797,1.0879,2.129,0.5,6.2583,0.0010561,-0.00038749,0.00021212,0.001164,-0.00051135,0.0014952,,0.0297216,0.00339392
0.0021604,2.1511,0.5,6.2583,0.10706,-0.0091388,1.0814,2.1511,0.5,6.2583,0.00095832,-0.00039361,6.08E-05,0.0012937,-0.00077825,0.0020688,,0.0345664,0.0009728
0.0022595,2.1743,0.5,6.2583,0.1008,-0.0080834,1.0789,2.1743,0.5,6.2583,0.00095356,-0.00030164,-1.85E-05,0.0014122,-0.00081068,0.0021533,,0.036152,-0.000296
0.0019699,2.1984,0.5,6.2583,0.097128,-0.007812,1.0929,2.1984,0.5,6.2583,0.00082626,-7.34E-05,-0.00016384,0.0012698,-0.00058947,0.0018437,,0.0315184,-0.00262144
0.00183,2.2237,0.5,6.2583,0.092746,-0.0098356,1.0999,2.2237,0.5,6.2583,0.00070068,0.00018715,-6.56E-05,0.0010271,-0.00057566,0.0019323,,0.02928,-0.0010496
0.0016853,2.2501,0.5,6.2583,0.086424,-0.010359,1.0932,2.2501,0.5,6.2583,0.00069263,0.00024752,-5.30E-05,0.00090954,-0.00046475,0.0017684,,0.0269648,-0.000848
0.0016682,2.2776,0.5,6.2583,0.078023,-0.0066063,1.0956,2.2776,0.5,6.2583,0.00063363,2.25E-05,-0.00018023,0.00089233,-0.00028549,0.0018104,,0.0266912,-0.00288368
0.0020567,2.3063,0.5,6.2583,0.069774,-0.0066208,1.0896,2.3063,0.5,6.2583,0.00058289,-0.00016696,-0.00012627,0.00097992,-0.00030809,0.0025505,,0.0329072,-0.00202032
0.0023283,2.3362,0.5,6.2583,0.063526,-0.010276,1.0915,2.3362,0.5,6.2583,0.00059825,-0.00017596,-8.14E-05,0.0010129,-0.00042426,0.0030454,,0.0372528,-0.0013024
