K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0042948,0.030909,0.5,3.7698,-0.0027272,0.0052606,0.74473,0.030909,0.5,3.7698,0.00037289,8.67E-05,-0.0002326,0.0022793,0.00098447,0.0059375,0.25,0.0687168,-0.0037216
0.005003,0.066184,0.5,3.7698,-0.0041655,0.013295,0.86223,0.066184,0.5,3.7698,0.00088109,0.00018293,-0.00032665,0.002493,0.001472,0.0066318,,0.080048,-0.0052264
0.0051654,0.10006,0.5,3.7698,-0.0042915,0.018004,0.90706,0.10006,0.5,3.7698,0.0011434,0.00021925,-0.00046145,0.0024764,0.0014461,0.006711,,0.0826464,-0.0073832
0.0054319,0.13258,0.5,3.7698,-0.0068393,0.0089669,0.9361,0.13258,0.5,3.7698,0.0011859,0.00038879,-0.00012691,0.0021785,0.0011959,0.0074993,,0.0869104,-0.00203056
0.0041812,0.16379,0.5,3.7698,-0.010957,-0.0015114,0.98559,0.16379,0.5,3.7698,0.0010234,0.00041276,0.00022598,0.0011751,0.0006803,0.006164,,0.0668992,0.00361568
0.0025674,0.19372,0.5,3.7698,-0.013719,-0.01407,1.0215,0.19372,0.5,3.7698,0.00073895,0.00011434,-9.81E-05,0.00070936,-0.0001555,0.0036865,,0.0410784,-0.0015696
0.00202,0.22242,0.5,3.7698,-0.014833,-0.017973,1.0385,0.22242,0.5,3.7698,0.00057312,1.56E-05,-0.00019356,0.00095998,-0.0001579,0.0025069,,0.03232,-0.00309696
0.0024463,0.24993,0.5,3.7698,-0.014669,-0.012494,1.0488,0.24993,0.5,3.7698,0.00063488,0.00014031,-0.00028569,0.0013401,-0.00041053,0.0029177,,0.0391408,-0.00457104
0.0023957,0.27629,0.5,3.7698,-0.014456,-0.012502,1.0617,0.27629,0.5,3.7698,0.00074122,0.00023617,-0.00035675,0.0010874,-0.00089899,0.0029629,,0.0383312,-0.005708
0.001859,0.30154,0.5,3.7698,-0.017266,-0.011594,1.0753,0.30154,0.5,3.7698,0.00075822,0.00035465,-0.0004823,0.00086072,-0.00083582,0.002099,,0.029744,-0.0077168
0.0016647,0.32572,0.5,3.7698,-0.023323,-0.0073444,1.0667,0.32572,0.5,3.7698,0.00075625,0.00039362,-0.00056343,0.00078963,-0.00069456,0.0017836,,0.0266352,-0.00901488
0.0014863,0.34887,0.5,3.7698,-0.028571,-0.0036384,1.0583,0.34887,0.5,3.7698,0.00083064,0.00026018,-0.00040653,0.00056295,-0.00046264,0.0015789,,0.0237808,-0.00650448
0.0015545,0.37102,0.5,3.7698,-0.031473,-0.0026256,1.0567,0.37102,0.5,3.7698,0.0009652,0.00012333,-0.00024975,0.00072572,-0.00040531,0.001418,,0.024872,-0.003996
0.0016545,0.39221,0.5,3.7698,-0.034054,-0.0031041,1.0664,0.39221,0.5,3.7698,0.0010762,9.08E-05,-5.22E-05,0.00096053,-0.00032294,0.0012723,,0.026472,-0.0008352
0.001784,0.41248,0.5,3.7698,-0.036773,-0.0051516,1.0782,0.41248,0.5,3.7698,0.0011501,0.00011764,-9.36E-05,0.0010733,-0.000383,0.0013446,,0.028544,-0.0014976
0.001948,0.43187,0.5,3.7698,-0.038112,-0.00688,1.0798,0.43187,0.5,3.7698,0.001256,6.10E-05,1.06E-06,0.0012109,-0.0005467,0.0014292,,0.031168,0.00001696
0.0019497,0.4504,0.5,3.7698,-0.038386,-0.006773,1.0762,0.4504,0.5,3.7698,0.0013083,2.18E-05,0.00017656,0.0012829,-0.00065961,0.0013082,,0.0311952,0.00282496
0.0019878,0.46812,0.5,3.7698,-0.039634,-0.0075738,1.0765,0.46812,0.5,3.7698,0.0013381,6.80E-05,-0.00027528,0.0012723,-0.00081794,0.0013651,,0.0318048,-0.00440448
0.0020732,0.48504,0.5,3.7698,-0.041612,-0.008139,1.0759,0.48504,0.5,3.7698,0.0014904,0.00010347,-0.00056232,0.0012789,-0.0007044,0.0013772,,0.0331712,-0.00899712
0.0020312,0.50122,0.5,3.7698,-0.042648,-0.0079933,1.0751,0.50122,0.5,3.7698,0.0016994,8.68E-05,-0.00039313,0.0011839,-0.00039293,0.0011792,,0.0324992,-0.00629008
0.0018658,0.51667,0.5,3.7698,-0.042794,-0.0091613,1.0762,0.51667,0.5,3.7698,0.0018156,4.73E-05,-0.0002626,0.00095564,-6.29E-05,0.00096031,,0.0298528,-0.0042016
0.0017514,0.53142,0.5,3.7698,-0.042866,-0.012275,1.0793,0.53142,0.5,3.7698,0.0018156,-6.39E-05,-0.00023038,0.00085121,8.55E-05,0.00083599,,0.0280224,-0.00368608
0.0016686,0.54551,0.5,3.7698,-0.043225,-0.017517,1.0823,0.54551,0.5,3.7698,0.001791,-0.00020192,-2.40E-05,0.00073125,0.00015726,0.00081487,,0.0266976,-0.000384
0.0015942,0.55896,0.5,3.7698,-0.043843,-0.021651,1.0788,0.55896,0.5,3.7698,0.0017789,-0.000199,0.00011996,0.00059156,0.00021192,0.00081796,,0.0255072,0.00191936
0.0016168,0.5718,0.5,3.7698,-0.044229,-0.02332,1.0745,0.5718,0.5,3.7698,0.0018024,-0.00012478,0.00014891,0.0005378,0.00015822,0.0008934,,0.0258688,0.00238256
0.0017162,0.58405,0.5,3.7698,-0.04393,-0.025383,1.0726,0.58405,0.5,3.7698,0.0018616,-8.60E-05,0.00028927,0.00052587,5.29E-05,0.0010449,,0.0274592,0.00462832
0.0018056,0.59575,0.5,3.7698,-0.043175,-0.026725,1.0709,0.59575,0.5,3.7698,0.001928,-9.11E-05,0.00036297,0.00053081,-7.44E-05,0.0011525,,0.0288896,0.00580752
0.0018752,0.6069,0.5,3.7698,-0.042525,-0.027547,1.0708,0.6069,0.5,3.7698,0.0019951,-8.09E-05,0.00047414,0.00050329,-0.00017599,0.0012519,,0.0300032,0.00758624
0.001945,0.61755,0.5,3.7698,-0.042238,-0.02803,1.0727,0.61755,0.5,3.7698,0.0020523,-6.57E-05,0.00054468,0.00049079,-0.00027259,0.0013468,,0.03112,0.00871488
0.0019915,0.6277,0.5,3.7698,-0.042076,-0.027641,1.0739,0.6277,0.5,3.7698,0.002117,-0.00010218,0.00060163,0.0004992,-0.00033636,0.0013669,,0.031864,0.00962608
0.0020615,0.63738,0.5,3.7698,-0.041746,-0.02769,1.0745,0.63738,0.5,3.7698,0.0022127,-0.00016487,0.00061314,0.00054026,-0.00036797,0.0013701,,0.032984,0.00981024
0.0021805,0.64661,0.5,3.7698,-0.041207,-0.027763,1.075,0.64661,0.5,3.7698,0.0023395,-0.00026956,0.00060019,0.00063721,-0.00041617,0.0013843,,0.034888,0.00960304
0.0023177,0.65542,0.5,3.7698,-0.040578,-0.027797,1.0746,0.65542,0.5,3.7698,0.0024754,-0.00036973,0.00060475,0.00075562,-0.00043228,0.0014043,,0.0370832,0.009676
0.0024689,0.66381,0.5,3.7698,-0.039953,-0.027652,1.0742,0.66381,0.5,3.7698,0.0025999,-0.0004515,0.00058481,0.00088026,-0.00041469,0.0014576,,0.0395024,0.00935696
0.002604,0.67207,0.5,3.7698,-0.039275,-0.027387,1.0734,0.67207,0.5,3.7698,0.0026888,-0.00051045,0.00059354,0.0010075,-0.00041007,0.0015118,,0.041664,0.00949664
0.0026961,0.68032,0.5,3.7698,-0.038512,-0.027142,1.0721,0.68032,0.5,3.7698,0.0027159,-0.00053274,0.00060892,0.0011333,-0.00041816,0.001543,,0.0431376,0.00974272
0.0027466,0.68858,0.5,3.7698,-0.03774,-0.026848,1.0695,0.68858,0.5,3.7698,0.0026731,-0.00052301,0.00063912,0.0012617,-0.00042375,0.0015585,,0.0439456,0.01022592
0.0027649,0.69683,0.5,3.7698,-0.037049,-0.02656,1.0657,0.69683,0.5,3.7698,0.002579,-0.00048812,0.00069247,0.0013917,-0.00042289,0.001559,,0.0442384,0.01107952
0.0028013,0.70509,0.5,3.7698,-0.036515,-0.026104,1.0616,0.70509,0.5,3.7698,0.0024669,-0.00045357,0.00075497,0.0015093,-0.0004175,0.0016265,,0.0448208,0.01207952
0.0028446,0.71335,0.5,3.7698,-0.036133,-0.025709,1.0574,0.71335,0.5,3.7698,0.0023614,-0.00042011,0.00082548,0.0016303,-0.00043671,0.0016975,,0.0455136,0.01320768
0.0028972,0.7216,0.5,3.7698,-0.035775,-0.025373,1.0542,0.7216,0.5,3.7698,0.0022751,-0.00038784,0.00086001,0.0017565,-0.00050993,0.0017626,,0.0463552,0.01376016
0.0029441,0.72986,0.5,3.7698,-0.035258,-0.025115,1.0518,0.72986,0.5,3.7698,0.0022076,-0.00035118,0.00087251,0.0018697,-0.00060846,0.001811,,0.0471056,0.01396016
