K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0033419,0.83719,0.5,3.7698,-0.019696,-0.007093,1.0245,0.83719,0.5,3.7698,0.0013491,0.00014086,0.00014245,0.0031925,-0.0017912,0.0021423,0.25,0.0534704,0.0022792
0.0034684,0.84544,0.5,3.7698,-0.019032,-0.0090464,1.0235,0.84544,0.5,3.7698,0.0013367,3.04E-05,0.00017438,0.0031654,-0.0018797,0.0024348,,0.0554944,0.00279008
0.0034117,0.8537,0.5,3.7698,-0.018677,-0.011133,1.023,0.8537,0.5,3.7698,0.0013098,-5.90E-05,0.00018846,0.0030256,-0.0017532,0.0024881,,0.0545872,0.00301536
0.0032803,0.86196,0.5,3.7698,-0.018703,-0.012565,1.0228,0.86196,0.5,3.7698,0.0012677,-9.88E-05,0.00019859,0.0028511,-0.0014636,0.0024419,,0.0524848,0.00317744
0.0031902,0.87021,0.5,3.7698,-0.019117,-0.012941,1.0231,0.87021,0.5,3.7698,0.0012209,-0.00010094,0.00019384,0.002733,-0.0011549,0.0024266,,0.0510432,0.00310144
0.0031387,0.87847,0.5,3.7698,-0.019938,-0.012561,1.025,0.87847,0.5,3.7698,0.0011803,-9.02E-05,0.00015852,0.0026938,-0.00097479,0.0024034,,0.0502192,0.00253632
0.0031079,0.88672,0.5,3.7698,-0.02111,-0.011677,1.028,0.88672,0.5,3.7698,0.0011495,-6.55E-05,7.95E-05,0.0027061,-0.00094421,0.0023602,,0.0497264,0.001272
0.0030936,0.89498,0.5,3.7698,-0.022298,-0.010297,1.0303,0.89498,0.5,3.7698,0.0011276,-2.57E-05,-2.52E-05,0.0027179,-0.00094694,0.0023418,,0.0494976,-0.0004032
0.0030702,0.90324,0.5,3.7698,-0.023082,-0.0085094,1.0308,0.90324,0.5,3.7698,0.0011164,9.84E-06,-0.0001084,0.0026763,-0.00095564,0.0023477,,0.0491232,-0.0017344
0.0030329,0.91149,0.5,3.7698,-0.023331,-0.0066897,1.0293,0.91149,0.5,3.7698,0.0011216,3.69E-05,-0.00015136,0.002583,-0.0010096,0.0023611,,0.0485264,-0.00242176
0.0030101,0.91975,0.5,3.7698,-0.023176,-0.005336,1.0264,0.91975,0.5,3.7698,0.0011455,7.02E-05,-0.00015592,0.0024853,-0.0010767,0.0023894,,0.0481616,-0.00249472
0.0030252,0.92801,0.5,3.7698,-0.022805,-0.004538,1.0235,0.92801,0.5,3.7698,0.0011829,0.00011527,-0.00014747,0.0024324,-0.0011355,0.0024351,,0.0484032,-0.00235952
0.0030683,0.93626,0.5,3.7698,-0.022342,-0.0040698,1.0218,0.93626,0.5,3.7698,0.0012294,0.00016534,-0.00015661,0.002442,-0.0012155,0.0024653,,0.0490928,-0.00250576
0.0031211,0.94452,0.5,3.7698,-0.021837,-0.0039053,1.0207,0.94452,0.5,3.7698,0.0012901,0.00021707,-0.00018501,0.0024819,-0.0013122,0.0024702,,0.0499376,-0.00296016
0.0031779,0.95277,0.5,3.7698,-0.021338,-0.0040514,1.0195,0.95277,0.5,3.7698,0.001376,0.00026764,-0.00020227,0.0024887,-0.0013829,0.0024911,,0.0508464,-0.00323632
0.0032758,0.96103,0.5,3.7698,-0.020899,-0.0043315,1.0175,0.96103,0.5,3.7698,0.0014826,0.00031033,-0.00017325,0.0024503,-0.0014265,0.0026187,,0.0524128,-0.002772
0.0034093,0.96929,0.5,3.7698,-0.02051,-0.0044702,1.0148,0.96929,0.5,3.7698,0.0015747,0.00034396,-0.00012883,0.0024251,-0.0014556,0.0028188,,0.0545488,-0.00206128
0.0034954,0.97754,0.5,3.7698,-0.020126,-0.0041958,1.0114,0.97754,0.5,3.7698,0.0016115,0.00037322,-0.00010794,0.0024568,-0.0014623,0.0029225,,0.0559264,-0.00172704
0.0035419,0.9858,0.5,3.7698,-0.019752,-0.0038718,1.0058,0.9858,0.5,3.7698,0.0015922,0.00040205,-8.49E-05,0.0025295,-0.0014864,0.0029622,,0.0566704,-0.0013584
0.003629,0.99405,0.5,3.7698,-0.019451,-0.004437,0.99755,0.99405,0.5,3.7698,0.0015448,0.00042683,-2.43E-05,0.0025736,-0.0015766,0.0031396,,0.058064,-0.0003888
0.0037081,1.0023,0.5,3.7698,-0.019294,-0.0057826,0.98964,1.0023,0.5,3.7698,0.001493,0.00043983,9.20E-05,0.0025231,-0.0016588,0.0034,,0.0593296,0.001472
0.0036333,1.0106,0.5,3.7698,-0.01924,-0.0064693,0.98361,1.0106,0.5,3.7698,0.0014548,0.00043387,0.00024966,0.0023902,-0.0016194,0.0034217,,0.0581328,0.00399456
0.0034531,1.0188,0.5,3.7698,-0.019152,-0.0052717,0.9783,1.0188,0.5,3.7698,0.0014417,0.00039059,0.00042661,0.0022443,-0.0014981,0.0032203,,0.0552496,0.00682576
0.0033151,1.0271,0.5,3.7698,-0.018986,-0.0022978,0.973,1.0271,0.5,3.7698,0.001452,0.00029698,0.00060208,0.0021367,-0.0014079,0.0030416,,0.0530416,0.00963328
0.0032501,1.0353,0.5,3.7698,-0.018776,0.00085192,0.96748,1.0353,0.5,3.7698,0.0014806,0.00018073,0.00074216,0.0020625,-0.0013699,0.0029571,,0.0520016,0.01187456
0.0032551,1.0436,0.5,3.7698,-0.018471,0.0026772,0.96192,1.0436,0.5,3.7698,0.0015303,9.30E-05,0.00083602,0.0019779,-0.0013554,0.0030019,,0.0520816,0.01337632
0.0032758,1.0518,0.5,3.7698,-0.017944,0.0033493,0.95702,1.0518,0.5,3.7698,0.0016005,5.47E-05,0.00089675,0.0018458,-0.0013123,0.0031055,,0.0524128,0.014348
0.0032188,1.0601,0.5,3.7698,-0.017174,0.0039112,0.95329,1.0601,0.5,3.7698,0.0016784,4.77E-05,0.0009344,0.0016724,-0.0011751,0.0030869,,0.0515008,0.0149504
0.0030682,1.0684,0.5,3.7698,-0.016324,0.0049632,0.95097,1.0684,0.5,3.7698,0.0017559,4.19E-05,0.00094796,0.0015067,-0.00094297,0.0028738,,0.0490912,0.01516736
0.0029202,1.0766,0.5,3.7698,-0.015527,0.0064908,0.94925,1.0766,0.5,3.7698,0.0018396,1.61E-05,0.00095512,0.0013949,-0.00071063,0.0026059,,0.0467232,0.01528192
0.0028519,1.0849,0.5,3.7698,-0.014718,0.0084267,0.94726,1.0849,0.5,3.7698,0.0019347,-3.07E-05,0.00096789,0.0013549,-0.00056733,0.0024142,,0.0456304,0.01548624
0.0028343,1.0931,0.5,3.7698,-0.013783,0.010704,0.94516,1.0931,0.5,3.7698,0.0020321,-8.91E-05,0.0009695,0.0013634,-0.00050209,0.0022732,,0.0453488,0.015512
0.0027937,1.1014,0.5,3.7698,-0.012736,0.012949,0.94316,1.1014,0.5,3.7698,0.0021099,-0.0001533,0.00095774,0.0013631,-0.00045755,0.0021144,,0.0446992,0.01532384
0.0026929,1.1096,0.5,3.7698,-0.011646,0.014857,0.9412,1.1096,0.5,3.7698,0.0021477,-0.00022109,0.00094424,0.0013311,-0.00039259,0.001907,,0.0430864,0.01510784
0.0025732,1.1179,0.5,3.7698,-0.010531,0.016592,0.93899,1.1179,0.5,3.7698,0.0021405,-0.00028487,0.00094836,0.0012894,-0.00031153,0.0017165,,0.0411712,0.01517376
0.0024926,1.1262,0.5,3.7698,-0.0094672,0.018529,0.93665,1.1262,0.5,3.7698,0.0021021,-0.00033079,0.00098382,0.0012696,-0.00026912,0.0016135,,0.0398816,0.01574112
0.0024617,1.1344,0.5,3.7698,-0.008625,0.020837,0.93426,1.1344,0.5,3.7698,0.002051,-0.00034427,0.0010259,0.0012804,-0.00030168,0.001592,,0.0393872,0.0164144
0.0024661,1.1427,0.5,3.7698,-0.0080189,0.023373,0.93147,1.1427,0.5,3.7698,0.0019962,-0.00032331,0.0010399,0.001296,-0.00038173,0.00164,,0.0394576,0.0166384
0.0024954,1.1509,0.5,3.7698,-0.0074299,0.025878,0.92871,1.1509,0.5,3.7698,0.0019411,-0.00029822,0.0010128,0.0012948,-0.00044868,0.0017549,,0.0399264,0.0162048
0.0025544,1.1592,0.5,3.7698,-0.0066744,0.028249,0.92692,1.1592,0.5,3.7698,0.0018886,-0.00029978,0.00096087,0.0012974,-0.00046424,0.0019228,,0.0408704,0.01537392
0.0026385,1.1674,0.5,3.7698,-0.0057179,0.030519,0.92667,1.1674,0.5,3.7698,0.0018381,-0.00031648,0.00091422,0.0013393,-0.00042105,0.0020997,,0.042216,0.01462752
0.0027165,1.1757,0.5,3.7698,-0.0045515,0.032801,0.92818,1.1757,0.5,3.7698,0.0017863,-0.00031639,0.00087879,0.0014446,-0.00034508,0.0022021,,0.043464,0.01406064
0.0027984,1.1839,0.5,3.7698,-0.0031972,0.035156,0.93078,1.1839,0.5,3.7698,0.001731,-0.00027407,0.00083989,0.0016098,-0.00033841,0.0022559,,0.0447744,0.01343824
0.0029119,1.1922,0.5,3.7698,-0.0018427,0.037264,0.93379,1.1922,0.5,3.7698,0.0016753,-0.00017781,0.00077862,0.0017554,-0.00046652,0.002393,,0.0465904,0.01245792
0.0030341,1.2005,0.5,3.7698,-0.00082604,0.03838,0.93622,1.2005,0.5,3.7698,0.0016336,-4.63E-05,0.00065794,0.0017837,-0.000678,0.002651,,0.0485456,0.01052704
0.0031266,1.2087,0.5,3.7698,-0.00031663,0.038316,0.93629,1.2087,0.5,3.7698,0.0016163,6.71E-05,0.00047976,0.0017472,-0.00090959,0.0028897,,0.0500256,0.00767616
0.003182,1.217,0.5,3.7698,-4.58E-05,0.037707,0.93451,1.217,0.5,3.7698,0.0016099,0.00011996,0.0002817,0.001798,-0.0011297,0.0029561,,0.050912,0.0045072
