K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0016779,1.6711,0.5,3.7698,0.0036147,0.011312,0.94985,1.6711,0.5,3.7698,0.0013504,-0.00021847,9.33E-05,0.0010202,-0.00053451,0.00098514,0.25,0.0268464,1.49E-03
0.0015619,1.6793,0.5,3.7698,0.0026616,0.011764,0.95367,1.6793,0.5,3.7698,0.0012617,-0.00018899,0.00010362,0.00098226,-0.00044424,0.00087985,,0.0249904,1.66E-03
0.0014808,1.6876,0.5,3.7698,0.0016012,0.012253,0.95801,1.6876,0.5,3.7698,0.001183,-0.00018213,8.56E-05,0.00096729,-0.00036199,0.00081137,,0.0236928,1.37E-03
0.0014534,1.6958,0.5,3.7698,0.00045155,0.01306,0.96286,1.6958,0.5,3.7698,0.0011214,-0.00017291,6.48E-05,0.00098404,-0.00033059,0.00080138,,0.0232544,1.04E-03
0.0014451,1.7041,0.5,3.7698,-0.00081624,0.014082,0.96793,1.7041,0.5,3.7698,0.0010676,-0.0001488,6.51E-05,0.0010037,-0.00031684,0.00081887,,0.0231216,1.04E-03
0.0013995,1.7123,0.5,3.7698,-0.0021806,0.014035,0.97244,1.7123,0.5,3.7698,0.0010156,-0.0001281,6.94E-05,0.0009705,-0.00027465,0.00081295,,0.022392,1.11E-03
0.0013059,1.7206,0.5,3.7698,-0.0035164,0.012101,0.97557,1.7206,0.5,3.7698,0.00096954,-0.00012616,4.96E-05,0.00088491,-0.00021811,0.00075729,,0.0208944,7.94E-04
0.0012175,1.7289,0.5,3.7698,-0.0046926,0.0091627,0.97717,1.7289,0.5,3.7698,0.00093348,-0.00013443,1.25E-05,0.0007989,-0.00020797,0.00070253,,0.01948,2.00E-04
0.0012023,1.7371,0.5,3.7698,-0.0056634,0.006605,0.97864,1.7371,0.5,3.7698,0.00090412,-0.00013506,-2.42E-05,0.00075723,-0.00026173,0.00074323,,0.0192368,-3.87E-04
0.0012921,1.7454,0.5,3.7698,-0.0064863,0.005219,0.9809,1.7454,0.5,3.7698,0.00087634,-0.00011608,-5.73E-05,0.00076447,-0.00029961,0.00094342,,0.0206736,-9.17E-04
0.0014469,1.7536,0.5,3.7698,-0.0073139,0.0050775,0.98301,1.7536,0.5,3.7698,0.00084756,-8.48E-05,-6.95E-05,0.00077973,-0.00023746,0.0012664,,0.0231504,-1.11E-03
0.0015608,1.7619,0.5,3.7698,-0.008372,0.0054649,0.98463,1.7619,0.5,3.7698,0.00081626,-5.50E-05,-6.30E-05,0.00076585,-0.00012846,0.0015394,,0.0249728,-1.01E-03
0.0015479,1.7701,0.5,3.7698,-0.009856,0.0050828,0.98641,1.7701,0.5,3.7698,0.00078612,-2.72E-05,-7.65E-05,0.00073686,-8.12E-05,0.0015728,,0.0247664,-1.22E-03
0.0014381,1.7784,0.5,3.7698,-0.011674,0.0035245,0.98929,1.7784,0.5,3.7698,0.00076255,6.98E-06,-9.26E-05,0.00072166,-6.27E-05,0.0013921,,0.0230096,-1.48E-03
0.0013296,1.7866,0.5,3.7698,-0.013424,0.0019068,0.99398,1.7866,0.5,3.7698,0.00073409,5.05E-05,-5.71E-05,0.00071599,9.04E-06,0.0012091,,0.0212736,-9.14E-04
0.001261,1.7949,0.5,3.7698,-0.014774,0.00064013,0.99962,1.7949,0.5,3.7698,0.00068521,8.80E-05,-4.30E-06,0.0006835,8.35E-05,0.0011532,,0.020176,-6.88E-05
0.0012822,1.8032,0.5,3.7698,-0.015641,-0.0012294,1.0029,1.8032,0.5,3.7698,0.00063274,9.47E-05,2.47E-06,0.00062426,9.56E-05,0.0013074,,0.0205152,3.95E-05
0.0013975,1.8114,0.5,3.7698,-0.016171,-0.0037254,1.0007,1.8114,0.5,3.7698,0.00061124,6.80E-05,-1.76E-05,0.00060187,8.06E-05,0.0015818,,0.02236,-2.82E-04
0.0015394,1.8197,0.5,3.7698,-0.016693,-0.0049937,0.99431,1.8197,0.5,3.7698,0.00062861,4.09E-05,-1.04E-05,0.00061397,2.66E-05,0.0018362,,0.0246304,-1.66E-04
0.0017218,1.8279,0.5,3.7698,-0.017324,-0.0037221,0.98803,1.8279,0.5,3.7698,0.00066555,3.62E-05,-1.90E-06,0.00063106,-0.00016084,0.0021469,,0.0275488,-3.04E-05
0.0019194,1.8362,0.5,3.7698,-0.017841,-0.0014217,0.98417,1.8362,0.5,3.7698,0.00070354,4.37E-05,-4.27E-05,0.00068644,-0.00045621,0.0024488,,0.0307104,-6.83E-04
0.0020541,1.8446,0.5,3.7698,-0.018035,-0.00012234,0.98173,1.8446,0.5,3.7698,0.00073504,5.55E-05,-6.40E-05,0.00076602,-0.00071299,0.0026071,,0.0328656,-1.02E-03
0.0021396,1.8534,0.5,3.7698,-0.017835,0.0004814,0.97933,1.8534,0.5,3.7698,0.00075973,7.52E-05,-5.07E-07,0.00086526,-0.00089632,0.0026542,,0.0342336,-8.11E-06
0.002284,1.8626,0.5,3.7698,-0.017353,0.0017907,0.97689,1.8626,0.5,3.7698,0.00077869,9.07E-05,0.00010627,0.0010642,-0.0010793,0.0027252,,0.036544,1.70E-03
0.0025191,1.8723,0.5,3.7698,-0.01694,0.0041371,0.97537,1.8723,0.5,3.7698,0.00079398,7.32E-05,0.00022701,0.0013326,-0.0012864,0.0029117,,0.0403056,3.63E-03
0.0027639,1.8824,0.5,3.7698,-0.016776,0.00613,0.97453,1.8824,0.5,3.7698,0.00081743,2.00E-06,0.00037405,0.0014325,-0.0014961,0.0032779,,0.0442224,5.98E-03
0.0029136,1.8931,0.5,3.7698,-0.01653,0.0070658,0.97346,1.8931,0.5,3.7698,0.0008582,-0.00010369,0.00057146,0.0012919,-0.0015791,0.003677,,0.0466176,9.14E-03
0.0028568,1.9042,0.5,3.7698,-0.015987,0.0079228,0.97268,1.9042,0.5,3.7698,0.00089166,-0.000189,0.00070784,0.0011793,-0.0014238,0.0036425,,0.0457088,1.13E-02
0.0028135,1.9159,0.5,3.7698,-0.015446,0.0082747,0.97342,1.9159,0.5,3.7698,0.00090065,-0.00021474,0.00069802,0.001262,-0.0012768,0.0034644,,0.045016,1.12E-02
0.0029112,1.9282,0.5,3.7698,-0.014874,0.0087582,0.97468,1.9282,0.5,3.7698,0.00091292,-0.0001782,0.00060097,0.0014144,-0.0012588,0.003495,,0.0465792,9.62E-03
0.0028623,1.941,0.5,3.7698,-0.013818,0.010842,0.97551,1.941,0.5,3.7698,0.00093409,-0.00011992,0.00041257,0.0014773,-0.0011517,0.0033132,,0.0457968,6.60E-03
0.0027191,1.9545,0.5,3.7698,-0.012425,0.013667,0.9786,1.9545,0.5,3.7698,0.00093403,-5.08E-05,0.00021925,0.0014332,-0.0010079,0.0030711,,0.0435056,3.51E-03
0.0026007,1.9686,0.5,3.7698,-0.01143,0.016767,0.98163,1.9686,0.5,3.7698,0.00090815,7.39E-05,7.07E-05,0.0014098,-0.0010019,0.0028834,,0.0416112,1.13E-03
0.0023593,1.9833,0.5,3.7698,-0.010982,0.0183,0.98141,1.9833,0.5,3.7698,0.00086858,0.00021154,-7.92E-06,0.0014278,-0.00099816,0.0024222,,0.0377488,-1.27E-04
0.0019148,1.9988,0.5,3.7698,-0.010208,0.016346,0.97837,1.9988,0.5,3.7698,0.0008211,0.00025486,-0.0001319,0.0013352,-0.00078733,0.0016732,,0.0306368,-2.11E-03
0.0017754,2.0149,0.5,3.7698,-0.0085031,0.010722,0.97872,2.0149,0.5,3.7698,0.00081527,0.00014142,-0.00018497,0.0011596,-0.00070946,0.0015758,,0.0284064,-2.96E-03
0.0019888,2.0319,0.5,3.7698,-0.0065857,0.004494,0.98368,2.0319,0.5,3.7698,0.00088267,-8.24E-07,-0.00014207,0.00092893,-0.00070501,0.002166,,0.0318208,-2.27E-03
0.001912,2.0496,0.5,3.7698,-0.0049901,0.00058725,0.98396,2.0496,0.5,3.7698,0.00096062,2.37E-05,-0.00015343,0.00077798,-0.00043234,0.0020854,,0.030592,-2.45E-03
0.0017527,2.0681,0.5,3.7698,-0.0035,-0.0014693,0.9797,2.0681,0.5,3.7698,0.0010132,0.00011312,-0.00010685,0.00094138,-0.00022692,0.0015509,,0.0280432,-1.71E-03
0.0017745,2.0875,0.5,3.7698,-0.0021429,-2.88E-05,0.97924,2.0875,0.5,3.7698,0.0010837,0.00014169,-0.00014132,0.0011381,-0.00021424,0.0013272,,0.028392,-2.26E-03
