K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0041524,0.030909,0.5,1.2756,0.00050392,0.0098535,0.7206,0.030909,0.5,1.2756,0.00020489,0.00012907,-0.00050545,0.0020646,-0.00036067,0.0060353,0.25,0.0664384,-0.0080872
0.0054564,0.066184,0.5,1.2756,0.0024876,0.011342,0.81644,0.066184,0.5,1.2756,0.00062042,0.00018511,-0.00076043,0.0021109,0.0008688,0.0081815,,0.0873024,-0.01216688
0.0049427,0.10006,0.5,1.2756,0.0025844,-0.0049042,0.87089,0.10006,0.5,1.2756,0.00086913,0.00036363,-0.00027867,0.0019126,0.0018872,0.0071037,,0.0790832,-0.00445872
0.0044956,0.13258,0.5,1.2756,-0.00031398,-0.019959,0.93092,0.13258,0.5,1.2756,0.00067556,0.00037651,-0.00039297,0.0016506,0.00052965,0.006665,,0.0719296,-0.00628752
0.0039626,0.16379,0.5,1.2756,-0.00085774,-0.01411,0.97406,0.16379,0.5,1.2756,0.00043776,0.00016082,-0.00064072,0.0011918,-0.0006011,0.0062957,,0.0634016,-0.01025152
0.0023854,0.19372,0.5,1.2756,-0.0013639,-0.011423,1.014,0.19372,0.5,1.2756,0.00046428,0.00016626,-0.00010852,0.00093297,-0.00021689,0.0033735,,0.0381664,-0.00173632
0.0018181,0.22242,0.5,1.2756,-0.0035504,-0.013608,1.0354,0.22242,0.5,1.2756,0.00050436,0.0001771,9.81E-05,0.00086173,0.00031536,0.00227,,0.0290896,0.0015696
0.0017071,0.24993,0.5,1.2756,-0.0056299,-0.01391,1.0521,0.24993,0.5,1.2756,0.00048267,0.00013258,-4.13E-05,0.00098668,0.00016752,0.0019449,,0.0273136,-0.0006608
0.0014156,0.27629,0.5,1.2756,-0.0089993,-0.015602,1.0663,0.27629,0.5,1.2756,0.0004628,7.60E-05,-0.00022353,0.00078481,5.35E-05,0.0015836,,0.0226496,-0.00357648
0.0014047,0.30154,0.5,1.2756,-0.012413,-0.013277,1.061,0.30154,0.5,1.2756,0.00039033,6.07E-05,-0.00016564,0.00084223,0.00023703,0.0015768,,0.0224752,-0.00265024
