K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0031505,0.83719,0.5,1.2756,-0.021567,-0.025712,1.0411,0.83719,0.5,1.2756,0.0018127,-0.00057468,0.00092584,0.0024531,-0.0014011,0.0020352,0.25,0.050408,0.01481344
0.0030136,0.84544,0.5,1.2756,-0.019135,-0.024586,1.0397,0.84544,0.5,1.2756,0.00188,-0.00038581,0.00086206,0.0022738,-0.0012704,0.0018734,,0.0482176,0.01379296
0.0028748,0.8537,0.5,1.2756,-0.01693,-0.02349,1.0381,0.8537,0.5,1.2756,0.0019761,-0.00022437,0.00079548,0.0020483,-0.0010788,0.0017252,,0.0459968,0.01272768
0.0027298,0.86196,0.5,1.2756,-0.015212,-0.022485,1.0368,0.86196,0.5,1.2756,0.0020912,-9.76E-05,0.00074589,0.0017671,-0.00088108,0.0016012,,0.0436768,0.01193424
0.0026043,0.87021,0.5,1.2756,-0.013962,-0.021417,1.036,0.87021,0.5,1.2756,0.0022007,-1.06E-06,0.00070766,0.0015171,-0.00070534,0.0014908,,0.0416688,0.01132256
0.0025135,0.87847,0.5,1.2756,-0.01296,-0.01995,1.0355,0.87847,0.5,1.2756,0.002272,7.13E-05,0.000679,0.0013692,-0.0005676,0.0013859,,0.040216,0.010864
0.0024317,0.88672,0.5,1.2756,-0.01209,-0.018014,1.0362,0.88672,0.5,1.2756,0.0022842,0.00011863,0.0006643,0.001319,-0.00046002,0.0012602,,0.0389072,0.0106288
0.0023375,0.89498,0.5,1.2756,-0.011413,-0.015672,1.0388,0.89498,0.5,1.2756,0.0022428,0.00013503,0.00065348,0.0013121,-0.00036553,0.00112,,0.0374,0.01045568
0.0022559,0.90324,0.5,1.2756,-0.010956,-0.013148,1.0424,0.90324,0.5,1.2756,0.0021746,0.00012922,0.00062784,0.0012943,-0.00030031,0.0010427,,0.0360944,0.01004544
0.0021998,0.91149,0.5,1.2756,-0.010621,-0.011115,1.0457,0.91149,0.5,1.2756,0.002108,0.00013205,0.00057498,0.0012423,-0.00028153,0.0010492,,0.0351968,0.00919968
0.0021336,0.91975,0.5,1.2756,-0.010297,-0.010166,1.048,0.91975,0.5,1.2756,0.0020561,0.00016986,0.00050296,0.0011538,-0.00026312,0.0010573,,0.0341376,0.00804736
0.0020627,0.92801,0.5,1.2756,-0.0099322,-0.009971,1.0491,0.92801,0.5,1.2756,0.0020172,0.00023447,0.00043404,0.0010603,-0.00022879,0.0010479,,0.0330032,0.00694464
0.0020225,0.93626,0.5,1.2756,-0.0095043,-0.0096164,1.0489,0.93626,0.5,1.2756,0.001986,0.00028792,0.00036706,0.0010201,-0.0002421,0.0010389,,0.03236,0.00587296
0.0020264,0.94452,0.5,1.2756,-0.0090175,-0.0085992,1.0477,0.94452,0.5,1.2756,0.001957,0.00029504,0.00028767,0.0010816,-0.00031413,0.0010143,,0.0324224,0.00460272
0.0020827,0.95277,0.5,1.2756,-0.0085466,-0.007012,1.0465,0.95277,0.5,1.2756,0.0019265,0.00024002,0.00021075,0.0012505,-0.00037951,0.00098853,,0.0333232,0.003372
0.0022054,0.96103,0.5,1.2756,-0.0081748,-0.0052831,1.0448,0.96103,0.5,1.2756,0.0018979,0.00014306,0.00017521,0.0014377,-0.00045351,0.0010751,,0.0352864,0.00280336
0.0023685,0.96929,0.5,1.2756,-0.0078555,-0.0039148,1.0422,0.96929,0.5,1.2756,0.0018754,5.35E-05,0.00017543,0.0015161,-0.00057874,0.0013455,,0.037896,0.00280688
0.0024798,0.97754,0.5,1.2756,-0.0074262,-0.0029046,1.0396,0.97754,0.5,1.2756,0.0018546,1.03E-05,0.00015552,0.0014849,-0.00069216,0.0016201,,0.0396768,0.00248832
0.0024854,0.9858,0.5,1.2756,-0.006761,-0.0018633,1.038,0.9858,0.5,1.2756,0.0018258,9.66E-06,8.60E-05,0.0014209,-0.00075178,0.0017241,,0.0397664,0.001376
0.0024238,0.99405,0.5,1.2756,-0.0059146,-0.00026582,1.037,0.99405,0.5,1.2756,0.001783,1.87E-05,-2.05E-05,0.001354,-0.00079263,0.0017106,,0.0387808,-0.000328
0.0024239,1.0023,0.5,1.2756,-0.0050266,0.0023138,1.0349,1.0023,0.5,1.2756,0.0017232,2.12E-05,-8.94E-05,0.0012782,-0.00081925,0.0018464,,0.0387824,-0.0014304
0.0025497,1.0106,0.5,1.2756,-0.0041412,0.0058001,1.0311,1.0106,0.5,1.2756,0.0016503,1.17E-05,-6.18E-05,0.0012037,-0.00082186,0.0022454,,0.0407952,-0.0009888
0.0026957,1.0188,0.5,1.2756,-0.0032985,0.0096154,1.0271,1.0188,0.5,1.2756,0.0015762,-1.78E-05,4.98E-05,0.0011205,-0.00084411,0.0026948,,0.0431312,0.0007968
0.0027842,1.0271,0.5,1.2756,-0.0026018,0.012845,1.0233,1.0271,0.5,1.2756,0.001506,-5.71E-05,0.00022658,0.00098825,-0.00090312,0.0030741,,0.0445472,0.00362528
0.0029001,1.0353,0.5,1.2756,-0.0021555,0.014785,1.0189,1.0353,0.5,1.2756,0.0014424,-9.58E-05,0.00041092,0.00087468,-0.001009,0.0034831,,0.0464016,0.00657472
0.0029754,1.0436,0.5,1.2756,-0.0021051,0.015299,1.0152,1.0436,0.5,1.2756,0.0013975,-0.00012157,0.00052318,0.00088234,-0.0011142,0.0036709,,0.0476064,0.00837088
0.002871,1.0518,0.5,1.2756,-0.0025338,0.015381,1.0132,1.0518,0.5,1.2756,0.0013815,-0.00012431,0.00060074,0.00096816,-0.0011165,0.0033923,,0.045936,0.00961184
0.0027476,1.0601,0.5,1.2756,-0.0031065,0.015538,1.0101,1.0601,0.5,1.2756,0.0013958,-0.00012141,0.00067222,0.0010003,-0.001061,0.0030991,,0.0439616,0.01075552
0.0026797,1.0684,0.5,1.2756,-0.003091,0.014727,1.0052,1.0684,0.5,1.2756,0.0014222,-0.00010153,0.00064101,0.00093448,-0.0010124,0.0030027,,0.0428752,0.01025616
0.0025787,1.0766,0.5,1.2756,-0.0020368,0.01316,0.99864,1.0766,0.5,1.2756,0.0014158,-4.92E-05,0.00053861,0.00084806,-0.00092924,0.0028936,,0.0412592,0.00861776
0.0024594,1.0849,0.5,1.2756,-0.0002525,0.012124,0.99086,1.0849,0.5,1.2756,0.0013544,8.68E-06,0.00049986,0.00080381,-0.00083913,0.0027605,,0.0393504,0.00799776
0.0023914,1.0931,0.5,1.2756,0.0015907,0.012054,0.98281,1.0931,0.5,1.2756,0.0012679,4.83E-05,0.0005574,0.00080136,-0.00079077,0.0027135,,0.0382624,0.0089184
0.0023897,1.1014,0.5,1.2756,0.0030674,0.01292,0.97538,1.1014,0.5,1.2756,0.001193,6.64E-05,0.00064609,0.00081614,-0.00076863,0.0027701,,0.0382352,0.01033744
0.0023849,1.1096,0.5,1.2756,0.0040788,0.014458,0.96877,1.1096,0.5,1.2756,0.0011399,7.94E-05,0.0006901,0.00083553,-0.00077006,0.0027943,,0.0381584,0.0110416
0.0023267,1.1179,0.5,1.2756,0.0047063,0.01616,0.96228,1.1179,0.5,1.2756,0.0010985,0.00010369,0.00066188,0.00086689,-0.000772,0.002688,,0.0372272,0.01059008
0.0022053,1.1262,0.5,1.2756,0.0051882,0.017547,0.95543,1.1262,0.5,1.2756,0.0010593,0.00013057,0.00057395,0.00090093,-0.00076049,0.0024504,,0.0352848,0.0091832
0.0020238,1.1344,0.5,1.2756,0.0057776,0.018273,0.94855,1.1344,0.5,1.2756,0.0010301,0.00014539,0.00046294,0.00090833,-0.00072512,0.0021092,,0.0323808,0.00740704
0.0018279,1.1427,0.5,1.2756,0.0065932,0.018641,0.94214,1.1427,0.5,1.2756,0.0010189,0.00014332,0.0003732,0.00088917,-0.00065604,0.0017477,,0.0292464,0.0059712
0.0016794,1.1509,0.5,1.2756,0.0077107,0.019519,0.93618,1.1509,0.5,1.2756,0.0010145,0.00012372,0.00032424,0.00087808,-0.0005929,0.0014662,,0.0268704,0.00518784
0.001603,1.1592,0.5,1.2756,0.0091652,0.021422,0.93048,1.1592,0.5,1.2756,0.0010029,9.28E-05,0.00030915,0.00088901,-0.00057299,0.001314,,0.025648,0.0049464
0.0015737,1.1674,0.5,1.2756,0.010793,0.024215,0.92508,1.1674,0.5,1.2756,0.00098116,6.07E-05,0.00031167,0.00091426,-0.00058648,0.001252,,0.0251792,0.00498672
0.0015688,1.1757,0.5,1.2756,0.012244,0.027441,0.91989,1.1757,0.5,1.2756,0.00095596,3.51E-05,0.00032364,0.00094208,-0.00061211,0.0012395,,0.0251008,0.00517824
0.0016022,1.1839,0.5,1.2756,0.013233,0.030764,0.91488,1.1839,0.5,1.2756,0.000939,2.24E-05,0.00033079,0.0009606,-0.00064299,0.0013047,,0.0256352,0.00529264
0.0017029,1.1922,0.5,1.2756,0.013798,0.034193,0.90997,1.1922,0.5,1.2756,0.00093533,2.34E-05,0.00029572,0.00098741,-0.00069083,0.001483,,0.0272464,0.00473152
0.0018735,1.2005,0.5,1.2756,0.014264,0.037478,0.90466,1.2005,0.5,1.2756,0.00093917,3.50E-05,0.00020363,0.0010607,-0.00078764,0.0017471,,0.029976,0.00325808
0.0020632,1.2087,0.5,1.2756,0.014921,0.039911,0.89892,1.2087,0.5,1.2756,0.00094477,5.96E-05,8.49E-05,0.0011633,-0.00094165,0.0020184,,0.0330112,0.0013584
0.0022022,1.217,0.5,1.2756,0.015793,0.041209,0.89415,1.217,0.5,1.2756,0.00095613,9.86E-05,-3.56E-05,0.0012325,-0.0011025,0.0022159,,0.0352352,-0.0005696
0.0022527,1.2252,0.5,1.2756,0.016705,0.041642,0.89247,1.2252,0.5,1.2756,0.00098076,0.00014493,-0.00017088,0.0012542,-0.0012211,0.0022704,,0.0360432,-0.00273408
0.0022825,1.2335,0.5,1.2756,0.017498,0.041533,0.89407,1.2335,0.5,1.2756,0.0010175,0.00018907,-0.00032999,0.001268,-0.001327,0.0022796,,0.03652,-0.00527984
0.0023611,1.2417,0.5,1.2756,0.018175,0.040825,0.89714,1.2417,0.5,1.2756,0.0010557,0.00022635,-0.00049543,0.0012858,-0.0014368,0.0023806,,0.0377776,-0.00792688
0.0024531,1.25,0.5,1.2756,0.018822,0.03919,0.89969,1.25,0.5,1.2756,0.0010836,0.00026312,-0.00064148,0.0012849,-0.0015085,0.0025377,,0.0392496,-0.01026368
0.0025438,1.2583,0.5,1.2756,0.019414,0.037,0.90103,1.2583,0.5,1.2756,0.0010938,0.00030899,-0.00076344,0.0012514,-0.0015388,0.0027424,,0.0407008,-0.01221504
0.0026459,1.2665,0.5,1.2756,0.019838,0.035328,0.90151,1.2665,0.5,1.2756,0.0010843,0.00035284,-0.00088317,0.0011741,-0.0015266,0.0030334,,0.0423344,-0.01413072
0.0027696,1.2748,0.5,1.2756,0.020063,0.034551,0.90154,1.2748,0.5,1.2756,0.0010572,0.00037627,-0.0010125,0.0010655,-0.0014776,0.0034166,,0.0443136,-0.0162
0.0029242,1.283,0.5,1.2756,0.020146,0.034021,0.90192,1.283,0.5,1.2756,0.0010193,0.00038686,-0.0011546,0.00095644,-0.0014236,0.0038728,,0.0467872,-0.0184736
0.0030173,1.2913,0.5,1.2756,0.020126,0.033345,0.9024,1.2913,0.5,1.2756,0.00098492,0.00040359,-0.0012862,0.00086682,-0.0013504,0.0041828,,0.0482768,-0.0205792
0.0029273,1.2995,0.5,1.2756,0.020077,0.032719,0.90151,1.2995,0.5,1.2756,0.00096815,0.00042481,-0.0013511,0.00080429,-0.0012435,0.0040821,,0.0468368,-0.0216176
0.0026779,1.3078,0.5,1.2756,0.020125,0.032142,0.89888,1.3078,0.5,1.2756,0.00096908,0.00044377,-0.0013277,0.00074783,-0.001124,0.0036388,,0.0428464,-0.0212432
0.0023846,1.316,0.5,1.2756,0.02029,0.031448,0.89539,1.316,0.5,1.2756,0.00098035,0.00046308,-0.0012434,0.00067519,-0.0010116,0.0031136,,0.0381536,-0.0198944
0.0021145,1.3243,0.5,1.2756,0.020414,0.030532,0.89164,1.3243,0.5,1.2756,0.0010007,0.00047863,-0.0011293,0.00060755,-0.0009084,0.0026208,,0.033832,-0.0180688
0.0018845,1.3326,0.5,1.2756,0.020322,0.029277,0.88816,1.3326,0.5,1.2756,0.0010308,0.00048456,-0.00101,0.00056548,-0.00080123,0.0021728,,0.030152,-0.01616
0.0017145,1.3408,0.5,1.2756,0.019957,0.0278,0.88551,1.3408,0.5,1.2756,0.0010654,0.00047484,-0.00092373,0.00053132,-0.00067525,0.0018324,,0.027432,-0.01477968
0.0016509,1.3491,0.5,1.2756,0.01933,0.026544,0.88449,1.3491,0.5,1.2756,0.0010978,0.00043128,-0.0009131,0.0004971,-0.00052188,0.0017068,,0.0264144,-0.0146096
0.0017423,1.3573,0.5,1.2756,0.018461,0.025856,0.8866,1.3573,0.5,1.2756,0.0011274,0.00035088,-0.0010025,0.00050303,-0.00035584,0.0018541,,0.0278768,-0.01604
0.0019092,1.3656,0.5,1.2756,0.017453,0.025351,0.89385,1.3656,0.5,1.2756,0.0011607,0.00027045,-0.0011493,0.00056419,-0.00023841,0.0020936,,0.0305472,-0.0183888
0.0019433,1.3738,0.5,1.2756,0.016526,0.024488,0.90516,1.3738,0.5,1.2756,0.0012037,0.00021325,-0.0012402,0.00060949,-0.00018408,0.0020733,,0.0310928,-0.0198432
0.0018267,1.3821,0.5,1.2756,0.015825,0.023436,0.91631,1.3821,0.5,1.2756,0.0012525,0.00014733,-0.0012109,0.00059253,-0.00012876,0.0018083,,0.0292272,-0.0193744
0.0017347,1.3903,0.5,1.2756,0.015225,0.022415,0.92447,1.3903,0.5,1.2756,0.0012952,4.41E-05,-0.0011184,0.00055551,-8.29E-05,0.0016187,,0.0277552,-0.0178944
0.0017005,1.3986,0.5,1.2756,0.014453,0.021462,0.92992,1.3986,0.5,1.2756,0.0013238,-6.76E-05,-0.0010211,0.00052797,-6.08E-05,0.0015492,,0.027208,-0.0163376
0.0016352,1.4069,0.5,1.2756,0.013385,0.020935,0.93528,1.4069,0.5,1.2756,0.0013397,-0.00013423,-0.00091527,0.00049772,-2.47E-05,0.001433,,0.0261632,-0.01464432
0.0015537,1.4151,0.5,1.2756,0.012102,0.021169,0.94124,1.4151,0.5,1.2756,0.0013455,-0.00013058,-0.00083886,0.00047169,8.44E-06,0.0012903,,0.0248592,-0.01342176
0.0015404,1.4234,0.5,1.2756,0.010833,0.021706,0.94675,1.4234,0.5,1.2756,0.0013416,-7.09E-05,-0.00083518,0.00046824,1.54E-05,0.0012709,,0.0246464,-0.01336288
0.0015868,1.4316,0.5,1.2756,0.0098972,0.021518,0.95213,1.4316,0.5,1.2756,0.0013322,1.48E-05,-0.00086421,0.00047264,-1.04E-05,0.0013688,,0.0253888,-0.01382736
0.0016163,1.4399,0.5,1.2756,0.0095165,0.020424,0.95783,1.4399,0.5,1.2756,0.0013242,0.0001028,-0.00087077,0.00046378,-5.91E-05,0.0014447,,0.0258608,-0.01393232
0.0015959,1.4481,0.5,1.2756,0.0096304,0.019025,0.96364,1.4481,0.5,1.2756,0.001324,0.00018135,-0.0008504,0.00045304,-0.00010486,0.0014148,,0.0255344,-0.0136064
0.0015647,1.4564,0.5,1.2756,0.0099159,0.017833,0.9688,1.4564,0.5,1.2756,0.0013273,0.00024757,-0.00082497,0.000475,-0.00015688,0.001327,,0.0250352,-0.01319952
0.0015705,1.4647,0.5,1.2756,0.010059,0.017178,0.97285,1.4647,0.5,1.2756,0.0013178,0.0002997,-0.00079604,0.00054014,-0.00024988,0.001283,,0.025128,-0.01273664
0.0016147,1.4729,0.5,1.2756,0.010005,0.016948,0.97566,1.4729,0.5,1.2756,0.0012875,0.00033529,-0.00076252,0.00059978,-0.00036429,0.0013421,,0.0258352,-0.01220032
0.0016472,1.4812,0.5,1.2756,0.0099199,0.01671,0.97716,1.4812,0.5,1.2756,0.0012488,0.00034141,-0.00073148,0.00061366,-0.00043759,0.0014319,,0.0263552,-0.01170368
0.0016518,1.4894,0.5,1.2756,0.0098946,0.016298,0.97814,1.4894,0.5,1.2756,0.0012196,0.00030709,-0.00070019,0.00061772,-0.00046416,0.0014663,,0.0264288,-0.01120304
0.0016783,1.4977,0.5,1.2756,0.0098142,0.015894,0.97915,1.4977,0.5,1.2756,0.0012083,0.00024938,-0.00067119,0.00067175,-0.0004763,0.0014765,,0.0268528,-0.01073904
0.0017469,1.5059,0.5,1.2756,0.0095218,0.015719,0.97978,1.5059,0.5,1.2756,0.001212,0.00019321,-0.0006395,0.00078409,-0.00048246,0.0014978,,0.0279504,-0.010232
0.0018191,1.5142,0.5,1.2756,0.0089865,0.016106,0.97959,1.5142,0.5,1.2756,0.0012149,0.000138,-0.00058783,0.00091504,-0.00049254,0.0015082,,0.0291056,-0.00940528
0.0018777,1.5224,0.5,1.2756,0.0083194,0.017446,0.97883,1.5224,0.5,1.2756,0.0011965,6.14E-05,-0.00053481,0.001005,-0.00052979,0.0015539,,0.0300432,-0.00855696
0.001898,1.5307,0.5,1.2756,0.0076447,0.01972,0.97812,1.5307,0.5,1.2756,0.0011463,-3.78E-05,-0.00049619,0.0010248,-0.00059428,0.001625,,0.030368,-0.00793904
0.0018045,1.539,0.5,1.2756,0.0069733,0.022601,0.97794,1.539,0.5,1.2756,0.0010719,-0.00012065,-0.00043128,0.0010057,-0.00063901,0.0015313,,0.028872,-0.00690048
0.0016306,1.5472,0.5,1.2756,0.0063128,0.025799,0.97799,1.5472,0.5,1.2756,0.00099677,-0.00015768,-0.00032851,0.00098403,-0.00061905,0.0012804,,0.0260896,-0.00525616
0.0015119,1.5555,0.5,1.2756,0.0058321,0.029068,0.9767,1.5555,0.5,1.2756,0.00093985,-0.00015401,-0.00022846,0.000986,-0.00055543,0.001098,,0.0241904,-0.00365536
0.0014656,1.5637,0.5,1.2756,0.0057111,0.031969,0.97352,1.5637,0.5,1.2756,0.00090006,-0.00012314,-0.0001566,0.0010155,-0.00047156,0.0010157,,0.0234496,-0.0025056
0.0014313,1.572,0.5,1.2756,0.0059558,0.034018,0.97002,1.572,0.5,1.2756,0.00086723,-7.90E-05,-0.00011371,0.0010387,-0.00034203,0.00095674,,0.0229008,-0.00181936
0.0013906,1.5802,0.5,1.2756,0.0065573,0.035218,0.96785,1.5802,0.5,1.2756,0.00083727,-3.31E-05,-9.29E-05,0.0010476,-0.00018835,0.00089633,,0.0222496,-0.0014864
0.0013444,1.5885,0.5,1.2756,0.0076253,0.035637,0.96709,1.5885,0.5,1.2756,0.00081626,1.27E-05,-7.70E-05,0.0010623,-9.23E-05,0.00081015,,0.0215104,-0.001232
0.0013304,1.5968,0.5,1.2756,0.0092255,0.035071,0.96687,1.5968,0.5,1.2756,0.00081244,5.42E-05,-5.42E-05,0.0010816,-8.16E-05,0.00076673,,0.0212864,-0.0008672
0.0013931,1.605,0.5,1.2756,0.011229,0.033509,0.96698,1.605,0.5,1.2756,0.00082849,7.81E-05,-2.07E-05,0.0010785,-0.00014566,0.00087915,,0.0222896,-0.0003312
0.0015063,1.6133,0.5,1.2756,0.01335,0.031229,0.96834,1.6133,0.5,1.2756,0.00085998,7.46E-05,1.87E-05,0.0010464,-0.00028647,0.0011062,,0.0241008,0.0002992
0.0016017,1.6215,0.5,1.2756,0.015355,0.028332,0.97158,1.6215,0.5,1.2756,0.00089233,5.41E-05,4.50E-05,0.0010134,-0.00046272,0.0012976,,0.0256272,0.00072
0.0016379,1.6298,0.5,1.2756,0.017199,0.02477,0.97581,1.6298,0.5,1.2756,0.00091329,3.45E-05,3.65E-05,0.00098525,-0.00060027,0.0013773,,0.0262064,0.000584
0.0016248,1.638,0.5,1.2756,0.018822,0.020719,0.97982,1.638,0.5,1.2756,0.00092939,1.55E-05,-1.85E-05,0.00094131,-0.00066636,0.0013788,,0.0259968,-0.000296
0.0015919,1.6463,0.5,1.2756,0.019993,0.016522,0.98276,1.6463,0.5,1.2756,0.00094899,-1.39E-05,-8.45E-05,0.00088836,-0.00066586,0.0013465,,0.0254704,-0.001352
0.0015414,1.6545,0.5,1.2756,0.020428,0.012634,0.98492,1.6545,0.5,1.2756,0.00096057,-5.51E-05,-0.00012855,0.00084937,-0.00059878,0.0012728,,0.0246624,-0.0020568
0.0014628,1.6628,0.5,1.2756,0.019964,0.0094589,0.98628,1.6628,0.5,1.2756,0.00094679,-0.00010533,-0.00014747,0.00082452,-0.0004787,0.0011542,,0.0234048,-0.00235952
0.0031378,0.83719,0.5,1.3137,-0.021542,-0.025545,1.04,0.83719,0.5,1.3137,0.0017847,-0.00052084,0.0008887,0.0024471,-0.0013964,0.0020438,,0.0502048,0.0142192
0.0030154,0.84544,0.5,1.3137,-0.019154,-0.0244,1.0387,0.84544,0.5,1.3137,0.0018662,-0.00033435,0.00082777,0.0022617,-0.001266,0.0019028,,0.0482464,0.01324432
0.0028774,0.8537,0.5,1.3137,-0.017059,-0.023269,1.0374,0.8537,0.5,1.3137,0.0019756,-0.0001797,0.00075819,0.0020169,-0.0010751,0.0017624,,0.0460384,0.01213104
0.0027267,0.86196,0.5,1.3137,-0.015464,-0.022273,1.0365,0.86196,0.5,1.3137,0.0020982,-6.21E-05,0.00070504,0.0017291,-0.00087569,0.0016263,,0.0436272,0.01128064
0.0025969,0.87021,0.5,1.3137,-0.014277,-0.021248,1.0359,0.87021,0.5,1.3137,0.0022065,2.66E-05,0.00066418,0.0014932,-0.00070021,0.0014941,,0.0415504,0.01062688
0.0025033,0.87847,0.5,1.3137,-0.013269,-0.019843,1.0355,0.87847,0.5,1.3137,0.0022711,9.65E-05,0.00063397,0.0013654,-0.00057084,0.0013702,,0.0400528,0.01014352
0.0024169,0.88672,0.5,1.3137,-0.012384,-0.01794,1.0363,0.88672,0.5,1.3137,0.0022756,0.00014454,0.00061898,0.0013223,-0.00047422,0.0012358,,0.0386704,0.00990368
0.0023193,0.89498,0.5,1.3137,-0.011727,-0.015564,1.0389,0.89498,0.5,1.3137,0.0022275,0.00015991,0.00061148,0.0013046,-0.00038679,0.0011064,,0.0371088,0.00978368
0.0022414,0.90324,0.5,1.3137,-0.011327,-0.013023,1.0426,0.90324,0.5,1.3137,0.0021543,0.00015259,0.0005908,0.0012737,-0.00032655,0.0010549,,0.0358624,0.0094528
0.0021912,0.91149,0.5,1.3137,-0.011057,-0.011114,1.0459,0.91149,0.5,1.3137,0.0020865,0.00015856,0.00054169,0.0012193,-0.00030628,0.0010766,,0.0350592,0.00866704
0.0021299,0.91975,0.5,1.3137,-0.010771,-0.010372,1.0481,0.91975,0.5,1.3137,0.0020392,0.00020401,0.0004762,0.0011369,-0.00028026,0.0010837,,0.0340784,0.0076192
0.0020624,0.92801,0.5,1.3137,-0.010402,-0.01027,1.0491,0.92801,0.5,1.3137,0.0020081,0.00027252,0.00041566,0.0010551,-0.0002435,0.0010616,,0.0329984,0.00665056
0.0020219,0.93626,0.5,1.3137,-0.009951,-0.0098212,1.0489,0.93626,0.5,1.3137,0.0019819,0.00032006,0.00035326,0.0010353,-0.00025698,0.0010267,,0.0323504,0.00565216
0.0020368,0.94452,0.5,1.3137,-0.0094462,-0.0086261,1.0476,0.94452,0.5,1.3137,0.0019536,0.00031475,0.00027531,0.0011204,-0.0003283,0.00099959,,0.0325888,0.00440496
0.0021164,0.95277,0.5,1.3137,-0.0089677,-0.0069279,1.0462,0.95277,0.5,1.3137,0.0019243,0.00024817,0.00020436,0.0012959,-0.00039877,0.0010126,,0.0338624,0.00326976
0.002256,0.96103,0.5,1.3137,-0.0085923,-0.0052239,1.0444,0.96103,0.5,1.3137,0.0019038,0.0001466,0.0001774,0.0014628,-0.00048162,0.0011454,,0.036096,0.0028384
0.0024234,0.96929,0.5,1.3137,-0.0082617,-0.0039478,1.0418,0.96929,0.5,1.3137,0.0018979,6.22E-05,0.00017764,0.0015144,-0.00060528,0.0014345,,0.0387744,0.00284224
0.0025341,0.97754,0.5,1.3137,-0.0077931,-0.0029831,1.0393,0.97754,0.5,1.3137,0.001895,2.91E-05,0.00014915,0.0014749,-0.00070982,0.0016984,,0.0405456,0.0023864
0.0025388,0.9858,0.5,1.3137,-0.0070558,-0.0018806,1.0378,0.9858,0.5,1.3137,0.0018754,3.20E-05,6.71E-05,0.001418,-0.00077124,0.0017841,,0.0406208,0.0010736
0.0024808,0.99405,0.5,1.3137,-0.0061234,-0.00018454,1.0366,0.99405,0.5,1.3137,0.0018292,3.21E-05,-4.17E-05,0.0013557,-0.00082594,0.0017767,,0.0396928,-0.0006672
0.0024916,1.0023,0.5,1.3137,-0.0051668,0.0024336,1.0342,1.0023,0.5,1.3137,0.0017545,1.72E-05,-0.00010491,0.0012826,-0.00085863,0.0019462,,0.0398656,-0.00167856
0.0026155,1.0106,0.5,1.3137,-0.00428,0.0058918,1.0303,1.0106,0.5,1.3137,0.0016584,-1.32E-05,-8.75E-05,0.001218,-0.00085695,0.0023546,,0.041848,-0.0014
0.0027484,1.0188,0.5,1.3137,-0.0035417,0.0095699,1.0261,1.0188,0.5,1.3137,0.0015619,-5.84E-05,1.37E-05,0.0011397,-0.00088329,0.0027951,,0.0439744,0.0002192
0.0028319,1.0271,0.5,1.3137,-0.0030408,0.012525,1.0223,1.0271,0.5,1.3137,0.0014874,-9.62E-05,0.00020011,0.00099642,-0.00094674,0.0031799,,0.0453104,0.00320176
0.0029344,1.0353,0.5,1.3137,-0.0028064,0.014163,1.0181,1.0353,0.5,1.3137,0.0014439,-0.00011617,0.00040015,0.00086804,-0.0010354,0.0035569,,0.0469504,0.0064024
