K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0014077,1.6711,0.5,1.2756,0.018737,0.0070764,0.98632,1.6711,0.5,1.2756,0.00090782,-0.00015703,-0.00013285,0.00081043,-0.00035838,0.0010971,0.25,0.0225232,-0.0021256
0.0014034,1.6793,0.5,1.2756,0.017188,0.0054313,0.98644,1.6793,0.5,1.2756,0.00085792,-0.00019967,-9.14E-05,0.00080531,-0.00027343,0.0011436,,0.0224544,-0.0014624
0.0013991,1.6876,0.5,1.2756,0.015832,0.0045502,0.98781,1.6876,0.5,1.2756,0.00080595,-0.00022439,-4.79E-05,0.00080911,-0.00022917,0.0011832,,0.0223856,-0.0007664
0.0013938,1.6958,0.5,1.2756,0.014992,0.0044348,0.98862,1.6958,0.5,1.2756,0.00074965,-0.00022561,-4.20E-06,0.00083125,-0.00023029,0.0012067,,0.0223008,-0.0000672
0.0013965,1.7041,0.5,1.2756,0.014655,0.0049836,0.98735,1.7041,0.5,1.2756,0.00068694,-0.00020988,5.25E-05,0.00085718,-0.00024947,0.0012488,,0.022344,0.00084
0.0013663,1.7123,0.5,1.2756,0.014514,0.0054407,0.98495,1.7123,0.5,1.2756,0.0006279,-0.00019317,9.10E-05,0.00085634,-0.00024439,0.0012484,,0.0218608,0.001456
0.0013208,1.7206,0.5,1.2756,0.014191,0.0046321,0.9821,1.7206,0.5,1.2756,0.00058856,-0.00018138,8.98E-05,0.00083122,-0.00022394,0.0012217,,0.0211328,0.0014368
0.0012848,1.7289,0.5,1.2756,0.013433,0.0027453,0.98017,1.7289,0.5,1.2756,0.00057124,-0.0001613,7.81E-05,0.00080606,-0.00018793,0.0011922,,0.0205568,0.0012496
0.0012547,1.7371,0.5,1.2756,0.012141,0.0012238,0.98068,1.7371,0.5,1.2756,0.00056462,-0.00012265,6.08E-05,0.00077094,-0.00013642,0.0011738,,0.0200752,0.0009728
0.0012859,1.7454,0.5,1.2756,0.01039,0.00068441,0.98275,1.7454,0.5,1.2756,0.00055855,-6.91E-05,-4.11E-06,0.00069783,-0.00011388,0.0013154,,0.0205744,-0.00006576
0.0013803,1.7536,0.5,1.2756,0.0084967,0.00041422,0.98587,1.7536,0.5,1.2756,0.00054867,-2.21E-05,-9.47E-05,0.00061691,-0.00015798,0.0015951,,0.0220848,-0.0015152
0.0015043,1.7619,0.5,1.2756,0.0067147,-0.00020756,0.98987,1.7619,0.5,1.2756,0.00053344,-5.84E-06,-0.00016723,0.00058911,-0.00025507,0.001886,,0.0240688,-0.00267568
0.0016747,1.7701,0.5,1.2756,0.0049565,-0.00096428,0.99337,1.7701,0.5,1.2756,0.00051264,-1.51E-05,-0.00022766,0.00061959,-0.00035085,0.0022171,,0.0267952,-0.00364256
