"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0061429,0.030909,0.5,8.7627,-0.0048026,-0.0044018,1.0155,0.030909,0.5,8.7627,0.0010332,0.0002471,-0.00064834,0.0019554,-0.00086633,0.0092973
0.0077201,0.066184,0.5,8.7627,-0.010083,-0.0058657,1.1465,0.066184,0.5,8.7627,0.0026569,0.00051718,-0.00080051,0.0023303,-0.00062739,0.010453
0.0082122,0.10006,0.5,8.7627,-0.014583,-0.0068903,1.1789,0.10006,0.5,8.7627,0.004178,0.00093109,-0.00058489,0.0024202,1.8292e-05,0.0098262
0.0096013,0.13258,0.5,8.7627,-0.018712,-0.0080777,1.1924,0.13258,0.5,8.7627,0.0062618,0.0016157,3.6068e-05,0.0026136,0.00022562,0.010327
0.012371,0.16379,0.5,8.7627,-0.02283,-0.013312,1.1954,0.16379,0.5,8.7627,0.0091384,0.002367,0.0015308,0.0033034,0.00071397,0.012301
0.016265,0.19372,0.5,8.7627,-0.026521,-0.023623,1.1947,0.19372,0.5,8.7627,0.012629,0.0028676,0.0043549,0.0045352,0.0015282,0.015366
0.019876,0.22242,0.5,8.7627,-0.029908,-0.032972,1.1792,0.22242,0.5,8.7627,0.016367,0.0035083,0.0078571,0.0057601,0.0023125,0.017625
0.023575,0.24993,0.5,8.7627,-0.032967,-0.038928,1.1491,0.24993,0.5,8.7627,0.019681,0.0038843,0.010266,0.007589,0.0032982,0.01988
0.028374,0.27629,0.5,8.7627,-0.033879,-0.04282,1.1153,0.27629,0.5,8.7627,0.022451,0.0039952,0.012554,0.0097553,0.0042037,0.024541
0.033266,0.30154,0.5,8.7627,-0.032945,-0.0447,1.0798,0.30154,0.5,8.7627,0.02503,0.0040518,0.014225,0.011678,0.0050013,0.029823
0.038768,0.32572,0.5,8.7627,-0.032301,-0.045324,1.0411,0.32572,0.5,8.7627,0.02762,0.0040416,0.015735,0.014445,0.0058056,0.035472
0.043492,0.34887,0.5,8.7627,-0.031825,-0.044194,0.99739,0.34887,0.5,8.7627,0.030284,0.0039385,0.01811,0.016583,0.0059758,0.040118
0.046929,0.37102,0.5,8.7627,-0.031658,-0.041527,0.95706,0.37102,0.5,8.7627,0.032946,0.0032438,0.01993,0.017175,0.00548,0.043738
0.050509,0.39221,0.5,8.7627,-0.032531,-0.039328,0.91863,0.39221,0.5,8.7627,0.035491,0.0026045,0.021403,0.018198,0.0057027,0.04733
0.053519,0.41248,0.5,8.7627,-0.033987,-0.035573,0.87931,0.41248,0.5,8.7627,0.037669,0.0027976,0.023071,0.019536,0.0059183,0.049833
0.055747,0.43187,0.5,8.7627,-0.035727,-0.029354,0.84431,0.43187,0.5,8.7627,0.039075,0.0035709,0.024563,0.02075,0.0057345,0.051669
0.056034,0.4504,0.5,8.7627,-0.039225,-0.024381,0.81403,0.4504,0.5,8.7627,0.039724,0.0038778,0.024851,0.021088,0.0056421,0.051256
0.055211,0.46812,0.5,8.7627,-0.045003,-0.022034,0.78624,0.46812,0.5,8.7627,0.039833,0.0036503,0.023556,0.020981,0.005202,0.049607
0.05459,0.48504,0.5,8.7627,-0.050779,-0.019691,0.75795,0.48504,0.5,8.7627,0.039448,0.0033234,0.022399,0.021209,0.005405,0.048523
0.05401,0.50122,0.5,8.7627,-0.055331,-0.01722,0.73257,0.50122,0.5,8.7627,0.038915,0.0031652,0.021565,0.020889,0.0059823,0.048216
0.053304,0.51667,0.5,8.7627,-0.058899,-0.016854,0.71031,0.51667,0.5,8.7627,0.038541,0.0033863,0.020667,0.020727,0.0058563,0.047339
0.051696,0.53142,0.5,8.7627,-0.062379,-0.020122,0.69019,0.53142,0.5,8.7627,0.038366,0.0040456,0.019765,0.020361,0.0061916,0.044665
0.050554,0.54551,0.5,8.7627,-0.066798,-0.023333,0.67191,0.54551,0.5,8.7627,0.038756,0.0043991,0.018421,0.020131,0.0068253,0.042221
0.050605,0.55896,0.5,8.7627,-0.071432,-0.025277,0.65905,0.55896,0.5,8.7627,0.039591,0.0044052,0.016778,0.020975,0.0067693,0.040644
0.050651,0.5718,0.5,8.7627,-0.075292,-0.027796,0.64749,0.5718,0.5,8.7627,0.040249,0.004725,0.015257,0.021585,0.0068618,0.039469
0.050566,0.58405,0.5,8.7627,-0.07865,-0.02762,0.63702,0.58405,0.5,8.7627,0.040653,0.0052792,0.013794,0.021823,0.0066952,0.038656
0.050164,0.59575,0.5,8.7627,-0.08243,-0.025929,0.62951,0.59575,0.5,8.7627,0.040905,0.0056776,0.012366,0.022013,0.0059403,0.03741
0.049692,0.6069,0.5,8.7627,-0.087545,-0.023979,0.62482,0.6069,0.5,8.7627,0.041155,0.0057509,0.01112,0.022507,0.0050802,0.035723
0.04949,0.61755,0.5,8.7627,-0.093294,-0.021723,0.62301,0.61755,0.5,8.7627,0.041402,0.0053752,0.0096608,0.023369,0.003949,0.03421
0.049097,0.6277,0.5,8.7627,-0.097904,-0.020072,0.62141,0.6277,0.5,8.7627,0.041182,0.0047057,0.0082255,0.023896,0.0028976,0.033117
0.048381,0.63738,0.5,8.7627,-0.10099,-0.019815,0.61909,0.63738,0.5,8.7627,0.040445,0.0040839,0.0069746,0.024196,0.0023998,0.032121
0.047698,0.64661,0.5,8.7627,-0.10304,-0.019633,0.61576,0.64661,0.5,8.7627,0.03974,0.0033047,0.0057408,0.024282,0.0020102,0.031373
0.047283,0.65542,0.5,8.7627,-0.10481,-0.019142,0.61339,0.65542,0.5,8.7627,0.039346,0.002497,0.0045242,0.024208,0.0015754,0.031012
0.046849,0.66381,0.5,8.7627,-0.10668,-0.018221,0.61144,0.66381,0.5,8.7627,0.038992,0.0018009,0.0036775,0.024173,0.0013956,0.030532
0.046539,0.67207,0.5,8.7627,-0.10846,-0.016095,0.60984,0.67207,0.5,8.7627,0.038414,0.0011952,0.0031563,0.024577,0.0013056,0.030086
0.046619,0.68032,0.5,8.7627,-0.11023,-0.014164,0.60895,0.68032,0.5,8.7627,0.037746,0.00095971,0.0027631,0.025574,0.0014284,0.029919
0.046593,0.68858,0.5,8.7627,-0.11207,-0.012991,0.60899,0.68858,0.5,8.7627,0.037255,0.00084634,0.0024066,0.026192,0.0012826,0.02974
0.046509,0.69683,0.5,8.7627,-0.11383,-0.011218,0.61029,0.69683,0.5,8.7627,0.036977,0.00073901,0.0020184,0.026512,0.00078245,0.029528
0.046476,0.70509,0.5,8.7627,-0.11524,-0.0089931,0.61188,0.70509,0.5,8.7627,0.03673,0.00080017,0.001583,0.026826,0.00036655,0.029396
0.046404,0.71335,0.5,8.7627,-0.11632,-0.0072271,0.61226,0.71335,0.5,8.7627,0.036441,0.0007044,0.0011915,0.02704,0.00019163,0.029325
0.045986,0.7216,0.5,8.7627,-0.11744,-0.0060948,0.61165,0.7216,0.5,8.7627,0.036194,0.00057427,0.00093327,0.026772,-4.6285e-05,0.029006
0.045586,0.72986,0.5,8.7627,-0.11889,-0.0048862,0.61299,0.72986,0.5,8.7627,0.03608,0.00056786,0.00057523,0.026352,-0.00052381,0.028741
0.045503,0.73811,0.5,8.7627,-0.12042,-0.0047778,0.61699,0.73811,0.5,8.7627,0.036141,0.00077587,0.00021089,0.026303,-0.0010257,0.028563
0.045578,0.74637,0.5,8.7627,-0.12133,-0.0041155,0.62265,0.74637,0.5,8.7627,0.036414,0.0011799,-4.3789e-05,0.026503,-0.0016098,0.028239
0.045949,0.75463,0.5,8.7627,-0.12163,-0.0012378,0.62928,0.75463,0.5,8.7627,0.036907,0.0016797,-0.00026441,0.027019,-0.002004,0.027971
0.046434,0.76288,0.5,8.7627,-0.1219,0.001598,0.6381,0.76288,0.5,8.7627,0.037552,0.0022105,-0.00051208,0.027581,-0.0020906,0.027735
0.046861,0.77114,0.5,8.7627,-0.12235,0.0047116,0.64674,0.77114,0.5,8.7627,0.038105,0.0027782,-0.00086196,0.028052,-0.0019826,0.027565
0.047065,0.7794,0.5,8.7627,-0.12285,0.008819,0.65467,0.7794,0.5,8.7627,0.038294,0.0035754,-0.0012865,0.028381,-0.0017039,0.027456
0.047348,0.78765,0.5,8.7627,-0.12346,0.012404,0.66193,0.78765,0.5,8.7627,0.038067,0.0044501,-0.0018598,0.028822,-0.0011116,0.027807
0.047779,0.79591,0.5,8.7627,-0.12433,0.014888,0.66678,0.79591,0.5,8.7627,0.037508,0.0053299,-0.0024853,0.029392,-0.00045072,0.028657
