"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.04909,0.83719,0.5,8.7627,-0.12773,0.032042,0.69638,0.83719,0.5,8.7627,0.034793,0.0062261,-0.0048139,0.034349,0.0033126,0.029038
0.049047,0.84544,0.5,8.7627,-0.12748,0.036246,0.70334,0.84544,0.5,8.7627,0.034627,0.0060929,-0.0046522,0.0348,0.0040131,0.028667
0.048955,0.8537,0.5,8.7627,-0.12689,0.041746,0.71046,0.8537,0.5,8.7627,0.034494,0.0061912,-0.0043274,0.035171,0.0042527,0.028245
0.049374,0.86196,0.5,8.7627,-0.12599,0.047926,0.71751,0.86196,0.5,8.7627,0.034369,0.0062904,-0.004052,0.035714,0.0043039,0.028666
0.050246,0.87021,0.5,8.7627,-0.12482,0.053929,0.72488,0.87021,0.5,8.7627,0.034169,0.0064748,-0.0038209,0.03655,0.0043693,0.029773
0.05083,0.87847,0.5,8.7627,-0.12417,0.059022,0.73297,0.87847,0.5,8.7627,0.033979,0.006806,-0.0035923,0.037296,0.0043926,0.030385
0.050542,0.88672,0.5,8.7627,-0.12419,0.063244,0.74198,0.88672,0.5,8.7627,0.033938,0.0070929,-0.0031573,0.037372,0.004516,0.029773
0.049709,0.89498,0.5,8.7627,-0.12394,0.068577,0.7506,0.89498,0.5,8.7627,0.033807,0.0071679,-0.0027684,0.03688,0.0045846,0.028731
0.049004,0.90324,0.5,8.7627,-0.12279,0.074269,0.7579,0.90324,0.5,8.7627,0.033344,0.0070188,-0.0025324,0.036337,0.0045309,0.028327
0.048566,0.91149,0.5,8.7627,-0.12062,0.079151,0.76452,0.91149,0.5,8.7627,0.03272,0.0069787,-0.0021865,0.035957,0.0043158,0.028456
0.048228,0.91975,0.5,8.7627,-0.11763,0.083153,0.77104,0.91975,0.5,8.7627,0.032065,0.0073021,-0.0016313,0.035728,0.0041029,0.028663
0.048264,0.92801,0.5,8.7627,-0.11432,0.08617,0.77788,0.92801,0.5,8.7627,0.031384,0.0078098,-0.0012271,0.036203,0.0040274,0.028942
