"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.066918,1.6711,0.5,8.7627,0.26674,-0.065986,0.68084,1.6711,0.5,8.7627,0.046484,-0.009827,0.0042099,0.046302,-0.01001,0.04105
0.06682,1.6793,0.5,8.7627,0.2657,-0.063716,0.6782,1.6793,0.5,8.7627,0.046747,-0.0098476,0.0032427,0.046099,-0.0094215,0.040794
0.066948,1.6876,0.5,8.7627,0.26389,-0.060735,0.6742,1.6876,0.5,8.7627,0.046912,-0.01007,0.0026254,0.046035,-0.009105,0.040948
0.067266,1.6958,0.5,8.7627,0.26204,-0.058331,0.67027,1.6958,0.5,8.7627,0.047309,-0.010528,0.0023295,0.045666,-0.0088668,0.041557
0.067717,1.7041,0.5,8.7627,0.26064,-0.057265,0.66682,1.7041,0.5,8.7627,0.048105,-0.01113,0.0021583,0.044998,-0.0086861,0.042332
0.068508,1.7123,0.5,8.7627,0.2598,-0.055857,0.66334,1.7123,0.5,8.7627,0.049141,-0.011832,0.0021891,0.044703,-0.0084227,0.043172
0.069665,1.7206,0.5,8.7627,0.25918,-0.052436,0.66095,1.7206,0.5,8.7627,0.050152,-0.012623,0.0023856,0.045089,-0.0079605,0.044088
0.070656,1.7289,0.5,8.7627,0.25802,-0.048224,0.65906,1.7289,0.5,8.7627,0.051077,-0.013194,0.0026766,0.044965,-0.0073311,0.045271
0.071192,1.7371,0.5,8.7627,0.25592,-0.044995,0.65644,1.7371,0.5,8.7627,0.051815,-0.013265,0.0027474,0.044206,-0.0064865,0.046364
0.07146,1.7454,0.5,8.7627,0.25319,-0.042145,0.65271,1.7454,0.5,8.7627,0.052232,-0.013038,0.0024379,0.043902,-0.0059189,0.046786
0.071729,1.7536,0.5,8.7627,0.24979,-0.038061,0.6478,1.7536,0.5,8.7627,0.052548,-0.012867,0.0022128,0.043736,-0.0058701,0.047174
0.071808,1.7619,0.5,8.7627,0.24529,-0.033199,0.64262,1.7619,0.5,8.7627,0.053077,-0.012928,0.0018853,0.042985,-0.0058444,0.047554
0.071568,1.7701,0.5,8.7627,0.24007,-0.028633,0.63707,1.7701,0.5,8.7627,0.053719,-0.013351,0.0013391,0.042095,-0.0056095,0.047321
0.071284,1.7784,0.5,8.7627,0.2349,-0.025549,0.63152,1.7784,0.5,8.7627,0.05427,-0.013833,0.0008499,0.041418,-0.005086,0.046881
0.070907,1.7866,0.5,8.7627,0.22991,-0.023277,0.62725,1.7866,0.5,8.7627,0.054965,-0.013963,0.00066901,0.040447,-0.004297,0.046403
0.07076,1.7949,0.5,8.7627,0.22497,-0.02018,0.62403,1.7949,0.5,8.7627,0.055875,-0.014186,0.00091143,0.039325,-0.0042346,0.046319
0.070448,1.8032,0.5,8.7627,0.22043,-0.016356,0.6222,1.8032,0.5,8.7627,0.056741,-0.014454,0.0013012,0.038177,-0.0045697,0.045978
0.070193,1.8114,0.5,8.7627,0.2165,-0.013835,0.62147,1.8114,0.5,8.7627,0.057561,-0.01464,0.0014718,0.037291,-0.0047312,0.045532
0.070185,1.8197,0.5,8.7627,0.21305,-0.011115,0.62112,1.8197,0.5,8.7627,0.058475,-0.014955,0.001583,0.03682,-0.0044095,0.045075
0.070832,1.8279,0.5,8.7627,0.20966,-0.0075339,0.62103,1.8279,0.5,8.7627,0.0595,-0.015425,0.0015322,0.037122,-0.0039933,0.045043
0.071987,1.8362,0.5,8.7627,0.20563,-0.0050495,0.62193,1.8362,0.5,8.7627,0.060752,-0.015821,0.0012163,0.037759,-0.0044269,0.045463
0.072963,1.8446,0.5,8.7627,0.20061,-0.0041223,0.62298,1.8446,0.5,8.7627,0.062238,-0.016139,0.00054495,0.038139,-0.0053412,0.045549
0.07377,1.8534,0.5,8.7627,0.19489,-0.0032292,0.62308,1.8534,0.5,8.7627,0.06352,-0.016366,-0.00021422,0.03825,-0.0059,0.04577
0.074324,1.8626,0.5,8.7627,0.1892,-0.0014034,0.62284,1.8626,0.5,8.7627,0.064445,-0.016479,-0.00081775,0.038031,-0.0058336,0.046173
0.074674,1.8723,0.5,8.7627,0.18343,0.00051515,0.62228,1.8723,0.5,8.7627,0.065045,-0.016953,-0.0015329,0.03767,-0.0050114,0.046633
0.074708,1.8824,0.5,8.7627,0.17722,0.0040214,0.62048,1.8824,0.5,8.7627,0.06505,-0.017805,-0.0026254,0.037205,-0.0039156,0.047159
0.074748,1.8931,0.5,8.7627,0.17133,0.0084949,0.61958,1.8931,0.5,8.7627,0.06481,-0.01859,-0.0039356,0.036905,-0.0038169,0.047781
0.075252,1.9042,0.5,8.7627,0.16602,0.01265,0.62161,1.9042,0.5,8.7627,0.064831,-0.018768,-0.0057997,0.03731,-0.0040159,0.048363
0.075547,1.9159,0.5,8.7627,0.16055,0.017016,0.62308,1.9159,0.5,8.7627,0.064944,-0.018798,-0.008251,0.037769,-0.0038929,0.04838
0.074886,1.9282,0.5,8.7627,0.15407,0.020104,0.62372,1.9282,0.5,8.7627,0.064963,-0.018353,-0.010282,0.035967,-0.0031797,0.048841
0.073911,1.941,0.5,8.7627,0.14583,0.020916,0.62579,1.941,0.5,8.7627,0.06474,-0.018143,-0.012119,0.034147,-0.0016575,0.048934
0.073512,1.9545,0.5,8.7627,0.13624,0.023565,0.63071,1.9545,0.5,8.7627,0.064591,-0.018536,-0.013829,0.033973,0.000232,0.048459
0.074347,1.9686,0.5,8.7627,0.1271,0.0258,0.63822,1.9686,0.5,8.7627,0.065336,-0.018989,-0.01511,0.033612,0.001503,0.049747
0.075608,1.9833,0.5,8.7627,0.11957,0.026532,0.64715,1.9833,0.5,8.7627,0.066395,-0.019908,-0.016035,0.033833,0.0021693,0.050989
0.076564,1.9988,0.5,8.7627,0.11421,0.029254,0.65766,1.9988,0.5,8.7627,0.066821,-0.020811,-0.016074,0.034348,0.0026994,0.051958
0.077003,2.0149,0.5,8.7627,0.10995,0.032092,0.6696,2.0149,0.5,8.7627,0.066876,-0.021404,-0.016027,0.034455,0.0028567,0.052676
