"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.043368,0.83719,0.5,6.2583,-0.16656,-0.023241,0.31362,0.83719,0.5,6.2583,0.036342,-0.0073529,0.0030672,0.0073833,0.00072496,0.043011
0.038975,0.84544,0.5,6.2583,-0.16026,-0.020488,0.30464,0.84544,0.5,6.2583,0.031567,-0.0065247,0.0026722,0.0071925,0.00093875,0.03919
0.035053,0.8537,0.5,6.2583,-0.15371,-0.016447,0.29547,0.8537,0.5,6.2583,0.027464,-0.005783,0.0024399,0.0071326,0.0010961,0.03551
0.031227,0.86196,0.5,6.2583,-0.14682,-0.013206,0.28267,0.86196,0.5,6.2583,0.02394,-0.0051995,0.0023859,0.0073489,0.0011332,0.031165
0.02886,0.87021,0.5,6.2583,-0.14047,-0.010167,0.27592,0.87021,0.5,6.2583,0.020965,-0.0046265,0.0021784,0.0072129,0.0013742,0.029543
0.026199,0.87847,0.5,6.2583,-0.1344,-0.0072522,0.26431,0.87847,0.5,6.2583,0.018439,-0.0041379,0.0020766,0.0071888,0.0015059,0.026769
0.023974,0.88672,0.5,6.2583,-0.1288,-0.0052451,0.25625,0.88672,0.5,6.2583,0.01625,-0.0037317,0.0016718,0.0071471,0.001675,0.02455
0.022219,0.89498,0.5,6.2583,-0.12321,-0.0024491,0.24935,0.89498,0.5,6.2583,0.01447,-0.0034186,0.0017109,0.0070584,0.0018974,0.02291
0.020628,0.90324,0.5,6.2583,-0.11826,0.00075581,0.24323,0.90324,0.5,6.2583,0.01299,-0.0030208,0.0016467,0.0071168,0.0019782,0.021149
0.019229,0.91149,0.5,6.2583,-0.11402,0.0035853,0.23872,0.91149,0.5,6.2583,0.011677,-0.0025674,0.0017237,0.0071468,0.0019035,0.019635
0.018011,0.91975,0.5,6.2583,-0.10949,0.0046961,0.2319,0.91975,0.5,6.2583,0.010495,-0.002098,0.0016426,0.0070497,0.0018172,0.018477
0.016801,0.92801,0.5,6.2583,-0.10442,0.0042204,0.22429,0.92801,0.5,6.2583,0.009427,-0.0017034,0.0013875,0.0069055,0.0018705,0.017269
0.015779,0.93626,0.5,6.2583,-0.098926,0.0026766,0.21687,0.93626,0.5,6.2583,0.0085327,-0.0014166,0.0011728,0.0067755,0.0020642,0.016251
0.014894,0.94452,0.5,6.2583,-0.093557,0.0022765,0.21062,0.94452,0.5,6.2583,0.0077636,-0.0011236,0.0009772,0.0065402,0.0022818,0.015484
