"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.066256,1.6711,0.5,6.2583,0.088349,-0.061518,0.30759,1.6711,0.5,6.2583,0.066347,0.0012311,-0.00032333,0.010037,0.0023689,0.056128
0.072403,1.6793,0.5,6.2583,0.090476,-0.066796,0.29845,1.6793,0.5,6.2583,0.072862,0.0015699,-0.001255,0.011003,0.0022598,0.060939
0.078165,1.6876,0.5,6.2583,0.093896,-0.069228,0.2851,1.6876,0.5,6.2583,0.080686,0.0018505,-0.0017942,0.011331,0.0025259,0.064314
0.084869,1.6958,0.5,6.2583,0.099329,-0.069485,0.24924,1.6958,0.5,6.2583,0.090454,0.0017263,-0.0018284,0.011656,0.0028404,0.067628
0.08471,1.7041,0.5,6.2583,0.10548,-0.069901,0.19045,1.7041,0.5,6.2583,0.099976,0.0013218,-0.0015878,0.011952,0.0020813,0.057492
0.099319,1.7123,0.5,6.2583,0.10804,-0.068528,0.047792,1.7123,0.5,6.2583,0.10591,0.0012251,0.00090663,0.0114,-0.00061891,0.081326
0.234,1.7206,0.5,6.2583,0.10612,-0.063137,-0.21115,1.7206,0.5,6.2583,0.099917,0.00083273,0.02297,0.010458,-0.0099381,0.35763
0.36909,1.7289,0.5,6.2583,0.093215,-0.058204,-0.46594,1.7289,0.5,6.2583,0.0808,0.00029581,0.050148,0.0098482,-0.018517,0.64752
0.41411,1.7371,0.5,6.2583,0.06921,-0.056287,-0.63764,1.7371,0.5,6.2583,0.057716,5.5529e-05,0.065645,0.010042,-0.020692,0.76046
0.44719,1.7454,0.5,6.2583,0.068483,-0.058032,-0.7663,1.7454,0.5,6.2583,0.035239,0.00094516,0.026774,0.01046,-0.023358,0.84868
0.30681,1.7536,0.5,6.2583,0.066804,-0.076301,-0.66699,1.7536,0.5,6.2583,0.030282,0.0017277,-0.014346,0.012279,-0.015364,0.57107
0.11626,1.7619,0.5,6.2583,0.051246,-0.1063,-0.38382,1.7619,0.5,6.2583,0.034912,0.0014645,-0.0090134,0.016892,-0.0028322,0.18071
0.08021,1.7701,0.5,6.2583,0.055602,-0.13085,-0.18262,1.7701,0.5,6.2583,0.032629,0.00081956,-0.0091604,0.022827,-0.00072687,0.10496
0.090877,1.7784,0.5,6.2583,0.077086,-0.14607,-0.0041838,1.7784,0.5,6.2583,0.030198,-0.0003166,-0.0083533,0.026464,-0.0020362,0.12509
0.097195,1.7866,0.5,6.2583,0.11676,-0.14523,0.19321,1.7866,0.5,6.2583,0.027512,-0.00094354,-0.0046943,0.026341,-0.0019101,0.14054
0.095309,1.7949,0.5,6.2583,0.16893,-0.13367,0.4008,1.7949,0.5,6.2583,0.024491,-0.0011038,-0.0015337,0.02462,-0.00086286,0.14151
0.082929,1.8032,0.5,6.2583,0.22407,-0.12231,0.59391,1.8032,0.5,6.2583,0.02117,-0.0013213,-0.0011117,0.022166,-0.00061494,0.12252
0.065126,1.8114,0.5,6.2583,0.27266,-0.11681,0.74887,1.8114,0.5,6.2583,0.017881,-0.001194,-0.0026365,0.018629,0.00030129,0.093742
