"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0047478,0.030909,0.5,3.7698,-0.0024143,0.0049003,0.75113,0.030909,0.5,3.7698,0.00033954,0.00014434,-0.00021806,0.0022412,0.00085962,0.0069148
0.0053153,0.066184,0.5,3.7698,-0.0039881,0.012356,0.86754,0.066184,0.5,3.7698,0.00078516,0.00022466,-0.00029928,0.00244,0.0012639,0.0074054
0.0051641,0.10006,0.5,3.7698,-0.0046358,0.016659,0.90872,0.10006,0.5,3.7698,0.0010246,0.00017653,-0.00049359,0.0023352,0.0012818,0.0069684
0.0051746,0.13258,0.5,3.7698,-0.0070811,0.0083984,0.93714,0.13258,0.5,3.7698,0.0011258,0.00035568,-0.0002348,0.0020619,0.00118,0.0071615
0.0038605,0.16379,0.5,3.7698,-0.010727,-0.0011797,0.98541,0.16379,0.5,3.7698,0.0010226,0.00040848,0.00016392,0.0011496,0.00069713,0.0055488
0.0024095,0.19372,0.5,3.7698,-0.013193,-0.012906,1.0187,0.19372,0.5,3.7698,0.00074138,0.00010198,-8.915e-05,0.0006892,-0.00014338,0.0033884
0.0019355,0.22242,0.5,3.7698,-0.01418,-0.016707,1.0352,0.22242,0.5,3.7698,0.00055694,1.638e-05,-0.00018071,0.00091757,-0.00016076,0.0023965
0.0023535,0.24993,0.5,3.7698,-0.014086,-0.011827,1.0447,0.24993,0.5,3.7698,0.00059972,0.0001542,-0.00027122,0.0012793,-0.00038133,0.002828
0.0024001,0.27629,0.5,3.7698,-0.013818,-0.011694,1.0556,0.27629,0.5,3.7698,0.00070406,0.00025121,-0.00035278,0.0010587,-0.00085419,0.0030374
0.0019475,0.30154,0.5,3.7698,-0.016243,-0.010616,1.0683,0.30154,0.5,3.7698,0.00073777,0.00036555,-0.00050471,0.00083225,-0.00082655,0.002325
