"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0031665,0.83719,0.5,3.7698,-0.018205,-0.0048509,1.0191,0.83719,0.5,3.7698,0.0012833,0.00012974,8.6502e-05,0.0030787,-0.0016504,0.0019711
0.0034117,0.84544,0.5,3.7698,-0.017552,-0.0064608,1.0179,0.84544,0.5,3.7698,0.0012949,1.7138e-05,0.00014398,0.0031164,-0.0018628,0.002412
0.0034277,0.8537,0.5,3.7698,-0.017103,-0.0087115,1.0171,0.8537,0.5,3.7698,0.0012933,-8.0665e-05,0.0001818,0.0029862,-0.0018305,0.002576
0.0032733,0.86196,0.5,3.7698,-0.016968,-0.010652,1.0172,0.86196,0.5,3.7698,0.0012664,-0.0001232,0.00020249,0.0027672,-0.0015438,0.0025131
0.0031176,0.87021,0.5,3.7698,-0.017213,-0.011405,1.0178,0.87021,0.5,3.7698,0.001227,-0.00012034,0.00019472,0.0025972,-0.0012108,0.0024109
0.0030107,0.87847,0.5,3.7698,-0.01789,-0.011182,1.0196,0.87847,0.5,3.7698,0.0011944,-0.00010235,0.00015311,0.0025224,-0.0010019,0.0023047
0.0029525,0.88672,0.5,3.7698,-0.018954,-0.010493,1.0225,0.88672,0.5,3.7698,0.0011746,-7.3767e-05,7.2756e-05,0.0025123,-0.00093561,0.002218
0.0029367,0.89498,0.5,3.7698,-0.020081,-0.0093533,1.025,0.89498,0.5,3.7698,0.0011632,-3.4598e-05,-3.8495e-05,0.0025156,-0.00091819,0.0021946
0.0029325,0.90324,0.5,3.7698,-0.020818,-0.0077395,1.0259,0.90324,0.5,3.7698,0.0011566,-3.0747e-06,-0.00013192,0.0024826,-0.00091758,0.0022257
0.002914,0.91149,0.5,3.7698,-0.020987,-0.0060792,1.0248,0.91149,0.5,3.7698,0.0011572,1.4829e-05,-0.00016938,0.0024021,-0.00096016,0.0022686
0.0028933,0.91975,0.5,3.7698,-0.020747,-0.0048248,1.022,0.91975,0.5,3.7698,0.0011692,3.2702e-05,-0.00015674,0.0023121,-0.001026,0.0023054
0.0029064,0.92801,0.5,3.7698,-0.020314,-0.0040051,1.0191,0.92801,0.5,3.7698,0.0011915,5.9077e-05,-0.00013653,0.0022638,-0.0010856,0.0023576
0.0029569,0.93626,0.5,3.7698,-0.019801,-0.0035271,1.0175,0.93626,0.5,3.7698,0.0012237,8.9734e-05,-0.00013803,0.0022688,-0.001157,0.0024212
0.0030105,0.94452,0.5,3.7698,-0.019254,-0.0035026,1.0168,0.94452,0.5,3.7698,0.0012744,0.00012332,-0.0001576,0.0022903,-0.0012396,0.0024563
0.0030481,0.95277,0.5,3.7698,-0.01872,-0.0039714,1.0162,0.95277,0.5,3.7698,0.0013559,0.00016335,-0.00017025,0.0022779,-0.0012887,0.0024624
0.0031216,0.96103,0.5,3.7698,-0.018264,-0.0046074,1.0147,0.96103,0.5,3.7698,0.0014652,0.00020507,-0.00013496,0.0022301,-0.0013108,0.0025478
0.0032423,0.96929,0.5,3.7698,-0.017901,-0.0049208,1.0125,0.96929,0.5,3.7698,0.0015636,0.00023835,-8.2129e-05,0.0022096,-0.001329,0.0027115
0.003323,0.97754,0.5,3.7698,-0.017573,-0.0045817,1.0094,0.97754,0.5,3.7698,0.0016014,0.00026414,-6.3758e-05,0.0022631,-0.0013355,0.0027816
0.0033618,0.9858,0.5,3.7698,-0.017301,-0.0040399,1.004,0.9858,0.5,3.7698,0.0015765,0.0002952,-5.8269e-05,0.0023724,-0.0013687,0.0027748
0.0034608,0.99405,0.5,3.7698,-0.01718,-0.0043698,0.99595,0.99405,0.5,3.7698,0.0015274,0.00033658,-1.8433e-05,0.0024568,-0.0014866,0.0029374
0.0036106,1.0023,0.5,3.7698,-0.017222,-0.0055953,0.98817,1.0023,0.5,3.7698,0.0014836,0.0003736,8.6034e-05,0.0024423,-0.0016221,0.0032952
