"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0016541,1.6711,0.5,3.7698,0.0049589,0.010392,0.94967,1.6711,0.5,3.7698,0.0012787,-0.00021186,8.9451e-05,0.00099197,-0.0005299,0.0010374
0.0015434,1.6793,0.5,3.7698,0.0041114,0.01069,0.95324,1.6793,0.5,3.7698,0.0011938,-0.0001807,9.915e-05,0.00096022,-0.00044742,0.00093273
0.0014515,1.6876,0.5,3.7698,0.0031635,0.011142,0.95727,1.6876,0.5,3.7698,0.0011108,-0.00017587,7.8509e-05,0.00094508,-0.00035721,0.00084716
0.001408,1.6958,0.5,3.7698,0.0021144,0.011976,0.96187,1.6958,0.5,3.7698,0.0010447,-0.00017481,5.163e-05,0.00095543,-0.00031119,0.0008158
0.0013903,1.7041,0.5,3.7698,0.00093669,0.013151,0.96679,1.7041,0.5,3.7698,0.00099236,-0.00015618,4.0202e-05,0.00097068,-0.00028778,0.00081755
0.0013495,1.7123,0.5,3.7698,-0.0003579,0.013506,0.97118,1.7123,0.5,3.7698,0.00094752,-0.0001328,3.5442e-05,0.00093974,-0.00023984,0.00081182
0.0012702,1.7206,0.5,3.7698,-0.001662,0.012013,0.97422,1.7206,0.5,3.7698,0.00091091,-0.00012646,1.7904e-05,0.00085747,-0.00017449,0.00077197
0.0011843,1.7289,0.5,3.7698,-0.00284,0.00929,0.97573,1.7289,0.5,3.7698,0.00088429,-0.00013509,-1.0374e-05,0.0007715,-0.00015198,0.00071283
0.0011459,1.7371,0.5,3.7698,-0.0038016,0.0067347,0.97705,1.7371,0.5,3.7698,0.00086464,-0.00014104,-3.7409e-05,0.00072697,-0.00019533,0.0007001
0.0012028,1.7454,0.5,3.7698,-0.0045571,0.0052055,0.97933,1.7454,0.5,3.7698,0.00084716,-0.00013016,-6.4087e-05,0.0007311,-0.00023901,0.00082724
0.0013401,1.7536,0.5,3.7698,-0.0052461,0.0048337,0.98169,1.7536,0.5,3.7698,0.00082777,-0.00010566,-7.8302e-05,0.00074783,-0.00020028,0.0011047
0.0014561,1.7619,0.5,3.7698,-0.0060914,0.0050852,0.98347,1.7619,0.5,3.7698,0.00080323,-8.0806e-05,-7.3631e-05,0.000737,-0.00010694,0.001372
0.0014545,1.7701,0.5,3.7698,-0.007297,0.0048007,0.98494,1.7701,0.5,3.7698,0.00077619,-5.8338e-05,-7.9056e-05,0.00070381,-5.8682e-05,0.001429
0.0013593,1.7784,0.5,3.7698,-0.0088388,0.0034441,0.98689,1.7784,0.5,3.7698,0.00075381,-3.1704e-05,-8.8896e-05,0.00067846,-4.5997e-05,0.0012863
0.001267,1.7866,0.5,3.7698,-0.010402,0.0019331,0.99038,1.7866,0.5,3.7698,0.00072925,3.436e-06,-6.113e-05,0.00067036,8.396e-06,0.0011343
0.0012101,1.7949,0.5,3.7698,-0.011669,0.00077619,0.99541,1.7949,0.5,3.7698,0.00068592,3.9517e-05,-1.5175e-05,0.00065011,8.1608e-05,0.0010842
0.0012214,1.8032,0.5,3.7698,-0.012524,-0.00080544,0.9994,1.8032,0.5,3.7698,0.00063193,5.7318e-05,1.5049e-06,0.00060341,0.00010229,0.0012075
0.0013207,1.8114,0.5,3.7698,-0.013095,-0.0031429,0.9987,1.8114,0.5,3.7698,0.00059835,4.6258e-05,-5.1683e-06,0.0005879,9.2111e-05,0.0014551
0.0014551,1.8197,0.5,3.7698,-0.013684,-0.0048512,0.99333,1.8197,0.5,3.7698,0.00060229,2.816e-05,8.3184e-06,0.00059879,6.8459e-05,0.0017092
0.0016221,1.8279,0.5,3.7698,-0.014364,-0.0042336,0.98727,1.8279,0.5,3.7698,0.0006336,2.3784e-05,3.0371e-05,0.00058973,-6.7877e-05,0.0020209
0.0017924,1.8362,0.5,3.7698,-0.014891,-0.0019903,0.98351,1.8362,0.5,3.7698,0.00067292,2.5727e-05,-2.1176e-06,0.00061125,-0.00034171,0.0023006
0.0018943,1.8446,0.5,3.7698,-0.015099,-0.00021736,0.98128,1.8446,0.5,3.7698,0.00070767,2.7926e-05,-3.5857e-05,0.000683,-0.00059954,0.0023979
0.0019536,1.8534,0.5,3.7698,-0.014982,0.00067441,0.9792,1.8534,0.5,3.7698,0.00073404,3.6986e-05,1.0833e-05,0.00078235,-0.00077552,0.0023907
0.0020769,1.8626,0.5,3.7698,-0.014641,0.0017815,0.97734,1.8626,0.5,3.7698,0.00075422,5.0291e-05,0.00010151,0.00096367,-0.00095258,0.0024359
0.0023059,1.8723,0.5,3.7698,-0.014352,0.003679,0.97624,1.8723,0.5,3.7698,0.00077093,4.3983e-05,0.0002042,0.0012283,-0.0011624,0.0026125
0.0025592,1.8824,0.5,3.7698,-0.014256,0.0053056,0.97542,1.8824,0.5,3.7698,0.000792,-1.0234e-05,0.00034203,0.0013652,-0.0013768,0.0029612
0.0027326,1.8931,0.5,3.7698,-0.014056,0.0060784,0.97406,1.8931,0.5,3.7698,0.00082803,-0.00010584,0.00053677,0.0012615,-0.0014746,0.0033757
0.0027008,1.9042,0.5,3.7698,-0.013564,0.0069854,0.97297,1.9042,0.5,3.7698,0.00086298,-0.00019221,0.00066965,0.0011445,-0.0013389,0.0033942
0.0026492,1.9159,0.5,3.7698,-0.013065,0.0075707,0.97379,1.9159,0.5,3.7698,0.00088087,-0.00022352,0.00065845,0.0011958,-0.0011859,0.0032217
0.0027393,1.9282,0.5,3.7698,-0.012551,0.0082885,0.9752,1.9282,0.5,3.7698,0.0009032,-0.00018902,0.00056867,0.0013225,-0.0011524,0.0032529
0.0027049,1.941,0.5,3.7698,-0.011573,0.010438,0.9761,1.941,0.5,3.7698,0.00093083,-0.00012614,0.00039289,0.0013827,-0.0010331,0.0030962
0.0025725,1.9545,0.5,3.7698,-0.010194,0.012944,0.97907,1.9545,0.5,3.7698,0.00093392,-5.5534e-05,0.0001955,0.0013505,-0.00086209,0.0028605
