"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0043441,0.030909,0.5,1.2756,0.0003683,0.0085479,0.72497,0.030909,0.5,1.2756,0.00018835,0.00012742,-0.00048517,0.0020502,-0.00047586,0.0064497
0.0056857,0.066184,0.5,1.2756,0.0021052,0.0097546,0.82013,0.066184,0.5,1.2756,0.00058175,0.00018722,-0.00075966,0.0020964,0.00073102,0.0086933
0.0050403,0.10006,0.5,1.2756,0.0020237,-0.0058583,0.87278,0.10006,0.5,1.2756,0.00082256,0.00035394,-0.00030337,0.0019026,0.0018036,0.0073554
0.0044404,0.13258,0.5,1.2756,-0.00084367,-0.02023,0.93208,0.13258,0.5,1.2756,0.00063803,0.00036472,-0.000386,0.0016345,0.00051469,0.0066083
0.003879,0.16379,0.5,1.2756,-0.0013811,-0.014484,0.97451,0.16379,0.5,1.2756,0.00041574,0.00016908,-0.00061281,0.0011674,-0.00058135,0.0061748
0.0022911,0.19372,0.5,1.2756,-0.0018595,-0.011894,1.0141,0.19372,0.5,1.2756,0.00044601,0.00017183,-8.3099e-05,0.00091153,-0.00018316,0.0032247
0.0017487,0.22242,0.5,1.2756,-0.0039761,-0.014,1.0349,0.22242,0.5,1.2756,0.00048615,0.00017479,0.00010624,0.00084291,0.00032409,0.0021683
0.001687,0.24993,0.5,1.2756,-0.0060533,-0.014158,1.0506,0.24993,0.5,1.2756,0.00047215,0.00013123,-4.5142e-05,0.00097152,0.00017421,0.0019303
0.0014464,0.27629,0.5,1.2756,-0.0093599,-0.015788,1.0645,0.27629,0.5,1.2756,0.00045774,7.8864e-05,-0.00022849,0.000778,6.6715e-05,0.001657
0.0014255,0.30154,0.5,1.2756,-0.012638,-0.013601,1.0592,0.30154,0.5,1.2756,0.00038351,6.4591e-05,-0.00017652,0.0008345,0.00024529,0.0016331
0.001572,0.32572,0.5,1.2756,-0.012541,-0.0083649,1.0535,0.32572,0.5,1.2756,0.0003727,0.00014922,-0.00018369,0.001062,-0.00014551,0.0017094
0.00185,0.34887,0.5,1.2756,-0.01193,-0.0090704,1.0664,0.34887,0.5,1.2756,0.00045452,0.00024861,-0.00018394,0.00092924,-0.0004938,0.0023161
0.001803,0.37102,0.5,1.2756,-0.015164,-0.013276,1.0697,0.37102,0.5,1.2756,0.00049699,0.00028397,-0.00021174,0.00068923,-0.00043898,0.0024199
0.0014275,0.39221,0.5,1.2756,-0.020265,-0.018118,1.0691,0.39221,0.5,1.2756,0.0005405,0.00035041,-0.0003264,0.00070681,-0.0003823,0.0016078
0.0013621,0.41248,0.5,1.2756,-0.02505,-0.020304,1.068,0.41248,0.5,1.2756,0.00062892,0.00038559,-0.00032172,0.00071949,-0.00037081,0.0013757
0.0015849,0.43187,0.5,1.2756,-0.029559,-0.017904,1.0703,0.43187,0.5,1.2756,0.00075713,0.00022965,-0.00028989,0.00060259,-0.00048104,0.0018101
0.0018342,0.4504,0.5,1.2756,-0.032885,-0.014558,1.0755,0.4504,0.5,1.2756,0.000903,5.6813e-06,-5.6835e-05,0.00060166,-0.00048209,0.0021638
0.0018834,0.46812,0.5,1.2756,-0.033899,-0.013227,1.0702,0.46812,0.5,1.2756,0.0010028,-8.5464e-05,-0.00016658,0.0005878,-0.00048129,0.0021761
0.0018901,0.48504,0.5,1.2756,-0.033276,-0.012035,1.0697,0.48504,0.5,1.2756,0.0010456,-0.00010013,-0.00039136,0.00057628,-0.00052617,0.0021583
0.0018588,0.50122,0.5,1.2756,-0.031959,-0.012026,1.0705,0.50122,0.5,1.2756,0.0010911,-0.00012264,-0.00039361,0.00069698,-0.00051008,0.0019296
0.0016749,0.51667,0.5,1.2756,-0.031285,-0.014132,1.0761,0.51667,0.5,1.2756,0.0011417,-9.4979e-05,-0.0002824,0.00076014,-0.00033476,0.0014481
0.0015124,0.53142,0.5,1.2756,-0.032552,-0.014788,1.0795,0.53142,0.5,1.2756,0.0011537,-6.3048e-05,-0.00018303,0.00081105,-0.00018288,0.0010599
0.0015604,0.54551,0.5,1.2756,-0.034684,-0.013758,1.0782,0.54551,0.5,1.2756,0.0011783,-5.3729e-05,-0.00035643,0.00077132,-8.3396e-05,0.0011712
0.0017477,0.55896,0.5,1.2756,-0.036205,-0.011674,1.0797,0.55896,0.5,1.2756,0.0012734,-0.00010456,-0.00038921,0.00079456,-0.00010176,0.0014274
0.0020445,0.5718,0.5,1.2756,-0.036769,-0.0093364,1.0783,0.5718,0.5,1.2756,0.0014114,-0.00024942,-0.00020404,0.0011094,-0.00037861,0.0015682
0.0023334,0.58405,0.5,1.2756,-0.036364,-0.0089407,1.0773,0.58405,0.5,1.2756,0.0015246,-0.00032115,-7.8516e-05,0.0014666,-0.00062763,0.0016755
0.0024206,0.59575,0.5,1.2756,-0.035452,-0.010598,1.0769,0.59575,0.5,1.2756,0.0015454,-0.00028989,1.212e-05,0.0015875,-0.00059826,0.0017084
0.002276,0.6069,0.5,1.2756,-0.034698,-0.013235,1.0766,0.6069,0.5,1.2756,0.0014928,-0.00022256,-1.4551e-05,0.0015345,-0.00049871,0.0015248
0.002042,0.61755,0.5,1.2756,-0.034403,-0.015439,1.0762,0.61755,0.5,1.2756,0.0014515,-0.00016674,8.3663e-05,0.0014468,-0.00044542,0.0011856
0.0019152,0.6277,0.5,1.2756,-0.034408,-0.017238,1.0774,0.6277,0.5,1.2756,0.0014586,-0.00015652,0.00018842,0.0014043,-0.00044055,0.00096741
0.0018844,0.63738,0.5,1.2756,-0.034559,-0.020011,1.0785,0.63738,0.5,1.2756,0.0015016,-0.00015813,0.00027435,0.0013949,-0.00034885,0.00087239
0.0018596,0.64661,0.5,1.2756,-0.03471,-0.023717,1.08,0.64661,0.5,1.2756,0.0015686,-0.0001742,0.00042218,0.0012898,-0.00024547,0.00086083
0.0018444,0.65542,0.5,1.2756,-0.034767,-0.027616,1.0822,0.65542,0.5,1.2756,0.0016471,-0.00019379,0.00055515,0.001106,-0.00021268,0.00093568
0.0018372,0.66381,0.5,1.2756,-0.035069,-0.030683,1.0812,0.66381,0.5,1.2756,0.0017274,-0.00021871,0.00071904,0.00091117,-0.00016341,0.0010358
