"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0031059,0.83719,0.5,1.2756,-0.021518,-0.025505,1.0388,0.83719,0.5,1.2756,0.0017839,-0.0005755,0.00085078,0.002417,-0.001374,0.0020109
0.0029756,0.84544,0.5,1.2756,-0.019115,-0.024456,1.0376,0.84544,0.5,1.2756,0.0018481,-0.00038899,0.00079312,0.002246,-0.0012506,0.001857
0.0028422,0.8537,0.5,1.2756,-0.016935,-0.023405,1.0362,0.8537,0.5,1.2756,0.0019417,-0.00022956,0.00073097,0.0020306,-0.001068,0.0017121
0.0026987,0.86196,0.5,1.2756,-0.01523,-0.02245,1.0351,0.86196,0.5,1.2756,0.0020545,-0.0001041,0.0006845,0.0017581,-0.00087387,0.0015848
0.0025706,0.87021,0.5,1.2756,-0.013972,-0.021483,1.0345,0.87021,0.5,1.2756,0.0021622,-6.8587e-06,0.00065029,0.0015107,-0.00069705,0.0014683
0.0024767,0.87847,0.5,1.2756,-0.012932,-0.020173,1.034,0.87847,0.5,1.2756,0.0022326,6.7988e-05,0.00062527,0.0013608,-0.00056121,0.0013599
0.0023942,0.88672,0.5,1.2756,-0.011989,-0.018403,1.0346,0.88672,0.5,1.2756,0.0022445,0.00011721,0.00061322,0.0013075,-0.00045816,0.0012364
0.0023004,0.89498,0.5,1.2756,-0.011226,-0.0162,1.0372,0.89498,0.5,1.2756,0.0022024,0.00013329,0.00060784,0.0012973,-0.00036184,0.0011011
0.0022184,0.90324,0.5,1.2756,-0.010708,-0.013773,1.0408,0.90324,0.5,1.2756,0.0021343,0.00012519,0.0005886,0.001277,-0.00028664,0.0010254
0.0021643,0.91149,0.5,1.2756,-0.010363,-0.011779,1.0443,0.91149,0.5,1.2756,0.0020706,0.00012498,0.00053766,0.0012239,-0.00025556,0.0010341
0.0021064,0.91975,0.5,1.2756,-0.01007,-0.01082,1.0466,0.91975,0.5,1.2756,0.0020244,0.00015919,0.00046674,0.0011345,-0.00022857,0.001054
0.0020498,0.92801,0.5,1.2756,-0.0097471,-0.010614,1.0477,0.92801,0.5,1.2756,0.0019928,0.00021946,0.00040305,0.0010433,-0.00019201,0.0010636
0.0020247,0.93626,0.5,1.2756,-0.0093532,-0.010267,1.0473,0.93626,0.5,1.2756,0.0019693,0.00026812,0.00034264,0.0010096,-0.00020861,0.0010705
0.0020408,0.94452,0.5,1.2756,-0.0088933,-0.0092617,1.0459,0.94452,0.5,1.2756,0.0019472,0.00027197,0.00026626,0.0010756,-0.00028776,0.0010588
0.0021036,0.95277,0.5,1.2756,-0.0084458,-0.0077158,1.0445,0.95277,0.5,1.2756,0.0019213,0.00021837,0.00018911,0.0012425,-0.00036106,0.0010434
0.0022247,0.96103,0.5,1.2756,-0.0080834,-0.0060828,1.0428,0.96103,0.5,1.2756,0.0018946,0.00012571,0.00015037,0.0014227,-0.00044073,0.0011321
0.0023798,0.96929,0.5,1.2756,-0.0077512,-0.0048005,1.0403,0.96929,0.5,1.2756,0.0018724,3.6632e-05,0.00014505,0.0014972,-0.00056261,0.0013901
0.0024848,0.97754,0.5,1.2756,-0.0072983,-0.0038194,1.0378,0.97754,0.5,1.2756,0.0018504,-1.1772e-05,0.00012349,0.0014701,-0.00066444,0.001649
0.0024913,0.9858,0.5,1.2756,-0.0066138,-0.0028187,1.0364,0.9858,0.5,1.2756,0.0018192,-1.8365e-05,5.7733e-05,0.0014122,-0.00071067,0.0017511
0.0024282,0.99405,0.5,1.2756,-0.0057555,-0.0013537,1.0356,0.99405,0.5,1.2756,0.0017735,-1.1661e-05,-4.5095e-05,0.0013507,-0.00073577,0.0017322
0.0024127,1.0023,0.5,1.2756,-0.004869,0.0010227,1.0337,1.0023,0.5,1.2756,0.0017104,-8.9717e-06,-0.00011401,0.0012805,-0.00075033,0.0018345
0.0025171,1.0106,0.5,1.2756,-0.004004,0.0043285,1.0301,1.0106,0.5,1.2756,0.0016337,-1.7588e-05,-8.5222e-05,0.0012111,-0.00075024,0.0021895
0.0026535,1.0188,0.5,1.2756,-0.0031844,0.0080629,1.0259,1.0188,0.5,1.2756,0.0015549,-4.5104e-05,2.9607e-05,0.0011332,-0.0007755,0.002619
0.0027471,1.0271,0.5,1.2756,-0.0024916,0.011374,1.0221,1.0271,0.5,1.2756,0.001479,-8.1072e-05,0.00020632,0.0010121,-0.00083865,0.0030031
0.0028813,1.0353,0.5,1.2756,-0.0020114,0.013561,1.0177,1.0353,0.5,1.2756,0.0014096,-0.0001178,0.00038985,0.00091644,-0.00095918,0.0034367
0.00297,1.0436,0.5,1.2756,-0.0018727,0.014231,1.0143,1.0436,0.5,1.2756,0.0013626,-0.0001454,0.00050386,0.00093098,-0.00108,0.0036465
0.0028542,1.0518,0.5,1.2756,-0.0021614,0.014132,1.0126,1.0518,0.5,1.2756,0.0013491,-0.00015253,0.00057889,0.0010096,-0.0010789,0.0033497
0.0027153,1.0601,0.5,1.2756,-0.0025809,0.013992,1.0099,1.0601,0.5,1.2756,0.0013666,-0.00015423,0.00064434,0.0010366,-0.0010146,0.0030274
0.0026464,1.0684,0.5,1.2756,-0.0024625,0.013062,1.0056,1.0684,0.5,1.2756,0.0013946,-0.00013667,0.0006143,0.00096579,-0.0009658,0.0029323
0.002557,1.0766,0.5,1.2756,-0.0013849,0.011536,0.99947,1.0766,0.5,1.2756,0.0013909,-8.2678e-05,0.00051613,0.00087278,-0.00089378,0.0028503
0.0024517,1.0849,0.5,1.2756,0.00038924,0.010606,0.99195,1.0849,0.5,1.2756,0.0013343,-2.0902e-05,0.0004761,0.00082505,-0.00081844,0.002744
0.0023852,1.0931,0.5,1.2756,0.0022388,0.01057,0.98416,1.0931,0.5,1.2756,0.0012521,2.3843e-05,0.00053218,0.00082012,-0.00077493,0.0026981
0.0023759,1.1014,0.5,1.2756,0.0037415,0.011323,0.97694,1.1014,0.5,1.2756,0.0011795,4.8209e-05,0.0006253,0.00083003,-0.00074687,0.0027423
0.0023618,1.1096,0.5,1.2756,0.0047931,0.012705,0.97043,1.1096,0.5,1.2756,0.0011259,6.4998e-05,0.00067573,0.00084398,-0.00073865,0.0027537
0.00229,1.1179,0.5,1.2756,0.0054725,0.014275,0.96397,1.1179,0.5,1.2756,0.0010808,8.9069e-05,0.0006493,0.00087536,-0.00073197,0.0026237
0.0021513,1.1262,0.5,1.2756,0.0059962,0.015556,0.95719,1.1262,0.5,1.2756,0.0010352,0.00011489,0.00055636,0.00091731,-0.00071479,0.0023501
0.0019544,1.1344,0.5,1.2756,0.0065871,0.016229,0.95042,1.1344,0.5,1.2756,0.00099702,0.00012984,0.00043863,0.00093686,-0.00067941,0.0019748
0.0017512,1.1427,0.5,1.2756,0.0073433,0.016573,0.94411,1.1427,0.5,1.2756,0.00097703,0.00013017,0.00034537,0.00092605,-0.0006126,0.0015994
0.0016041,1.1509,0.5,1.2756,0.0083237,0.017439,0.93832,1.1509,0.5,1.2756,0.00096875,0.0001155,0.00029233,0.00091686,-0.00054824,0.0013227
0.0015366,1.1592,0.5,1.2756,0.0095627,0.019378,0.93273,1.1592,0.5,1.2756,0.0009588,8.9341e-05,0.00026734,0.00093081,-0.000528,0.0011835
0.0015241,1.1674,0.5,1.2756,0.010937,0.022232,0.92721,1.1674,0.5,1.2756,0.0009405,5.9794e-05,0.00025584,0.00096321,-0.00054896,0.0011444
0.0015427,1.1757,0.5,1.2756,0.012156,0.025483,0.92172,1.1757,0.5,1.2756,0.00091768,3.4374e-05,0.00025674,0.00099944,-0.00059074,0.0011683
0.0016022,1.1839,0.5,1.2756,0.012966,0.028763,0.91649,1.1839,0.5,1.2756,0.0009015,2.1638e-05,0.00026244,0.0010246,-0.00063882,0.0012782
0.0017213,1.1922,0.5,1.2756,0.013417,0.032123,0.91148,1.1922,0.5,1.2756,0.0008975,2.4327e-05,0.00023654,0.001055,-0.00070149,0.0014901
0.0019035,1.2005,0.5,1.2756,0.013833,0.0354,0.90609,1.2005,0.5,1.2756,0.00090145,3.8537e-05,0.00015896,0.0011388,-0.00082071,0.0017668
0.0021168,1.2087,0.5,1.2756,0.014472,0.037881,0.90026,1.2087,0.5,1.2756,0.00091018,6.4811e-05,5.3316e-05,0.0012655,-0.0010106,0.0020579
0.0022937,1.217,0.5,1.2756,0.015329,0.039217,0.89524,1.217,0.5,1.2756,0.00092814,0.00010486,-5.6056e-05,0.0013627,-0.0012072,0.0022966
0.0023685,1.2252,0.5,1.2756,0.016235,0.039649,0.89332,1.2252,0.5,1.2756,0.00096037,0.00015212,-0.00018277,0.0014048,-0.0013423,0.0023719
0.0023966,1.2335,0.5,1.2756,0.017055,0.03953,0.89497,1.2335,0.5,1.2756,0.0010025,0.00019603,-0.00033986,0.0014284,-0.0014433,0.0023623
0.0024673,1.2417,0.5,1.2756,0.017788,0.038843,0.89824,1.2417,0.5,1.2756,0.0010417,0.00023206,-0.00050614,0.0014477,-0.0015421,0.0024451
0.0025562,1.25,0.5,1.2756,0.018485,0.037239,0.90097,1.25,0.5,1.2756,0.0010662,0.0002657,-0.00065448,0.0014419,-0.0016092,0.0026042
0.0026425,1.2583,0.5,1.2756,0.019093,0.034996,0.90253,1.2583,0.5,1.2756,0.0010702,0.00030493,-0.00077896,0.0014032,-0.0016422,0.0028116
0.0027418,1.2665,0.5,1.2756,0.019496,0.033191,0.90348,1.2665,0.5,1.2756,0.0010539,0.00034203,-0.00089725,0.0013238,-0.0016359,0.003106
0.002871,1.2748,0.5,1.2756,0.019687,0.032361,0.9041,1.2748,0.5,1.2756,0.00102,0.00036251,-0.0010221,0.001214,-0.0015924,0.0035081
0.0030349,1.283,0.5,1.2756,0.019761,0.031881,0.90484,1.283,0.5,1.2756,0.00097422,0.0003752,-0.0011574,0.0011062,-0.0015459,0.0039893
0.0031401,1.2913,0.5,1.2756,0.01976,0.03124,0.90547,1.2913,0.5,1.2756,0.00093053,0.00039946,-0.0012844,0.0010194,-0.0014888,0.0043304
0.0030713,1.2995,0.5,1.2756,0.019694,0.030608,0.90454,1.2995,0.5,1.2756,0.00090512,0.00043241,-0.0013491,0.00095832,-0.0014068,0.0042792
0.0028432,1.3078,0.5,1.2756,0.019654,0.030004,0.90176,1.3078,0.5,1.2756,0.00089968,0.00046446,-0.0013242,0.00090202,-0.0013106,0.0038847
0.002553,1.316,0.5,1.2756,0.019689,0.0293,0.89812,1.316,0.5,1.2756,0.00090607,0.00049299,-0.0012328,0.00082707,-0.0012032,0.0033729
0.0022679,1.3243,0.5,1.2756,0.019697,0.02846,0.89427,1.3243,0.5,1.2756,0.00092234,0.00051002,-0.0011035,0.0007513,-0.0010828,0.0028622
0.0020183,1.3326,0.5,1.2756,0.019555,0.027388,0.89076,1.3326,0.5,1.2756,0.00095131,0.00051163,-0.00096594,0.00069599,-0.00095307,0.0023893
0.0018274,1.3408,0.5,1.2756,0.019222,0.026137,0.88818,1.3408,0.5,1.2756,0.00099147,0.00049808,-0.00086865,0.00065374,-0.00081637,0.0020095
0.001745,1.3491,0.5,1.2756,0.018699,0.025035,0.88712,1.3491,0.5,1.2756,0.0010372,0.00045721,-0.00086083,0.00062223,-0.00065947,0.0018305
0.0018282,1.3573,0.5,1.2756,0.017976,0.024302,0.88901,1.3573,0.5,1.2756,0.0010847,0.00038469,-0.00096507,0.00063018,-0.00048361,0.0019414
0.0019935,1.3656,0.5,1.2756,0.0171,0.02356,0.89598,1.3656,0.5,1.2756,0.0011352,0.00030901,-0.001131,0.00067642,-0.00034831,0.0021753
0.0020153,1.3738,0.5,1.2756,0.016227,0.022448,0.90701,1.3738,0.5,1.2756,0.0011906,0.00024651,-0.0012326,0.00069098,-0.00026862,0.002149
0.0018701,1.3821,0.5,1.2756,0.01549,0.021254,0.91779,1.3821,0.5,1.2756,0.0012467,0.00016638,-0.0011959,0.000649,-0.00018083,0.0018446
0.0017538,1.3903,0.5,1.2756,0.014798,0.020213,0.92541,1.3903,0.5,1.2756,0.0012906,4.8753e-05,-0.001093,0.00060457,-0.00011052,0.0016125
0.0017145,1.3986,0.5,1.2756,0.01392,0.019399,0.93042,1.3986,0.5,1.2756,0.0013137,-7.0144e-05,-0.0009958,0.00057708,-8.1343e-05,0.0015382
0.0016473,1.4069,0.5,1.2756,0.012756,0.019158,0.93582,1.4069,0.5,1.2756,0.0013213,-0.00013488,-0.00089024,0.0005492,-4.6584e-05,0.001424
0.0015547,1.4151,0.5,1.2756,0.011396,0.019669,0.94212,1.4151,0.5,1.2756,0.0013208,-0.00012376,-0.00081103,0.00053079,-1.688e-05,0.0012579
0.0015343,1.4234,0.5,1.2756,0.010096,0.020277,0.94764,1.4234,0.5,1.2756,0.0013146,-5.7825e-05,-0.00080975,0.00053245,-1.0892e-05,0.0012216
0.001582,1.4316,0.5,1.2756,0.0092009,0.019969,0.9526,1.4316,0.5,1.2756,0.001306,3.0753e-05,-0.00084978,0.00053274,-2.9304e-05,0.0013253
0.0016156,1.4399,0.5,1.2756,0.0089228,0.018745,0.95796,1.4399,0.5,1.2756,0.0013009,0.00011847,-0.00087078,0.00051761,-6.5476e-05,0.0014126
0.0016002,1.4481,0.5,1.2756,0.0091547,0.017272,0.96369,1.4481,0.5,1.2756,0.0013044,0.00019459,-0.00085646,0.00050108,-0.00010251,0.0013948
0.0015732,1.4564,0.5,1.2756,0.0095393,0.01604,0.96899,1.4564,0.5,1.2756,0.00131,0.00025901,-0.00082767,0.00051628,-0.00014934,0.0013202
0.0015784,1.4647,0.5,1.2756,0.0097549,0.015422,0.97319,1.4647,0.5,1.2756,0.0012993,0.00031082,-0.00079354,0.00058135,-0.00023727,0.0012761
0.0016179,1.4729,0.5,1.2756,0.0097476,0.01536,0.97596,1.4729,0.5,1.2756,0.0012664,0.00034706,-0.00075728,0.00064795,-0.00034717,0.0013215
0.0016499,1.4812,0.5,1.2756,0.0096767,0.015374,0.97726,1.4812,0.5,1.2756,0.0012276,0.00035391,-0.00072579,0.0006649,-0.00041482,0.0014074
0.0016534,1.4894,0.5,1.2756,0.0096308,0.01514,0.97803,1.4894,0.5,1.2756,0.001201,0.00031909,-0.00069426,0.00066213,-0.00043698,0.0014437
0.0016716,1.4977,0.5,1.2756,0.0094968,0.014744,0.97894,1.4977,0.5,1.2756,0.0011914,0.00026005,-0.00066897,0.00070709,-0.00044747,0.0014447
0.0017331,1.5059,0.5,1.2756,0.0091304,0.014479,0.9795,1.5059,0.5,1.2756,0.0011925,0.00020336,-0.00064847,0.00081728,-0.00044936,0.0014565
0.0018065,1.5142,0.5,1.2756,0.0085247,0.014782,0.97922,1.5142,0.5,1.2756,0.0011892,0.00014914,-0.00061014,0.000952,-0.00045117,0.0014717
0.0018713,1.5224,0.5,1.2756,0.0078129,0.01609,0.97843,1.5224,0.5,1.2756,0.0011648,7.4567e-05,-0.00056459,0.0010492,-0.00048299,0.0015286
0.0019014,1.5307,0.5,1.2756,0.0071425,0.018369,0.97775,1.5307,0.5,1.2756,0.001112,-2.2627e-05,-0.00052319,0.0010778,-0.00055606,0.001613
0.0018167,1.539,0.5,1.2756,0.0065412,0.021225,0.97761,1.539,0.5,1.2756,0.0010395,-0.00010395,-0.00044778,0.0010646,-0.00061582,0.0015293
0.0016494,1.5472,0.5,1.2756,0.0059971,0.024328,0.9778,1.5472,0.5,1.2756,0.00096973,-0.00014051,-0.00033486,0.001048,-0.00060038,0.001281
