"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0014047,1.6711,0.5,1.2756,0.018841,0.0058847,0.98602,1.6711,0.5,1.2756,0.00089237,-0.00014636,-0.00012269,0.00083419,-0.0003492,0.0010828
0.001395,1.6793,0.5,1.2756,0.017354,0.0042604,0.98623,1.6793,0.5,1.2756,0.00083819,-0.00019118,-8.086e-05,0.00083759,-0.0002626,0.0011142
0.0013846,1.6876,0.5,1.2756,0.015994,0.0034303,0.98753,1.6876,0.5,1.2756,0.00077971,-0.00021999,-3.9993e-05,0.00085024,-0.00021807,0.0011392
0.0013806,1.6958,0.5,1.2756,0.015116,0.003419,0.98811,1.6958,0.5,1.2756,0.00071814,-0.00022497,5.6015e-07,0.00087948,-0.00022366,0.0011637
0.0013881,1.7041,0.5,1.2756,0.014745,0.0040582,0.98659,1.7041,0.5,1.2756,0.0006531,-0.00020983,5.5354e-05,0.00090853,-0.00024455,0.0012145
0.0013605,1.7123,0.5,1.2756,0.014589,0.0045523,0.98397,1.7123,0.5,1.2756,0.00059292,-0.00018988,9.4778e-05,0.00090271,-0.00023692,0.0012253
0.0013066,1.7206,0.5,1.2756,0.014268,0.0037505,0.98109,1.7206,0.5,1.2756,0.00055099,-0.00017447,9.5983e-05,0.00086677,-0.00021112,0.0011955
0.0012578,1.7289,0.5,1.2756,0.013516,0.0018427,0.97938,1.7289,0.5,1.2756,0.00052934,-0.00015366,8.4616e-05,0.00083139,-0.00017075,0.0011549
0.0012201,1.7371,0.5,1.2756,0.012226,0.00030478,0.98018,1.7371,0.5,1.2756,0.00051946,-0.00011655,6.5463e-05,0.00078793,-0.00011937,0.0011328
0.0012471,1.7454,0.5,1.2756,0.010488,-0.00022271,0.98234,1.7454,0.5,1.2756,0.00051453,-6.5328e-05,2.309e-06,0.00071062,-9.676e-05,0.001269
0.0013418,1.7536,0.5,1.2756,0.0086353,-0.00046009,0.98554,1.7536,0.5,1.2756,0.00051099,-2.0684e-05,-8.3149e-05,0.00063402,-0.00013461,0.0015386
0.0014709,1.7619,0.5,1.2756,0.0069262,-0.00099394,0.98955,1.7619,0.5,1.2756,0.00050453,-5.4886e-06,-0.00015455,0.00061288,-0.0002225,0.0018243
0.0016503,1.7701,0.5,1.2756,0.0052793,-0.0016252,0.99277,1.7701,0.5,1.2756,0.00049103,-1.4067e-05,-0.00021787,0.00064461,-0.00031667,0.002165
