K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0014029,1.6711,0.5,1.2756,0.017499,0.0076934,0.98561,1.6711,0.5,1.2756,0.00089923,-0.00015628,-0.00015594,0.00075627,-0.00031614,0.0011502,0.25,0.0224464,-0.00249504
0.0014053,1.6793,0.5,1.2756,0.016123,0.0058971,0.98612,1.6793,0.5,1.2756,0.00085649,-0.00019728,-0.00012616,0.00074349,-0.0002387,0.0012105,,0.0224848,-0.00201856
0.0013945,1.6876,0.5,1.2756,0.015001,0.0048219,0.9878,1.6876,0.5,1.2756,0.00080711,-0.00021987,-8.91E-05,0.00075519,-0.00020183,0.0012268,,0.022312,-0.001425728
0.0013809,1.6958,0.5,1.2756,0.014376,0.0045878,0.98874,1.6958,0.5,1.2756,0.00075127,-0.00022009,-4.06E-05,0.00079019,-0.00020908,0.0012204,,0.0220944,-0.000650208
0.0013787,1.7041,0.5,1.2756,0.014152,0.005146,0.98761,1.7041,0.5,1.2756,0.00069081,-0.00020835,2.69E-05,0.00082415,-0.00022967,0.0012424,,0.0220592,0.000430656
0.0013534,1.7123,0.5,1.2756,0.013997,0.0056025,0.9853,1.7123,0.5,1.2756,0.00063572,-0.00019873,7.51E-05,0.00082821,-0.00023085,0.0012428,,0.0216544,0.00120232
0.0013135,1.7206,0.5,1.2756,0.013569,0.0046835,0.98247,1.7206,0.5,1.2756,0.00060031,-0.00019047,8.05E-05,0.00080818,-0.00021836,0.0012186,,0.021016,0.001287936
0.0012702,1.7289,0.5,1.2756,0.012666,0.002716,0.9808,1.7289,0.5,1.2756,0.00058661,-0.0001688,7.20E-05,0.00078514,-0.00017741,0.0011686,,0.0203232,0.001152128
0.0012406,1.7371,0.5,1.2756,0.011229,0.0012175,0.98174,1.7371,0.5,1.2756,0.00058221,-0.00012631,5.28E-05,0.00074671,-0.00012859,0.0011523,,0.0198496,0.000844016
0.0012903,1.7454,0.5,1.2756,0.0093777,0.00068083,0.98398,1.7454,0.5,1.2756,0.0005754,-6.87E-05,-1.65E-05,0.00067204,-0.00012732,0.0013332,,0.0206448,-0.000264208
0.0013998,1.7536,0.5,1.2756,0.0074611,0.00032657,0.98702,1.7536,0.5,1.2756,0.00056223,-2.20E-05,-9.91E-05,0.00059875,-0.00018998,0.0016387,,0.0223968,-0.00158632
0.0015279,1.7619,0.5,1.2756,0.0057162,-0.00040339,0.9907,1.7619,0.5,1.2756,0.00054213,-1.14E-05,-0.00016691,0.00058445,-0.00028662,0.0019291,,0.0244464,-0.00267056
0.0016873,1.7701,0.5,1.2756,0.0040333,-0.0011244,0.99384,1.7701,0.5,1.2756,0.00051597,-2.36E-05,-0.00023933,0.00062726,-0.00036285,0.0022313,,0.0269968,-0.00382928
0.0018343,1.7784,0.5,1.2756,0.0023316,-0.0018829,0.99678,1.7784,0.5,1.2756,0.00049015,-4.60E-05,-0.00029428,0.00069414,-0.00041644,0.0024843,,0.0293488,-0.00470848
0.001942,1.7866,0.5,1.2756,0.00080395,-0.002645,1.0001,1.7866,0.5,1.2756,0.0004759,-6.79E-05,-0.00032449,0.00077513,-0.00048299,0.0026329,,0.031072,-0.00519184
0.0019627,1.7949,0.5,1.2756,-0.0002827,-0.0025929,1.0034,1.7949,0.5,1.2756,0.00048117,-6.64E-05,-0.00030016,0.0008285,-0.00056609,0.0026158,,0.0314032,-0.00480256
0.0018489,1.8032,0.5,1.2756,-0.00082018,-0.0020277,1.0055,1.8032,0.5,1.2756,0.00051076,-4.96E-05,-0.00021027,0.00081523,-0.00061596,0.0023719,,0.0295824,-0.00336432
0.0017213,1.8114,0.5,1.2756,-0.00092265,-0.0018935,1.0066,1.8114,0.5,1.2756,0.00056959,-3.40E-05,-9.79E-05,0.00078538,-0.00058255,0.0020877,,0.0275408,-0.001566608
0.0016888,1.8197,0.5,1.2756,-0.00080953,-0.0020168,1.0084,1.8197,0.5,1.2756,0.00065561,-1.65E-05,1.80E-05,0.0007923,-0.00050244,0.0019298,,0.0270208,0.000287824
0.0016916,1.8279,0.5,1.2756,-0.00068166,-0.0018097,1.0113,1.8279,0.5,1.2756,0.00075486,8.76E-06,0.00011827,0.00083962,-0.00043591,0.0017887,,0.0270656,0.00189232
0.0016983,1.8362,0.5,1.2756,-0.00068046,-0.0011433,1.0146,1.8362,0.5,1.2756,0.00085686,4.23E-05,0.0002266,0.0008769,-0.00038771,0.0016629,,0.0271728,0.0036256
0.0018031,1.8446,0.5,1.2756,-0.0007971,-0.00059955,1.017,1.8446,0.5,1.2756,0.00096343,7.71E-05,0.00032996,0.00087797,-0.00042301,0.0017649,,0.0288496,0.00527936
0.0018549,1.8534,0.5,1.2756,-0.00089793,-0.00070499,1.0212,1.8534,0.5,1.2756,0.0010848,0.00011148,0.00036006,0.00088568,-0.00046505,0.0017394,,0.0296784,0.00576096
0.0017452,1.8626,0.5,1.2756,-0.00093573,-0.0019681,1.0279,1.8626,0.5,1.2756,0.0012322,0.00015008,0.00033198,0.0008725,-0.00037484,0.0013856,,0.0279232,0.00531168
0.0016928,1.8723,0.5,1.2756,-0.00097607,-0.0036152,1.0314,1.8723,0.5,1.2756,0.0013762,0.00017557,0.00041478,0.00079697,-0.00025781,0.0012126,,0.0270848,0.00663648
0.0017451,1.8824,0.5,1.2756,-0.0010455,-0.0040662,1.0279,1.8824,0.5,1.2756,0.0014761,0.00019402,0.00053508,0.00072966,-0.00022415,0.0012844,,0.0279216,0.00856128
0.0019276,1.8931,0.5,1.2756,-0.0011297,-0.0035527,1.0205,1.8931,0.5,1.2756,0.0015719,0.00024415,0.00064721,0.00077021,-0.00027392,0.0015131,,0.0308416,0.01035536
0.0022148,1.9042,0.5,1.2756,-0.0013047,-0.0023246,1.0115,1.9042,0.5,1.2756,0.0017175,0.00033269,0.00077039,0.00091251,-0.00040693,0.0017995,,0.0354368,0.01232624
0.0023419,1.9159,0.5,1.2756,-0.0018955,0.00046616,1.0035,1.9159,0.5,1.2756,0.0018838,0.00040484,0.0006375,0.0010221,-0.00062452,0.0017779,,0.0374704,0.0102
0.002227,1.9282,0.5,1.2756,-0.00345,0.0037009,0.99846,1.9282,0.5,1.2756,0.0019471,0.00039416,0.00034735,0.00094747,-0.00071681,0.0015594,,0.035632,0.0055576
0.00213,1.941,0.5,1.2756,-0.0059099,0.0047765,0.99479,1.941,0.5,1.2756,0.0018208,0.00027799,0.00025901,0.0007773,-0.00060022,0.001662,,0.03408,0.00414416
0.002059,1.9545,0.5,1.2756,-0.0080733,0.0047406,0.98956,1.9545,0.5,1.2756,0.0015893,8.43E-05,0.00017969,0.00070902,-0.00040298,0.0018197,,0.032944,0.00287504
0.0020133,1.9686,0.5,1.2756,-0.0087671,0.0050701,0.98721,1.9686,0.5,1.2756,0.001395,-4.80E-05,-6.86E-05,0.00074457,-0.00023346,0.001887,,0.0322128,-0.001096928
0.0019575,1.9833,0.5,1.2756,-0.0076015,0.0044806,0.98665,1.9833,0.5,1.2756,0.0013246,-7.32E-05,-0.00025537,0.00074921,-0.00024393,0.0018413,,0.03132,-0.00408592
