K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0031804,0.83719,0.5,1.2756,-0.021695,-0.026485,1.0428,0.83719,0.5,1.2756,0.0018131,-0.000657,0.0009471,0.0025212,-0.0014054,0.0020265,0.25,0.0508864,0.0151536
0.0030562,0.84544,0.5,1.2756,-0.019287,-0.025188,1.0414,0.84544,0.5,1.2756,0.001866,-0.00046153,0.00089196,0.0023551,-0.0012755,0.0018913,,0.0488992,0.01427136
0.002915,0.8537,0.5,1.2756,-0.017106,-0.024039,1.0399,0.8537,0.5,1.2756,0.0019504,-0.00029016,0.00083274,0.0021183,-0.0010861,0.0017612,,0.04664,0.01332384
0.0027594,0.86196,0.5,1.2756,-0.015375,-0.023009,1.0386,0.86196,0.5,1.2756,0.0020576,-0.00015222,0.00078862,0.0018255,-0.00088951,0.0016356,,0.0441504,0.01261792
0.0026274,0.87021,0.5,1.2756,-0.014074,-0.021824,1.0376,0.87021,0.5,1.2756,0.0021645,-4.37E-05,0.00075082,0.0015746,-0.00071758,0.0015156,,0.0420384,0.01201312
0.0025332,0.87847,0.5,1.2756,-0.013016,-0.020177,1.037,0.87847,0.5,1.2756,0.0022391,4.37E-05,0.00072076,0.0014312,-0.00058027,0.0013961,,0.0405312,0.01153216
0.0024515,0.88672,0.5,1.2756,-0.012114,-0.01809,1.0377,0.88672,0.5,1.2756,0.0022586,0.00010601,0.00070551,0.0013904,-0.00046582,0.0012541,,0.039224,0.01128816
0.0023617,0.89498,0.5,1.2756,-0.01142,-0.01566,1.0405,0.89498,0.5,1.2756,0.0022275,0.0001318,0.00068923,0.0013879,-0.00036377,0.001108,,0.0377872,0.01102768
0.0022821,0.90324,0.5,1.2756,-0.010941,-0.013116,1.0442,0.90324,0.5,1.2756,0.0021723,0.00012758,0.00065202,0.0013573,-0.00029469,0.0010345,,0.0365136,0.01043232
0.002225,0.91149,0.5,1.2756,-0.010576,-0.011095,1.0475,0.91149,0.5,1.2756,0.002117,0.00012518,0.00058855,0.0012857,-0.00027122,0.0010474,,0.0356,0.0094168
0.0021606,0.91975,0.5,1.2756,-0.010219,-0.010104,1.0498,0.91975,0.5,1.2756,0.0020685,0.00015563,0.00051104,0.0011886,-0.00025365,0.001064,,0.0345696,0.00817664
0.0020919,0.92801,0.5,1.2756,-0.009813,-0.0098014,1.0508,0.92801,0.5,1.2756,0.0020242,0.00021656,0.00043854,0.0010978,-0.00023061,0.0010618,,0.0334704,0.00701664
0.0020542,0.93626,0.5,1.2756,-0.009334,-0.0093373,1.0506,0.93626,0.5,1.2756,0.0019835,0.0002728,0.00036989,0.0010592,-0.00025536,0.0010658,,0.0328672,0.00591824
0.0020636,0.94452,0.5,1.2756,-0.0087816,-0.0082534,1.0494,0.94452,0.5,1.2756,0.0019465,0.00028816,0.00029114,0.0011148,-0.00033188,0.0010658,,0.0330176,0.00465824
0.0021161,0.95277,0.5,1.2756,-0.008222,-0.006699,1.0482,0.95277,0.5,1.2756,0.0019095,0.0002421,0.00021176,0.0012688,-0.00039054,0.001054,,0.0338576,0.00338816
0.0022153,0.96103,0.5,1.2756,-0.0077385,-0.0050221,1.0468,0.96103,0.5,1.2756,0.0018716,0.00014723,0.00016903,0.0014363,-0.00044331,0.0011227,,0.0354448,0.00270448
0.0023517,0.96929,0.5,1.2756,-0.0073038,-0.0035703,1.0443,0.96929,0.5,1.2756,0.0018377,5.00E-05,0.00016447,0.0015097,-0.00054576,0.001356,,0.0376272,0.00263152
0.002454,0.97754,0.5,1.2756,-0.0067975,-0.0023966,1.0416,0.97754,0.5,1.2756,0.0018074,-6.80E-06,0.00014889,0.00149,-0.00064894,0.0016106,,0.039264,0.00238224
0.002464,0.9858,0.5,1.2756,-0.0061331,-0.0012578,1.0397,0.9858,0.5,1.2756,0.0017734,-2.16E-05,8.93E-05,0.00143,-0.00070976,0.0017246,,0.039424,0.001428944
0.0024008,0.99405,0.5,1.2756,-0.005361,0.00035949,1.0384,0.99405,0.5,1.2756,0.0017288,-2.21E-05,-1.30E-05,0.0013531,-0.00075821,0.0017197,,0.0384128,-0.000208432
0.002398,1.0023,0.5,1.2756,-0.0045828,0.0030219,1.0361,1.0023,0.5,1.2756,0.0016685,-2.35E-05,-8.54E-05,0.0012756,-0.0007976,0.001852,,0.038368,-0.001366416
0.0025457,1.0106,0.5,1.2756,-0.0037913,0.0066921,1.0324,1.0106,0.5,1.2756,0.0015978,-2.87E-05,-4.92E-05,0.0012129,-0.00081921,0.0022807,,0.0407312,-0.000787024
