K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0041695,0.030909,0.5,1.2756,0.00057202,0.010541,0.71817,0.030909,0.5,1.2756,0.00021126,0.00014427,-0.00052971,0.0020776,-0.00034557,0.0060501,0.25,0.066712,-0.00847536
0.0053897,0.066184,0.5,1.2756,0.0025327,0.011944,0.81619,0.066184,0.5,1.2756,0.00063154,0.00020498,-0.00075817,0.0021289,0.00085321,0.008019,,0.0862352,-0.01213072
0.0049022,0.10006,0.5,1.2756,0.0025824,-0.0046552,0.87181,0.10006,0.5,1.2756,0.00087989,0.0003776,-0.00023432,0.0019338,0.0018941,0.0069908,,0.0784352,-0.00374912
0.0045411,0.13258,0.5,1.2756,-0.00015013,-0.019768,0.93058,0.13258,0.5,1.2756,0.00069342,0.00038825,-0.00037714,0.0016638,0.00054514,0.006725,,0.0726576,-0.00603424
0.003987,0.16379,0.5,1.2756,-0.00040984,-0.013996,0.97387,0.16379,0.5,1.2756,0.00045651,0.00016677,-0.0006413,0.0011988,-0.00061854,0.0063187,,0.063792,-0.0102608
0.002441,0.19372,0.5,1.2756,-0.00080254,-0.011392,1.0137,0.19372,0.5,1.2756,0.0004717,0.00016882,-0.00010011,0.00094907,-0.00021415,0.0034613,,0.039056,-0.00160176
0.0018661,0.22242,0.5,1.2756,-0.0029379,-0.013559,1.0351,0.22242,0.5,1.2756,0.00051019,0.00018231,0.00010111,0.00086279,0.00031963,0.0023592,,0.0298576,0.00161776
0.0017115,0.24993,0.5,1.2756,-0.0048632,-0.013857,1.052,0.24993,0.5,1.2756,0.00049072,0.00014027,-3.23E-05,0.00098025,0.00016922,0.0019521,,0.027384,-0.000516736
0.0013962,0.27629,0.5,1.2756,-0.008156,-0.015456,1.0668,0.27629,0.5,1.2756,0.00046115,8.14E-05,-0.0002125,0.00078573,5.51E-05,0.0015455,,0.0223392,-0.0034
0.0014001,0.30154,0.5,1.2756,-0.011622,-0.013135,1.0618,0.30154,0.5,1.2756,0.00038359,5.82E-05,-0.00016477,0.00083289,0.0002471,0.0015838,,0.0224016,-0.00263632
0.0016141,0.32572,0.5,1.2756,-0.011662,-0.0076421,1.0554,0.32572,0.5,1.2756,0.00037734,0.00014035,-0.00018785,0.0010784,-0.00018309,0.0017725,,0.0258256,-0.0030056
0.0018466,0.34887,0.5,1.2756,-0.01102,-0.00823,1.0679,0.34887,0.5,1.2756,0.00045439,0.00024145,-0.00019844,0.00095021,-0.00055541,0.0022886,,0.0295456,-0.00317504
0.001761,0.37102,0.5,1.2756,-0.014197,-0.012264,1.0711,0.37102,0.5,1.2756,0.00049066,0.00028198,-0.00020292,0.0007051,-0.00046474,0.0023263,,0.028176,-0.00324672
0.0013731,0.39221,0.5,1.2756,-0.019251,-0.017038,1.0708,0.39221,0.5,1.2756,0.00053048,0.00035141,-0.00031354,0.00070664,-0.00039804,0.0015091,,0.0219696,-0.00501664
0.0013041,0.41248,0.5,1.2756,-0.023917,-0.019567,1.0703,0.41248,0.5,1.2756,0.00062086,0.00039341,-0.00031188,0.00070906,-0.00039063,0.0012782,,0.0208656,-0.00499008
0.0015267,0.43187,0.5,1.2756,-0.028396,-0.017433,1.0727,0.43187,0.5,1.2756,0.00075841,0.00024124,-0.0002605,0.00060734,-0.00048877,0.0016877,,0.0244272,-0.004168
0.0017908,0.4504,0.5,1.2756,-0.031848,-0.01409,1.078,0.4504,0.5,1.2756,0.00090755,9.29E-06,2.56E-06,0.00061418,-0.00051336,0.0020599,,0.0286528,4.09168E-05
0.0018792,0.46812,0.5,1.2756,-0.033057,-0.012703,1.0723,0.46812,0.5,1.2756,0.0010009,-8.88E-05,-8.18E-05,0.00060008,-0.00055039,0.0021575,,0.0300672,-0.00130832
0.0018676,0.48504,0.5,1.2756,-0.032608,-0.011358,1.0716,0.48504,0.5,1.2756,0.0010373,-0.00010285,-0.00031533,0.00057382,-0.00058651,0.0021242,,0.0298816,-0.00504528
0.0017991,0.50122,0.5,1.2756,-0.031358,-0.011273,1.0724,0.50122,0.5,1.2756,0.0010771,-0.00012438,-0.00032169,0.00069709,-0.00055636,0.0018241,,0.0287856,-0.00514704
0.0015889,0.51667,0.5,1.2756,-0.030583,-0.013473,1.0775,0.51667,0.5,1.2756,0.0011185,-9.45E-05,-0.00020244,0.00074755,-0.00036439,0.0013117,,0.0254224,-0.00323904
0.0014278,0.53142,0.5,1.2756,-0.031631,-0.014374,1.0803,0.53142,0.5,1.2756,0.0011205,-4.76E-05,-7.03E-05,0.00078945,-0.00021174,0.0009457,,0.0228448,-0.00112448
0.0014665,0.54551,0.5,1.2756,-0.033525,-0.013526,1.0786,0.54551,0.5,1.2756,0.0011355,-2.36E-05,-0.00021533,0.00076415,-0.00011934,0.0010334,,0.023464,-0.00344528
0.0016347,0.55896,0.5,1.2756,-0.034816,-0.011651,1.0801,0.55896,0.5,1.2756,0.0012197,-5.59E-05,-0.00025819,0.00076679,-0.00010429,0.0012829,,0.0261552,-0.00413104
0.001931,0.5718,0.5,1.2756,-0.035206,-0.0095717,1.0788,0.5718,0.5,1.2756,0.0013399,-0.0001799,-8.80E-05,0.001048,-0.00037014,0.0014741,,0.030896,-0.001408288
0.0022053,0.58405,0.5,1.2756,-0.034724,-0.0092594,1.0776,0.58405,0.5,1.2756,0.001448,-0.00025551,1.66E-05,0.0013931,-0.00062605,0.0015695,,0.0352848,0.000266256
