K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0015977,1.6711,0.5,3.7698,0.0042584,0.010055,0.95626,1.6711,0.5,3.7698,0.0012789,-0.00015843,9.04E-05,0.0010199,-0.00044186,0.00089657,0.25,0.0255632,0.001446544
0.0015192,1.6793,0.5,3.7698,0.0034882,0.010899,0.95961,1.6793,0.5,3.7698,0.0012271,-0.00011878,9.15E-05,0.00097484,-0.00038812,0.0008364,,0.0243072,0.001464592
0.0014862,1.6876,0.5,3.7698,0.0027249,0.011526,0.96362,1.6876,0.5,3.7698,0.0011872,-0.0001167,7.37E-05,0.00095611,-0.00034973,0.00082914,,0.0237792,0.001179072
0.0014767,1.6958,0.5,3.7698,0.001907,0.012076,0.96801,1.6958,0.5,3.7698,0.0011556,-0.00013226,5.27E-05,0.00096079,-0.00033398,0.00083703,,0.0236272,0.000843184
0.0014496,1.7041,0.5,3.7698,0.00084826,0.01252,0.97259,1.7041,0.5,3.7698,0.0011229,-0.00014039,4.63E-05,0.00095788,-0.00030569,0.0008185,,0.0231936,0.00074136
0.0013885,1.7123,0.5,3.7698,-0.00047985,0.012071,0.97679,1.7123,0.5,3.7698,0.0010876,-0.00013433,6.14E-05,0.00090852,-0.00024838,0.00078092,,0.022216,0.000983072
0.0012999,1.7206,0.5,3.7698,-0.0018696,0.010134,0.98008,1.7206,0.5,3.7698,0.0010515,-0.00012638,6.91E-05,0.00081662,-0.00019503,0.00073178,,0.0207984,0.001105168
0.0012169,1.7289,0.5,3.7698,-0.003095,0.0074632,0.98233,1.7289,0.5,3.7698,0.0010118,-0.00012255,5.18E-05,0.0007304,-0.00020354,0.00069156,,0.0194704,0.000829264
0.0011911,1.7371,0.5,3.7698,-0.0040644,0.0052621,0.98462,1.7371,0.5,3.7698,0.00096462,-0.0001107,1.84E-05,0.00069294,-0.00026488,0.0007247,,0.0190576,0.000294432
0.0012538,1.7454,0.5,3.7698,-0.0048472,0.0041351,0.98748,1.7454,0.5,3.7698,0.00091352,-8.30E-05,-1.80E-05,0.00070185,-0.00029251,0.00089233,,0.0200608,-0.000287504
0.0013862,1.7536,0.5,3.7698,-0.0056548,0.0041495,0.9898,1.7536,0.5,3.7698,0.0008647,-5.28E-05,-4.07E-05,0.00071749,-0.00023142,0.0011903,,0.0221792,-0.000650896
0.0015007,1.7619,0.5,3.7698,-0.0067426,0.0046785,0.99128,1.7619,0.5,3.7698,0.00081642,-3.45E-05,-5.86E-05,0.00070286,-0.00013568,0.001482,,0.0240112,-0.000937568
0.0015041,1.7701,0.5,3.7698,-0.0082835,0.0043759,0.99277,1.7701,0.5,3.7698,0.00076871,-2.41E-05,-9.24E-05,0.00066359,-9.40E-05,0.0015758,,0.0240656,-0.001478
0.0014026,1.7784,0.5,3.7698,-0.010163,0.0027639,0.99577,1.7784,0.5,3.7698,0.00072823,-6.66E-06,-0.00011208,0.00063796,-6.57E-05,0.0014391,,0.0224416,-0.00179328
0.0013077,1.7866,0.5,3.7698,-0.011948,0.00095645,1.0005,1.7866,0.5,3.7698,0.00068897,2.62E-05,-7.01E-05,0.00064389,2.43E-05,0.0012826,,0.0209232,-0.001122032
0.0012668,1.7949,0.5,3.7698,-0.013286,-0.00059364,1.0059,1.7949,0.5,3.7698,0.00063718,6.51E-05,1.41E-07,0.00064647,0.00010955,0.0012499,,0.0202688,2.25168E-06
0.0012728,1.8032,0.5,3.7698,-0.014167,-0.0027351,1.0093,1.8032,0.5,3.7698,0.00058555,8.85E-05,2.76E-05,0.0006214,0.00011156,0.0013386,,0.0203648,0.000442064
0.0013533,1.8114,0.5,3.7698,-0.014804,-0.0054886,1.0079,1.8114,0.5,3.7698,0.00056554,7.96E-05,1.31E-05,0.0006234,8.10E-05,0.0015176,,0.0216528,0.00020928
0.0015045,1.8197,0.5,3.7698,-0.015443,-0.0071396,1.0024,1.8197,0.5,3.7698,0.00058627,5.51E-05,1.62E-05,0.00065994,3.74E-05,0.0017628,,0.024072,0.000258976
0.0017189,1.8279,0.5,3.7698,-0.016083,-0.0062917,0.99645,1.8279,0.5,3.7698,0.00063238,4.21E-05,3.29E-05,0.00067423,-0.00011405,0.0021312,,0.0275024,0.000526864
0.0019427,1.8362,0.5,3.7698,-0.016476,-0.0039531,0.99209,1.8362,0.5,3.7698,0.00068631,4.18E-05,1.38E-07,0.00069762,-0.00039412,0.0025015,,0.0310832,2.2032E-06
0.002097,1.8446,0.5,3.7698,-0.016486,-0.0021393,0.98917,1.8446,0.5,3.7698,0.00073592,5.17E-05,-3.94E-05,0.00076657,-0.00067469,0.0026916,,0.033552,-0.000630592
0.0021896,1.8534,0.5,3.7698,-0.016116,-0.0012114,0.98656,1.8534,0.5,3.7698,0.00077782,7.33E-05,-3.30E-06,0.00086863,-0.00088509,0.0027328,,0.0350336,-5.28736E-05
0.002316,1.8626,0.5,3.7698,-0.015453,-1.34E-05,0.98384,1.8626,0.5,3.7698,0.00081137,9.41E-05,8.96E-05,0.0010533,-0.0010848,0.0027673,,0.037056,0.001434144
0.0025405,1.8723,0.5,3.7698,-0.014835,0.0022677,0.98193,1.8723,0.5,3.7698,0.00083279,9.44E-05,0.0001989,0.0013242,-0.001297,0.0029239,,0.040648,0.0031824
0.0027939,1.8824,0.5,3.7698,-0.014608,0.0045098,0.98137,1.8824,0.5,3.7698,0.00084956,4.74E-05,0.00033057,0.0014617,-0.0014905,0.0032765,,0.0447024,0.00528912
0.0029384,1.8931,0.5,3.7698,-0.014593,0.0055787,0.98081,1.8931,0.5,3.7698,0.00087344,-5.24E-05,0.00051858,0.0013484,-0.0015563,0.003655,,0.0470144,0.00829728
0.0028479,1.9042,0.5,3.7698,-0.014469,0.0062154,0.97952,1.9042,0.5,3.7698,0.00088914,-0.00015925,0.00065008,0.0012409,-0.0013992,0.0035658,,0.0455664,0.01040128
0.0027565,1.9159,0.5,3.7698,-0.014345,0.0063525,0.97984,1.9159,0.5,3.7698,0.00088697,-0.00021635,0.00063346,0.0013231,-0.0012306,0.003303,,0.044104,0.01013536
0.002847,1.9282,0.5,3.7698,-0.014129,0.0067149,0.98081,1.9282,0.5,3.7698,0.00089626,-0.00019701,0.00052932,0.0014587,-0.0012177,0.0033391,,0.045552,0.00846912
0.0028349,1.941,0.5,3.7698,-0.013319,0.0085401,0.98096,1.941,0.5,3.7698,0.00092594,-0.00013154,0.00035339,0.001481,-0.0011689,0.0032628,,0.0453584,0.00565424
0.0027296,1.9545,0.5,3.7698,-0.011918,0.011266,0.98432,1.9545,0.5,3.7698,0.00094043,-4.91E-05,0.00018432,0.0013848,-0.0010494,0.0031338,,0.0436736,0.00294912
0.0025942,1.9686,0.5,3.7698,-0.010522,0.014623,0.98815,1.9686,0.5,3.7698,0.00091656,6.95E-05,5.66E-05,0.0013291,-0.00095498,0.0029428,,0.0415072,0.000906096
0.0023458,1.9833,0.5,3.7698,-0.0095498,0.016688,0.98749,1.9833,0.5,3.7698,0.0008555,0.00020471,-3.65E-05,0.0014009,-0.00094125,0.0024351,,0.0375328,-0.000583296
0.0019191,1.9988,0.5,3.7698,-0.0086477,0.015076,0.98328,1.9988,0.5,3.7698,0.00078207,0.00025486,-0.00019508,0.001372,-0.00080696,0.0016842,,0.0307056,-0.00312128
0.0017172,2.0149,0.5,3.7698,-0.0071332,0.009219,0.98425,2.0149,0.5,3.7698,0.0007628,0.00014081,-0.00022418,0.0011693,-0.00069446,0.0015022,,0.0274752,-0.00358688
0.0019332,2.0319,0.5,3.7698,-0.0052725,0.0024584,0.98961,2.0319,0.5,3.7698,0.00083328,4.70E-06,-0.00014968,0.00091339,-0.00067084,0.0021198,,0.0309312,-0.00239488
0.0018791,2.0496,0.5,3.7698,-0.0036467,-0.0014553,0.98944,2.0496,0.5,3.7698,0.00093223,4.58E-05,-0.0001572,0.00075508,-0.00042482,0.0020709,,0.0300656,-0.0025152
0.0016969,2.0681,0.5,3.7698,-0.0023136,-0.0030799,0.98629,2.0681,0.5,3.7698,0.00099891,0.00013963,-9.96E-05,0.00090791,-0.00023776,0.001487,,0.0271504,-0.001594096
0.0017456,2.0875,0.5,3.7698,-0.0012069,-0.0015215,0.98606,2.0875,0.5,3.7698,0.0010705,0.00014119,-0.00012857,0.0011159,-0.00022902,0.0013048,,0.0279296,-0.00205712
0.0016738,2.1078,0.5,3.7698,0.00011711,0.0027382,0.98312,2.1078,0.5,3.7698,0.0011377,0.00010122,-0.00014193,0.0011219,-0.00026581,0.001088,,0.0267808,-0.00227088
0.0015624,2.129,0.5,3.7698,0.0014997,0.0034795,0.97528,2.129,0.5,3.7698,0.0010963,3.30E-05,-0.00022044,0.00085891,-0.00010577,0.0011695,,0.0249984,-0.00352704
0.0016193,2.1511,0.5,3.7698,0.0030172,-0.0034497,0.97453,2.1511,0.5,3.7698,0.00094833,5.13E-05,-0.00045403,0.00061465,-0.00010314,0.0016755,,0.0259088,-0.00726448
0.0018509,2.1743,0.5,3.7698,0.0043145,-0.010776,0.97531,2.1743,0.5,3.7698,0.00079818,0.00020413,-0.00066854,0.00078181,-0.00030072,0.0021219,,0.0296144,-0.01069664
0.0021076,2.1984,0.5,3.7698,0.0037817,-0.013942,0.97844,2.1984,0.5,3.7698,0.00073218,0.00020661,-0.00040219,0.00088605,-0.00015545,0.0025969,,0.0337216,-0.00643504
0.0020464,2.2237,0.5,3.7698,0.0036684,-0.013797,0.97968,2.2237,0.5,3.7698,0.00064628,8.52E-05,7.64E-05,0.00092363,-7.81E-05,0.002523,,0.0327424,0.00122272
0.001877,2.2501,0.5,3.7698,0.0061507,-0.015461,0.98974,2.2501,0.5,3.7698,0.00049841,5.86E-05,0.00020512,0.0010429,-0.00014811,0.0022127,,0.030032,0.00328192
0.0024987,2.2776,0.5,3.7698,0.009999,-0.017603,0.9791,2.2776,0.5,3.7698,0.00042644,7.60E-05,0.00042069,0.0011307,-7.36E-06,0.0034403,,0.0399792,0.00673104
0.0023654,2.3063,0.5,3.7698,0.014896,-0.018723,0.96729,2.3063,0.5,3.7698,0.00034853,0.00010512,0.00029387,0.0012688,0.00014812,0.0031136,,0.0378464,0.00470192
0.0019619,2.3362,0.5,3.7698,0.014268,-0.020224,0.99152,2.3362,0.5,3.7698,0.00037657,0.0002008,0.00011013,0.0014522,0.00055142,0.0020951,,0.0313904,0.00176208
0.0032982,2.3674,0.5,3.7698,0.0079654,-0.015949,0.95313,2.3674,0.5,3.7698,0.00067439,0.00047683,0.00022443,0.0023141,0.00079669,0.0036079,,0.0527712,0.00359088
0.0042926,2.3999,0.5,3.7698,0.0076364,-0.0075849,0.8717,2.3999,0.5,3.7698,0.00085531,0.00044607,0.00020794,0.0027809,0.00058943,0.0049491,,0.0686816,0.00332704
0.0039202,2.4338,0.5,3.7698,0.0095407,0.00079362,0.82823,2.4338,0.5,3.7698,0.00069448,0.00038592,0.00040149,0.0025305,0.00044783,0.0046155,,0.0627232,0.00642384
0.0028246,2.4691,0.5,3.7698,0.0055683,0.0041018,0.73242,2.4691,0.5,3.7698,0.0002941,0.00033493,0.00036177,0.0020759,0.00031371,0.0032792,,0.0451936,0.00578832
0.0016218,1.6711,0.5,3.8173,0.0041739,0.0097909,0.95648,1.6711,0.5,3.8173,0.0013331,-0.00019377,9.45E-05,0.0010323,-0.00042291,0.00087822,,0.0259488,0.001511888
0.0015258,1.6793,0.5,3.8173,0.0034139,0.010769,0.95996,1.6793,0.5,3.8173,0.0012588,-0.00015448,7.85E-05,0.00098418,-0.00035865,0.00080867,,0.0244128,0.001255232
0.0014845,1.6876,0.5,3.8173,0.0026624,0.01157,0.96394,1.6876,0.5,3.8173,0.001188,-0.00014425,4.03E-05,0.00097135,-0.0003126,0.00080967,,0.023752,0.000644336
0.0014743,1.6958,0.5,3.8173,0.001866,0.012221,0.96824,1.6958,0.5,3.8173,0.0011277,-0.00014851,7.14E-06,0.00097828,-0.00030099,0.00084262,,0.0235888,0.000114256
0.001438,1.7041,0.5,3.8173,0.00083704,0.012668,0.97264,1.7041,0.5,3.8173,0.0010749,-0.000143,-6.82E-07,0.00096663,-0.00028465,0.00083449,,0.023008,-1.09088E-05
