K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0033425,0.83719,0.5,3.7698,-0.016582,-0.0089284,1.0288,0.83719,0.5,3.7698,0.0014535,-4.93E-05,0.00033175,0.0030768,-0.0017832,0.0021546,0.25,0.05348,0.005308
0.0033485,0.84544,0.5,3.7698,-0.01567,-0.011361,1.0288,0.84544,0.5,3.7698,0.0014233,-0.00012294,0.00036289,0.0029057,-0.0018083,0.002368,,0.053576,0.00580624
0.0032492,0.8537,0.5,3.7698,-0.015051,-0.01415,1.0289,0.8537,0.5,3.7698,0.0013727,-0.00017388,0.00034055,0.0026667,-0.0016839,0.002459,,0.0519872,0.0054488
0.0030913,0.86196,0.5,3.7698,-0.014861,-0.016147,1.0294,0.86196,0.5,3.7698,0.0013053,-0.00018294,0.00028103,0.0024873,-0.0014393,0.00239,,0.0494608,0.00449648
0.0029913,0.87021,0.5,3.7698,-0.015094,-0.016819,1.0302,0.87021,0.5,3.7698,0.0012359,-0.0001569,0.00022348,0.0024375,-0.0011689,0.0023092,,0.0478608,0.00357568
0.0029782,0.87847,0.5,3.7698,-0.0157,-0.016759,1.0318,0.87847,0.5,3.7698,0.0011711,-0.00012576,0.00019031,0.0024966,-0.00096837,0.0022887,,0.0476512,0.00304496
0.0030037,0.88672,0.5,3.7698,-0.016703,-0.016227,1.0339,0.88672,0.5,3.7698,0.0011104,-9.66E-05,0.00013882,0.0025917,-0.00087135,0.0023053,,0.0480592,0.00222112
0.0030297,0.89498,0.5,3.7698,-0.017845,-0.014939,1.0352,0.89498,0.5,3.7698,0.0010597,-5.26E-05,3.40E-05,0.0026437,-0.00083591,0.0023559,,0.0484752,0.000544128
0.0030508,0.90324,0.5,3.7698,-0.018677,-0.01303,1.0351,0.90324,0.5,3.7698,0.0010302,-8.83E-07,-7.90E-05,0.0026217,-0.00086173,0.0024498,,0.0488128,-0.001264352
0.0030824,0.91149,0.5,3.7698,-0.018971,-0.010899,1.0336,0.91149,0.5,3.7698,0.0010261,4.05E-05,-0.00015486,0.0025583,-0.0009714,0.0025804,,0.0493184,-0.00247776
0.0031207,0.91975,0.5,3.7698,-0.018763,-0.0089432,1.0308,0.91975,0.5,3.7698,0.0010423,7.36E-05,-0.00019053,0.0025063,-0.001103,0.0026929,,0.0499312,-0.00304848
0.0031591,0.92801,0.5,3.7698,-0.018241,-0.0074019,1.028,0.92801,0.5,3.7698,0.0010738,0.00011177,-0.00021079,0.0024969,-0.0011924,0.0027476,,0.0505456,-0.00337264
0.0031974,0.93626,0.5,3.7698,-0.017611,-0.006244,1.0259,0.93626,0.5,3.7698,0.0011198,0.00015897,-0.00023373,0.0025298,-0.0012624,0.0027452,,0.0511584,-0.00373968
0.0032353,0.94452,0.5,3.7698,-0.017002,-0.0053648,1.0247,0.94452,0.5,3.7698,0.0011827,0.00020694,-0.00025956,0.0025867,-0.0013447,0.0027012,,0.0517648,-0.00415296
0.0032966,0.95277,0.5,3.7698,-0.016432,-0.0046841,1.0239,0.95277,0.5,3.7698,0.0012696,0.00025251,-0.00027777,0.0026406,-0.0014184,0.0026829,,0.0527456,-0.00444432
0.0034131,0.96103,0.5,3.7698,-0.01588,-0.0042482,1.0231,0.96103,0.5,3.7698,0.0013822,0.00030624,-0.00025872,0.0026742,-0.0014606,0.0027698,,0.0546096,-0.00413952
0.0035829,0.96929,0.5,3.7698,-0.015337,-0.0041767,1.0217,0.96929,0.5,3.7698,0.0014966,0.00037532,-0.00020131,0.0026968,-0.0014909,0.0029724,,0.0573264,-0.00322096
0.0037314,0.97754,0.5,3.7698,-0.014763,-0.004486,1.0188,0.97754,0.5,3.7698,0.001574,0.00044717,-0.00014038,0.0027129,-0.0015411,0.0031759,,0.0597024,-0.00224608
0.0037731,0.9858,0.5,3.7698,-0.014259,-0.0050711,1.0139,0.9858,0.5,3.7698,0.0015947,0.00049673,-0.00010893,0.0027154,-0.0015857,0.003236,,0.0603696,-0.00174288
0.0037452,0.99405,0.5,3.7698,-0.014001,-0.00593,1.007,0.99405,0.5,3.7698,0.0015695,0.00050729,-8.59E-05,0.0027102,-0.0016186,0.0032108,,0.0599232,-0.001374864
0.003741,1.0023,0.5,3.7698,-0.014,-0.0070992,0.99889,1.0023,0.5,3.7698,0.0015158,0.00048503,-1.48E-05,0.0026794,-0.0016953,0.0032869,,0.059856,-0.00023704
