K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0044436,0.030909,0.5,3.7698,-0.0022596,0.0034757,0.7327,0.030909,0.5,3.7698,0.00032539,-3.71E-05,-0.00021773,0.0022741,0.0011575,0.0062878,0.25,0.0710976,-0.00348368
0.0048968,0.066184,0.5,3.7698,-0.0029335,0.011356,0.85095,0.066184,0.5,3.7698,0.00080655,7.04E-05,-0.00026883,0.0024486,0.001493,0.0065386,,0.0783488,-0.00430128
0.0051125,0.10006,0.5,3.7698,-0.0020283,0.017348,0.90358,0.10006,0.5,3.7698,0.0010928,0.0002075,-0.00035834,0.0024248,0.00137,0.0067074,,0.0818,-0.00573344
0.005482,0.13258,0.5,3.7698,-0.0039114,0.0085571,0.93344,0.13258,0.5,3.7698,0.0011717,0.0003857,-0.00012377,0.002219,0.001142,0.0075732,,0.087712,-0.00198032
0.0042742,0.16379,0.5,3.7698,-0.0079039,-0.0029616,0.97631,0.16379,0.5,3.7698,0.001059,0.00045461,0.0001683,0.0012727,0.0006744,0.0062167,,0.0683872,0.0026928
0.0028464,0.19372,0.5,3.7698,-0.010719,-0.015306,1.015,0.19372,0.5,3.7698,0.00078017,0.0001577,-0.00011267,0.00076953,-9.08E-05,0.0041432,,0.0455424,-0.00180272
0.0020646,0.22242,0.5,3.7698,-0.011948,-0.01977,1.0361,0.22242,0.5,3.7698,0.00057544,-3.01E-06,-0.00022724,0.00092396,-0.0001689,0.0026298,,0.0330336,-0.00363584
0.0023039,0.24993,0.5,3.7698,-0.01207,-0.014967,1.0469,0.24993,0.5,3.7698,0.00061537,0.00011394,-0.00028963,0.0012546,-0.00035055,0.0027379,,0.0368624,-0.00463408
0.0022856,0.27629,0.5,3.7698,-0.012055,-0.014455,1.0599,0.27629,0.5,3.7698,0.00073728,0.00022746,-0.00030877,0.0010393,-0.00076022,0.0027945,,0.0365696,-0.00494032
0.0018045,0.30154,0.5,3.7698,-0.014434,-0.013488,1.0745,0.30154,0.5,3.7698,0.00078474,0.00035456,-0.00043659,0.00082717,-0.00073066,0.001997,,0.028872,-0.00698544
0.0016816,0.32572,0.5,3.7698,-0.019945,-0.0097752,1.0683,0.32572,0.5,3.7698,0.00078976,0.00040983,-0.00054334,0.00078312,-0.00065625,0.0017902,,0.0269056,-0.00869344
0.0015457,0.34887,0.5,3.7698,-0.025106,-0.0064946,1.059,0.34887,0.5,3.7698,0.00083788,0.00027974,-0.00038097,0.00057196,-0.0004653,0.0016817,,0.0247312,-0.00609552
