K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.082157,1.6711,0.5,6.2583,-0.031311,0.35063,-0.10491,1.6711,0.5,6.2583,0.051071,0.0092797,-0.013592,0.067051,-0.0001556,0.046192,0.25,1.314512,-0.217472
0.09117,1.6793,0.5,6.2583,-0.040019,0.31432,-0.043213,1.6793,0.5,6.2583,0.054414,0.011806,-0.018612,0.0722,-0.0068847,0.055726,,1.45872,-0.297792
0.097775,1.6876,0.5,6.2583,-0.048953,0.26781,0.040036,1.6876,0.5,6.2583,0.05749,0.014329,-0.023783,0.072653,-0.014274,0.065406,,1.5644,-0.380528
0.1036,1.6958,0.5,6.2583,-0.057486,0.21444,0.14276,1.6958,0.5,6.2583,0.05955,0.016925,-0.028683,0.071985,-0.019676,0.075671,,1.6576,-0.458928
0.10844,1.7041,0.5,6.2583,-0.064604,0.15679,0.2602,1.7041,0.5,6.2583,0.059213,0.018723,-0.032295,0.070879,-0.023044,0.08679,,1.73504,-0.51672
0.10978,1.7123,0.5,6.2583,-0.069985,0.097364,0.3921,1.7123,0.5,6.2583,0.055976,0.018321,-0.034913,0.065667,-0.022988,0.097921,,1.75648,-0.558608
0.10564,1.7206,0.5,6.2583,-0.070826,0.043009,0.5331,1.7206,0.5,6.2583,0.050572,0.01503,-0.037293,0.055517,-0.018341,0.1052,,1.69024,-0.596688
0.095387,1.7289,0.5,6.2583,-0.063756,8.30E-05,0.67853,1.7289,0.5,6.2583,0.043702,0.0095861,-0.036937,0.042412,-0.010845,0.10466,,1.526192,-0.590992
0.079334,1.7371,0.5,6.2583,-0.04969,-0.031481,0.81869,1.7371,0.5,6.2583,0.036201,0.004081,-0.032321,0.030001,-0.0033182,0.092466,,1.269344,-0.517136
0.060466,1.7454,0.5,6.2583,-0.032141,-0.052158,0.93953,1.7454,0.5,6.2583,0.029021,0.00078965,-0.025095,0.021082,0.0010561,0.07083,,0.967456,-0.40152
0.042152,1.7536,0.5,6.2583,-0.013788,-0.061947,1.0322,1.7536,0.5,6.2583,0.022383,-0.00030842,-0.016937,0.014966,0.00099635,0.046956,,0.674432,-0.270992
0.027833,1.7619,0.5,6.2583,0.0032474,-0.064649,1.0905,1.7619,0.5,6.2583,0.016579,-0.00060704,-0.009592,0.010567,-0.0007762,0.028519,,0.445328,-0.153472
0.018559,1.7701,0.5,6.2583,0.017261,-0.06492,1.1186,1.7701,0.5,6.2583,0.011947,-0.00093406,-0.0043791,0.007397,-0.0016735,0.017774,,0.296944,-0.0700656
0.012633,1.7784,0.5,6.2583,0.027738,-0.063705,1.1266,1.7784,0.5,6.2583,0.0084634,-0.001201,-0.0015367,0.0051685,-0.0016434,0.011635,,0.202128,-0.0245872
0.0087115,1.7866,0.5,6.2583,0.035348,-0.062072,1.1252,1.7866,0.5,6.2583,0.0059573,-0.0012169,-0.00037104,0.0036652,-0.0011983,0.0078006,,0.139384,-0.00593664
0.0062032,1.7949,0.5,6.2583,0.041067,-0.060239,1.1212,1.7949,0.5,6.2583,0.0042404,-0.0010612,-5.72E-05,0.0027108,-0.00091507,0.0054551,,0.0992512,-0.000915584
0.0046181,1.8032,0.5,6.2583,0.045515,-0.057984,1.117,1.8032,0.5,6.2583,0.0031377,-0.00082693,-1.61E-06,0.0020297,-0.00076353,0.0040688,,0.0738896,-2.57088E-05
0.0035884,1.8114,0.5,6.2583,0.048943,-0.055249,1.1121,1.8114,0.5,6.2583,0.0024425,-0.00061649,3.26E-05,0.0015041,-0.00060728,0.0032301,,0.0574144,0.000522096
0.0028737,1.8197,0.5,6.2583,0.051392,-0.052535,1.1064,1.8197,0.5,6.2583,0.0019888,-0.00044792,5.45E-05,0.001115,-0.00044438,0.0026436,,0.0459792,0.000871632
0.0023541,1.8279,0.5,6.2583,0.052931,-0.050916,1.1015,1.8279,0.5,6.2583,0.0016828,-0.00031852,7.13E-05,0.00085879,-0.00030606,0.0021665,,0.0376656,0.001141008
0.0019638,1.8362,0.5,6.2583,0.053787,-0.050393,1.0985,1.8362,0.5,6.2583,0.0014652,-0.00022206,4.56E-05,0.000714,-0.0001947,0.0017484,,0.0314208,0.000729376
0.0016976,1.8446,0.5,6.2583,0.054255,-0.05021,1.0971,1.8446,0.5,6.2583,0.0013031,-0.00016184,2.26E-05,0.00063676,-9.36E-05,0.0014554,,0.0271616,0.000362384
0.0015243,1.8534,0.5,6.2583,0.054549,-0.049636,1.0973,1.8534,0.5,6.2583,0.0011798,-0.00014484,5.05E-05,0.00062962,-3.24E-05,0.0012392,,0.0243888,0.000807504
0.0014197,1.8626,0.5,6.2583,0.054746,-0.04892,1.0983,1.8626,0.5,6.2583,0.0010844,-0.00015197,0.00010186,0.00065789,-4.89E-05,0.0010971,,0.0227152,0.00162976
0.0013918,1.8723,0.5,6.2583,0.054887,-0.048017,1.1003,1.8723,0.5,6.2583,0.0010074,-0.00016988,0.00019305,0.00069089,-0.00018709,0.0010854,,0.0222688,0.0030888
0.0014075,1.8824,0.5,6.2583,0.05516,-0.046316,1.1003,1.8824,0.5,6.2583,0.00094012,-0.00016918,0.00026326,0.00073944,-0.00035625,0.0011355,,0.02252,0.00421216
0.0014013,1.8931,0.5,6.2583,0.055529,-0.044632,1.0983,1.8931,0.5,6.2583,0.00087444,-0.00012819,0.00023287,0.00078031,-0.00041111,0.0011478,,0.0224208,0.00372592
0.0013557,1.9042,0.5,6.2583,0.055698,-0.044895,1.0956,1.9042,0.5,6.2583,0.00081088,-8.17E-05,0.00013792,0.00077577,-0.00035691,0.0011248,,0.0216912,0.00220672
