K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.008911,0.83719,0.5,6.2583,-0.13685,0.050337,1.0708,0.83719,0.5,6.2583,0.0060499,0.0010345,-0.00079657,0.0024657,-0.00047268,0.0093063,0.25,0.142576,-0.01274512
0.0070435,0.84544,0.5,6.2583,-0.13308,0.04546,1.0837,0.84544,0.5,6.2583,0.0049974,0.00066609,0.00015105,0.0019527,-0.00062179,0.007137,,0.112696,0.0024168
0.0055508,0.8537,0.5,6.2583,-0.12931,0.042206,1.0883,0.8537,0.5,6.2583,0.0041583,0.0004406,0.00091945,0.0016976,-0.00052545,0.0052458,,0.0888128,0.0147112
0.0044143,0.86196,0.5,6.2583,-0.12567,0.039641,1.0993,0.86196,0.5,6.2583,0.0035695,0.000358,0.0010445,0.0015824,-0.00062809,0.0036767,,0.0706288,0.016712
0.0038936,0.87021,0.5,6.2583,-0.1219,0.037664,1.098,0.87021,0.5,6.2583,0.0030906,0.00029997,0.0013596,0.0015083,-0.00060378,0.0031884,,0.0622976,0.0217536
0.0035682,0.87847,0.5,6.2583,-0.11839,0.036033,1.101,0.87847,0.5,6.2583,0.0027487,0.00024199,0.0013178,0.0015029,-0.00055006,0.0028849,,0.0570912,0.0210848
0.0033926,0.88672,0.5,6.2583,-0.11506,0.034105,1.1041,0.88672,0.5,6.2583,0.0024992,0.00016972,0.0013189,0.0015011,-0.00060344,0.0027848,,0.0542816,0.0211024
0.0033259,0.89498,0.5,6.2583,-0.11145,0.032068,1.1007,0.89498,0.5,6.2583,0.0023084,9.38E-05,0.0013882,0.0014983,-0.00059817,0.002845,,0.0532144,0.0222112
0.0032014,0.90324,0.5,6.2583,-0.10781,0.029369,1.1015,0.90324,0.5,6.2583,0.0021749,6.89E-05,0.0012644,0.0014914,-0.00059301,0.0027365,,0.0512224,0.0202304
0.0031557,0.91149,0.5,6.2583,-0.10398,0.026387,1.0977,0.91149,0.5,6.2583,0.0020704,6.63E-05,0.001248,0.0014871,-0.00053616,0.0027539,,0.0504912,0.019968
