K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0034,0.030909,0.5,6.2583,-0.0019388,0.0091267,0.83388,0.030909,0.5,6.2583,0.00021802,2.61E-05,-0.00032498,0.0026799,-0.00079278,0.003902,0.25,0.0544,-0.00519968
0.0043782,0.066184,0.5,6.2583,-0.0030224,0.0039794,0.94368,0.066184,0.5,6.2583,0.00063461,2.83E-05,-0.00084496,0.0028768,-0.00056313,0.005245,,0.0700512,-0.01351936
0.0043571,0.10006,0.5,6.2583,-0.0050581,-0.001144,0.97556,0.10006,0.5,6.2583,0.00097572,0.00014993,-0.0012664,0.00211,-0.00047068,0.0056284,,0.0697136,-0.0202624
0.0035203,0.13258,0.5,6.2583,-0.012607,0.0053926,1.0164,0.13258,0.5,6.2583,0.0010613,0.00032055,-0.0010374,0.0017888,-0.00046994,0.0041906,,0.0563248,-0.0165984
0.0028617,0.16379,0.5,6.2583,-0.023796,0.0067238,1.0651,0.16379,0.5,6.2583,0.0010918,0.00043796,-0.00064721,0.0016392,-0.00043564,0.0029923,,0.0457872,-0.01035536
0.0026867,0.19372,0.5,6.2583,-0.03441,-0.0020444,1.0958,0.19372,0.5,6.2583,0.0012565,0.00037271,-0.00011775,0.0012107,-0.00038228,0.0029062,,0.0429872,-0.001884
0.0023411,0.22242,0.5,6.2583,-0.041805,-0.0093813,1.1004,0.22242,0.5,6.2583,0.0013648,0.00012259,0.00012941,0.00079619,-0.00011627,0.0025211,,0.0374576,0.00207056
0.0020246,0.24993,0.5,6.2583,-0.045771,-0.0091619,1.107,0.24993,0.5,6.2583,0.0013117,-9.89E-06,-5.80E-05,0.00057364,-0.00021283,0.0021639,,0.0323936,-0.000927472
0.0017138,0.27629,0.5,6.2583,-0.048477,-0.0076462,1.1225,0.27629,0.5,6.2583,0.0011937,-4.79E-05,1.41E-05,0.00055161,-0.00014052,0.0016823,,0.0274208,0.000225312
0.0015044,0.30154,0.5,6.2583,-0.050586,-0.010231,1.1249,0.30154,0.5,6.2583,0.0010901,-9.93E-06,2.02E-05,0.00059032,-0.00011309,0.0013284,,0.0240704,0.000323696
0.001499,0.32572,0.5,6.2583,-0.053171,-0.013919,1.1315,0.32572,0.5,6.2583,0.00099464,7.93E-05,-0.00019374,0.0006142,-1.07E-05,0.0013891,,0.023984,-0.00309984
0.0013905,0.34887,0.5,6.2583,-0.057388,-0.015489,1.1323,0.34887,0.5,6.2583,0.00090995,0.00017687,-0.0003563,0.00062952,2.92E-05,0.0012415,,0.022248,-0.0057008
0.0012925,0.37102,0.5,6.2583,-0.062234,-0.011439,1.1312,0.37102,0.5,6.2583,0.00087646,0.00024953,-0.00029266,0.00061481,-7.21E-05,0.0010937,,0.02068,-0.00468256
0.0013865,0.39221,0.5,6.2583,-0.066809,-0.012475,1.1387,0.39221,0.5,6.2583,0.00086749,0.00035485,-0.0002411,0.0006748,-0.00033746,0.0012308,,0.022184,-0.0038576
0.0014217,0.41248,0.5,6.2583,-0.070507,-0.018329,1.1361,0.41248,0.5,6.2583,0.00089494,0.00041696,-0.0003179,0.0007221,-0.00046113,0.0012264,,0.0227472,-0.0050864
0.0015586,0.43187,0.5,6.2583,-0.073452,-0.023034,1.1347,0.43187,0.5,6.2583,0.00097169,0.0004607,-0.00048182,0.0007746,-0.00044709,0.0013709,,0.0249376,-0.00770912
