K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.030595,1.6711,0.5,8.7627,0.057312,0.059569,0.74523,1.6711,0.5,8.7627,0.023423,0.0048548,-0.00083372,0.02141,0.0010947,0.016357,0.25,0.48952,-0.01333952
0.030235,1.6793,0.5,8.7627,0.056986,0.055493,0.74294,1.6793,0.5,8.7627,0.023344,0.0047055,-0.0010574,0.019986,0.0007217,0.017139,,0.48376,-0.0169184
0.029928,1.6876,0.5,8.7627,0.056883,0.051824,0.74173,1.6876,0.5,8.7627,0.023404,0.0047498,-0.0013201,0.018875,0.00066382,0.017576,,0.478848,-0.0211216
0.02988,1.6958,0.5,8.7627,0.057092,0.046146,0.74049,1.6958,0.5,8.7627,0.023576,0.0049683,-0.0015238,0.018411,0.0011665,0.017772,,0.47808,-0.0243808
0.030008,1.7041,0.5,8.7627,0.057309,0.03934,0.73956,1.7041,0.5,8.7627,0.023725,0.0051642,-0.0017603,0.018409,0.0016839,0.017882,,0.480128,-0.0281648
0.030105,1.7123,0.5,8.7627,0.057514,0.033428,0.73988,1.7123,0.5,8.7627,0.023746,0.0054089,-0.0020087,0.018685,0.0020582,0.01778,,0.48168,-0.0321392
0.030326,1.7206,0.5,8.7627,0.057723,0.028001,0.741,1.7206,0.5,8.7627,0.023598,0.0057777,-0.0022164,0.01923,0.0024433,0.017823,,0.485216,-0.0354624
0.030552,1.7289,0.5,8.7627,0.057944,0.022345,0.74282,1.7289,0.5,8.7627,0.023334,0.0061474,-0.002468,0.019585,0.0024916,0.018185,,0.488832,-0.039488
0.030472,1.7371,0.5,8.7627,0.057927,0.016399,0.74523,1.7371,0.5,8.7627,0.023059,0.0062765,-0.0026176,0.019587,0.0020382,0.018299,,0.487552,-0.0418816
0.03042,1.7454,0.5,8.7627,0.057506,0.010324,0.74752,1.7454,0.5,8.7627,0.022812,0.0062847,-0.0028418,0.019413,0.0014982,0.018614,,0.48672,-0.0454688
0.030424,1.7536,0.5,8.7627,0.056984,0.0053917,0.74997,1.7536,0.5,8.7627,0.022498,0.0064192,-0.0031066,0.019311,0.0011634,0.019038,,0.486784,-0.0497056
0.030512,1.7619,0.5,8.7627,0.056394,0.0022972,0.75259,1.7619,0.5,8.7627,0.022091,0.0065353,-0.0034985,0.019401,0.00084768,0.019531,,0.488192,-0.055976
0.030554,1.7701,0.5,8.7627,0.055882,-0.0004342,0.75558,1.7701,0.5,8.7627,0.021674,0.0062838,-0.0041656,0.019057,0.00042031,0.020376,,0.488864,-0.0666496
0.030202,1.7784,0.5,8.7627,0.055691,-0.0040264,0.75964,1.7784,0.5,8.7627,0.021317,0.0054938,-0.0048846,0.018235,-7.00E-05,0.020852,,0.483232,-0.0781536
0.029773,1.7866,0.5,8.7627,0.055584,-0.0079377,0.76385,1.7866,0.5,8.7627,0.020976,0.0045341,-0.0054805,0.017738,-0.00045583,0.020832,,0.476368,-0.087688
0.029374,1.7949,0.5,8.7627,0.055513,-0.011535,0.76795,1.7949,0.5,8.7627,0.020597,0.0035424,-0.006065,0.017478,-0.00058711,0.020673,,0.469984,-0.09704
0.029151,1.8032,0.5,8.7627,0.055396,-0.014416,0.77198,1.8032,0.5,8.7627,0.020278,0.00247,-0.0067727,0.017062,-0.00083013,0.020962,,0.466416,-0.1083632
0.028986,1.8114,0.5,8.7627,0.054919,-0.015851,0.77601,1.8114,0.5,8.7627,0.020061,0.0017223,-0.0073511,0.016578,-0.0010957,0.021333,,0.463776,-0.1176176
0.028984,1.8197,0.5,8.7627,0.054112,-0.016715,0.78109,1.8197,0.5,8.7627,0.019874,0.0012181,-0.0079138,0.015997,-0.0009967,0.022098,,0.463744,-0.1266208
0.029174,1.8279,0.5,8.7627,0.053028,-0.017895,0.78909,1.8279,0.5,8.7627,0.019697,0.00071932,-0.0084224,0.015356,-0.00083211,0.023296,,0.466784,-0.1347584
0.029193,1.8362,0.5,8.7627,0.051638,-0.017632,0.79676,1.8362,0.5,8.7627,0.019529,0.00033814,-0.0086767,0.014603,-0.00089053,0.024255,,0.467088,-0.1388272
