K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.026371,0.83719,0.5,8.7627,-0.029896,-0.0070565,0.97019,0.83719,0.5,8.7627,0.015422,0.0066942,0.0059046,0.016568,0.0044358,0.020753,0.25,0.421936,0.0944736
0.027584,0.84544,0.5,8.7627,-0.026857,-0.0076025,0.96527,0.84544,0.5,8.7627,0.015542,0.0068706,0.0062943,0.017253,0.0052797,0.022373,,0.441344,0.1007088
0.028783,0.8537,0.5,8.7627,-0.024041,-0.0078725,0.95911,0.8537,0.5,8.7627,0.015447,0.0069222,0.0066753,0.018009,0.0060041,0.024109,,0.460528,0.1068048
0.029933,0.86196,0.5,8.7627,-0.021621,-0.007956,0.95179,0.86196,0.5,8.7627,0.01528,0.006949,0.0070819,0.018625,0.0066007,0.025962,,0.478928,0.1133104
0.030937,0.87021,0.5,8.7627,-0.019534,-0.0070469,0.9448,0.87021,0.5,8.7627,0.015248,0.0070897,0.0074976,0.01891,0.0071404,0.027715,,0.494992,0.1199616
0.031995,0.87847,0.5,8.7627,-0.017616,-0.005089,0.9375,0.87847,0.5,8.7627,0.015426,0.0073121,0.0078273,0.019202,0.0074261,0.029362,,0.51192,0.1252368
0.032948,0.88672,0.5,8.7627,-0.016112,-0.004177,0.93042,0.88672,0.5,8.7627,0.015787,0.0074554,0.0079266,0.019633,0.0075888,0.030476,,0.527168,0.1268256
0.033548,0.89498,0.5,8.7627,-0.015351,-0.0040282,0.92424,0.89498,0.5,8.7627,0.01633,0.0075674,0.0079602,0.020088,0.0076351,0.030677,,0.536768,0.1273632
0.034148,0.90324,0.5,8.7627,-0.01521,-0.003195,0.91807,0.90324,0.5,8.7627,0.016972,0.0076622,0.0083172,0.020551,0.0076891,0.030773,,0.546368,0.1330752
0.034887,0.91149,0.5,8.7627,-0.015331,-0.0010797,0.91111,0.91149,0.5,8.7627,0.017605,0.0076533,0.0089127,0.020974,0.0076852,0.031195,,0.558192,0.1426032
0.035719,0.91975,0.5,8.7627,-0.015459,0.0012096,0.90452,0.91975,0.5,8.7627,0.018287,0.0076316,0.0095446,0.021411,0.0075706,0.031741,,0.571504,0.1527136
0.036767,0.92801,0.5,8.7627,-0.015595,0.00311,0.89993,0.92801,0.5,8.7627,0.019019,0.0076167,0.010118,0.022223,0.0077448,0.032292,,0.588272,0.161888
0.037799,0.93626,0.5,8.7627,-0.015609,0.0055622,0.89557,0.93626,0.5,8.7627,0.019718,0.0074109,0.010636,0.02301,0.0078263,0.032869,,0.604784,0.170176
0.038703,0.94452,0.5,8.7627,-0.015165,0.00713,0.88923,0.94452,0.5,8.7627,0.020443,0.0070908,0.011177,0.023356,0.0077835,0.033606,,0.619248,0.178832
0.039816,0.95277,0.5,8.7627,-0.014553,0.0068534,0.881,0.95277,0.5,8.7627,0.021322,0.0069938,0.011822,0.023744,0.0075975,0.034566,,0.637056,0.189152
0.041088,0.96103,0.5,8.7627,-0.014634,0.0049322,0.87362,0.96103,0.5,8.7627,0.022382,0.0069637,0.012616,0.024138,0.0071209,0.035657,,0.657408,0.201856
0.042241,0.96929,0.5,8.7627,-0.015271,0.0020147,0.86814,0.96929,0.5,8.7627,0.02351,0.0067749,0.013604,0.024918,0.0067286,0.036055,,0.675856,0.217664
0.043314,0.97754,0.5,8.7627,-0.015212,-0.00080349,0.86194,0.97754,0.5,8.7627,0.024452,0.0064477,0.014714,0.025946,0.0065651,0.03623,,0.693024,0.235424
0.044333,0.9858,0.5,8.7627,-0.014009,-0.0027784,0.85448,0.9858,0.5,8.7627,0.025066,0.0060266,0.015649,0.026629,0.0065858,0.036972,,0.709328,0.250384
0.044947,0.99405,0.5,8.7627,-0.01253,-0.0036978,0.84793,0.99405,0.5,8.7627,0.025501,0.0054673,0.016218,0.027085,0.0066918,0.037309,,0.719152,0.259488
0.045219,1.0023,0.5,8.7627,-0.011503,-0.0037006,0.84023,1.0023,0.5,8.7627,0.025823,0.0047666,0.016475,0.027305,0.0063909,0.037311,,0.723504,0.2636
0.045603,1.0106,0.5,8.7627,-0.011007,-0.0033736,0.83023,1.0106,0.5,8.7627,0.025941,0.004016,0.016601,0.027869,0.0056387,0.037396,,0.729648,0.265616
0.045873,1.0188,0.5,8.7627,-0.01112,-0.00446,0.82,1.0188,0.5,8.7627,0.02595,0.0033737,0.016572,0.028511,0.0049233,0.037285,,0.733968,0.265152
0.045789,1.0271,0.5,8.7627,-0.011786,-0.006291,0.81004,1.0271,0.5,8.7627,0.025953,0.0029773,0.016354,0.028762,0.004562,0.036862,,0.732624,0.261664
0.045345,1.0353,0.5,8.7627,-0.012512,-0.0081692,0.8006,1.0353,0.5,8.7627,0.025903,0.0025819,0.016052,0.028932,0.0044045,0.035855,,0.72552,0.256832
0.044536,1.0436,0.5,8.7627,-0.012559,-0.01018,0.79105,1.0436,0.5,8.7627,0.025779,0.0021055,0.015603,0.028721,0.0042086,0.034573,,0.712576,0.249648
0.043634,1.0518,0.5,8.7627,-0.01165,-0.012146,0.78199,1.0518,0.5,8.7627,0.025566,0.0017321,0.015002,0.02817,0.0043528,0.033531,,0.698144,0.240032
0.042999,1.0601,0.5,8.7627,-0.010527,-0.013929,0.77406,1.0601,0.5,8.7627,0.025341,0.0013055,0.014514,0.02749,0.0048308,0.033167,,0.687984,0.232224
0.042492,1.0684,0.5,8.7627,-0.0098752,-0.0134,0.76695,1.0684,0.5,8.7627,0.025277,0.00074878,0.014122,0.026699,0.0052402,0.033008,,0.679872,0.225952
0.0422,1.0766,0.5,8.7627,-0.0094186,-0.011061,0.7623,1.0766,0.5,8.7627,0.025465,0.00025238,0.013897,0.026372,0.0054226,0.032563,,0.6752,0.222352
0.042351,1.0849,0.5,8.7627,-0.0088244,-0.0088381,0.76039,1.0849,0.5,8.7627,0.025835,-0.0002601,0.013732,0.026704,0.0054654,0.032163,,0.677616,0.219712
0.042588,1.0931,0.5,8.7627,-0.008095,-0.0069354,0.7593,1.0931,0.5,8.7627,0.026285,-0.00078748,0.013498,0.027113,0.0054999,0.031779,,0.681408,0.215968
0.042409,1.1014,0.5,8.7627,-0.0072432,-0.0048385,0.75924,1.1014,0.5,8.7627,0.026723,-0.0010346,0.013132,0.027016,0.0052415,0.03108,,0.678544,0.210112
0.042136,1.1096,0.5,8.7627,-0.0062891,-0.0023134,0.75896,1.1096,0.5,8.7627,0.026982,-0.0009616,0.012624,0.026976,0.0049006,0.030313,,0.674176,0.201984
0.042111,1.1179,0.5,8.7627,-0.005412,-9.16E-05,0.75698,1.1179,0.5,8.7627,0.026997,-0.00074863,0.0123,0.027047,0.0049155,0.030178,,0.673776,0.1968
0.04189,1.1262,0.5,8.7627,-0.0048263,0.0021673,0.754,1.1262,0.5,8.7627,0.026899,-0.00030441,0.011975,0.026463,0.0050901,0.030418,,0.67024,0.1916
0.041781,1.1344,0.5,8.7627,-0.0044259,0.0055516,0.75143,1.1344,0.5,8.7627,0.026836,0.00018879,0.011791,0.025955,0.0053159,0.030771,,0.668496,0.188656
0.041781,1.1427,0.5,8.7627,-0.0042144,0.0091618,0.75015,1.1427,0.5,8.7627,0.026846,0.00038932,0.01183,0.025937,0.0054684,0.03078,,0.668496,0.18928
0.041456,1.1509,0.5,8.7627,-0.0044694,0.011962,0.74828,1.1509,0.5,8.7627,0.026858,0.00034433,0.011835,0.025785,0.0053578,0.030269,,0.663296,0.18936
0.040987,1.1592,0.5,8.7627,-0.005373,0.013931,0.74661,1.1592,0.5,8.7627,0.026876,0.00022802,0.011874,0.025569,0.0049515,0.029529,,0.655792,0.189984
0.040702,1.1674,0.5,8.7627,-0.0067238,0.015593,0.74485,1.1674,0.5,8.7627,0.026959,0.00012147,0.011998,0.025457,0.0048176,0.028988,,0.651232,0.191968
0.04063,1.1757,0.5,8.7627,-0.0078331,0.016717,0.74179,1.1757,0.5,8.7627,0.027001,1.47E-05,0.012186,0.025345,0.0048378,0.028914,,0.65008,0.194976
0.040281,1.1839,0.5,8.7627,-0.0081925,0.01751,0.73924,1.1839,0.5,8.7627,0.026964,-0.00015837,0.012292,0.024952,0.0045002,0.028647,,0.644496,0.196672
0.040016,1.1922,0.5,8.7627,-0.0076541,0.01958,0.73647,1.1922,0.5,8.7627,0.026964,-0.00036393,0.012316,0.024397,0.0039593,0.028671,,0.640256,0.197056
0.040063,1.2005,0.5,8.7627,-0.0064876,0.023778,0.73234,1.2005,0.5,8.7627,0.026997,-0.00049876,0.012188,0.024138,0.0034319,0.028991,,0.641008,0.195008
0.039805,1.2087,0.5,8.7627,-0.0057328,0.029984,0.72767,1.2087,0.5,8.7627,0.027125,-0.00065181,0.011739,0.024022,0.0029292,0.028464,,0.63688,0.187824
0.039569,1.217,0.5,8.7627,-0.005742,0.035792,0.72306,1.217,0.5,8.7627,0.027315,-0.00080967,0.011301,0.02398,0.0029357,0.027844,,0.633104,0.180816
