K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U-ref,K-dim,uw-dim
0.0039072,0.030909,0.5,8.7627,0.00056661,0.0099064,0.86065,0.030909,0.5,8.7627,0.0003108,-1.69E-05,-0.00035894,0.0026684,-0.00057025,0.0048352,0.25,0.0625152,-0.00574304
0.0048394,0.066184,0.5,8.7627,0.00010929,0.0088088,0.98199,0.066184,0.5,8.7627,0.00077064,6.91E-05,-0.00069286,0.0031647,-0.00060605,0.0057433,,0.0774304,-0.01108576
0.0041949,0.10006,0.5,8.7627,-0.0038161,0.0057977,1.0326,0.10006,0.5,8.7627,0.00096329,0.00015463,-0.00070626,0.0025024,-0.00034531,0.0049242,,0.0671184,-0.01130016
0.0032688,0.13258,0.5,8.7627,-0.010958,0.0031214,1.0724,0.13258,0.5,8.7627,0.00091534,0.00016212,-0.00051629,0.0017624,-0.00028206,0.0038598,,0.0523008,-0.00826064
0.0028534,0.16379,0.5,8.7627,-0.017475,0.0026833,1.0981,0.16379,0.5,8.7627,0.00082876,0.00015925,-0.00031457,0.0013805,-0.00045019,0.0034975,,0.0456544,-0.00503312
0.0028198,0.19372,0.5,8.7627,-0.020507,0.00077138,1.1078,0.19372,0.5,8.7627,0.00080547,0.00013781,-0.0002632,0.0010341,-0.00042192,0.0038001,,0.0451168,-0.0042112
0.0026,0.22242,0.5,8.7627,-0.021963,-0.0052086,1.1209,0.22242,0.5,8.7627,0.000853,0.00017249,-0.00037032,0.00079816,-0.0003077,0.0035489,,0.0416,-0.00592512
0.0020831,0.24993,0.5,8.7627,-0.024944,-0.010577,1.1384,0.24993,0.5,8.7627,0.00090415,0.00016188,-0.0002725,0.0008266,-0.00030046,0.0024355,,0.0333296,-0.00436
0.0021083,0.27629,0.5,8.7627,-0.028257,-0.01551,1.1397,0.27629,0.5,8.7627,0.00093466,0.00014074,3.09E-05,0.00098907,-0.00038255,0.0022928,,0.0337328,0.000494768
0.0024293,0.30154,0.5,8.7627,-0.030412,-0.019271,1.1378,0.30154,0.5,8.7627,0.00098489,0.00019872,-8.95E-05,0.0011073,-0.0004331,0.0027664,,0.0388688,-0.001432576
0.0023916,0.32572,0.5,8.7627,-0.032395,-0.023372,1.1471,0.32572,0.5,8.7627,0.0010292,0.00027467,-0.00021402,0.0012582,-0.00051101,0.0024957,,0.0382656,-0.00342432
