K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0029074,0.030909,0.5,8.7627,0.0030716,0.010178,0.93697,0.030909,0.5,8.7627,0.00038853,-4.81E-05,-0.00039932,0.0013583,0.00027441,0.0040679,0.19,0.080537396,-0.011061496
0.0041752,0.066184,0.5,8.7627,0.0064031,0.0075266,1.0633,0.066184,0.5,8.7627,0.0010134,-0.00014405,-0.00070973,0.0019052,2.16E-05,0.0054319,,0.11565651,-0.019660111
0.0040794,0.10006,0.5,8.7627,0.0094855,0.0036321,1.1052,0.10006,0.5,8.7627,0.0013602,-9.88E-05,-0.00059652,0.0018927,-0.00028936,0.0049059,,0.11300277,-0.0165241
0.0039721,0.13258,0.5,8.7627,0.012315,-0.0022736,1.1252,0.13258,0.5,8.7627,0.0015037,0.00018906,-0.00075751,0.0017048,-0.00055419,0.0047358,,0.110030471,-0.020983657
0.0044076,0.16379,0.5,8.7627,0.013756,-0.011765,1.1339,0.16379,0.5,8.7627,0.0017601,0.00029836,-0.00098273,0.0015555,-0.00053022,0.0054997,,0.122094183,-0.027222438
0.0038613,0.19372,0.5,8.7627,0.013096,-0.018323,1.1556,0.19372,0.5,8.7627,0.0020935,0.00029822,-0.00085844,0.00145,-0.00029157,0.004179,,0.106961219,-0.023779501
0.0037474,0.22242,0.5,8.7627,0.010875,-0.019829,1.1679,0.22242,0.5,8.7627,0.0024885,0.00039632,-0.00084888,0.0016035,-0.00048422,0.0034028,,0.103806094,-0.023514681
0.0039485,0.24993,0.5,8.7627,0.0083409,-0.017092,1.1707,0.24993,0.5,8.7627,0.0029714,0.00042988,-0.00059241,0.0017088,-0.0005675,0.0032168,,0.109376731,-0.016410249
0.0041262,0.27629,0.5,8.7627,0.0069816,-0.016905,1.1729,0.27629,0.5,8.7627,0.0034783,0.00042463,-0.00032727,0.0018598,-0.00056569,0.0029143,,0.114299169,-0.009065651
0.0046105,0.30154,0.5,8.7627,0.0073447,-0.018215,1.1752,0.30154,0.5,8.7627,0.0039646,0.00041907,-0.00022478,0.0020178,-0.00066995,0.0032386,,0.127714681,-0.006226593
0.0050869,0.32572,0.5,8.7627,0.0085072,-0.019914,1.1774,0.32572,0.5,8.7627,0.0043783,0.00050376,-0.00022931,0.0022881,-0.0008039,0.0035073,,0.140911357,-0.006352078
0.0059461,0.34887,0.5,8.7627,0.0096323,-0.023658,1.1803,0.34887,0.5,8.7627,0.0048894,0.00066311,-0.00022631,0.0027317,-0.00098757,0.0042711,,0.164711911,-0.006268975
0.0069687,0.37102,0.5,8.7627,0.010885,-0.028636,1.1801,0.37102,0.5,8.7627,0.0056343,0.00083271,6.70E-06,0.0031198,-0.0011406,0.0051834,,0.193038781,0.000185596
0.008207,0.39221,0.5,8.7627,0.012176,-0.033877,1.1774,0.39221,0.5,8.7627,0.0065333,0.0012313,0.00020346,0.0038037,-0.0012488,0.0060771,,0.22734072,0.005636011
0.010113,0.41248,0.5,8.7627,0.01302,-0.038946,1.1718,0.41248,0.5,8.7627,0.0076406,0.0018653,0.00052181,0.0050866,-0.001437,0.0074988,,0.280138504,0.014454571
0.012504,0.43187,0.5,8.7627,0.013248,-0.043522,1.1621,0.43187,0.5,8.7627,0.0091248,0.0024401,0.001234,0.0064971,-0.0013925,0.009387,,0.346371191,0.034182825
0.014974,0.4504,0.5,8.7627,0.013471,-0.046414,1.1499,0.4504,0.5,8.7627,0.010841,0.0029765,0.00205,0.007683,-0.00117,0.011424,,0.414792244,0.056786704
0.017037,0.46812,0.5,8.7627,0.014265,-0.04812,1.1343,0.46812,0.5,8.7627,0.012489,0.0036378,0.0025318,0.0089747,-0.00093108,0.01261,,0.471939058,0.070132964
0.01885,0.48504,0.5,8.7627,0.015074,-0.048936,1.1146,0.48504,0.5,8.7627,0.013996,0.004212,0.0030444,0.010325,-0.00042003,0.01338,,0.522160665,0.08433241
0.020862,0.50122,0.5,8.7627,0.015475,-0.048593,1.0903,0.50122,0.5,8.7627,0.015236,0.0046292,0.0039268,0.011659,0.00029927,0.01483,,0.577894737,0.108775623
0.022646,0.51667,0.5,8.7627,0.015239,-0.04686,1.0634,0.51667,0.5,8.7627,0.016104,0.0050297,0.0045685,0.013103,0.00086096,0.016086,,0.627313019,0.126551247
0.02423,0.53142,0.5,8.7627,0.013893,-0.04481,1.0373,0.53142,0.5,8.7627,0.016593,0.0054185,0.005148,0.014569,0.0014183,0.017298,,0.671191136,0.142603878
0.025583,0.54551,0.5,8.7627,0.01158,-0.04151,1.011,0.54551,0.5,8.7627,0.016676,0.0056413,0.0060134,0.015618,0.001968,0.018873,,0.70867036,0.166576177
0.026375,0.55896,0.5,8.7627,0.0090282,-0.038316,0.98606,0.55896,0.5,8.7627,0.016534,0.0055171,0.0065904,0.016151,0.0020649,0.020066,,0.730609418,0.182559557
0.026823,0.5718,0.5,8.7627,0.0069239,-0.037144,0.96352,0.5718,0.5,8.7627,0.016433,0.0054649,0.0070165,0.016575,0.0020883,0.020638,,0.743019391,0.194362881
