K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.035513,0.83719,0.5,8.7627,0.021932,0.08421,0.90456,0.83719,0.5,8.7627,0.020542,-0.00072907,0.00051723,0.028913,0.008878,0.021571,0.19,0.983739612,0.014327701
0.035417,0.84544,0.5,8.7627,0.0257,0.086108,0.90684,0.84544,0.5,8.7627,0.020467,-0.00070855,0.00063063,0.028792,0.0089833,0.021574,,0.981080332,0.017468975
0.035177,0.8537,0.5,8.7627,0.029147,0.087529,0.90894,0.8537,0.5,8.7627,0.020491,-0.00046878,0.00092817,0.028234,0.0091234,0.021628,,0.974432133,0.02571108
0.034997,0.86196,0.5,8.7627,0.032237,0.088536,0.91081,0.86196,0.5,8.7627,0.020591,-9.66E-05,0.001398,0.027621,0.0090818,0.021782,,0.969445983,0.038725762
0.034784,0.87021,0.5,8.7627,0.034963,0.088811,0.91126,0.87021,0.5,8.7627,0.020642,4.44E-05,0.0017251,0.026855,0.0090271,0.022071,,0.963545706,0.047786704
0.034677,0.87847,0.5,8.7627,0.036837,0.089312,0.90996,0.87847,0.5,8.7627,0.020577,-5.27E-05,0.0018126,0.026555,0.0091178,0.022222,,0.960581717,0.050210526
0.034756,0.88672,0.5,8.7627,0.037903,0.089322,0.90728,0.88672,0.5,8.7627,0.020439,-0.00015711,0.0019249,0.026775,0.0092173,0.022297,,0.962770083,0.05332133
0.034736,0.89498,0.5,8.7627,0.039159,0.088544,0.9048,0.89498,0.5,8.7627,0.020244,-0.00014884,0.0021554,0.026763,0.0091967,0.022466,,0.962216066,0.059706371
0.03458,0.90324,0.5,8.7627,0.041242,0.088188,0.90313,0.90324,0.5,8.7627,0.019912,-0.00012395,0.0024857,0.026615,0.0092179,0.022634,,0.957894737,0.068855956
0.034148,0.91149,0.5,8.7627,0.043882,0.08887,0.90012,0.91149,0.5,8.7627,0.019441,-0.00013796,0.0027848,0.026243,0.0092001,0.022612,,0.945927978,0.077141274
0.033466,0.91975,0.5,8.7627,0.046466,0.090939,0.89592,0.91975,0.5,8.7627,0.019017,-0.00030804,0.0029725,0.025438,0.0088311,0.022477,,0.927036011,0.08234072
0.032801,0.92801,0.5,8.7627,0.048466,0.093868,0.89176,0.92801,0.5,8.7627,0.01877,-0.00064598,0.0030835,0.024445,0.0081972,0.022387,,0.908614958,0.085415512
