K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.04933,1.6711,0.5,8.7627,0.19978,-0.032549,0.50572,1.6711,0.5,8.7627,0.038278,-0.010366,0.011116,0.030416,-0.008214,0.029966,0.19,1.366481994,0.307922438
0.048756,1.6793,0.5,8.7627,0.19653,-0.03037,0.50007,1.6793,0.5,8.7627,0.038854,-0.010055,0.01071,0.029258,-0.0081619,0.029399,,1.350581717,0.2966759
0.048358,1.6876,0.5,8.7627,0.19316,-0.029562,0.49645,1.6876,0.5,8.7627,0.039398,-0.0099102,0.01035,0.028235,-0.0078565,0.029083,,1.339556787,0.286703601
0.048462,1.6958,0.5,8.7627,0.18928,-0.029668,0.49318,1.6958,0.5,8.7627,0.039866,-0.010047,0.010272,0.02768,-0.0073775,0.029378,,1.342437673,0.284542936
0.04856,1.7041,0.5,8.7627,0.18451,-0.028395,0.48884,1.7041,0.5,8.7627,0.040166,-0.010381,0.010135,0.027401,-0.0069437,0.029553,,1.345152355,0.280747922
0.048299,1.7123,0.5,8.7627,0.17915,-0.025501,0.48278,1.7123,0.5,8.7627,0.040314,-0.01087,0.0096942,0.027212,-0.0066034,0.029072,,1.337922438,0.268537396
0.047891,1.7206,0.5,8.7627,0.17387,-0.022445,0.47631,1.7206,0.5,8.7627,0.040381,-0.011348,0.0092036,0.027315,-0.0064054,0.028086,,1.326620499,0.254947368
0.04754,1.7289,0.5,8.7627,0.16869,-0.020747,0.46983,1.7289,0.5,8.7627,0.040449,-0.011604,0.0088202,0.027369,-0.0063317,0.027263,,1.316897507,0.24432687
0.047294,1.7371,0.5,8.7627,0.16328,-0.019546,0.46273,1.7371,0.5,8.7627,0.040623,-0.011765,0.0085253,0.026892,-0.0060153,0.027073,,1.310083102,0.236157895
0.047072,1.7454,0.5,8.7627,0.15752,-0.017103,0.45732,1.7454,0.5,8.7627,0.041019,-0.011993,0.0079698,0.026235,-0.0054619,0.02689,,1.303933518,0.220770083
0.047093,1.7536,0.5,8.7627,0.15164,-0.014297,0.45321,1.7536,0.5,8.7627,0.041656,-0.012375,0.0071911,0.025876,-0.0049826,0.026654,,1.304515235,0.199199446
0.04763,1.7619,0.5,8.7627,0.1462,-0.011825,0.44934,1.7619,0.5,8.7627,0.042396,-0.012826,0.0065402,0.025951,-0.0048265,0.026912,,1.319390582,0.181168975
0.048291,1.7701,0.5,8.7627,0.14137,-0.0079649,0.4467,1.7701,0.5,8.7627,0.043135,-0.012975,0.0058359,0.026039,-0.0045679,0.027407,,1.337700831,0.16165928
0.048737,1.7784,0.5,8.7627,0.1365,-0.0027123,0.44486,1.7784,0.5,8.7627,0.04377,-0.013021,0.0048739,0.026148,-0.0039261,0.027556,,1.350055402,0.13501108
0.049228,1.7866,0.5,8.7627,0.13106,0.0019035,0.443,1.7866,0.5,8.7627,0.044279,-0.013292,0.0036664,0.02678,-0.0029677,0.027397,,1.36365651,0.101562327
0.049915,1.7949,0.5,8.7627,0.12552,0.0047202,0.44012,1.7949,0.5,8.7627,0.044842,-0.01375,0.0025371,0.027652,-0.0018297,0.027337,,1.382686981,0.070279778
0.050824,1.8032,0.5,8.7627,0.12063,0.0053052,0.43662,1.8032,0.5,8.7627,0.045573,-0.014284,0.00192,0.028355,-0.00097502,0.02772,,1.407867036,0.053185596
0.05185,1.8114,0.5,8.7627,0.11649,0.0047825,0.43367,1.8114,0.5,8.7627,0.046296,-0.01457,0.0016003,0.028931,-0.00063262,0.028473,,1.436288089,0.04432964
0.052652,1.8197,0.5,8.7627,0.11271,0.0041581,0.43205,1.8197,0.5,8.7627,0.046821,-0.014367,0.0010098,0.029443,-0.00036336,0.02904,,1.458504155,0.027972299
0.053258,1.8279,0.5,8.7627,0.10917,0.0043077,0.43306,1.8279,0.5,8.7627,0.047137,-0.013757,6.79E-05,0.030343,-0.00016356,0.029037,,1.475290859,0.001880886
0.053389,1.8362,0.5,8.7627,0.10576,0.0063637,0.43719,1.8362,0.5,8.7627,0.047194,-0.012964,-0.00097422,0.031003,-0.00020974,0.02858,,1.478919668,-0.026986704
0.053153,1.8446,0.5,8.7627,0.10223,0.0092208,0.44292,1.8446,0.5,8.7627,0.047095,-0.012272,-0.0020329,0.031245,-3.75E-05,0.027966,,1.472382271,-0.056313019
0.052932,1.8534,0.5,8.7627,0.098869,0.011289,0.45063,1.8534,0.5,8.7627,0.047077,-0.011534,-0.0031978,0.031288,0.00051461,0.027498,,1.466260388,-0.088581717
0.053054,1.8626,0.5,8.7627,0.09612,0.013207,0.45932,1.8626,0.5,8.7627,0.047157,-0.011052,-0.0044989,0.031383,0.0012492,0.027568,,1.469639889,-0.124623269
0.053353,1.8723,0.5,8.7627,0.093373,0.013893,0.46694,1.8723,0.5,8.7627,0.047231,-0.011069,-0.0057122,0.031673,0.0019466,0.027801,,1.477922438,-0.158232687
0.053493,1.8824,0.5,8.7627,0.089403,0.014621,0.47466,1.8824,0.5,8.7627,0.047316,-0.010987,-0.0070408,0.031502,0.002991,0.028168,,1.481800554,-0.195036011
0.053983,1.8931,0.5,8.7627,0.084426,0.015264,0.48409,1.8931,0.5,8.7627,0.047413,-0.010704,-0.0087531,0.03103,0.0044667,0.029524,,1.495373961,-0.242468144
0.054997,1.9042,0.5,8.7627,0.079475,0.016462,0.49594,1.9042,0.5,8.7627,0.047234,-0.0099993,-0.010863,0.031056,0.0060461,0.031704,,1.523462604,-0.300914127
0.05628,1.9159,0.5,8.7627,0.074413,0.019442,0.50763,1.9159,0.5,8.7627,0.046519,-0.0090355,-0.01271,0.031943,0.0074503,0.034097,,1.55900277,-0.352077562
0.057063,1.9282,0.5,8.7627,0.068134,0.020433,0.51974,1.9282,0.5,8.7627,0.045291,-0.0082717,-0.013623,0.032661,0.0080183,0.036175,,1.580692521,-0.377368421
0.057216,1.941,0.5,8.7627,0.060256,0.01931,0.53415,1.941,0.5,8.7627,0.043955,-0.0080052,-0.01441,0.032808,0.0080376,0.037669,,1.584930748,-0.399168975
0.057683,1.9545,0.5,8.7627,0.052125,0.017568,0.54938,1.9545,0.5,8.7627,0.042811,-0.0081494,-0.015645,0.032884,0.0083898,0.039671,,1.597867036,-0.433379501
0.057503,1.9686,0.5,8.7627,0.044524,0.014133,0.5687,1.9686,0.5,8.7627,0.041631,-0.007595,-0.016201,0.03273,0.0085925,0.040646,,1.592880886,-0.448781163
0.056869,1.9833,0.5,8.7627,0.036363,0.0096357,0.59324,1.9833,0.5,8.7627,0.04034,-0.0061984,-0.016423,0.032814,0.008025,0.040583,,1.57531856,-0.454930748
0.057413,1.9988,0.5,8.7627,0.027017,0.0074082,0.62509,1.9988,0.5,8.7627,0.039455,-0.0050157,-0.016951,0.033114,0.0069038,0.042257,,1.590387812,-0.469556787
0.058504,2.0149,0.5,8.7627,0.018462,0.0046802,0.66167,2.0149,0.5,8.7627,0.038942,-0.0044144,-0.017485,0.033035,0.0063314,0.04503,,1.620609418,-0.48434903
0.058827,2.0319,0.5,8.7627,0.012915,0.00011442,0.70119,2.0319,0.5,8.7627,0.038563,-0.0042734,-0.017919,0.032405,0.0058397,0.046686,,1.629556787,-0.496371191
0.059181,2.0496,0.5,8.7627,0.0089189,-0.0057908,0.74206,2.0496,0.5,8.7627,0.038177,-0.0047097,-0.0185,0.031651,0.0057354,0.048534,,1.639362881,-0.512465374
0.058865,2.0681,0.5,8.7627,0.0050538,-0.014853,0.78279,2.0681,0.5,8.7627,0.037397,-0.0052045,-0.019176,0.031057,0.0061797,0.049277,,1.630609418,-0.531191136
