K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0015666,0.030909,0.5,6.2583,-0.0055333,0.023274,0.98192,0.030909,0.5,6.2583,0.00026831,-0.0001553,-0.0003243,0.0008575,0.00033081,0.0020073,0.19,0.043396122,-0.00898338
0.0023823,0.066184,0.5,6.2583,-0.010807,0.024218,1.0996,0.066184,0.5,6.2583,0.00069045,-0.00010302,-0.00036123,0.0011287,-0.00025935,0.0029456,,0.06599169,-0.010006371
0.002892,0.10006,0.5,6.2583,-0.015308,0.026362,1.1246,0.10006,0.5,6.2583,0.00089456,4.55E-05,-0.00033109,0.0011351,-0.00055297,0.0037543,,0.080110803,-0.009171468
0.0029892,0.13258,0.5,6.2583,-0.019585,0.023079,1.1302,0.13258,0.5,6.2583,0.0010085,0.00012907,-0.00045648,0.0011904,-0.0004787,0.0037795,,0.082803324,-0.012644875
0.0027763,0.16379,0.5,6.2583,-0.022369,0.016375,1.1449,0.16379,0.5,6.2583,0.0010827,0.00025164,-0.00032251,0.0014396,-0.0003956,0.0030303,,0.076905817,-0.008933795
0.0025417,0.19372,0.5,6.2583,-0.027042,0.011425,1.1693,0.19372,0.5,6.2583,0.0011572,0.00047285,-2.96E-05,0.0013606,-1.54E-06,0.0025655,,0.070407202,-0.000819945
0.0024653,0.22242,0.5,6.2583,-0.03499,0.0043228,1.173,0.22242,0.5,6.2583,0.0014285,0.00069921,-3.75E-05,0.00132,-4.31E-06,0.002182,,0.068290859,-0.001038781
0.0028136,0.24993,0.5,6.2583,-0.041687,0.00049139,1.1823,0.24993,0.5,6.2583,0.0016842,0.00072222,-0.00024981,0.0015987,1.37E-06,0.0023443,,0.077939058,-0.006919945
0.0034613,0.27629,0.5,6.2583,-0.045563,-0.0057441,1.1908,0.27629,0.5,6.2583,0.0019447,0.00078775,-0.00042443,0.0018548,-0.00023009,0.003123,,0.095880886,-0.011757064
0.0034903,0.30154,0.5,6.2583,-0.048394,-0.0087977,1.1944,0.30154,0.5,6.2583,0.0023437,0.0010019,-0.00068589,0.0020209,-0.00061222,0.002616,,0.096684211,-0.018999723
0.00358,0.32572,0.5,6.2583,-0.052135,-0.0052796,1.198,0.32572,0.5,6.2583,0.002733,0.0012746,-0.00080951,0.0021842,-0.00089299,0.0022428,,0.099168975,-0.0224241
0.0039678,0.34887,0.5,6.2583,-0.057572,-0.0020476,1.1962,0.34887,0.5,6.2583,0.0029563,0.0013099,-0.00072332,0.0021989,-0.0011079,0.0027804,,0.109911357,-0.020036565
0.0044389,0.37102,0.5,6.2583,-0.063372,0.00051105,1.1891,0.37102,0.5,6.2583,0.0029776,0.0012246,-0.00074168,0.0023781,-0.0013612,0.0035221,,0.122961219,-0.020545152
0.0049069,0.39221,0.5,6.2583,-0.069394,0.006213,1.1919,0.39221,0.5,6.2583,0.0030192,0.0012407,-0.00081517,0.0027661,-0.0016938,0.0040286,,0.135925208,-0.022580886
0.0051931,0.41248,0.5,6.2583,-0.075702,0.010298,1.1905,0.41248,0.5,6.2583,0.0032344,0.0012218,-0.00085115,0.0030524,-0.0018815,0.0040994,,0.143853186,-0.023577562
0.0056865,0.43187,0.5,6.2583,-0.081797,0.012578,1.1947,0.43187,0.5,6.2583,0.0035395,0.001154,-0.0011327,0.0032451,-0.0019874,0.0045885,,0.157520776,-0.031376731
0.0059982,0.4504,0.5,6.2583,-0.088252,0.014096,1.1967,0.4504,0.5,6.2583,0.0038585,0.0011089,-0.0014178,0.0030328,-0.0017164,0.0051051,,0.166155125,-0.039274238
0.0061538,0.46812,0.5,6.2583,-0.094444,0.0093522,1.1965,0.46812,0.5,6.2583,0.0040892,0.0012382,-0.0015559,0.0027883,-0.001521,0.0054302,,0.170465374,-0.043099723
0.0060718,0.48504,0.5,6.2583,-0.099487,-0.0018507,1.2004,0.48504,0.5,6.2583,0.0042193,0.0013648,-0.0016032,0.0027946,-0.0015401,0.0051298,,0.168193906,-0.044409972
0.006222,0.50122,0.5,6.2583,-0.10353,-0.015294,1.2048,0.50122,0.5,6.2583,0.0043529,0.0014596,-0.0018179,0.0031269,-0.0016073,0.0049642,,0.172354571,-0.050357341
0.0066142,0.51667,0.5,6.2583,-0.10706,-0.026476,1.2158,0.51667,0.5,6.2583,0.0046036,0.0014875,-0.0020679,0.0034492,-0.0018179,0.0051757,,0.183218837,-0.057282548
