K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.028215,0.83719,0.5,6.2583,-0.098691,0.020549,0.64086,0.83719,0.5,6.2583,0.018743,-0.0059424,0.0010273,0.00958,-0.0037719,0.028107,0.19,0.781578947,0.028457064
0.024871,0.84544,0.5,6.2583,-0.094552,0.019479,0.63079,0.84544,0.5,6.2583,0.016136,-0.0054196,0.0012627,0.0094346,-0.0030064,0.024172,,0.688947368,0.034977839
0.021871,0.8537,0.5,6.2583,-0.09078,0.018124,0.61964,0.8537,0.5,6.2583,0.013941,-0.0048419,0.0014728,0.0091772,-0.0023298,0.020623,,0.605844875,0.040797784
0.019391,0.86196,0.5,6.2583,-0.08796,0.017225,0.61044,0.86196,0.5,6.2583,0.012127,-0.0042096,0.0014869,0.0089212,-0.0016665,0.017733,,0.537146814,0.041188366
0.017474,0.87021,0.5,6.2583,-0.085777,0.015957,0.6013,0.87021,0.5,6.2583,0.01069,-0.003513,0.0014363,0.0086593,-0.0012253,0.015599,,0.484044321,0.039786704
0.015901,0.87847,0.5,6.2583,-0.084037,0.014528,0.59206,0.87847,0.5,6.2583,0.0095756,-0.0028399,0.0013454,0.0084518,-0.00083904,0.013775,,0.440470914,0.037268698
0.014581,0.88672,0.5,6.2583,-0.082562,0.01383,0.58249,0.88672,0.5,6.2583,0.0086818,-0.0022149,0.0013052,0.00832,-0.00058819,0.012159,,0.403905817,0.036155125
0.013642,0.89498,0.5,6.2583,-0.080814,0.013893,0.5724,0.89498,0.5,6.2583,0.0079541,-0.0017406,0.0012916,0.0083065,-0.00069125,0.011024,,0.377894737,0.035778393
0.013097,0.90324,0.5,6.2583,-0.078339,0.014476,0.56148,0.90324,0.5,6.2583,0.0072761,-0.0014194,0.0014172,0.0085447,-0.00089162,0.010374,,0.362797784,0.039257618
0.012777,0.91149,0.5,6.2583,-0.074915,0.015919,0.55002,0.91149,0.5,6.2583,0.0066553,-0.001193,0.0015772,0.0090302,-0.001042,0.0098675,,0.353933518,0.043689751
0.012621,0.91975,0.5,6.2583,-0.070413,0.018434,0.53789,0.91975,0.5,6.2583,0.0061952,-0.0010096,0.0017864,0.0094514,-0.0011657,0.009596,,0.349612188,0.049484765
0.012632,0.92801,0.5,6.2583,-0.064729,0.021398,0.52445,0.92801,0.5,6.2583,0.0058695,-0.00084507,0.0020282,0.0096921,-0.00119,0.0097017,,0.349916898,0.056182825
0.01279,0.93626,0.5,6.2583,-0.057956,0.023522,0.50983,0.93626,0.5,6.2583,0.0056259,-0.00063382,0.0022247,0.0098287,-0.0011422,0.010125,,0.354293629,0.061626039
0.013101,0.94452,0.5,6.2583,-0.050656,0.02464,0.49479,0.94452,0.5,6.2583,0.0054618,-0.00039202,0.0023048,0.010039,-0.0010051,0.010701,,0.362908587,0.063844875
0.013593,0.95277,0.5,6.2583,-0.043492,0.026242,0.47936,0.95277,0.5,6.2583,0.0054067,-0.00023792,0.002341,0.010405,-0.0008419,0.011374,,0.376537396,0.064847645
0.014196,0.96103,0.5,6.2583,-0.036867,0.029815,0.46281,0.96103,0.5,6.2583,0.005446,-0.00015642,0.0024551,0.010761,-0.00077271,0.012185,,0.393240997,0.06800831
0.0148,0.96929,0.5,6.2583,-0.031055,0.035522,0.44504,0.96929,0.5,6.2583,0.0055873,-7.70E-05,0.0026867,0.011173,-0.00081505,0.012841,,0.409972299,0.074423823
0.015525,0.97754,0.5,6.2583,-0.025976,0.042341,0.42462,0.97754,0.5,6.2583,0.0058557,-8.85E-06,0.0029458,0.011777,-0.00092444,0.013417,,0.430055402,0.081601108
0.016306,0.9858,0.5,6.2583,-0.021253,0.048295,0.40112,0.9858,0.5,6.2583,0.0062212,-1.21E-05,0.0032037,0.012348,-0.0011852,0.014042,,0.451689751,0.088745152
0.016855,0.99405,0.5,6.2583,-0.016829,0.052155,0.37712,0.99405,0.5,6.2583,0.0066724,-7.71E-05,0.0035418,0.012497,-0.0014305,0.01454,,0.466897507,0.098110803
0.017138,1.0023,0.5,6.2583,-0.012917,0.054388,0.35354,1.0023,0.5,6.2583,0.0070814,-0.0001391,0.0038839,0.01215,-0.0011354,0.015045,,0.474736842,0.107587258
0.017115,1.0106,0.5,6.2583,-0.009864,0.055862,0.33067,1.0106,0.5,6.2583,0.0073576,-0.00015816,0.0041292,0.011513,-0.00032895,0.015358,,0.474099723,0.114382271
0.016616,1.0188,0.5,6.2583,-0.0079178,0.056656,0.30822,1.0188,0.5,6.2583,0.0075886,-0.00012632,0.0042495,0.010712,0.00041406,0.014933,,0.460277008,0.117714681
0.015773,1.0271,0.5,6.2583,-0.0071347,0.05584,0.28551,1.0271,0.5,6.2583,0.0077859,-9.58E-05,0.004114,0.0098944,0.00091232,0.013865,,0.436925208,0.113961219
0.014891,1.0353,0.5,6.2583,-0.0072744,0.0537,0.26298,1.0353,0.5,6.2583,0.0078333,-0.00016294,0.0037035,0.0092791,0.0012595,0.01267,,0.412493075,0.102590028
0.014027,1.0436,0.5,6.2583,-0.007726,0.051024,0.24139,1.0436,0.5,6.2583,0.0077274,-0.00029924,0.0031986,0.0087899,0.0014717,0.011537,,0.388559557,0.088603878
0.012989,1.0518,0.5,6.2583,-0.0081648,0.047203,0.22268,1.0518,0.5,6.2583,0.007619,-0.00039467,0.0027067,0.0083942,0.0016554,0.0099653,,0.359806094,0.074977839
0.011727,1.0601,0.5,6.2583,-0.0087297,0.041086,0.20725,1.0601,0.5,6.2583,0.0075192,-0.0004362,0.0022238,0.0078088,0.0016144,0.0081265,,0.324847645,0.061601108
0.010586,1.0684,0.5,6.2583,-0.0094318,0.033283,0.19498,1.0684,0.5,6.2583,0.0073462,-0.00050804,0.0016863,0.006989,0.0013033,0.0068375,,0.293240997,0.046711911
0.0095769,1.0766,0.5,6.2583,-0.010126,0.026118,0.1866,1.0766,0.5,6.2583,0.0070047,-0.00059685,0.001069,0.0061154,0.0010109,0.0060337,,0.265288089,0.029612188
0.0086634,1.0849,0.5,6.2583,-0.010897,0.021403,0.1819,1.0849,0.5,6.2583,0.0064539,-0.00064283,0.00053277,0.0053092,0.00077513,0.0055638,,0.23998338,0.014758172
0.0079878,1.0931,0.5,6.2583,-0.011587,0.019784,0.18142,1.0931,0.5,6.2583,0.0058395,-0.00065212,0.00018687,0.0047848,0.0005799,0.0053513,,0.221268698,0.005176454
0.0075682,1.1014,0.5,6.2583,-0.011769,0.019792,0.18448,1.1014,0.5,6.2583,0.0053087,-0.00061271,-7.94E-05,0.0044879,0.00038374,0.0053399,,0.209645429,-0.002199446
0.0072779,1.1096,0.5,6.2583,-0.011765,0.020099,0.18977,1.1096,0.5,6.2583,0.0048739,-0.00054819,-0.00032594,0.0042208,0.00014081,0.005461,,0.201603878,-0.009028809
0.0070092,1.1179,0.5,6.2583,-0.01197,0.019577,0.19762,1.1179,0.5,6.2583,0.0045099,-0.00049135,-0.00050863,0.0039713,4.25E-06,0.0055373,,0.194160665,-0.014089474
0.0068866,1.1262,0.5,6.2583,-0.012138,0.018355,0.20765,1.1262,0.5,6.2583,0.0041818,-0.00042987,-0.00060806,0.0039356,7.05E-05,0.0056558,,0.190764543,-0.016843767
0.0068314,1.1344,0.5,6.2583,-0.011742,0.017794,0.21799,1.1344,0.5,6.2583,0.0038409,-0.00036468,-0.00067656,0.0039414,0.00028316,0.0058805,,0.189235457,-0.018741274
0.0066515,1.1427,0.5,6.2583,-0.010685,0.016933,0.22814,1.1427,0.5,6.2583,0.0034826,-0.00028374,-0.00073663,0.0038164,0.00053415,0.0060041,,0.184252078,-0.020405263
0.0062896,1.1509,0.5,6.2583,-0.0091813,0.014493,0.23817,1.1509,0.5,6.2583,0.0031356,-0.00014258,-0.00073902,0.003596,0.00062006,0.0058477,,0.174227147,-0.020471468
0.0059165,1.1592,0.5,6.2583,-0.0075826,0.010932,0.24871,1.1592,0.5,6.2583,0.0028613,1.06E-05,-0.00064982,0.0033979,0.00062916,0.0055737,,0.163891967,-0.018000554
0.0056645,1.1674,0.5,6.2583,-0.0062791,0.0080018,0.26148,1.1674,0.5,6.2583,0.0027,0.00012737,-0.0005603,0.003305,0.00066084,0.0053241,,0.156911357,-0.015520776
