K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.049253,1.6711,0.5,6.2583,0.11052,-0.050368,0.43506,1.6711,0.5,6.2583,0.036016,-0.0010675,0.0049262,0.0049519,-0.0027137,0.057537,0.19,1.36434903,0.136459834
0.051596,1.6793,0.5,6.2583,0.12145,-0.053655,0.47204,1.6793,0.5,6.2583,0.041767,-0.0017992,0.007463,0.0051348,-0.0030599,0.05629,,1.429252078,0.206731302
0.05276,1.6876,0.5,6.2583,0.13072,-0.057798,0.50474,1.6876,0.5,6.2583,0.048473,-0.0020458,0.008382,0.0050489,-0.0027615,0.051999,,1.461495845,0.232188366
0.053587,1.6958,0.5,6.2583,0.13753,-0.061288,0.52765,1.6958,0.5,6.2583,0.056453,-0.0018724,0.0092936,0.0049501,-0.0019776,0.04577,,1.484404432,0.257440443
0.052437,1.7041,0.5,6.2583,0.14027,-0.061897,0.52604,1.7041,0.5,6.2583,0.064088,-0.0015256,0.010077,0.0047891,-0.0014133,0.035998,,1.452548476,0.279141274
0.081326,1.7123,0.5,6.2583,0.13802,-0.063668,0.44044,1.7123,0.5,6.2583,0.068959,-0.0011025,0.016177,0.0045564,-0.0029568,0.089137,,2.252797784,0.448116343
0.22811,1.7206,0.5,6.2583,0.13301,-0.065664,0.24574,1.7206,0.5,6.2583,0.06516,-0.00097871,0.038023,0.0047529,-0.013078,0.3863,,6.318836565,1.053268698
0.37444,1.7289,0.5,6.2583,0.12245,-0.066381,0.042028,1.7289,0.5,6.2583,0.051881,-0.0012479,0.058071,0.005,-0.024918,0.692,,10.37229917,1.608614958
0.41956,1.7371,0.5,6.2583,0.10433,-0.06256,-0.11659,1.7371,0.5,6.2583,0.035074,-0.0017975,0.05845,0.0049327,-0.028949,0.79912,,11.62216066,1.619113573
0.43233,1.7454,0.5,6.2583,0.092481,-0.052834,-0.25028,1.7454,0.5,6.2583,0.021265,-0.0014391,0.026583,0.0050257,-0.026986,0.83838,,11.97590028,0.736371191
0.30275,1.7536,0.5,6.2583,0.076413,-0.046513,-0.23773,1.7536,0.5,6.2583,0.023568,-0.00077992,-0.0033027,0.0062216,-0.016449,0.57571,,8.386426593,-0.091487535
0.12479,1.7619,0.5,6.2583,0.05338,-0.046858,-0.098751,1.7619,0.5,6.2583,0.032341,-0.0003484,-0.0074094,0.0088017,-0.0056384,0.20844,,3.456786704,-0.205246537
0.07505,1.7701,0.5,6.2583,0.042801,-0.048862,-0.0044751,1.7701,0.5,6.2583,0.035448,0.00055642,-0.0086592,0.012268,-0.002972,0.10238,,2.078947368,-0.239867036
0.078386,1.7784,0.5,6.2583,0.047368,-0.050922,0.079187,1.7784,0.5,6.2583,0.038103,0.001011,-0.0068467,0.014873,-0.0037955,0.1038,,2.171357341,-0.18965928
0.089022,1.7866,0.5,6.2583,0.070728,-0.05501,0.21502,1.7866,0.5,6.2583,0.039548,0.0011011,-0.0040216,0.015904,-0.0054238,0.12259,,2.46598338,-0.111401662
0.10184,1.7949,0.5,6.2583,0.11376,-0.062515,0.39983,1.7949,0.5,6.2583,0.039365,0.0013033,0.00030448,0.016539,-0.0067565,0.14777,,2.821052632,0.008434349
0.10557,1.8032,0.5,6.2583,0.16933,-0.075376,0.60666,1.8032,0.5,6.2583,0.037221,0.0014484,0.003117,0.017015,-0.0072708,0.1569,,2.924376731,0.08634349
0.093446,1.8114,0.5,6.2583,0.22498,-0.095702,0.79684,1.8114,0.5,6.2583,0.032519,0.0013831,0.0010531,0.016205,-0.0067266,0.13817,,2.588531856,0.029171745
0.070203,1.8197,0.5,6.2583,0.27305,-0.11665,0.95072,1.8197,0.5,6.2583,0.026305,0.0011185,-0.0033913,0.013354,-0.0050627,0.10075,,1.94468144,-0.093941828
0.047558,1.8279,0.5,6.2583,0.3088,-0.13199,1.0594,1.8279,0.5,6.2583,0.020842,0.00025106,-0.0056614,0.00995,-0.0031425,0.064325,,1.317396122,-0.156825485
0.031866,1.8362,0.5,6.2583,0.32882,-0.13974,1.1195,1.8362,0.5,6.2583,0.016994,-0.0010672,-0.0045001,0.0073164,-0.001915,0.039421,,0.882714681,-0.12465651
0.021936,1.8446,0.5,6.2583,0.33534,-0.13969,1.1445,1.8446,0.5,6.2583,0.014058,-0.0020414,-0.0019826,0.0056208,-0.0013783,0.024194,,0.607645429,-0.054919668
0.015716,1.8534,0.5,6.2583,0.3335,-0.13392,1.151,1.8534,0.5,6.2583,0.011344,-0.0023092,5.46E-06,0.0045692,-0.001289,0.015518,,0.43534626,0.000151247
0.011673,1.8626,0.5,6.2583,0.32751,-0.12585,1.1506,1.8626,0.5,6.2583,0.0088111,-0.002093,0.0008743,0.0039064,-0.0013823,0.010629,,0.323351801,0.024218837
0.0090338,1.8723,0.5,6.2583,0.31995,-0.11902,1.1491,1.8723,0.5,6.2583,0.006728,-0.0017263,0.00098259,0.0035359,-0.0013928,0.0078036,,0.250243767,0.02721856
0.0072403,1.8824,0.5,6.2583,0.31194,-0.11387,1.1484,1.8824,0.5,6.2583,0.0052234,-0.0013993,0.00068933,0.0033271,-0.0012293,0.0059301,,0.200562327,0.019095014
0.0061227,1.8931,0.5,6.2583,0.30356,-0.1102,1.1486,1.8931,0.5,6.2583,0.0042847,-0.0011478,0.00033535,0.0031911,-0.00104,0.0047694,,0.169603878,0.009289474
0.0053306,1.9042,0.5,6.2583,0.29432,-0.10655,1.1485,1.9042,0.5,6.2583,0.0037753,-0.00094828,8.93E-05,0.0029936,-0.00084452,0.0038923,,0.14766205,0.002473684
0.0047375,1.9159,0.5,6.2583,0.28404,-0.10241,1.1458,1.9159,0.5,6.2583,0.0034834,-0.00080966,-7.69E-06,0.002742,-0.00066589,0.0032496,,0.131232687,-0.000213019
0.004243,1.9282,0.5,6.2583,0.27315,-0.099423,1.1416,1.9282,0.5,6.2583,0.0033144,-0.00075146,-6.55E-05,0.0024347,-0.00054043,0.0027369,,0.117534626,-0.001814404
0.0038816,1.941,0.5,6.2583,0.26175,-0.094324,1.1342,1.941,0.5,6.2583,0.0031947,-0.0006912,4.90E-07,0.0022087,-0.00049774,0.0023597,,0.107523546,1.35734E-05
0.0036792,1.9545,0.5,6.2583,0.24966,-0.085843,1.1257,1.9545,0.5,6.2583,0.0030091,-0.00061928,-7.77E-05,0.0021953,-0.00046731,0.002154,,0.101916898,-0.002152355
0.0036887,1.9686,0.5,6.2583,0.23762,-0.075002,1.1166,1.9686,0.5,6.2583,0.0027524,-0.00050191,-0.00015132,0.0023822,-0.0006487,0.0022427,,0.102180055,-0.00419169
0.003853,1.9833,0.5,6.2583,0.22714,-0.06311,1.1091,1.9833,0.5,6.2583,0.0025107,-0.00035209,-0.00024058,0.0024313,-0.00070451,0.0027638,,0.106731302,-0.006664266
0.0038492,1.9988,0.5,6.2583,0.21866,-0.052338,1.1061,1.9988,0.5,6.2583,0.0023882,-0.00031553,-0.00026946,0.0022145,-0.00072801,0.0030958,,0.106626039,-0.007464266
0.0039372,2.0149,0.5,6.2583,0.21177,-0.044577,1.1066,2.0149,0.5,6.2583,0.0024031,-0.00027574,-4.73E-05,0.0019163,-0.00091725,0.0035551,,0.109063712,-0.001310249
0.0041224,2.0319,0.5,6.2583,0.20581,-0.044167,1.1046,2.0319,0.5,6.2583,0.0024928,-0.00049837,9.66E-05,0.0018575,-0.00095397,0.0038944,,0.114193906,0.0026759
0.0043199,2.0496,0.5,6.2583,0.19865,-0.045301,1.1033,2.0496,0.5,6.2583,0.0026527,-0.00076438,0.00039575,0.0019214,-0.00102,0.0040657,,0.11966482,0.010962604
0.0046559,2.0681,0.5,6.2583,0.18772,-0.042413,1.1041,2.0681,0.5,6.2583,0.002814,-0.00066472,0.0010672,0.001897,-0.0012221,0.0046007,,0.128972299,0.029562327
0.0050643,2.0875,0.5,6.2583,0.17374,-0.037907,1.0975,2.0875,0.5,6.2583,0.0028884,-0.00042819,0.0018051,0.0017843,-0.0013321,0.0054558,,0.140285319,0.05000277
0.0056256,2.1078,0.5,6.2583,0.16014,-0.030429,1.0846,2.1078,0.5,6.2583,0.0029217,-0.00036103,0.0021961,0.0018346,-0.0014046,0.0064949,,0.155833795,0.060833795
0.0062089,2.129,0.5,6.2583,0.14877,-0.023938,1.0721,2.129,0.5,6.2583,0.0029757,-0.00065092,0.0023081,0.0024968,-0.0018836,0.0069454,,0.17199169,0.063936288
0.0063603,2.1511,0.5,6.2583,0.13854,-0.021582,1.061,2.1511,0.5,6.2583,0.0031195,-0.000906,0.002046,0.0034477,-0.0023588,0.0061534,,0.176185596,0.0566759
0.0059143,2.1743,0.5,6.2583,0.12743,-0.018945,1.0548,2.1743,0.5,6.2583,0.0034418,-0.00079554,0.0013425,0.0035266,-0.0019848,0.0048602,,0.163831025,0.037188366
0.00549,2.1984,0.5,6.2583,0.11518,-0.016499,1.0504,2.1984,0.5,6.2583,0.0038259,-0.00030284,0.00079256,0.0030391,-0.0013088,0.004115,,0.152077562,0.021954571
