K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0023033,0.030909,0.5,3.7698,-0.003093,0.025004,0.74618,0.030909,0.5,3.7698,0.00019121,9.29E-05,-0.00017472,0.0015698,0.00044682,0.0028455,0.19,0.063803324,-0.004839889
0.0028681,0.066184,0.5,3.7698,-0.0039431,0.0174,0.86358,0.066184,0.5,3.7698,0.00042777,0.00010531,-0.00011247,0.0017591,0.0001725,0.0035494,,0.079448753,-0.003115512
0.0031075,0.10006,0.5,3.7698,-0.0017243,0.010959,0.88836,0.10006,0.5,3.7698,0.00050201,-2.58E-05,0.00012054,0.0015339,-0.0002058,0.0041792,,0.086080332,0.003339058
0.0025804,0.13258,0.5,3.7698,-0.0018726,0.019317,0.90828,0.13258,0.5,3.7698,0.00055651,-5.25E-05,7.84E-05,0.0014096,8.54E-05,0.0031947,,0.071479224,0.002171745
0.0020299,0.16379,0.5,3.7698,-0.0060602,0.020442,0.93617,0.16379,0.5,3.7698,0.00069805,3.67E-05,0.00021415,0.0012628,0.00019212,0.002099,,0.056229917,0.005932133
0.0023563,0.19372,0.5,3.7698,-0.010848,0.013691,0.94891,0.19372,0.5,3.7698,0.00081692,-4.93E-05,0.00023893,0.0013519,-0.00029728,0.0025437,,0.065271468,0.00661856
0.0024612,0.22242,0.5,3.7698,-0.01296,0.010259,0.96093,0.22242,0.5,3.7698,0.00094461,-2.90E-05,8.03E-05,0.0016149,-0.00011495,0.0023628,,0.068177285,0.002224377
0.0025704,0.24993,0.5,3.7698,-0.013819,0.0069476,0.97235,0.24993,0.5,3.7698,0.0011836,0.0002024,2.20E-05,0.0015238,-0.00010567,0.0024334,,0.071202216,0.000609418
0.0026102,0.27629,0.5,3.7698,-0.015437,0.0030368,0.99453,0.27629,0.5,3.7698,0.0013949,0.00032997,-0.00019661,0.0012047,-0.00068499,0.0026208,,0.072304709,-0.00544626
0.0024426,0.30154,0.5,3.7698,-0.015901,-0.0018177,0.99849,0.30154,0.5,3.7698,0.0015312,0.00043882,-0.00020286,0.0011652,-0.00029098,0.0021887,,0.06766205,-0.005619391
0.0028466,0.32572,0.5,3.7698,-0.014355,-0.0067719,0.97867,0.32572,0.5,3.7698,0.0016892,0.00012443,-0.00029871,0.0016315,0.00028942,0.0023726,,0.078853186,-0.008274515
0.0038412,0.34887,0.5,3.7698,-0.012582,-0.0097619,0.97268,0.34887,0.5,3.7698,0.0019108,-0.00049742,-0.00034706,0.0026141,-9.76E-05,0.0031576,,0.106404432,-0.00961385
0.0042874,0.37102,0.5,3.7698,-0.012133,-0.009551,0.98149,0.37102,0.5,3.7698,0.002152,-0.0009083,3.14E-05,0.0035087,-0.00058765,0.002914,,0.118764543,0.000869806
0.0048107,0.39221,0.5,3.7698,-0.011983,-0.0037727,0.98361,0.39221,0.5,3.7698,0.002284,-0.00085331,0.0004109,0.0033523,-0.0014883,0.003985,,0.133260388,0.011382271
0.0052277,0.41248,0.5,3.7698,-0.010833,0.00093632,0.98202,0.41248,0.5,3.7698,0.00209,-0.00032599,-0.00011567,0.002737,-0.0024621,0.0056284,,0.144811634,-0.003204155
0.0047168,0.43187,0.5,3.7698,-0.010538,0.0021053,0.98089,0.43187,0.5,3.7698,0.0016563,4.84E-05,-0.00096088,0.002123,-0.0022122,0.0056544,,0.13065928,-0.026617175
0.0039733,0.4504,0.5,3.7698,-0.012002,0.003682,0.98155,0.4504,0.5,3.7698,0.0012748,3.28E-05,-0.0011487,0.0016755,-0.0016355,0.0049964,,0.110063712,-0.031819945
0.0034672,0.46812,0.5,3.7698,-0.013533,0.0059329,0.98827,0.46812,0.5,3.7698,0.0011088,5.86E-06,-0.001063,0.0019151,-0.0014686,0.0039104,,0.096044321,-0.029445983
0.0038562,0.48504,0.5,3.7698,-0.014169,0.0089565,0.9917,0.48504,0.5,3.7698,0.0012087,0.00010102,-0.00092273,0.0024946,-0.0018736,0.0040092,,0.106819945,-0.025560388
0.0046597,0.50122,0.5,3.7698,-0.013606,0.013621,0.98892,0.50122,0.5,3.7698,0.0014616,0.00025852,-0.00094964,0.0029717,-0.0025366,0.0048862,,0.129077562,-0.026305817
0.0049459,0.51667,0.5,3.7698,-0.012681,0.015224,0.98901,0.51667,0.5,3.7698,0.0018345,0.00057108,-0.0011247,0.0029983,-0.0028414,0.0050591,,0.13700554,-0.031155125
0.004884,0.53142,0.5,3.7698,-0.012975,0.014604,0.99161,0.53142,0.5,3.7698,0.0022798,0.00086219,-0.0012397,0.0027225,-0.0027521,0.0047657,,0.135290859,-0.03434072
0.0050774,0.54551,0.5,3.7698,-0.014599,0.015368,0.9911,0.54551,0.5,3.7698,0.0026002,0.0010962,-0.00118,0.0027634,-0.0027306,0.0047912,,0.140648199,-0.032686981
0.0055981,0.55896,0.5,3.7698,-0.016396,0.020736,0.98928,0.55896,0.5,3.7698,0.0026966,0.0011555,-0.0011397,0.00334,-0.002959,0.0051595,,0.155072022,-0.031570637
0.0060077,0.5718,0.5,3.7698,-0.016981,0.027121,0.9883,0.5718,0.5,3.7698,0.0026464,0.0010283,-0.0013,0.003946,-0.0032375,0.0054231,,0.166418283,-0.03601108
0.0060157,0.58405,0.5,3.7698,-0.01597,0.02944,0.992,0.58405,0.5,3.7698,0.0025658,0.00087629,-0.0014948,0.0039311,-0.0032874,0.0055345,,0.166639889,-0.041407202
0.0058024,0.59575,0.5,3.7698,-0.013851,0.02854,0.99595,0.59575,0.5,3.7698,0.002512,0.00069748,-0.0014475,0.0032126,-0.0030351,0.0058802,,0.160731302,-0.040096953
0.0055154,0.6069,0.5,3.7698,-0.010994,0.024891,1.001,0.6069,0.5,3.7698,0.0025363,0.0006194,-0.0013972,0.0024106,-0.0025592,0.0060838,,0.152781163,-0.038703601
0.0047366,0.61755,0.5,3.7698,-0.0082176,0.019166,1.0124,0.61755,0.5,3.7698,0.0026596,0.00063813,-0.0014086,0.001806,-0.0018779,0.0050076,,0.131207756,-0.039019391
0.0039403,0.6277,0.5,3.7698,-0.0063553,0.013872,1.0259,0.6277,0.5,3.7698,0.002797,0.00063851,-0.0013422,0.0014231,-0.0012546,0.0036605,,0.109149584,-0.037180055
0.0036838,0.63738,0.5,3.7698,-0.0058298,0.0096403,1.0374,0.63738,0.5,3.7698,0.0028708,0.00059511,-0.0012107,0.0012167,-0.00095889,0.00328,,0.102044321,-0.033537396
0.0035539,0.64661,0.5,3.7698,-0.0065446,0.0062135,1.0467,0.64661,0.5,3.7698,0.0028368,0.00051222,-0.00093789,0.001063,-0.00084422,0.0032081,,0.098445983,-0.025980332
0.0034186,0.65542,0.5,3.7698,-0.0076605,0.0035487,1.0534,0.65542,0.5,3.7698,0.0027023,0.00039735,-0.00060233,0.00097593,-0.00085216,0.003159,,0.094698061,-0.016685042
0.0033488,0.66381,0.5,3.7698,-0.0083705,0.0012454,1.0582,0.66381,0.5,3.7698,0.0025345,0.00022344,-0.00025286,0.00098962,-0.00097728,0.0031735,,0.092764543,-0.007004432
0.0033175,0.67207,0.5,3.7698,-0.0085203,-0.00064578,1.0617,0.67207,0.5,3.7698,0.002363,1.54E-07,7.49E-05,0.0011122,-0.0010631,0.0031597,,0.091897507,0.002074792
0.0032294,0.68032,0.5,3.7698,-0.0083857,-0.0020539,1.0649,0.68032,0.5,3.7698,0.0021909,-0.00019701,0.00030316,0.0012761,-0.00096056,0.0029919,,0.089457064,0.008397784
0.0031224,0.68858,0.5,3.7698,-0.0082649,-0.0031141,1.0675,0.68858,0.5,3.7698,0.0020433,-0.00030439,0.00039107,0.0013651,-0.00072023,0.0028364,,0.086493075,0.010832964
0.0031402,0.69683,0.5,3.7698,-0.0082472,-0.0041703,1.0694,0.69683,0.5,3.7698,0.0019382,-0.00031391,0.0003713,0.0013481,-0.00053885,0.0029942,,0.08698615,0.010285319
0.0032932,0.70509,0.5,3.7698,-0.0081631,-0.0050381,1.0707,0.70509,0.5,3.7698,0.0018637,-0.00028241,0.00038053,0.0013149,-0.00047871,0.0034077,,0.091224377,0.010540997
0.0034698,0.71335,0.5,3.7698,-0.00773,-0.0054557,1.0714,0.71335,0.5,3.7698,0.0018063,-0.00027791,0.00051156,0.00132,-0.00048395,0.0038134,,0.096116343,0.014170637
0.0036305,0.7216,0.5,3.7698,-0.0068099,-0.0055122,1.0725,0.7216,0.5,3.7698,0.0017689,-0.00031511,0.00070155,0.00134,-0.00053574,0.004152,,0.100567867,0.019433518
0.0038507,0.72986,0.5,3.7698,-0.0054629,-0.0058503,1.0738,0.72986,0.5,3.7698,0.0017597,-0.00036377,0.00086391,0.0013658,-0.00067243,0.0045759,,0.10666759,0.023931025
0.00415,0.73811,0.5,3.7698,-0.0038426,-0.0072605,1.0749,0.73811,0.5,3.7698,0.0017707,-0.00040587,0.00097144,0.0014118,-0.00094634,0.0051175,,0.114958449,0.026909695
0.0044263,0.74637,0.5,3.7698,-0.0021581,-0.009976,1.0754,0.74637,0.5,3.7698,0.0017781,-0.00044187,0.0010284,0.0014804,-0.0013088,0.0055942,,0.122612188,0.028487535
0.0045906,0.75463,0.5,3.7698,-0.0005692,-0.013418,1.0754,0.75463,0.5,3.7698,0.0017619,-0.0004614,0.0010405,0.0015661,-0.0016494,0.0058533,,0.127163435,0.028822715
0.0046531,0.76288,0.5,3.7698,0.00087645,-0.016793,1.075,0.76288,0.5,3.7698,0.0017171,-0.00045061,0.0010064,0.00165,-0.0019228,0.0059391,,0.128894737,0.027878116
0.0046729,0.77114,0.5,3.7698,0.0021492,-0.01982,1.0742,0.77114,0.5,3.7698,0.0016504,-0.00042529,0.00093102,0.001709,-0.0021541,0.0059864,,0.129443213,0.025790028
0.0047048,0.7794,0.5,3.7698,0.003141,-0.022614,1.0724,0.7794,0.5,3.7698,0.00157,-0.00041834,0.00083518,0.0017456,-0.0023772,0.006094,,0.13032687,0.02313518
0.0048276,0.78765,0.5,3.7698,0.003674,-0.025114,1.0696,0.78765,0.5,3.7698,0.0014804,-0.00044091,0.00073692,0.0018034,-0.0026298,0.0063714,,0.133728532,0.020413296
0.0051153,0.79591,0.5,3.7698,0.0036072,-0.026953,1.0664,0.79591,0.5,3.7698,0.0013868,-0.0004788,0.00063754,0.0019486,-0.0029484,0.0068952,,0.141698061,0.017660388
0.0055328,0.80416,0.5,3.7698,0.0030018,-0.027681,1.0633,0.80416,0.5,3.7698,0.0012969,-0.00050932,0.00054425,0.0021837,-0.0033121,0.0075851,,0.153263158,0.015076177
0.0059344,0.81242,0.5,3.7698,0.0021276,-0.027046,1.0609,0.81242,0.5,3.7698,0.0012158,-0.00051016,0.00046011,0.0024251,-0.0036501,0.0082278,,0.164387812,0.012745429
0.006205,0.82068,0.5,3.7698,0.0012502,-0.025285,1.059,0.82068,0.5,3.7698,0.0011436,-0.00046751,0.00036734,0.002603,-0.0039233,0.0086634,,0.171883657,0.010175623
0.0063211,0.82893,0.5,3.7698,0.00049078,-0.022905,1.0571,0.82893,0.5,3.7698,0.0010792,-0.00038499,0.00025094,0.0027065,-0.0041164,0.0088565,,0.175099723,0.006951247
0.0023062,0.030909,0.5,3.8173,-0.0033611,0.025298,0.74768,0.030909,0.5,3.8173,0.00019216,0.00010103,-0.0001389,0.0015568,0.00047561,0.0028635,,0.063883657,-0.003847645
0.0028875,0.066184,0.5,3.8173,-0.004285,0.017725,0.86375,0.066184,0.5,3.8173,0.00043335,0.00012123,-4.29E-05,0.0017456,0.00019565,0.0035961,,0.07998615,-0.001188366
0.0030539,0.10006,0.5,3.8173,-0.0017816,0.011303,0.88848,0.10006,0.5,3.8173,0.00049689,5.10E-06,0.00017016,0.0014999,-0.00016562,0.004111,,0.084595568,0.004713573
0.0024801,0.13258,0.5,3.8173,-0.001706,0.019426,0.90969,0.13258,0.5,3.8173,0.00053391,-5.64E-05,7.22E-05,0.0013744,0.00015405,0.003052,,0.068700831,0.002
