K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0062599,0.83719,0.5,3.7698,-0.00014499,-0.020283,1.0547,0.83719,0.5,3.7698,0.0010274,-0.00028259,0.00010922,0.0027571,-0.0041838,0.0087354,0.19,0.173404432,0.003025485
0.0060598,0.84544,0.5,3.7698,-0.0007052,-0.017579,1.0515,0.84544,0.5,3.7698,0.00099893,-0.00018479,-4.25E-05,0.0027881,-0.0041213,0.0083326,,0.167861496,-0.001177285
0.0058135,0.8537,0.5,3.7698,-0.0011618,-0.014639,1.0478,0.8537,0.5,3.7698,0.0010047,-9.51E-05,-0.00018449,0.00279,-0.0039578,0.0078323,,0.161038781,-0.005110526
0.0055302,0.86196,0.5,3.7698,-0.0012955,-0.011317,1.0443,0.86196,0.5,3.7698,0.0010464,-7.30E-06,-0.00032154,0.0027045,-0.0036777,0.0073095,,0.153191136,-0.008906925
0.0052179,0.87021,0.5,3.7698,-0.00088336,-0.00812,1.0421,0.87021,0.5,3.7698,0.0011111,6.65E-05,-0.00045729,0.0025122,-0.0032975,0.0068125,,0.144540166,-0.012667313
0.0049071,0.87847,0.5,3.7698,1.81E-05,-0.0056742,1.0408,0.87847,0.5,3.7698,0.0011762,0.00011328,-0.00057455,0.0022591,-0.0028764,0.006379,,0.135930748,-0.015915512
0.0045732,0.88672,0.5,3.7698,0.0011375,-0.0040431,1.0402,0.88672,0.5,3.7698,0.0012263,0.00013467,-0.00065314,0.0020148,-0.0024478,0.0059054,,0.12668144,-0.018092521
0.0041871,0.89498,0.5,3.7698,0.0022502,-0.0031396,1.0405,0.89498,0.5,3.7698,0.001258,0.00013614,-0.00068868,0.0018267,-0.0020502,0.0052895,,0.11598615,-0.019077008
0.0037799,0.90324,0.5,3.7698,0.0032924,-0.0029968,1.0415,0.90324,0.5,3.7698,0.0012669,0.00011731,-0.00069646,0.0017026,-0.0017438,0.0045904,,0.104706371,-0.019292521
0.0034187,0.91149,0.5,3.7698,0.004283,-0.0035605,1.042,0.91149,0.5,3.7698,0.0012472,7.85E-05,-0.00068497,0.0016287,-0.0015583,0.0039615,,0.094700831,-0.018974238
0.0031653,0.91975,0.5,3.7698,0.0051753,-0.0045677,1.0409,0.91975,0.5,3.7698,0.0012018,3.07E-05,-0.000647,0.0016017,-0.0014932,0.0035272,,0.08768144,-0.017922438
0.0030549,0.92801,0.5,3.7698,0.0058158,-0.0057932,1.0375,0.92801,0.5,3.7698,0.0011436,-1.52E-05,-0.00057335,0.0016307,-0.001554,0.0033355,,0.084623269,-0.015882271
0.0030655,0.93626,0.5,3.7698,0.006041,-0.0071232,1.0323,0.93626,0.5,3.7698,0.001091,-5.79E-05,-0.00045063,0.0017178,-0.0017087,0.0033222,,0.084916898,-0.012482825
0.0031451,0.94452,0.5,3.7698,0.0057715,-0.0080921,1.0264,0.94452,0.5,3.7698,0.0010656,-9.72E-05,-0.00027259,0.001858,-0.00186,0.0033666,,0.087121884,-0.00755097
0.0032476,0.95277,0.5,3.7698,0.0050146,-0.0081844,1.0209,0.95277,0.5,3.7698,0.001084,-0.00013158,-7.05E-05,0.0020323,-0.0019391,0.0033789,,0.089961219,-0.001952909
0.003306,0.96103,0.5,3.7698,0.0038288,-0.0076761,1.0165,0.96103,0.5,3.7698,0.0011524,-0.00015017,9.13E-05,0.0022217,-0.0019507,0.003238,,0.091578947,0.002529086
0.0033023,0.96929,0.5,3.7698,0.0023121,-0.0070913,1.013,0.96929,0.5,3.7698,0.0012716,-0.00013456,0.00016349,0.0024353,-0.0019244,0.0028978,,0.091476454,0.004528809
0.0033172,0.97754,0.5,3.7698,0.00060884,-0.0064592,1.0095,0.97754,0.5,3.7698,0.0014368,-9.93E-05,0.00016309,0.0026673,-0.0018985,0.0025303,,0.091889197,0.004517729
0.0034321,0.9858,0.5,3.7698,-0.0010867,-0.0057796,1.0054,0.9858,0.5,3.7698,0.0016291,-7.55E-05,0.00014586,0.002873,-0.0019057,0.0023622,,0.095072022,0.004040443
0.0036187,0.99405,0.5,3.7698,-0.0025292,-0.0049323,1.0015,0.99405,0.5,3.7698,0.0018229,-6.08E-05,0.00013437,0.0030008,-0.0019218,0.0024137,,0.100240997,0.003722161
0.0037739,1.0023,0.5,3.7698,-0.003477,-0.0034233,0.99843,1.0023,0.5,3.7698,0.0020067,-3.86E-05,0.00012001,0.003014,-0.0018827,0.0025272,,0.104540166,0.003324377
0.0038184,1.0106,0.5,3.7698,-0.0038048,-0.0009983,0.9958,1.0106,0.5,3.7698,0.0021936,-2.20E-06,0.00011038,0.0028981,-0.0017276,0.0025451,,0.105772853,0.003057618
0.0037191,1.0188,0.5,3.7698,-0.0035513,0.002056,0.99287,1.0188,0.5,3.7698,0.0024015,5.54E-05,0.00013016,0.0026268,-0.0014195,0.0024099,,0.103022161,0.00360554
0.0035397,1.0271,0.5,3.7698,-0.0029184,0.0053635,0.9885,1.0271,0.5,3.7698,0.0026242,0.00015144,0.00019195,0.0022392,-0.0010225,0.002216,,0.098052632,0.005317175
0.0034195,1.0353,0.5,3.7698,-0.0023236,0.0085847,0.98241,1.0353,0.5,3.7698,0.0028364,0.00028054,0.00027267,0.0019077,-0.00068952,0.0020949,,0.094722992,0.007553186
