K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0045202,1.6711,0.5,3.7698,-0.0084744,-0.02252,1.038,1.6711,0.5,3.7698,0.002888,0.00039448,-0.00061238,0.0020917,-0.0011643,0.0040607,0.19,0.125213296,-0.016963435
0.0050954,1.6793,0.5,3.7698,-0.0074731,-0.02089,1.035,1.6793,0.5,3.7698,0.0030834,0.00054222,-0.0006881,0.0021452,-0.0014148,0.0049622,,0.141146814,-0.019060942
0.0055594,1.6876,0.5,3.7698,-0.0059538,-0.017706,1.0337,1.6876,0.5,3.7698,0.0031585,0.00069321,-0.00086678,0.0022866,-0.001937,0.0056736,,0.154,-0.024010526
0.0058139,1.6958,0.5,3.7698,-0.0044483,-0.01462,1.0338,1.6958,0.5,3.7698,0.0031078,0.00080585,-0.0010807,0.0024407,-0.0024459,0.0060794,,0.161049861,-0.029936288
0.0058123,1.7041,0.5,3.7698,-0.0033991,-0.012276,1.0342,1.7041,0.5,3.7698,0.0029971,0.00086005,-0.0012543,0.002414,-0.0026844,0.0062136,,0.16100554,-0.034745152
0.0056416,1.7123,0.5,3.7698,-0.0029919,-0.010935,1.0345,1.7123,0.5,3.7698,0.0028945,0.00083809,-0.0013621,0.0022339,-0.0026427,0.0061548,,0.156277008,-0.037731302
0.0054523,1.7206,0.5,3.7698,-0.003102,-0.010661,1.0343,1.7206,0.5,3.7698,0.0028313,0.00073328,-0.0013741,0.0020274,-0.0024453,0.0060459,,0.151033241,-0.038063712
0.0052661,1.7289,0.5,3.7698,-0.003345,-0.010838,1.0332,1.7289,0.5,3.7698,0.0027999,0.00055757,-0.001254,0.0018668,-0.0022139,0.0058656,,0.145875346,-0.034736842
0.0049865,1.7371,0.5,3.7698,-0.0033248,-0.010458,1.0314,1.7371,0.5,3.7698,0.0027661,0.00033435,-0.0010104,0.0017591,-0.0019952,0.0054478,,0.138130194,-0.02798892
0.0046298,1.7454,0.5,3.7698,-0.002888,-0.0088144,1.0296,1.7454,0.5,3.7698,0.0026912,9.78E-05,-0.00073729,0.0017066,-0.0018208,0.0048618,,0.128249307,-0.020423546
0.0043051,1.7536,0.5,3.7698,-0.0021734,-0.0059344,1.0285,1.7536,0.5,3.7698,0.0025578,-9.97E-05,-0.00052829,0.0017168,-0.0017029,0.0043355,,0.119254848,-0.014634072
0.00405,1.7619,0.5,3.7698,-0.00143,-0.0023942,1.0276,1.7619,0.5,3.7698,0.0023765,-0.00022302,-0.00037023,0.0017773,-0.0016014,0.0039462,,0.112188366,-0.010255679
0.0038458,1.7701,0.5,3.7698,-0.00080234,0.0010577,1.0267,1.7701,0.5,3.7698,0.0021674,-0.00028172,-0.00021647,0.0018664,-0.0014854,0.0036578,,0.106531856,-0.005996399
0.0036442,1.7784,0.5,3.7698,-0.00031051,0.0036661,1.0268,1.7784,0.5,3.7698,0.0019472,-0.00029579,-8.21E-05,0.0019528,-0.0013614,0.0033883,,0.100947368,-0.002274238
0.0033998,1.7866,0.5,3.7698,6.04E-05,0.0050046,1.0286,1.7866,0.5,3.7698,0.0017345,-0.00028231,5.82E-06,0.0020077,-0.0012393,0.0030573,,0.094177285,0.000161219
0.0031558,1.7949,0.5,3.7698,0.00030807,0.0052104,1.032,1.7949,0.5,3.7698,0.0015496,-0.00026823,5.45E-05,0.002048,-0.0011192,0.0027141,,0.087418283,0.001509695
0.0029894,1.8032,0.5,3.7698,0.00037879,0.004705,1.036,1.8032,0.5,3.7698,0.0014012,-0.00027417,8.17E-05,0.0021008,-0.0010083,0.0024769,,0.082808864,0.002263158
0.0028932,1.8114,0.5,3.7698,0.00021196,0.0038844,1.0401,1.8114,0.5,3.7698,0.0012788,-0.00029287,0.00011187,0.0021521,-0.00093434,0.0023556,,0.080144044,0.003098892
0.0028419,1.8197,0.5,3.7698,-0.000145,0.0030094,1.0443,1.8197,0.5,3.7698,0.0011649,-0.00031471,0.00016534,0.0021773,-0.00092607,0.0023416,,0.078722992,0.004580055
0.002831,1.8279,0.5,3.7698,-0.00051541,0.0019762,1.048,1.8279,0.5,3.7698,0.0010565,-0.00036034,0.00024192,0.0021882,-0.00098664,0.0024173,,0.078421053,0.006701385
0.0028764,1.8362,0.5,3.7698,-0.00070919,0.00075695,1.0511,1.8362,0.5,3.7698,0.00097365,-0.00044366,0.00035326,0.0022412,-0.0011139,0.0025379,,0.07967867,0.009785596
0.0030276,1.8446,0.5,3.7698,-0.00061747,-0.00062392,1.0531,1.8446,0.5,3.7698,0.00093615,-0.00055114,0.00050849,0.0023369,-0.0013433,0.0027822,,0.083867036,0.014085596
0.0032607,1.8534,0.5,3.7698,-0.00024989,-0.0025359,1.0537,1.8534,0.5,3.7698,0.0009421,-0.00065838,0.00070882,0.002401,-0.0016696,0.0031782,,0.0903241,0.019634903
0.0034952,1.8626,0.5,3.7698,0.00024899,-0.0048816,1.0517,1.8626,0.5,3.7698,0.00098499,-0.00074226,0.00090572,0.0023894,-0.0019448,0.003616,,0.096819945,0.025089197
0.0037033,1.8723,0.5,3.7698,0.00073436,-0.0075028,1.047,1.8723,0.5,3.7698,0.0010765,-0.00082031,0.0010814,0.0023888,-0.0020767,0.0039412,,0.102584488,0.029955679
0.0039081,1.8824,0.5,3.7698,0.0012312,-0.0108,1.04,1.8824,0.5,3.7698,0.0012348,-0.00095385,0.0013198,0.0025014,-0.0021796,0.00408,,0.108257618,0.036559557
0.0043215,1.8931,0.5,3.7698,0.0015656,-0.014138,1.0329,1.8931,0.5,3.7698,0.0014628,-0.0011642,0.0016823,0.0027903,-0.0024215,0.0043899,,0.119709141,0.046601108
0.0048891,1.9042,0.5,3.7698,0.00094886,-0.016714,1.0295,1.9042,0.5,3.7698,0.0017514,-0.0014104,0.0020357,0.0032354,-0.002754,0.0047914,,0.135432133,0.056390582
0.0053426,1.9159,0.5,3.7698,-0.0011142,-0.018907,1.0283,1.9159,0.5,3.7698,0.0020871,-0.0015843,0.0022964,0.003574,-0.0030027,0.0050241,,0.14799446,0.063612188
0.0056561,1.9282,0.5,3.7698,-0.0038323,-0.018825,1.0219,1.9282,0.5,3.7698,0.0024308,-0.0015951,0.0025228,0.0036947,-0.00299,0.0051867,,0.15667867,0.069883657
