K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0044122,0.030909,0.5,1.2756,-0.0037953,0.027653,0.72858,0.030909,0.5,1.2756,0.00028745,-0.00024638,-0.00063,0.0015568,0.0020071,0.0069802,0.19,0.122221607,-0.017451524
0.0043208,0.066184,0.5,1.2756,-0.010293,0.016649,0.86405,0.066184,0.5,1.2756,0.00072632,-0.00028188,-0.00054292,0.0019218,0.0011275,0.0059934,,0.119689751,-0.015039335
0.0027913,0.10006,0.5,1.2756,-0.015407,0.0019932,0.90456,0.10006,0.5,1.2756,0.00084033,-0.00013854,-5.89E-05,0.0018124,-0.0004525,0.0029298,,0.07732133,-0.001631579
0.0020421,0.13258,0.5,1.2756,-0.014541,0.0038229,0.9137,0.13258,0.5,1.2756,0.00074787,-5.80E-05,-0.00016578,0.0012513,-0.00017254,0.0020851,,0.056567867,-0.004592244
0.0021323,0.16379,0.5,1.2756,-0.011217,0.0093891,0.93219,0.16379,0.5,1.2756,0.00080709,-9.03E-05,-0.00029971,0.00068621,0.0004717,0.0027712,,0.059066482,-0.008302216
0.0022741,0.19372,0.5,1.2756,-0.0058997,0.017392,0.92812,0.19372,0.5,1.2756,0.0009909,-0.00028835,-0.00068536,0.00068598,0.00065223,0.0028713,,0.06299446,-0.018985042
0.0018188,0.22242,0.5,1.2756,-0.0032833,0.025305,0.94081,0.22242,0.5,1.2756,0.0010713,-0.00034169,-0.00083968,0.00070026,0.00060794,0.001866,,0.050382271,-0.023259834
0.001767,0.24993,0.5,1.2756,-0.0089083,0.021466,0.94646,0.24993,0.5,1.2756,0.0010501,-0.00015538,-0.00060139,0.00066126,0.00045383,0.0018226,,0.048947368,-0.016659003
0.0019977,0.27629,0.5,1.2756,-0.015578,0.011778,0.9411,0.27629,0.5,1.2756,0.0010477,-3.81E-05,-0.00064996,0.00098403,0.00052842,0.0019636,,0.05533795,-0.018004432
0.0027163,0.30154,0.5,1.2756,-0.017457,0.0096156,0.95803,0.30154,0.5,1.2756,0.0011057,-9.06E-05,-0.00080412,0.0011562,0.00085043,0.0031707,,0.075243767,-0.022274792
0.003092,0.32572,0.5,1.2756,-0.018316,0.0095667,0.97403,0.32572,0.5,1.2756,0.0012759,-0.00019385,-0.00073784,0.0011289,0.0010336,0.0037792,,0.08565097,-0.020438781
0.0028978,0.34887,0.5,1.2756,-0.021653,0.00086544,0.99209,0.34887,0.5,1.2756,0.0014996,-0.00034822,-0.00075035,0.00094245,0.00091746,0.0033536,,0.080271468,-0.020785319
0.0029479,0.37102,0.5,1.2756,-0.024453,-0.0056956,1.001,0.37102,0.5,1.2756,0.0017063,-0.00057021,-0.0010212,0.0010119,0.00056978,0.0031777,,0.08165928,-0.028288089
0.0029507,0.39221,0.5,1.2756,-0.026424,-0.0049705,1.0121,0.39221,0.5,1.2756,0.0019036,-0.00069178,-0.0010687,0.0014223,0.00033122,0.0025756,,0.081736842,-0.029603878
0.0028852,0.41248,0.5,1.2756,-0.029053,-0.0054292,1.0174,0.41248,0.5,1.2756,0.0020816,-0.00062923,-0.00078093,0.0014823,7.20E-05,0.0022066,,0.079922438,-0.02163241
0.0029125,0.43187,0.5,1.2756,-0.030874,-0.0027821,1.023,0.43187,0.5,1.2756,0.0022288,-0.00054608,-0.0005811,0.0015339,-0.00023768,0.0020624,,0.08067867,-0.016096953
0.0035252,0.4504,0.5,1.2756,-0.032054,-0.00044788,1.031,0.4504,0.5,1.2756,0.0024148,-0.00053835,-0.00044147,0.0018838,-0.00037126,0.0027519,,0.09765097,-0.012229086
