K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.002364,0.83719,0.5,1.2756,0.00063829,-0.028895,1.0605,0.83719,0.5,1.2756,0.0010109,0.00018273,-0.00050348,0.0013902,-0.0010405,0.002327,0.19,0.065484765,-0.013946814
0.0023423,0.84544,0.5,1.2756,-0.00032111,-0.028722,1.0582,0.84544,0.5,1.2756,0.0011049,0.00023988,-0.00041937,0.0014621,-0.00098907,0.0021176,,0.064883657,-0.011616898
0.0022305,0.8537,0.5,1.2756,-0.00087385,-0.027641,1.0532,0.8537,0.5,1.2756,0.0011643,0.00029241,-0.00031406,0.001613,-0.00077688,0.0016836,,0.061786704,-0.008699723
0.0020803,0.86196,0.5,1.2756,-0.0011059,-0.026013,1.0467,0.86196,0.5,1.2756,0.0011889,0.00032926,-0.00019154,0.0017386,-0.00051588,0.0012332,,0.057626039,-0.005305817
0.0019508,0.87021,0.5,1.2756,-0.0010957,-0.02402,1.0417,0.87021,0.5,1.2756,0.0011967,0.00034273,-5.43E-05,0.0017133,-0.00032548,0.00099155,,0.054038781,-0.001504155
0.0018912,0.87847,0.5,1.2756,-0.00086934,-0.021679,1.038,0.87847,0.5,1.2756,0.0012139,0.00035345,9.93E-05,0.0015777,-0.0001596,0.00099096,,0.052387812,0.002750693
0.0019515,0.88672,0.5,1.2756,-0.00047214,-0.019121,1.0343,0.88672,0.5,1.2756,0.0012604,0.00037993,0.00025943,0.0014564,-5.92E-06,0.0011863,,0.054058172,0.007186427
0.0021497,0.89498,0.5,1.2756,-2.51E-05,-0.016566,1.0307,0.89498,0.5,1.2756,0.0013364,0.00042631,0.00038923,0.0014262,7.44E-05,0.0015369,,0.059548476,0.010781994
0.0024202,0.90324,0.5,1.2756,0.00026176,-0.014001,1.0278,0.90324,0.5,1.2756,0.0014293,0.00048166,0.00047995,0.0014843,8.03E-05,0.0019268,,0.067041551,0.013295014
0.0027351,0.91149,0.5,1.2756,0.0001826,-0.011293,1.0252,0.91149,0.5,1.2756,0.0015302,0.00053918,0.00056192,0.0016334,6.28E-05,0.0023066,,0.075764543,0.015565651
0.0031052,0.91975,0.5,1.2756,-0.00030062,-0.0085425,1.0219,0.91975,0.5,1.2756,0.0016249,0.00062161,0.00065032,0.001931,-1.57E-05,0.0026545,,0.08601662,0.018014404
0.0035113,0.92801,0.5,1.2756,-0.0010695,-0.005779,1.0182,0.92801,0.5,1.2756,0.001684,0.00073629,0.00072664,0.0023845,-0.00019589,0.0029541,,0.097265928,0.020128532
0.0039311,0.93626,0.5,1.2756,-0.0021,-0.0030845,1.0146,0.93626,0.5,1.2756,0.0016797,0.0008334,0.00079353,0.0028341,-0.00039247,0.0033484,,0.108894737,0.02198144
0.0041787,0.94452,0.5,1.2756,-0.0033934,-0.00056277,1.0115,0.94452,0.5,1.2756,0.0016158,0.0008592,0.00082402,0.0030634,-0.00056568,0.0036782,,0.115753463,0.022826039
0.0041408,0.95277,0.5,1.2756,-0.0045603,0.0020661,1.0071,0.95277,0.5,1.2756,0.0015349,0.00083367,0.00075502,0.0030997,-0.00079266,0.003647,,0.114703601,0.020914681
0.003977,0.96103,0.5,1.2756,-0.0050256,0.004881,1.0014,0.96103,0.5,1.2756,0.0014885,0.00080114,0.00062752,0.0030908,-0.0010321,0.0033747,,0.110166205,0.017382825
0.0037493,0.96929,0.5,1.2756,-0.0046248,0.0071432,0.99706,0.96929,0.5,1.2756,0.0015013,0.00077253,0.00052007,0.0030365,-0.001138,0.0029609,,0.103858726,0.014406371
0.0034684,0.97754,0.5,1.2756,-0.0035714,0.0084373,0.99398,0.97754,0.5,1.2756,0.001561,0.00076684,0.00042333,0.0029543,-0.0010837,0.0024215,,0.096077562,0.011726593
0.003264,0.9858,0.5,1.2756,-0.0021056,0.0098346,0.98972,0.9858,0.5,1.2756,0.0016354,0.00078985,0.00032048,0.0029418,-0.00093473,0.0019508,,0.090415512,0.008877562
0.0031754,0.99405,0.5,1.2756,-0.0004506,0.012052,0.98371,0.99405,0.5,1.2756,0.0017063,0.00080617,0.0002344,0.0029873,-0.00073849,0.0016571,,0.087961219,0.006493075
0.0031002,1.0023,0.5,1.2756,0.0011796,0.014381,0.97656,1.0023,0.5,1.2756,0.0017737,0.00079582,0.00016437,0.0029932,-0.00056861,0.0014336,,0.085878116,0.004553186
0.0029737,1.0106,0.5,1.2756,0.0026592,0.01634,0.96904,1.0106,0.5,1.2756,0.0018262,0.00076948,8.52E-05,0.0029189,-0.00050109,0.0012024,,0.082373961,0.002360111
0.0028054,1.0188,0.5,1.2756,0.0038832,0.017725,0.96191,1.0188,0.5,1.2756,0.0018413,0.00074254,-1.78E-05,0.0027668,-0.00051258,0.0010026,,0.077711911,-0.000493075
0.0026169,1.0271,0.5,1.2756,0.0047417,0.018216,0.95601,1.0271,0.5,1.2756,0.0018093,0.00072381,-0.00013942,0.0025455,-0.0005382,0.00087895,,0.072490305,-0.00386205
0.0024507,1.0353,0.5,1.2756,0.0052218,0.017803,0.95216,1.0353,0.5,1.2756,0.0017408,0.00071066,-0.0002455,0.0022774,-0.00055717,0.00088328,,0.067886427,-0.006800554
0.0023463,1.0436,0.5,1.2756,0.0054179,0.016575,0.95046,1.0436,0.5,1.2756,0.0016616,0.00069403,-0.00029728,0.0019884,-0.00057058,0.0010426,,0.06499446,-0.008234903
0.0022941,1.0518,0.5,1.2756,0.0054692,0.014643,0.95037,1.0518,0.5,1.2756,0.0016035,0.00066995,-0.00028546,0.0017086,-0.00056122,0.001276,,0.063548476,-0.007907479
0.0022521,1.0601,0.5,1.2756,0.0055098,0.012388,0.95145,1.0601,0.5,1.2756,0.0015884,0.00063977,-0.00022292,0.0014676,-0.00049847,0.0014483,,0.062385042,-0.006175069
0.0022042,1.0684,0.5,1.2756,0.0055906,0.010337,0.95336,1.0684,0.5,1.2756,0.0016157,0.00059618,-0.00014544,0.0012836,-0.00038317,0.001509,,0.061058172,-0.004028809
0.0021563,1.0766,0.5,1.2756,0.0056671,0.0088221,0.95543,1.0766,0.5,1.2756,0.0016621,0.00053417,-8.64E-05,0.0011522,-0.00025758,0.0014982,,0.059731302,-0.002393352
0.0021143,1.0849,0.5,1.2756,0.005708,0.0079125,0.95676,1.0849,0.5,1.2756,0.0016925,0.0004628,-5.00E-05,0.0010499,-0.00016431,0.0014862,,0.058567867,-0.001385042
0.0020756,1.0931,0.5,1.2756,0.00575,0.0074082,0.95711,1.0931,0.5,1.2756,0.0016833,0.0003894,-3.10E-05,0.00095385,-0.00012141,0.001514,,0.057495845,-0.000858726
0.0020256,1.1014,0.5,1.2756,0.0057934,0.0070615,0.95688,1.1014,0.5,1.2756,0.0016336,0.0003132,-3.14E-05,0.00086254,-0.0001293,0.0015551,,0.056110803,-0.000869806
0.0019817,1.1096,0.5,1.2756,0.0057441,0.0069063,0.95621,1.1096,0.5,1.2756,0.0015556,0.00023706,-5.08E-05,0.00079742,-0.00018187,0.0016103,,0.054894737,-0.001407202
0.0019902,1.1179,0.5,1.2756,0.0055337,0.0069894,0.95537,1.1179,0.5,1.2756,0.0014645,0.00016648,-6.63E-05,0.00077292,-0.00025719,0.001743,,0.055130194,-0.001836565
0.0020204,1.1262,0.5,1.2756,0.0052083,0.0071298,0.95484,1.1262,0.5,1.2756,0.0013771,0.00010357,-4.53E-05,0.00077503,-0.00031673,0.0018888,,0.055966759,-0.001254848
0.0020154,1.1344,0.5,1.2756,0.004832,0.0070435,0.95442,1.1344,0.5,1.2756,0.0013123,5.13E-05,2.75E-05,0.00078354,-0.00034033,0.0019348,,0.055828255,0.000761773
0.0020361,1.1427,0.5,1.2756,0.0043651,0.0064056,0.95353,1.1427,0.5,1.2756,0.0012836,6.83E-06,0.00014418,0.00079855,-0.00036537,0.0019899,,0.056401662,0.003993906
0.002182,1.1509,0.5,1.2756,0.0037045,0.0051545,0.95231,1.1509,0.5,1.2756,0.0012832,-4.23E-05,0.00029121,0.00082787,-0.00043945,0.0022529,,0.060443213,0.008066759
0.00247,1.1592,0.5,1.2756,0.0028402,0.0038599,0.95143,1.1592,0.5,1.2756,0.0012873,-9.91E-05,0.00045944,0.00087031,-0.00055701,0.0027824,,0.068421053,0.01272687
0.0028241,1.1674,0.5,1.2756,0.0019794,0.0031143,0.95209,1.1674,0.5,1.2756,0.0012859,-0.0001582,0.0006568,0.0009129,-0.00067833,0.0034494,,0.078229917,0.018193906
