K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0030372,1.6711,0.5,1.2756,-0.010213,-0.017855,1.0395,1.6711,0.5,1.2756,0.0029517,0.00048964,-0.0014982,0.0011449,-0.00088373,0.0019778,0.19,0.084132964,-0.041501385
0.0028436,1.6793,0.5,1.2756,-0.0083489,-0.018273,1.0393,1.6793,0.5,1.2756,0.0029923,0.00024432,-0.0013364,0.00097291,-0.00069355,0.0017219,,0.078770083,-0.037019391
0.0026229,1.6876,0.5,1.2756,-0.0064656,-0.018443,1.0394,1.6876,0.5,1.2756,0.0029702,2.60E-05,-0.0010829,0.00080381,-0.00051951,0.0014719,,0.07265651,-0.02999723
0.0024778,1.6958,0.5,1.2756,-0.0047613,-0.018212,1.0391,1.6958,0.5,1.2756,0.002862,-0.00013573,-0.00088335,0.00067482,-0.00040374,0.0014189,,0.068637119,-0.024469529
0.0024051,1.7041,0.5,1.2756,-0.0033542,-0.017414,1.0385,1.7041,0.5,1.2756,0.0026722,-0.0002154,-0.00083982,0.00057593,-0.00032081,0.0015621,,0.066623269,-0.023263712
0.0023042,1.7123,0.5,1.2756,-0.0022819,-0.015985,1.0401,1.7123,0.5,1.2756,0.0024414,-0.00019499,-0.00082871,0.0005018,-0.00024668,0.0016652,,0.063828255,-0.022955956
0.0022326,1.7206,0.5,1.2756,-0.001689,-0.013739,1.0434,1.7206,0.5,1.2756,0.002195,-7.12E-05,-0.00083062,0.00046647,-0.00023665,0.0018036,,0.061844875,-0.023008864
0.0022893,1.7289,0.5,1.2756,-0.0017302,-0.010465,1.0463,1.7289,0.5,1.2756,0.0019314,0.00013096,-0.00090835,0.00049326,-0.00035374,0.0021538,,0.063415512,-0.02516205
0.00233,1.7371,0.5,1.2756,-0.0022825,-0.0064322,1.0504,1.7371,0.5,1.2756,0.0016674,0.00034491,-0.00090386,0.00060343,-0.00055056,0.0023891,,0.064542936,-0.025037673
0.0022631,1.7454,0.5,1.2756,-0.0030617,-0.0025879,1.0564,1.7454,0.5,1.2756,0.001429,0.00049559,-0.00075955,0.00077405,-0.00071075,0.0023232,,0.062689751,-0.021040166
