"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0041051,0.030909,0.5,8.7627,0.0011726,0.012121,0.95794,0.030909,0.5,8.7627,0.0006264,-5.4956e-05,-0.00046399,0.0016098,0.00052899,0.005974
0.0054012,0.066184,0.5,8.7627,0.0021472,0.0084223,1.0896,0.066184,0.5,8.7627,0.001559,-0.00015724,-0.00059665,0.0021784,0.00024386,0.007065
0.005597,0.10006,0.5,8.7627,0.0020225,0.00046641,1.1317,0.10006,0.5,8.7627,0.0021268,-3.6484e-05,-0.00040966,0.0020959,-0.00015249,0.0069713
0.0063622,0.13258,0.5,8.7627,0.00062498,-0.0099287,1.1555,0.13258,0.5,8.7627,0.0027121,0.0003069,-0.0007476,0.0018517,-0.00031712,0.0081605
0.0066884,0.16379,0.5,8.7627,-0.0019647,-0.019399,1.1664,0.16379,0.5,8.7627,0.0037039,0.00055673,-0.00063479,0.0019525,-0.00027011,0.0077204
0.0070848,0.19372,0.5,8.7627,-0.0057123,-0.024703,1.1797,0.19372,0.5,8.7627,0.0050679,0.00096784,-0.00021207,0.0023307,-0.00037921,0.006771
0.0088454,0.22242,0.5,8.7627,-0.0099394,-0.026954,1.1783,0.22242,0.5,8.7627,0.0071232,0.0015864,0.00025457,0.0032767,-0.00029398,0.0072908
0.011147,0.24993,0.5,8.7627,-0.013746,-0.029112,1.1753,0.24993,0.5,8.7627,0.009821,0.0025866,0.00088836,0.0048564,5.4231e-05,0.0076167
0.01439,0.27629,0.5,8.7627,-0.016347,-0.033393,1.1656,0.27629,0.5,8.7627,0.012646,0.0038233,0.0023713,0.0067083,0.00067211,0.0094251
0.018716,0.30154,0.5,8.7627,-0.017362,-0.037899,1.1462,0.30154,0.5,8.7627,0.015367,0.0046896,0.0048271,0.0085669,0.0014849,0.013499
0.023921,0.32572,0.5,8.7627,-0.017497,-0.043347,1.1213,0.32572,0.5,8.7627,0.017733,0.0056183,0.0071073,0.010906,0.0030299,0.019203
0.028939,0.34887,0.5,8.7627,-0.017219,-0.045423,1.0913,0.34887,0.5,8.7627,0.019992,0.0063139,0.0092971,0.013121,0.0042712,0.024764
0.033684,0.37102,0.5,8.7627,-0.016708,-0.046434,1.0588,0.37102,0.5,8.7627,0.02251,0.0064384,0.011228,0.014796,0.0044165,0.030063
0.037851,0.39221,0.5,8.7627,-0.016805,-0.047614,1.0197,0.39221,0.5,8.7627,0.024746,0.0066191,0.012954,0.016652,0.0048372,0.034304
0.041249,0.41248,0.5,8.7627,-0.017946,-0.047342,0.97679,0.41248,0.5,8.7627,0.026414,0.0065905,0.014483,0.018131,0.004853,0.037953
0.043891,0.43187,0.5,8.7627,-0.018831,-0.047527,0.92962,0.43187,0.5,8.7627,0.027477,0.0064299,0.015602,0.01917,0.0044033,0.041134
0.045526,0.4504,0.5,8.7627,-0.01938,-0.046874,0.88894,0.4504,0.5,8.7627,0.028097,0.0061008,0.016823,0.02032,0.0045872,0.042636
0.047102,0.46812,0.5,8.7627,-0.021565,-0.043895,0.85289,0.46812,0.5,8.7627,0.028771,0.0053964,0.018362,0.021641,0.0054,0.043792
0.047678,0.48504,0.5,8.7627,-0.024741,-0.039445,0.81893,0.48504,0.5,8.7627,0.029566,0.0041615,0.018919,0.022487,0.0052117,0.043303
0.047033,0.50122,0.5,8.7627,-0.026655,-0.035802,0.78513,0.50122,0.5,8.7627,0.03027,0.0031011,0.018066,0.022896,0.0048478,0.040899
0.046331,0.51667,0.5,8.7627,-0.027207,-0.034211,0.75161,0.51667,0.5,8.7627,0.0306,0.0031629,0.016798,0.023569,0.0054641,0.038494
0.045489,0.53142,0.5,8.7627,-0.027997,-0.032467,0.72245,0.53142,0.5,8.7627,0.030595,0.0034033,0.015804,0.023613,0.0062633,0.036771
0.044665,0.54551,0.5,8.7627,-0.030447,-0.031175,0.69934,0.54551,0.5,8.7627,0.030609,0.0033126,0.014703,0.023064,0.0063191,0.035658
