"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.044317,0.83719,0.5,8.7627,-0.087097,0.08017,0.69796,0.83719,0.5,8.7627,0.02759,0.0021321,-0.0035197,0.031846,0.0042789,0.029198
0.045204,0.84544,0.5,8.7627,-0.087331,0.087414,0.70862,0.84544,0.5,8.7627,0.027631,0.0024976,-0.0032038,0.03319,0.0049758,0.029587
0.046224,0.8537,0.5,8.7627,-0.086855,0.093485,0.71694,0.8537,0.5,8.7627,0.027673,0.0028942,-0.0029818,0.034605,0.0053031,0.03017
0.046927,0.86196,0.5,8.7627,-0.085675,0.099209,0.72374,0.86196,0.5,8.7627,0.027636,0.0032727,-0.0029109,0.0355,0.0054829,0.030719
0.047317,0.87021,0.5,8.7627,-0.084369,0.10332,0.73145,0.87021,0.5,8.7627,0.027519,0.0034631,-0.0027729,0.036226,0.0056473,0.030889
0.047488,0.87847,0.5,8.7627,-0.082839,0.10546,0.73956,0.87847,0.5,8.7627,0.027312,0.0033202,-0.0023585,0.036843,0.0056676,0.030821
0.047602,0.88672,0.5,8.7627,-0.08051,0.10742,0.74607,0.88672,0.5,8.7627,0.027114,0.0032471,-0.0018584,0.037304,0.0055239,0.030786
0.047293,0.89498,0.5,8.7627,-0.077446,0.10965,0.75161,0.89498,0.5,8.7627,0.027003,0.0034745,-0.0013791,0.037167,0.0056484,0.030417
0.046492,0.90324,0.5,8.7627,-0.07429,0.11162,0.75784,0.90324,0.5,8.7627,0.026898,0.0036967,-0.00083984,0.036508,0.0062171,0.029577
0.045582,0.91149,0.5,8.7627,-0.071498,0.11313,0.76434,0.91149,0.5,8.7627,0.026658,0.0037361,-0.00025777,0.036066,0.0066174,0.02844
0.044725,0.91975,0.5,8.7627,-0.06908,0.11426,0.76886,0.91975,0.5,8.7627,0.026231,0.0037072,0.0002171,0.035838,0.0063117,0.027381
0.044045,0.92801,0.5,8.7627,-0.066815,0.11452,0.77042,0.92801,0.5,8.7627,0.025838,0.0036243,0.0003285,0.035681,0.0055047,0.026571
0.043542,0.93626,0.5,8.7627,-0.064501,0.11375,0.77157,0.93626,0.5,8.7627,0.025671,0.0035886,0.00026941,0.035356,0.0046568,0.026057
0.0432,0.94452,0.5,8.7627,-0.062026,0.11232,0.77301,0.94452,0.5,8.7627,0.025488,0.0035415,0.00025359,0.035015,0.0041888,0.025897
0.043114,0.95277,0.5,8.7627,-0.059126,0.11065,0.77397,0.95277,0.5,8.7627,0.025061,0.0033272,0.00029809,0.035219,0.0042303,0.025948
0.043288,0.96103,0.5,8.7627,-0.055654,0.11038,0.77555,0.96103,0.5,8.7627,0.024568,0.0032479,0.00048731,0.036057,0.0044372,0.025951
0.043727,0.96929,0.5,8.7627,-0.051975,0.11187,0.77776,0.96929,0.5,8.7627,0.024268,0.0034214,0.00063791,0.037427,0.0045131,0.02576
0.044216,0.97754,0.5,8.7627,-0.048409,0.11468,0.77937,0.97754,0.5,8.7627,0.024146,0.003541,0.00076931,0.038643,0.0043081,0.025643
0.044325,0.9858,0.5,8.7627,-0.044973,0.11821,0.77962,0.9858,0.5,8.7627,0.024005,0.0035817,0.0010707,0.038905,0.0039028,0.025739
0.044257,0.99405,0.5,8.7627,-0.041673,0.12092,0.77911,0.99405,0.5,8.7627,0.023842,0.0037431,0.0015299,0.03878,0.0034522,0.025892
0.044369,1.0023,0.5,8.7627,-0.038209,0.12185,0.77798,1.0023,0.5,8.7627,0.023821,0.0040404,0.0020331,0.03884,0.0029027,0.026077
0.044593,1.0106,0.5,8.7627,-0.034191,0.12097,0.77757,1.0106,0.5,8.7627,0.023965,0.0043691,0.0024648,0.038844,0.0024808,0.026377
0.044787,1.0188,0.5,8.7627,-0.029779,0.11944,0.77885,1.0188,0.5,8.7627,0.024083,0.004619,0.0028658,0.038826,0.0022168,0.026665
