"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.070565,1.6711,0.5,8.7627,0.29775,-0.095627,0.65311,1.6711,0.5,8.7627,0.044959,-0.0051146,0.0084619,0.051022,-0.013972,0.045149
0.069951,1.6793,0.5,8.7627,0.29809,-0.095437,0.65526,1.6793,0.5,8.7627,0.045217,-0.0050838,0.0083985,0.050466,-0.012431,0.044218
0.068945,1.6876,0.5,8.7627,0.29809,-0.095295,0.65597,1.6876,0.5,8.7627,0.045313,-0.0052571,0.0081442,0.049321,-0.010837,0.043256
0.068139,1.6958,0.5,8.7627,0.29853,-0.094081,0.65506,1.6958,0.5,8.7627,0.045529,-0.0056077,0.0081421,0.048029,-0.0095353,0.042721
0.068105,1.7041,0.5,8.7627,0.29927,-0.091755,0.6538,1.7041,0.5,8.7627,0.046014,-0.0062272,0.0085801,0.04733,-0.0084145,0.042866
0.068497,1.7123,0.5,8.7627,0.29937,-0.089964,0.65136,1.7123,0.5,8.7627,0.046695,-0.0070901,0.0091255,0.047279,-0.0075911,0.043021
0.068712,1.7206,0.5,8.7627,0.29855,-0.087641,0.64789,1.7206,0.5,8.7627,0.047434,-0.0079929,0.0097764,0.047129,-0.0069581,0.042861
0.06881,1.7289,0.5,8.7627,0.29744,-0.084135,0.64429,1.7289,0.5,8.7627,0.048004,-0.008555,0.010294,0.046906,-0.0065521,0.042711
0.069329,1.7371,0.5,8.7627,0.29634,-0.080365,0.64164,1.7371,0.5,8.7627,0.048375,-0.0088706,0.010602,0.047339,-0.0063391,0.042944
0.070155,1.7454,0.5,8.7627,0.29452,-0.077032,0.63925,1.7454,0.5,8.7627,0.048861,-0.0094349,0.010691,0.048175,-0.0061736,0.043273
0.070858,1.7536,0.5,8.7627,0.29136,-0.073447,0.63736,1.7536,0.5,8.7627,0.049568,-0.010476,0.010635,0.048859,-0.0061189,0.043289
0.07164,1.7619,0.5,8.7627,0.28656,-0.068648,0.63571,1.7619,0.5,8.7627,0.050303,-0.011551,0.010311,0.049865,-0.0056897,0.043112
0.072634,1.7701,0.5,8.7627,0.28017,-0.063856,0.63282,1.7701,0.5,8.7627,0.051163,-0.012423,0.0096779,0.051169,-0.0052103,0.042935
0.073321,1.7784,0.5,8.7627,0.27331,-0.059831,0.63016,1.7784,0.5,8.7627,0.05241,-0.013142,0.0090753,0.051475,-0.0052055,0.042758
0.073975,1.7866,0.5,8.7627,0.26749,-0.056434,0.62836,1.7866,0.5,8.7627,0.053937,-0.013525,0.0087674,0.051177,-0.005393,0.042837
0.074775,1.7949,0.5,8.7627,0.26299,-0.054465,0.62687,1.7949,0.5,8.7627,0.055315,-0.013541,0.0086027,0.051167,-0.0049351,0.043069
0.075339,1.8032,0.5,8.7627,0.25896,-0.052103,0.6252,1.8032,0.5,8.7627,0.056239,-0.013306,0.0082563,0.051151,-0.0039272,0.043287
0.075715,1.8114,0.5,8.7627,0.25444,-0.048914,0.62362,1.8114,0.5,8.7627,0.056936,-0.013155,0.007644,0.051356,-0.0034929,0.043138
