"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0015898,0.030909,0.5,6.2583,-0.0077985,0.025323,1.0028,0.030909,0.5,6.2583,0.00026055,-0.00012772,-0.00034914,0.00068163,0.00022898,0.0022374
0.0022322,0.066184,0.5,6.2583,-0.017182,0.026592,1.1274,0.066184,0.5,6.2583,0.00068806,-6.6781e-05,-0.00037665,0.0010408,-0.00035668,0.0027355
0.0030111,0.10006,0.5,6.2583,-0.026312,0.025694,1.1461,0.10006,0.5,6.2583,0.00095161,7.1511e-05,-0.00042309,0.0011299,-0.00068794,0.0039406
0.0030581,0.13258,0.5,6.2583,-0.032848,0.020103,1.149,0.13258,0.5,6.2583,0.0010988,0.00012685,-0.00041859,0.0012338,-0.00040273,0.0037837
0.002544,0.16379,0.5,6.2583,-0.038458,0.012207,1.1674,0.16379,0.5,6.2583,0.0012314,0.0002637,-0.00031696,0.0013894,-0.00029857,0.0024672
0.0029502,0.19372,0.5,6.2583,-0.048109,0.0039917,1.1852,0.19372,0.5,6.2583,0.0014943,0.00065351,-7.8519e-05,0.0013469,-2.563e-05,0.0030593
0.0029605,0.22242,0.5,6.2583,-0.059829,-0.0025252,1.1924,0.22242,0.5,6.2583,0.0018005,0.0008563,-1.1384e-05,0.0014339,6.0342e-08,0.0026866
0.0029986,0.24993,0.5,6.2583,-0.069021,-0.0077758,1.2049,0.24993,0.5,6.2583,0.0019477,0.00077735,-0.00022416,0.0017208,-0.00016428,0.0023286
0.0036117,0.27629,0.5,6.2583,-0.07562,-0.017408,1.2085,0.27629,0.5,6.2583,0.0022806,0.00090267,-0.00045121,0.0018809,-0.00046603,0.0030619
0.0036068,0.30154,0.5,6.2583,-0.081954,-0.019137,1.2106,0.30154,0.5,6.2583,0.0028235,0.001173,-0.00076404,0.0017799,-0.00073043,0.0026102
0.0037829,0.32572,0.5,6.2583,-0.090207,-0.015319,1.2107,0.32572,0.5,6.2583,0.0031694,0.0014245,-0.00055392,0.0019835,-0.0007894,0.0024128
0.0044763,0.34887,0.5,6.2583,-0.10016,-0.012438,1.2028,0.34887,0.5,6.2583,0.0032203,0.0013918,-0.00043076,0.002417,-0.0011585,0.0033153
0.0052495,0.37102,0.5,6.2583,-0.11097,-0.0085241,1.1997,0.37102,0.5,6.2583,0.0032966,0.0012424,-0.0004802,0.0029097,-0.0017801,0.0042926
0.0057184,0.39221,0.5,6.2583,-0.12282,-0.0064887,1.2036,0.39221,0.5,6.2583,0.0036527,0.0011345,-0.00056539,0.0032022,-0.0020066,0.0045817
0.0059661,0.41248,0.5,6.2583,-0.13466,-0.01003,1.2047,0.41248,0.5,6.2583,0.0041381,0.0010695,-0.00081556,0.003066,-0.0017795,0.0047281
0.0061223,0.43187,0.5,6.2583,-0.14544,-0.016633,1.2092,0.43187,0.5,6.2583,0.0045348,0.001221,-0.0012135,0.002682,-0.0014382,0.0050279
0.0060414,0.4504,0.5,6.2583,-0.15457,-0.029082,1.2089,0.4504,0.5,6.2583,0.0047268,0.0015327,-0.001413,0.0026681,-0.0011864,0.0046879
0.0060008,0.46812,0.5,6.2583,-0.16258,-0.046419,1.2171,0.46812,0.5,6.2583,0.0047703,0.001674,-0.0014953,0.0030702,-0.0012091,0.0041611
0.0060515,0.48504,0.5,6.2583,-0.17104,-0.062763,1.229,0.48504,0.5,6.2583,0.0048629,0.0015,-0.0016362,0.0031363,-0.0013602,0.0041039
0.0062825,0.50122,0.5,6.2583,-0.18019,-0.076157,1.2442,0.50122,0.5,6.2583,0.0050871,0.0013032,-0.0017187,0.0028366,-0.0014569,0.0046413
0.0066902,0.51667,0.5,6.2583,-0.18974,-0.085173,1.2606,0.51667,0.5,6.2583,0.0054526,0.001046,-0.0016892,0.00235,-0.0015648,0.0055778
0.0071823,0.53142,0.5,6.2583,-0.19983,-0.092158,1.2729,0.53142,0.5,6.2583,0.0059131,0.00070791,-0.0015716,0.0020541,-0.0016874,0.0063973
0.0076998,0.54551,0.5,6.2583,-0.21079,-0.098162,1.283,0.54551,0.5,6.2583,0.00636,0.00037797,-0.0011678,0.0021739,-0.0017243,0.0068657
0.008389,0.55896,0.5,6.2583,-0.22289,-0.10328,1.2886,0.55896,0.5,6.2583,0.0068455,3.3567e-05,-0.00051525,0.0023829,-0.0017052,0.0075497
0.0093005,0.5718,0.5,6.2583,-0.23613,-0.10643,1.2939,0.5718,0.5,6.2583,0.0075869,-0.00025537,0.00032121,0.0025856,-0.0017625,0.0084284
0.010436,0.58405,0.5,6.2583,-0.24993,-0.10824,1.2958,0.58405,0.5,6.2583,0.0087406,-0.0003607,0.001173,0.0027192,-0.0017431,0.0094114
0.011889,0.59575,0.5,6.2583,-0.2637,-0.11003,1.2977,0.59575,0.5,6.2583,0.010448,-4.3128e-05,0.0017215,0.0027446,-0.0014244,0.010586
0.013872,0.6069,0.5,6.2583,-0.27708,-0.11232,1.301,0.6069,0.5,6.2583,0.012797,0.00054139,0.002096,0.0027434,-0.00090203,0.012203
0.0162,0.61755,0.5,6.2583,-0.28946,-0.11359,1.3032,0.61755,0.5,6.2583,0.015524,0.00066658,0.0026846,0.0028246,-0.00042332,0.014051
0.019136,0.6277,0.5,6.2583,-0.30045,-0.11163,1.3035,0.6277,0.5,6.2583,0.018161,-0.00029219,0.0038259,0.003378,-0.00056972,0.016732
0.023673,0.63738,0.5,6.2583,-0.30935,-0.10609,1.3022,0.63738,0.5,6.2583,0.020521,-0.001929,0.0049998,0.0046204,-0.0018239,0.022204
0.029477,0.64661,0.5,6.2583,-0.31462,-0.098363,1.2975,0.64661,0.5,6.2583,0.022507,-0.0035623,0.0065853,0.0059834,-0.0034964,0.030464
0.035567,0.65542,0.5,6.2583,-0.31586,-0.091034,1.2854,0.65542,0.5,6.2583,0.024213,-0.0047591,0.0098078,0.0070952,-0.0046414,0.039826
0.040858,0.66381,0.5,6.2583,-0.31584,-0.086224,1.2711,0.66381,0.5,6.2583,0.02662,-0.0053582,0.014435,0.0079562,-0.0051137,0.04714
0.044599,0.67207,0.5,6.2583,-0.31713,-0.083575,1.2595,0.67207,0.5,6.2583,0.030473,-0.0059218,0.01961,0.0083627,-0.0052054,0.050363
0.047786,0.68032,0.5,6.2583,-0.31912,-0.081731,1.2479,0.68032,0.5,6.2583,0.035009,-0.0068038,0.024932,0.0082532,-0.0053861,0.052311
0.052026,0.68858,0.5,6.2583,-0.31938,-0.079802,1.2323,0.68858,0.5,6.2583,0.038793,-0.0077293,0.02932,0.0078965,-0.0056204,0.057363
0.058172,0.69683,0.5,6.2583,-0.31444,-0.077152,1.2046,0.69683,0.5,6.2583,0.04087,-0.0083989,0.033413,0.0077132,-0.0059994,0.067761
0.066381,0.70509,0.5,6.2583,-0.30333,-0.07368,1.1606,0.70509,0.5,6.2583,0.041539,-0.0086777,0.038975,0.0077115,-0.0073315,0.083511
0.077626,0.71335,0.5,6.2583,-0.29034,-0.068773,1.1155,0.71335,0.5,6.2583,0.042022,-0.0087071,0.046232,0.0077135,-0.0096766,0.10552
0.094514,0.7216,0.5,6.2583,-0.27926,-0.06181,1.0873,0.7216,0.5,6.2583,0.043146,-0.0086347,0.056278,0.0075245,-0.012109,0.13836
0.12157,0.72986,0.5,6.2583,-0.27018,-0.052581,1.0789,0.72986,0.5,6.2583,0.044936,-0.0082774,0.070603,0.0069714,-0.013583,0.19123
0.18668,0.73811,0.5,6.2583,-0.26107,-0.03938,1.1144,0.73811,0.5,6.2583,0.04763,-0.0068916,0.095547,0.006056,-0.010971,0.31968
0.27727,0.74637,0.5,6.2583,-0.25398,-0.025773,1.1613,0.74637,0.5,6.2583,0.048986,-0.0053239,0.12167,0.0054515,-0.003877,0.50011
0.31017,0.75463,0.5,6.2583,-0.24338,-0.018683,1.1291,0.75463,0.5,6.2583,0.058679,-0.0056468,0.14036,0.0054859,-0.00084017,0.55617
0.28278,0.76288,0.5,6.2583,-0.23313,-0.015199,1.0393,0.76288,0.5,6.2583,0.075628,-0.0071889,0.14025,0.0056762,-0.0023045,0.48426
0.2474,0.77114,0.5,6.2583,-0.23147,-0.012392,0.92535,0.77114,0.5,6.2583,0.087155,-0.0085487,0.11778,0.0059249,-0.0030108,0.40172
0.16481,0.7794,0.5,6.2583,-0.23117,-0.01162,0.74932,0.7794,0.5,6.2583,0.093251,-0.0098505,0.074298,0.0063238,-0.0037723,0.23005
0.084363,0.78765,0.5,6.2583,-0.22779,-0.012189,0.55942,0.78765,0.5,6.2583,0.09117,-0.010487,0.030626,0.0068045,-0.003552,0.070752
0.072195,0.79591,0.5,6.2583,-0.22086,-0.010777,0.45181,0.79591,0.5,6.2583,0.081845,-0.0098936,0.012515,0.0070564,-0.0021703,0.055489
0.07059,0.80416,0.5,6.2583,-0.21202,-0.0068438,0.40947,0.80416,0.5,6.2583,0.070204,-0.0088421,0.0068024,0.0070824,-0.0016733,0.063894
0.062265,0.81242,0.5,6.2583,-0.20305,-0.0028596,0.38897,0.81242,0.5,6.2583,0.059894,-0.0079608,0.0050741,0.0071035,-0.0017745,0.057533
0.054749,0.82068,0.5,6.2583,-0.19585,1.3303e-05,0.37582,0.82068,0.5,6.2583,0.051664,-0.00725,0.0047276,0.0071557,-0.0020378,0.050679
0.047816,0.82893,0.5,6.2583,-0.18936,0.0028852,0.36276,0.82893,0.5,6.2583,0.044475,-0.0067138,0.0043281,0.0069876,-0.002006,0.044168
