"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.041179,0.83719,0.5,6.2583,-0.18265,0.0061496,0.34486,0.83719,0.5,6.2583,0.038417,-0.0062061,0.0039399,0.0066159,-0.00174,0.037326
0.0365,0.84544,0.5,6.2583,-0.17646,0.0084461,0.33283,0.84544,0.5,6.2583,0.033454,-0.0055738,0.00354,0.0062703,-0.0019477,0.033276
0.032627,0.8537,0.5,6.2583,-0.17003,0.011182,0.32054,0.8537,0.5,6.2583,0.02912,-0.0050164,0.0030453,0.0060548,-0.00199,0.030079
0.028887,0.86196,0.5,6.2583,-0.16351,0.013011,0.30403,0.86196,0.5,6.2583,0.025337,-0.0044207,0.0022233,0.0060176,-0.0019673,0.026419
0.026353,0.87021,0.5,6.2583,-0.15742,0.014323,0.29707,0.87021,0.5,6.2583,0.022189,-0.0037313,0.0016323,0.0060367,-0.0017211,0.024481
0.023826,0.87847,0.5,6.2583,-0.15151,0.014863,0.28751,0.87847,0.5,6.2583,0.019527,-0.0031838,0.0015018,0.0060388,-0.0012167,0.022085
0.021777,0.88672,0.5,6.2583,-0.1463,0.015532,0.28256,0.88672,0.5,6.2583,0.017214,-0.002658,0.0010244,0.00595,-0.00090261,0.02039
0.019988,0.89498,0.5,6.2583,-0.14103,0.016862,0.27787,0.89498,0.5,6.2583,0.015199,-0.0021577,0.0010051,0.0059143,-0.00056207,0.018863
0.01849,0.90324,0.5,6.2583,-0.13545,0.016894,0.27319,0.90324,0.5,6.2583,0.013461,-0.0017531,0.00089104,0.0059741,-0.0002045,0.017545
0.017265,0.91149,0.5,6.2583,-0.12974,0.016057,0.26935,0.91149,0.5,6.2583,0.011988,-0.0014149,0.0010892,0.0059483,-9.515e-06,0.016594
0.016104,0.91975,0.5,6.2583,-0.12383,0.015209,0.26332,0.91975,0.5,6.2583,0.010713,-0.0011294,0.001194,0.0058411,0.00012569,0.015654
0.015005,0.92801,0.5,6.2583,-0.11796,0.014803,0.25772,0.92801,0.5,6.2583,0.0095626,-0.00089114,0.0014438,0.0057818,0.00013885,0.014666
0.014171,0.93626,0.5,6.2583,-0.11177,0.013911,0.25053,0.93626,0.5,6.2583,0.0085512,-0.00070533,0.0016865,0.0057729,0.00013908,0.014018
