"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.061843,1.6711,0.5,6.2583,0.085368,-0.07397,0.40954,1.6711,0.5,6.2583,0.063923,0.00082967,0.0010798,0.00791,0.0023336,0.051852
0.067911,1.6793,0.5,6.2583,0.087264,-0.07008,0.40819,1.6793,0.5,6.2583,0.070053,0.0010521,-0.00013658,0.0098634,0.0023625,0.055906
0.073566,1.6876,0.5,6.2583,0.091797,-0.068302,0.40241,1.6876,0.5,6.2583,0.077558,0.0010797,-0.0008367,0.011422,0.0020755,0.058151
0.080079,1.6958,0.5,6.2583,0.10065,-0.06913,0.38163,1.6958,0.5,6.2583,0.088362,0.00078574,0.00081029,0.012868,0.0014224,0.058928
0.08094,1.7041,0.5,6.2583,0.11079,-0.072655,0.33244,1.7041,0.5,6.2583,0.10007,0.00050006,0.0034185,0.014258,0.00090137,0.047548
0.11102,1.7123,0.5,6.2583,0.11523,-0.07557,0.18502,1.7123,0.5,6.2583,0.1085,0.00022301,0.0091065,0.014419,-0.0016937,0.099123
0.27567,1.7206,0.5,6.2583,0.11169,-0.075644,-0.085852,1.7206,0.5,6.2583,0.10556,-0.00035996,0.034184,0.01402,-0.01427,0.43176
0.43098,1.7289,0.5,6.2583,0.0943,-0.074473,-0.36171,1.7289,0.5,6.2583,0.089351,-0.00075063,0.059199,0.014058,-0.026943,0.75856
0.47579,1.7371,0.5,6.2583,0.064088,-0.07423,-0.55539,1.7371,0.5,6.2583,0.068162,-0.0004966,0.065403,0.0144,-0.031234,0.86901
0.50047,1.7454,0.5,6.2583,0.049722,-0.075437,-0.70652,1.7454,0.5,6.2583,0.048068,0.0015469,0.019578,0.014943,-0.034176,0.93793
0.34539,1.7536,0.5,6.2583,0.033987,-0.089267,-0.63979,1.7536,0.5,6.2583,0.044047,0.003093,-0.027011,0.017664,-0.023226,0.62908
0.13318,1.7619,0.5,6.2583,0.007882,-0.11364,-0.38035,1.7619,0.5,6.2583,0.048716,0.0027631,-0.026013,0.023,-0.0066311,0.19464
0.086074,1.7701,0.5,6.2583,0.0017565,-0.13248,-0.18892,1.7701,0.5,6.2583,0.048859,0.0020066,-0.024441,0.029502,-0.0012481,0.093788
0.10025,1.7784,0.5,6.2583,0.018952,-0.1427,-0.023681,1.7784,0.5,6.2583,0.04967,0.00083675,-0.020719,0.034942,0.00017286,0.1159
0.11385,1.7866,0.5,6.2583,0.060047,-0.1451,0.16849,1.7866,0.5,6.2583,0.049866,1.1288e-05,-0.012231,0.036712,0.0014707,0.14113
0.12009,1.7949,0.5,6.2583,0.11994,-0.14852,0.37265,1.7949,0.5,6.2583,0.048979,-0.00070607,-0.0028929,0.035456,0.0018074,0.15575
0.11427,1.8032,0.5,6.2583,0.18953,-0.15374,0.57599,1.8032,0.5,6.2583,0.046309,-0.0016212,0.0027642,0.031559,0.00031828,0.15067
0.096022,1.8114,0.5,6.2583,0.2549,-0.15639,0.75549,1.8114,0.5,6.2583,0.040947,-0.0018585,0.0027111,0.026182,-0.0013634,0.12492
0.072079,1.8197,0.5,6.2583,0.30548,-0.16031,0.89282,1.8197,0.5,6.2583,0.033617,-0.0014203,-0.0011579,0.021184,-0.0012364,0.089357
0.050197,1.8279,0.5,6.2583,0.33935,-0.16617,0.98746,1.8279,0.5,6.2583,0.02622,-0.0012562,-0.0045383,0.016726,-0.00010409,0.057449
0.034136,1.8362,0.5,6.2583,0.35959,-0.16919,1.0486,1.8362,0.5,6.2583,0.020293,-0.0012041,-0.0054267,0.012754,5.5345e-05,0.035225
0.023848,1.8446,0.5,6.2583,0.36915,-0.16805,1.0867,1.8446,0.5,6.2583,0.015783,-0.0011487,-0.0043753,0.0095825,-0.00046142,0.02233
0.01722,1.8534,0.5,6.2583,0.37023,-0.16464,1.1081,1.8534,0.5,6.2583,0.01205,-0.0013159,-0.0026286,0.0071262,-0.00083889,0.015264
0.012672,1.8626,0.5,6.2583,0.36561,-0.1596,1.1176,1.8626,0.5,6.2583,0.0091158,-0.001562,-0.0011653,0.0054897,-0.0010173,0.010739
0.0097318,1.8723,0.5,6.2583,0.3575,-0.15194,1.1206,1.8723,0.5,6.2583,0.0069523,-0.0016079,-0.00030354,0.0045053,-0.0012302,0.0080061
0.0077581,1.8824,0.5,6.2583,0.34731,-0.14396,1.1196,1.8824,0.5,6.2583,0.0053967,-0.0014303,4.3322e-05,0.0039734,-0.0013825,0.006146
0.0063796,1.8931,0.5,6.2583,0.33655,-0.13569,1.1198,1.8931,0.5,6.2583,0.0043838,-0.0010799,1.2912e-06,0.0036873,-0.0013171,0.004688
0.0055396,1.9042,0.5,6.2583,0.32616,-0.12827,1.1226,1.9042,0.5,6.2583,0.0037904,-0.00070111,-0.00021123,0.0035192,-0.0010901,0.0037696
0.0051487,1.9159,0.5,6.2583,0.3159,-0.12264,1.1272,1.9159,0.5,6.2583,0.0034952,-0.00047829,-0.00049149,0.0033266,-0.00088346,0.0034756
0.0049333,1.9282,0.5,6.2583,0.30499,-0.11718,1.1311,1.9282,0.5,6.2583,0.0033839,-0.0003762,-0.00056976,0.0030558,-0.00074617,0.0034269
0.0046928,1.941,0.5,6.2583,0.29317,-0.1126,1.1321,1.941,0.5,6.2583,0.0033703,-0.00040542,-0.00056224,0.0027279,-0.00072741,0.0032873
0.0043001,1.9545,0.5,6.2583,0.28078,-0.10736,1.1293,1.9545,0.5,6.2583,0.0033932,-0.00040438,-0.00046855,0.0022701,-0.0006917,0.002937
0.003982,1.9686,0.5,6.2583,0.26788,-0.10088,1.1238,1.9686,0.5,6.2583,0.0033607,-0.00041913,-0.0003961,0.0020725,-0.00058523,0.0025307
0.0038614,1.9833,0.5,6.2583,0.25482,-0.090823,1.1192,1.9833,0.5,6.2583,0.0032312,-0.00032708,-0.00035474,0.002037,-0.00061752,0.0024545
0.0039267,1.9988,0.5,6.2583,0.24285,-0.077769,1.1124,1.9988,0.5,6.2583,0.0030415,-0.00014696,-0.00030401,0.002171,-0.00073849,0.0026408
0.0040683,2.0149,0.5,6.2583,0.23253,-0.064721,1.1109,2.0149,0.5,6.2583,0.0029255,-0.00014168,-0.00041,0.0021592,-0.00069112,0.0030518
