"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0022585,0.030909,0.5,3.7698,-0.0032177,0.025605,0.74482,0.030909,0.5,3.7698,0.00019863,9.2329e-05,-0.00017168,0.0015347,0.00039851,0.0027837
0.0028633,0.066184,0.5,3.7698,-0.004185,0.018373,0.86141,0.066184,0.5,3.7698,0.00045141,9.5571e-05,-9.6847e-05,0.0017265,0.00011647,0.0035487
0.0031807,0.10006,0.5,3.7698,-0.001816,0.012204,0.88452,0.10006,0.5,3.7698,0.00052489,-2.6046e-05,0.00012381,0.0014935,-0.00021507,0.0043429
0.0026472,0.13258,0.5,3.7698,-0.001608,0.020444,0.90501,0.13258,0.5,3.7698,0.00057251,-5.4522e-05,4.7047e-05,0.0013881,0.00010143,0.0033338
0.0020712,0.16379,0.5,3.7698,-0.0057442,0.021155,0.93341,0.16379,0.5,3.7698,0.00071154,2.5662e-05,0.00020135,0.0012721,0.00018382,0.0021588
0.0023661,0.19372,0.5,3.7698,-0.010705,0.01403,0.94566,0.19372,0.5,3.7698,0.00081559,-3.6151e-05,0.00027335,0.0013637,-0.00028863,0.0025529
0.0024321,0.22242,0.5,3.7698,-0.012734,0.01115,0.95827,0.22242,0.5,3.7698,0.0009294,1.5084e-06,0.00011239,0.0016269,-9.7242e-05,0.0023079
0.0025478,0.24993,0.5,3.7698,-0.013309,0.008303,0.96957,0.24993,0.5,3.7698,0.0011789,0.00021081,3.2362e-05,0.0015352,-6.8491e-05,0.0023814
0.0026484,0.27629,0.5,3.7698,-0.014813,0.0042766,0.99145,0.27629,0.5,3.7698,0.0014049,0.00031164,-0.00018759,0.0012143,-0.00063194,0.0026776
0.0025208,0.30154,0.5,3.7698,-0.01541,-0.0008895,0.99634,0.30154,0.5,3.7698,0.0015435,0.00046542,-0.00019507,0.0011822,-0.00027915,0.0023158
0.0028141,0.32572,0.5,3.7698,-0.013943,-0.0061682,0.97679,0.32572,0.5,3.7698,0.0017004,0.00021154,-0.00026779,0.0016068,0.00030285,0.002321
0.0038128,0.34887,0.5,3.7698,-0.011931,-0.0094354,0.96954,0.34887,0.5,3.7698,0.0019018,-0.00040282,-0.00037011,0.0025285,-0.00010044,0.0031953
0.0043011,0.37102,0.5,3.7698,-0.011225,-0.0093299,0.97813,0.37102,0.5,3.7698,0.0021263,-0.0007935,-4.7359e-05,0.0034441,-0.00060709,0.0030318
0.0047434,0.39221,0.5,3.7698,-0.011253,-0.0035971,0.9817,0.39221,0.5,3.7698,0.002275,-0.0007717,0.00039067,0.0032982,-0.0014654,0.0039136
0.0051094,0.41248,0.5,3.7698,-0.010512,0.001372,0.98032,0.41248,0.5,3.7698,0.0021078,-0.00030806,-7.5939e-05,0.0026717,-0.0024164,0.0054394
0.0047237,0.43187,0.5,3.7698,-0.010208,0.0032894,0.97742,0.43187,0.5,3.7698,0.0016809,6.81e-05,-0.00092427,0.0021167,-0.0022346,0.0056499
0.0040997,0.4504,0.5,3.7698,-0.011335,0.0048252,0.97774,0.4504,0.5,3.7698,0.0012939,5.3137e-05,-0.0011899,0.0016912,-0.0016708,0.0052143
0.0035133,0.46812,0.5,3.7698,-0.012775,0.0065571,0.98479,0.46812,0.5,3.7698,0.0011273,1.8466e-05,-0.0011191,0.001896,-0.0014493,0.0040034
0.0038073,0.48504,0.5,3.7698,-0.013469,0.0094466,0.98859,0.48504,0.5,3.7698,0.0012334,9.7041e-05,-0.000907,0.0024642,-0.0018185,0.0039171
0.0046235,0.50122,0.5,3.7698,-0.012946,0.014474,0.9863,0.50122,0.5,3.7698,0.0014852,0.00020791,-0.00087938,0.0029699,-0.0024499,0.004792
0.0049691,0.51667,0.5,3.7698,-0.012234,0.016117,0.98641,0.51667,0.5,3.7698,0.0018578,0.00049298,-0.0010208,0.0030504,-0.0027962,0.0050301
0.0049764,0.53142,0.5,3.7698,-0.012763,0.015098,0.98817,0.53142,0.5,3.7698,0.002333,0.00078971,-0.0011351,0.0027509,-0.0027509,0.0048689
