"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0062567,0.83719,0.5,3.7698,0.0012943,-0.019661,1.0525,0.83719,0.5,3.7698,0.00098808,-0.00021935,3.4934e-05,0.0027399,-0.004171,0.0087854
0.0060733,0.84544,0.5,3.7698,0.00086824,-0.016913,1.0493,0.84544,0.5,3.7698,0.00095095,-0.00011586,-0.00012467,0.0027583,-0.0041254,0.0084373
0.0058514,0.8537,0.5,3.7698,0.00049902,-0.013882,1.0453,0.8537,0.5,3.7698,0.00094846,-3.1713e-05,-0.00026326,0.0027525,-0.003988,0.0080018
0.0056132,0.86196,0.5,3.7698,0.00037198,-0.010423,1.0416,0.86196,0.5,3.7698,0.00098414,3.8143e-05,-0.00038297,0.0026769,-0.0037484,0.0075654
0.0053293,0.87021,0.5,3.7698,0.00072989,-0.0070305,1.0391,0.87021,0.5,3.7698,0.0010462,9.275e-05,-0.00049652,0.0024965,-0.003391,0.0071159
0.0050119,0.87847,0.5,3.7698,0.0015674,-0.004366,1.0377,0.87847,0.5,3.7698,0.0011133,0.00013013,-0.00060167,0.0022418,-0.0029554,0.0066688
0.004656,0.88672,0.5,3.7698,0.0026243,-0.002547,1.0369,0.88672,0.5,3.7698,0.001171,0.00014768,-0.0006803,0.0019913,-0.0024947,0.0061498
0.0042593,0.89498,0.5,3.7698,0.0036515,-0.0014703,1.037,0.89498,0.5,3.7698,0.0012141,0.000142,-0.00071842,0.001806,-0.002076,0.0054985
0.003858,0.90324,0.5,3.7698,0.0045843,-0.0011467,1.0378,0.90324,0.5,3.7698,0.0012348,0.00011517,-0.00072219,0.0016966,-0.0017678,0.0047845
0.003497,0.91149,0.5,3.7698,0.0054941,-0.0015369,1.0384,0.91149,0.5,3.7698,0.0012256,7.5081e-05,-0.00070092,0.0016459,-0.0015862,0.0041224
0.0032201,0.91975,0.5,3.7698,0.0064079,-0.0024575,1.0376,0.91975,0.5,3.7698,0.0011915,3.4821e-05,-0.00065601,0.0016344,-0.0015104,0.0036143
0.0030694,0.92801,0.5,3.7698,0.0071926,-0.0037705,1.0349,0.92801,0.5,3.7698,0.0011465,3.1138e-06,-0.00058513,0.0016552,-0.0015437,0.0033371
0.0030532,0.93626,0.5,3.7698,0.0076168,-0.0054155,1.0302,0.93626,0.5,3.7698,0.0011052,-2.6287e-05,-0.00047549,0.0017173,-0.001676,0.0032839
0.003129,0.94452,0.5,3.7698,0.0074986,-0.0069018,1.0244,0.94452,0.5,3.7698,0.001084,-6.1303e-05,-0.00030804,0.0018345,-0.0018234,0.0033395
0.0032297,0.95277,0.5,3.7698,0.0068206,-0.0074938,1.0188,0.95277,0.5,3.7698,0.0011,-0.00010203,-0.00010085,0.0019905,-0.0019034,0.0033689
0.0032755,0.96103,0.5,3.7698,0.0057069,-0.0071997,1.0143,0.96103,0.5,3.7698,0.0011634,-0.00013347,7.6615e-05,0.002158,-0.001905,0.0032296
0.0032485,0.96929,0.5,3.7698,0.0043122,-0.0064985,1.011,0.96929,0.5,3.7698,0.0012771,-0.00012922,0.00016726,0.0023567,-0.001858,0.0028632
0.0032482,0.97754,0.5,3.7698,0.002782,-0.0055288,1.008,0.97754,0.5,3.7698,0.0014341,-9.6894e-05,0.00018261,0.0026035,-0.0018222,0.0024588
0.0033755,0.9858,0.5,3.7698,0.0012577,-0.00449,1.0043,0.9858,0.5,3.7698,0.001615,-7.0577e-05,0.00017541,0.0028581,-0.0018567,0.0022778
0.0036077,0.99405,0.5,3.7698,-9.1952e-05,-0.0035868,1.0005,0.99405,0.5,3.7698,0.0017977,-5.2665e-05,0.00017092,0.00305,-0.0019362,0.0023677
0.0038275,1.0023,0.5,3.7698,-0.0010852,-0.0024686,0.99715,1.0023,0.5,3.7698,0.0019762,-2.3693e-05,0.00015988,0.0031127,-0.0019628,0.0025661
0.0039244,1.0106,0.5,3.7698,-0.001635,-0.00066614,0.99436,1.0106,0.5,3.7698,0.0021661,2.3108e-05,0.00015036,0.0030236,-0.0018509,0.0026591
0.0038443,1.0188,0.5,3.7698,-0.0017342,0.0019176,0.9915,1.0188,0.5,3.7698,0.0023833,8.4696e-05,0.00017194,0.0027652,-0.0015569,0.0025401
0.003647,1.0271,0.5,3.7698,-0.0014281,0.0051073,0.98737,1.0271,0.5,3.7698,0.0026191,0.00017419,0.00024025,0.002347,-0.0011328,0.0023279
0.0035019,1.0353,0.5,3.7698,-0.0010003,0.008528,0.98147,1.0353,0.5,3.7698,0.0028469,0.00030519,0.00033092,0.0019504,-0.00073652,0.0022066
0.003504,1.0436,0.5,3.7698,-0.00095254,0.011464,0.97451,1.0436,0.5,3.7698,0.0030436,0.00044899,0.00038955,0.0017419,-0.00047703,0.0022224
0.0035958,1.0518,0.5,3.7698,-0.0015443,0.013487,0.96759,1.0518,0.5,3.7698,0.0031983,0.00055797,0.00037744,0.0016555,-0.00034706,0.0023378
0.0037096,1.0601,0.5,3.7698,-0.0025419,0.015093,0.96198,1.0601,0.5,3.7698,0.0033168,0.00060943,0.00032224,0.0015936,-0.00028937,0.0025088
0.0038392,1.0684,0.5,3.7698,-0.003467,0.016693,0.95865,1.0684,0.5,3.7698,0.0034182,0.00061746,0.00027684,0.0015415,-0.00025213,0.0027185
0.0039797,1.0766,0.5,3.7698,-0.0038329,0.017918,0.95715,1.0766,0.5,3.7698,0.0035135,0.00061911,0.00023479,0.0014962,-0.00022251,0.0029496
0.0041146,1.0849,0.5,3.7698,-0.003265,0.01849,0.95633,1.0849,0.5,3.7698,0.0036045,0.00063863,0.00017635,0.0014598,-0.00021874,0.0031649
0.0042372,1.0931,0.5,3.7698,-0.0017679,0.018526,0.95583,1.0931,0.5,3.7698,0.0036974,0.00067903,0.0001216,0.0014417,-0.00026169,0.0033352
0.0043325,1.1014,0.5,3.7698,0.00014101,0.018094,0.9558,1.1014,0.5,3.7698,0.0037938,0.00073811,9.0472e-05,0.0014702,-0.00033872,0.003401
0.0044029,1.1096,0.5,3.7698,0.0017416,0.017329,0.95646,1.1096,0.5,3.7698,0.0038761,0.00081187,7.9247e-05,0.0015832,-0.00041476,0.0033464
0.0044992,1.1179,0.5,3.7698,0.0026139,0.016759,0.9575,1.1179,0.5,3.7698,0.0039187,0.00091272,4.684e-05,0.0017776,-0.00047234,0.0033022
0.0046593,1.1262,0.5,3.7698,0.0028035,0.016915,0.95848,1.1262,0.5,3.7698,0.003907,0.0010487,-6.0801e-05,0.0019897,-0.00051467,0.0034218
0.0048289,1.1344,0.5,3.7698,0.0024016,0.017215,0.95993,1.1344,0.5,3.7698,0.0038383,0.0011717,-0.00023853,0.0021355,-0.00052689,0.003684
0.0049342,1.1427,0.5,3.7698,0.0012653,0.016411,0.96234,1.1427,0.5,3.7698,0.00372,0.001225,-0.00043177,0.0021916,-0.00050553,0.0039568
0.0049556,1.1509,0.5,3.7698,-0.00061502,0.014464,0.96455,1.1509,0.5,3.7698,0.0035712,0.0012142,-0.00057989,0.0022177,-0.00050271,0.0041224
0.0049041,1.1592,0.5,3.7698,-0.0029143,0.012224,0.96577,1.1592,0.5,3.7698,0.0034074,0.0011632,-0.00065441,0.0022524,-0.00054174,0.0041485
0.004808,1.1674,0.5,3.7698,-0.005237,0.0097918,0.96596,1.1674,0.5,3.7698,0.0032284,0.0010373,-0.00070457,0.0022096,-0.0005884,0.0041781
0.0046476,1.1757,0.5,3.7698,-0.0071942,0.0071207,0.9644,1.1757,0.5,3.7698,0.0030514,0.00083877,-0.00076671,0.0020096,-0.00059276,0.0042341
0.0043752,1.1839,0.5,3.7698,-0.008491,0.0046891,0.96129,1.1839,0.5,3.7698,0.0029195,0.0006688,-0.00079395,0.0017232,-0.0005129,0.0041078
0.0040794,1.1922,0.5,3.7698,-0.0092961,0.0024355,0.95761,1.1922,0.5,3.7698,0.0028393,0.0005741,-0.00077404,0.0014595,-0.00035992,0.0038601
0.003878,1.2005,0.5,3.7698,-0.010047,0.00034021,0.95359,1.2005,0.5,3.7698,0.0027727,0.00049002,-0.00074661,0.0012792,-0.00018612,0.0037042
0.0037146,1.2087,0.5,3.7698,-0.01082,-0.0010087,0.94965,1.2087,0.5,3.7698,0.0027073,0.00034523,-0.00073384,0.001192,-3.679e-05,0.0035301
0.003512,1.217,0.5,3.7698,-0.011356,-0.0015771,0.94698,1.217,0.5,3.7698,0.0026811,0.00012971,-0.00074134,0.0011667,4.6365e-05,0.0031761
0.0033313,1.2252,0.5,3.7698,-0.011521,-0.0018925,0.94684,1.2252,0.5,3.7698,0.0027174,-0.00011607,-0.00073407,0.0011815,4.0034e-05,0.0027638
0.003229,1.2335,0.5,3.7698,-0.011406,-0.0025168,0.94942,1.2335,0.5,3.7698,0.0027719,-0.00031843,-0.0006594,0.0012181,-1.6343e-05,0.0024679
0.0031399,1.2417,0.5,3.7698,-0.011187,-0.0036637,0.95358,1.2417,0.5,3.7698,0.0027787,-0.00043163,-0.00052679,0.0012583,-5.9079e-05,0.0022428
0.0030336,1.25,0.5,3.7698,-0.011072,-0.0050083,0.95847,1.25,0.5,3.7698,0.0027253,-0.00047946,-0.0003806,0.001322,-8.0347e-05,0.0020199
0.0029963,1.2583,0.5,3.7698,-0.011267,-0.0063151,0.96413,1.2583,0.5,3.7698,0.0026455,-0.00049584,-0.0002453,0.0014481,-0.00012848,0.001899
0.0030619,1.2665,0.5,3.7698,-0.011903,-0.0074493,0.96979,1.2665,0.5,3.7698,0.0025642,-0.00049358,-0.00012354,0.0016192,-0.00020927,0.0019404
0.0031714,1.2748,0.5,3.7698,-0.013019,-0.008034,0.97452,1.2748,0.5,3.7698,0.0024936,-0.00049605,-4.8902e-06,0.0017661,-0.00026848,0.002083
0.0032813,1.283,0.5,3.7698,-0.014543,-0.0077249,0.97853,1.283,0.5,3.7698,0.0024518,-0.00054755,0.00012622,0.0018533,-0.00028846,0.0022575
