"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0044908,1.6711,0.5,3.7698,-0.0065558,-0.021439,1.0372,1.6711,0.5,3.7698,0.0028685,0.000489,-0.00070475,0.002057,-0.0010751,0.0040562
0.00508,1.6793,0.5,3.7698,-0.0056242,-0.019941,1.0341,1.6793,0.5,3.7698,0.0030735,0.00063595,-0.00079761,0.0021449,-0.001344,0.0049416
0.0055894,1.6876,0.5,3.7698,-0.0042447,-0.017026,1.0326,1.6876,0.5,3.7698,0.0031554,0.00077867,-0.00096467,0.0023143,-0.0018903,0.005709
0.0058724,1.6958,0.5,3.7698,-0.0028787,-0.014145,1.0326,1.6958,0.5,3.7698,0.0031076,0.00087447,-0.0011449,0.0024875,-0.0024423,0.0061497
0.0058456,1.7041,0.5,3.7698,-0.0019158,-0.011927,1.0334,1.7041,0.5,3.7698,0.0029948,0.00091362,-0.0012735,0.0024739,-0.0027092,0.0062226
0.0056255,1.7123,0.5,3.7698,-0.0015351,-0.010488,1.034,1.7123,0.5,3.7698,0.002884,0.00088673,-0.0013447,0.002295,-0.0026806,0.0060719
0.005417,1.7206,0.5,3.7698,-0.0016228,-0.0099294,1.0339,1.7206,0.5,3.7698,0.0028083,0.0007841,-0.0013529,0.0020841,-0.0024982,0.0059416
0.0052631,1.7289,0.5,3.7698,-0.0018108,-0.0099281,1.0327,1.7289,0.5,3.7698,0.0027641,0.0006146,-0.0012626,0.0019148,-0.00228,0.0058474
0.0050393,1.7371,0.5,3.7698,-0.0017272,-0.0096271,1.0308,1.7371,0.5,3.7698,0.0027245,0.00039405,-0.0010568,0.0017969,-0.0020637,0.0055572
0.0047146,1.7454,0.5,3.7698,-0.0012504,-0.0082659,1.029,1.7454,0.5,3.7698,0.0026592,0.00014681,-0.00080307,0.0017368,-0.0018724,0.0050331
0.0043913,1.7536,0.5,3.7698,-0.00053707,-0.0057179,1.0278,1.7536,0.5,3.7698,0.0025502,-7.2804e-05,-0.00059406,0.0017418,-0.0017303,0.0044906
0.0041212,1.7619,0.5,3.7698,0.00016921,-0.0024182,1.0271,1.7619,0.5,3.7698,0.0023953,-0.00021458,-0.00042537,0.0017946,-0.0016148,0.0040525
0.0038949,1.7701,0.5,3.7698,0.00074124,0.00094946,1.0263,1.7701,0.5,3.7698,0.0022018,-0.00028075,-0.00024716,0.0018746,-0.0015001,0.0037133
