"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0043994,0.030909,0.5,1.2756,-0.0038264,0.027526,0.72907,0.030909,0.5,1.2756,0.00028762,-0.00024988,-0.00062442,0.0015697,0.0019964,0.0069415
0.0043128,0.066184,0.5,1.2756,-0.010364,0.016547,0.8641,0.066184,0.5,1.2756,0.00072499,-0.00028475,-0.00053545,0.0019346,0.0011114,0.005966
0.0027805,0.10006,0.5,1.2756,-0.015511,0.0019549,0.90401,0.10006,0.5,1.2756,0.00084066,-0.00013968,-5.9094e-05,0.0018082,-0.0004595,0.0029122
0.0020363,0.13258,0.5,1.2756,-0.014632,0.0038308,0.91317,0.13258,0.5,1.2756,0.00075313,-5.8163e-05,-0.00017107,0.0012385,-0.00017216,0.002081
0.0021377,0.16379,0.5,1.2756,-0.011265,0.009297,0.93172,0.16379,0.5,1.2756,0.0008128,-8.8648e-05,-0.00030433,0.00067891,0.00047739,0.0027837
0.0022793,0.19372,0.5,1.2756,-0.0059329,0.017276,0.92766,0.19372,0.5,1.2756,0.00099264,-0.00028834,-0.00069614,0.00068447,0.0006629,0.0028814
0.0018241,0.22242,0.5,1.2756,-0.0033233,0.025248,0.9404,0.22242,0.5,1.2756,0.0010684,-0.00034057,-0.0008456,0.00070188,0.00061524,0.0018779
0.0017685,0.24993,0.5,1.2756,-0.0089318,0.021372,0.94609,0.24993,0.5,1.2756,0.0010471,-0.00015105,-0.00060058,0.00066095,0.00046294,0.0018291
0.0020028,0.27629,0.5,1.2756,-0.015569,0.01167,0.94062,0.27629,0.5,1.2756,0.0010477,-3.3622e-05,-0.00065392,0.00098779,0.000539,0.0019701
0.0027155,0.30154,0.5,1.2756,-0.017424,0.0094602,0.95747,0.30154,0.5,1.2756,0.0011068,-8.7977e-05,-0.0008054,0.0011544,0.00085187,0.0031697
0.0030931,0.32572,0.5,1.2756,-0.018276,0.0093983,0.97352,0.32572,0.5,1.2756,0.0012759,-0.00019384,-0.00073701,0.0011178,0.001029,0.0037925
0.0029037,0.34887,0.5,1.2756,-0.021641,0.00070389,0.99161,0.34887,0.5,1.2756,0.0014998,-0.00034907,-0.00074811,0.00093738,0.0009124,0.0033702
0.0029545,0.37102,0.5,1.2756,-0.02446,-0.0058985,1.0004,0.37102,0.5,1.2756,0.001708,-0.00056486,-0.0010205,0.0010067,0.00056755,0.0031943
