"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0023677,0.83719,0.5,1.2756,0.00047308,-0.029027,1.0606,0.83719,0.5,1.2756,0.00099646,0.00017286,-0.0004881,0.0013953,-0.00104,0.0023435
0.0023416,0.84544,0.5,1.2756,-0.00044735,-0.028832,1.0583,0.84544,0.5,1.2756,0.0010881,0.00023144,-0.00041404,0.0014665,-0.00098402,0.0021286
0.0022276,0.8537,0.5,1.2756,-0.00095275,-0.027724,1.053,0.8537,0.5,1.2756,0.0011453,0.0002862,-0.00031566,0.0016182,-0.00076997,0.0016917
0.002079,0.86196,0.5,1.2756,-0.0011434,-0.02606,1.0462,0.86196,0.5,1.2756,0.0011702,0.00032352,-0.00019457,0.0017424,-0.00050747,0.0012453
0.001953,0.87021,0.5,1.2756,-0.0011144,-0.02402,1.041,0.87021,0.5,1.2756,0.0011817,0.00033635,-5.6603e-05,0.0017146,-0.00031346,0.0010097
0.0018966,0.87847,0.5,1.2756,-0.00089731,-0.021633,1.0372,0.87847,0.5,1.2756,0.0012047,0.00034684,9.7366e-05,0.0015777,-0.00014436,0.0010108
0.0019603,0.88672,0.5,1.2756,-0.00053065,-0.019068,1.0334,0.88672,0.5,1.2756,0.0012579,0.00037558,0.00025655,0.001457,8.7863e-06,0.0012058
0.0021625,0.89498,0.5,1.2756,-0.00012188,-0.016552,1.0299,0.89498,0.5,1.2756,0.0013407,0.00042742,0.00038622,0.0014292,8.7443e-05,0.0015551
0.0024376,0.90324,0.5,1.2756,0.00013107,-0.014018,1.0271,0.90324,0.5,1.2756,0.0014404,0.00048837,0.00048049,0.0014901,9.3038e-05,0.0019446
0.0027562,0.91149,0.5,1.2756,2.4331e-05,-0.01132,1.0245,0.91149,0.5,1.2756,0.0015471,0.00054932,0.00056937,0.0016411,7.6528e-05,0.0023243
0.003125,0.91975,0.5,1.2756,-0.00048559,-0.0085707,1.0213,0.91975,0.5,1.2756,0.0016448,0.00063248,0.00066209,0.0019385,-7.4176e-07,0.0026667
0.0035272,0.92801,0.5,1.2756,-0.0012871,-0.005808,1.0176,0.92801,0.5,1.2756,0.0017017,0.00074377,0.00073573,0.002389,-0.00017901,0.0029637
0.0039398,0.93626,0.5,1.2756,-0.0023596,-0.0031457,1.014,0.93626,0.5,1.2756,0.0016912,0.00083324,0.00079476,0.0028298,-0.00038046,0.0033586
0.0041759,0.94452,0.5,1.2756,-0.0036925,-0.0006793,1.0109,0.94452,0.5,1.2756,0.0016213,0.00085098,0.0008168,0.0030495,-0.0005713,0.0036811
0.0041334,0.95277,0.5,1.2756,-0.0048804,0.0018998,1.0065,0.95277,0.5,1.2756,0.0015366,0.00082012,0.00074502,0.0030854,-0.0008122,0.0036449
0.0039703,0.96103,0.5,1.2756,-0.0053449,0.0046488,1.0009,0.96103,0.5,1.2756,0.0014873,0.00078452,0.00062019,0.0030802,-0.0010486,0.003373
0.0037419,0.96929,0.5,1.2756,-0.0049202,0.0068448,0.99666,0.96929,0.5,1.2756,0.0014969,0.00075561,0.00051504,0.0030258,-0.0011434,0.002961
0.0034621,0.97754,0.5,1.2756,-0.0038193,0.0081246,0.99353,0.97754,0.5,1.2756,0.0015542,0.00075329,0.00041897,0.0029426,-0.0010795,0.0024273
0.0032613,0.9858,0.5,1.2756,-0.0022909,0.009546,0.98925,0.9858,0.5,1.2756,0.001629,0.00078139,0.00031548,0.0029339,-0.00092618,0.0019596
0.0031748,0.99405,0.5,1.2756,-0.0005688,0.011778,0.98323,0.99405,0.5,1.2756,0.0017032,0.00080203,0.00022639,0.0029863,-0.00073757,0.0016601
0.0030979,1.0023,0.5,1.2756,0.0011282,0.014078,0.9761,1.0023,0.5,1.2756,0.0017739,0.00079454,0.00015275,0.0029941,-0.00058304,0.0014278
0.002967,1.0106,0.5,1.2756,0.002666,0.015965,0.96864,1.0106,0.5,1.2756,0.0018273,0.0007694,7.0365e-05,0.0029139,-0.00052393,0.001193
0.0027966,1.0188,0.5,1.2756,0.0039278,0.017298,0.96163,1.0188,0.5,1.2756,0.0018406,0.0007414,-3.5243e-05,0.0027559,-0.00053357,0.0009966
0.0026106,1.0271,0.5,1.2756,0.0047989,0.017809,0.9559,1.0271,0.5,1.2756,0.0018053,0.00071956,-0.00015648,0.0025339,-0.00055478,0.00088196
0.0024505,1.0353,0.5,1.2756,0.0052739,0.017474,0.95221,1.0353,0.5,1.2756,0.0017333,0.00070167,-0.0002604,0.0022683,-0.00057242,0.0008995
0.0023526,1.0436,0.5,1.2756,0.0054595,0.016326,0.95056,1.0436,0.5,1.2756,0.0016514,0.0006794,-0.00031103,0.0019818,-0.00058659,0.0010719
0.0023019,1.0518,0.5,1.2756,0.0055043,0.014433,0.95046,1.0518,0.5,1.2756,0.0015912,0.00065053,-0.000299,0.0017014,-0.00057559,0.0013112
0.0022557,1.0601,0.5,1.2756,0.0055416,0.01219,0.9516,1.0601,0.5,1.2756,0.0015735,0.00061815,-0.00023666,0.001458,-0.00050787,0.00148
0.0022018,1.0684,0.5,1.2756,0.0056176,0.010165,0.95365,1.0684,0.5,1.2756,0.0015985,0.00057577,-0.00016098,0.0012731,-0.00038783,0.001532
0.0021482,1.0766,0.5,1.2756,0.0056856,0.0086924,0.95584,1.0766,0.5,1.2756,0.0016439,0.00051766,-0.00010585,0.0011414,-0.00025927,0.0015111
0.0021015,1.0849,0.5,1.2756,0.0057134,0.0078183,0.95717,1.0849,0.5,1.2756,0.0016754,0.00045147,-7.2924e-05,0.0010379,-0.00016478,0.0014896
0.00206,1.0931,0.5,1.2756,0.0057317,0.0073192,0.95745,1.0931,0.5,1.2756,0.0016695,0.00038342,-5.349e-05,0.00094048,-0.00012227,0.00151
0.0020081,1.1014,0.5,1.2756,0.0057328,0.006954,0.9571,1.1014,0.5,1.2756,0.001624,0.00031234,-5.0213e-05,0.00084954,-0.00013092,0.0015426
0.0019649,1.1096,0.5,1.2756,0.0056233,0.006777,0.95635,1.1096,0.5,1.2756,0.0015492,0.00024041,-6.3661e-05,0.00078828,-0.00018395,0.0015924
0.0019792,1.1179,0.5,1.2756,0.0053507,0.0068151,0.95553,1.1179,0.5,1.2756,0.0014595,0.00017125,-7.0603e-05,0.00076926,-0.00025905,0.0017295
0.0020156,1.1262,0.5,1.2756,0.0049814,0.0068677,0.9551,1.1262,0.5,1.2756,0.0013735,0.00010673,-3.8609e-05,0.00077626,-0.00031897,0.0018814
0.0020161,1.1344,0.5,1.2756,0.0045841,0.006674,0.95469,1.1344,0.5,1.2756,0.0013111,5.2145e-05,4.6246e-05,0.0007873,-0.00034748,0.0019338
0.0020474,1.1427,0.5,1.2756,0.0040965,0.0059328,0.95374,1.1427,0.5,1.2756,0.0012849,6.9132e-06,0.00017216,0.00080167,-0.00038236,0.0020083
0.0022101,1.1509,0.5,1.2756,0.0033887,0.0046529,0.95255,1.1509,0.5,1.2756,0.0012866,-4.2761e-05,0.00032355,0.0008333,-0.00046445,0.0023002
0.0025144,1.1592,0.5,1.2756,0.0024661,0.0034716,0.95179,1.1592,0.5,1.2756,0.0012935,-0.00010339,0.00049326,0.0008883,-0.00057881,0.002847
0.0028702,1.1674,0.5,1.2756,0.0015833,0.0029133,0.95256,1.1674,0.5,1.2756,0.0012957,-0.00016884,0.00068784,0.00094936,-0.00069075,0.0034954
0.0031566,1.1757,0.5,1.2756,0.0010504,0.0026708,0.95545,1.1757,0.5,1.2756,0.0012947,-0.00024386,0.00089713,0.00097079,-0.0008357,0.0040478
0.003358,1.1839,0.5,1.2756,0.00085092,0.0027362,0.95881,1.1839,0.5,1.2756,0.0012687,-0.00031659,0.0010607,0.00093822,-0.0010253,0.0045091
0.0034849,1.1922,0.5,1.2756,0.00077584,0.0037138,0.96029,1.1922,0.5,1.2756,0.0011922,-0.000361,0.0010911,0.00089609,-0.0011622,0.0048815
0.0034885,1.2005,0.5,1.2756,0.00093284,0.0050223,0.95981,1.2005,0.5,1.2756,0.0010874,-0.00039714,0.00099734,0.00090162,-0.0012279,0.0049879
0.0033624,1.2087,0.5,1.2756,0.0015218,0.0054406,0.95959,1.2087,0.5,1.2756,0.00099964,-0.00045039,0.00087799,0.0010083,-0.001308,0.0047168
0.0031888,1.217,0.5,1.2756,0.0023178,0.005041,0.96035,1.217,0.5,1.2756,0.00095299,-0.00050818,0.00075498,0.0012413,-0.0013887,0.0041832
0.0030914,1.2252,0.5,1.2756,0.0028932,0.0047334,0.96077,1.2252,0.5,1.2756,0.00095965,-0.00056092,0.00062599,0.0015695,-0.0014116,0.0036537
0.0030537,1.2335,0.5,1.2756,0.0029608,0.0048194,0.96172,1.2335,0.5,1.2756,0.0010322,-0.00060604,0.00049033,0.001935,-0.0013414,0.0031403
0.0029593,1.2417,0.5,1.2756,0.0024664,0.0041653,0.96479,1.2417,0.5,1.2756,0.0011631,-0.00062121,0.00033457,0.0022389,-0.0011448,0.0025165
0.0028677,1.25,0.5,1.2756,0.0016516,0.0017795,0.96808,1.25,0.5,1.2756,0.0013166,-0.0005929,0.00022223,0.0023823,-0.00097955,0.0020366
0.0028318,1.2583,0.5,1.2756,0.00075509,-0.0017995,0.96965,1.2583,0.5,1.2756,0.0014583,-0.00053159,0.00019431,0.0023146,-0.00089299,0.0018906
0.0028041,1.2665,0.5,1.2756,-0.00024982,-0.0057705,0.96983,1.2665,0.5,1.2756,0.0015705,-0.00044229,0.00024523,0.0020379,-0.00081867,0.0019996
