"K","Points:0","Points:1","Points:2","U","V","W","X","Y","Z","uu","uv","uw","vv","vw","ww"
0.0030458,1.6711,0.5,1.2756,-0.010222,-0.018222,1.0398,1.6711,0.5,1.2756,0.002961,0.00049909,-0.0015194,0.00115,-0.00088879,0.0019805
0.0028523,1.6793,0.5,1.2756,-0.008376,-0.018584,1.0397,1.6793,0.5,1.2756,0.0030012,0.00025691,-0.0013639,0.00097526,-0.00069702,0.0017281
0.0026294,1.6876,0.5,1.2756,-0.0064899,-0.018685,1.0399,1.6876,0.5,1.2756,0.0029779,3.9006e-05,-0.0011115,0.00080205,-0.00051852,0.0014789
0.0024813,1.6958,0.5,1.2756,-0.004767,-0.018384,1.0395,1.6958,0.5,1.2756,0.0028676,-0.00012455,-0.00090325,0.00066942,-0.00039955,0.0014257
0.0024066,1.7041,0.5,1.2756,-0.0033427,-0.017528,1.039,1.7041,0.5,1.2756,0.0026732,-0.0002081,-0.00084563,0.00056739,-0.00031908,0.0015727
0.0023056,1.7123,0.5,1.2756,-0.0022768,-0.016052,1.0405,1.7123,0.5,1.2756,0.0024347,-0.00019354,-0.00082661,0.00049061,-0.00025055,0.0016858
0.0022321,1.7206,0.5,1.2756,-0.0017126,-0.013787,1.0436,1.7206,0.5,1.2756,0.0021807,-7.8901e-05,-0.00082172,0.00045471,-0.00024288,0.0018288
0.0022855,1.7289,0.5,1.2756,-0.0017809,-0.010536,1.0463,1.7289,0.5,1.2756,0.0019138,0.0001127,-0.00089187,0.00048194,-0.0003587,0.0021752
0.0023243,1.7371,0.5,1.2756,-0.0023414,-0.0065319,1.0501,1.7371,0.5,1.2756,0.0016525,0.00032052,-0.00088654,0.00059026,-0.00055513,0.0024059
0.0022579,1.7454,0.5,1.2756,-0.003109,-0.0026815,1.0559,1.7454,0.5,1.2756,0.0014209,0.00047219,-0.00074598,0.00075857,-0.00071731,0.0023362
0.0022079,1.7536,0.5,1.2756,-0.0038521,-4.9554e-05,1.0612,1.7536,0.5,1.2756,0.0012243,0.00052532,-0.000603,0.00090434,-0.00080381,0.0022873
0.0021583,1.7619,0.5,1.2756,-0.0043651,0.00069386,1.0652,1.7619,0.5,1.2756,0.0010583,0.00048024,-0.0004993,0.00095563,-0.00081177,0.0023026
0.0019748,1.7701,0.5,1.2756,-0.0045074,-0.00049788,1.0692,1.7701,0.5,1.2756,0.00091378,0.00037146,-0.00042151,0.0009143,-0.0007215,0.0021215
