K,X,Y,Z,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0031434,0.030909,0.5,8.7627,0.0032435,0.017979,0.80957,0.030909,0.5,8.7627,0.00024733,-7.96E-05,-0.0003691,0.0015778,2.10E-05,0.0044616,0.19,0.087074792,-0.010224377
0.0045122,0.066184,0.5,8.7627,0.0058155,0.014168,0.93816,0.066184,0.5,8.7627,0.0006396,-0.0001024,-0.00067822,0.0020062,4.83E-05,0.0063787,,0.12499169,-0.018787258
0.0045063,0.10006,0.5,8.7627,0.0070433,0.0066375,0.98044,0.10006,0.5,8.7627,0.00088116,-4.31E-05,-0.00052985,0.0019864,-1.36E-05,0.006145,,0.124828255,-0.014677285
0.0035068,0.13258,0.5,8.7627,0.0093527,0.0015878,1.0019,0.13258,0.5,8.7627,0.00097551,1.67E-05,-0.00029552,0.0017337,-0.00022057,0.0043044,,0.097141274,-0.00818615
0.0036235,0.16379,0.5,8.7627,0.012754,-0.005627,1.0166,0.16379,0.5,8.7627,0.0010555,9.07E-05,-0.00032285,0.0014409,-0.00024326,0.0047506,,0.100373961,-0.008943213
0.0035885,0.19372,0.5,8.7627,0.014599,-0.0097802,1.0353,0.19372,0.5,8.7627,0.0012098,0.00013714,-0.00037251,0.0013107,-0.00024363,0.0046565,,0.099404432,-0.010318837
0.0031101,0.22242,0.5,8.7627,0.012974,-0.012046,1.0561,0.22242,0.5,8.7627,0.0014057,0.00024811,-0.00037772,0.0014317,-0.00037542,0.0033827,,0.086152355,-0.010463158
0.0030807,0.24993,0.5,8.7627,0.0092263,-0.013993,1.0652,0.24993,0.5,8.7627,0.0015534,0.0004327,-0.00048109,0.0016531,-0.00060106,0.002955,,0.08533795,-0.013326593
0.0030901,0.27629,0.5,8.7627,0.0060569,-0.014521,1.0718,0.27629,0.5,8.7627,0.0016676,0.00048745,-0.00055167,0.0016891,-0.00076715,0.0028234,,0.085598338,-0.015281717
0.0032621,0.30154,0.5,8.7627,0.0039517,-0.016055,1.0722,0.30154,0.5,8.7627,0.0018522,0.00048816,-0.00052664,0.0016302,-0.00086763,0.0030419,,0.090362881,-0.014588366
0.0034143,0.32572,0.5,8.7627,0.0027086,-0.016477,1.0717,0.32572,0.5,8.7627,0.0021593,0.00052857,-0.00042809,0.0016395,-0.00089037,0.0030298,,0.094578947,-0.011858449
0.0036058,0.34887,0.5,8.7627,0.0020514,-0.015254,1.0725,0.34887,0.5,8.7627,0.0025075,0.0005358,-0.0002609,0.0017311,-0.00083229,0.002973,,0.099883657,-0.007227147
0.0039992,0.37102,0.5,8.7627,0.0015226,-0.013925,1.0722,0.37102,0.5,8.7627,0.0028035,0.0004607,-0.00017571,0.001916,-0.00098525,0.003279,,0.110781163,-0.004867313
0.0043483,0.39221,0.5,8.7627,0.0013752,-0.012813,1.0702,0.39221,0.5,8.7627,0.0029998,0.00037749,-0.00023207,0.0022013,-0.0012159,0.0034955,,0.120451524,-0.006428532
0.0046094,0.41248,0.5,8.7627,0.0018907,-0.012453,1.0682,0.41248,0.5,8.7627,0.0031026,0.00037529,-0.00037332,0.0024137,-0.0013612,0.0037026,,0.127684211,-0.010341274
0.0047357,0.43187,0.5,8.7627,0.0027932,-0.012776,1.0663,0.43187,0.5,8.7627,0.0031712,0.00036929,-0.00035153,0.0024937,-0.0012476,0.0038065,,0.131182825,-0.009737673
0.0049692,0.4504,0.5,8.7627,0.0039424,-0.012802,1.0639,0.4504,0.5,8.7627,0.0031992,0.00030517,-0.00023423,0.0026909,-0.0011579,0.0040482,,0.13765097,-0.006488366
0.0052923,0.46812,0.5,8.7627,0.0053599,-0.011515,1.0609,0.46812,0.5,8.7627,0.0031721,0.00025653,-0.00019101,0.0029341,-0.0012118,0.0044783,,0.146601108,-0.005291136
0.0054242,0.48504,0.5,8.7627,0.0067299,-0.010407,1.0571,0.48504,0.5,8.7627,0.0031525,0.00025667,-0.000124,0.0030601,-0.0012883,0.0046358,,0.150254848,-0.003434903
0.0057479,0.50122,0.5,8.7627,0.0075727,-0.01003,1.0549,0.50122,0.5,8.7627,0.0031938,0.00025362,3.60E-05,0.0032005,-0.0014543,0.0051016,,0.159221607,0.00099723
0.0062573,0.51667,0.5,8.7627,0.007896,-0.0097394,1.0528,0.51667,0.5,8.7627,0.003294,0.00024543,0.00014677,0.0034883,-0.001563,0.0057324,,0.17333241,0.004065651
0.0069486,0.53142,0.5,8.7627,0.0081039,-0.0095488,1.0507,0.53142,0.5,8.7627,0.0034662,0.00026714,0.000237,0.003912,-0.0017421,0.0065191,,0.192481994,0.006565097
0.0077634,0.54551,0.5,8.7627,0.0082469,-0.0090391,1.0487,0.54551,0.5,8.7627,0.0037124,0.00030423,0.00038548,0.004346,-0.0021006,0.0074684,,0.215052632,0.010678116
0.0083756,0.55896,0.5,8.7627,0.0083617,-0.0091336,1.0486,0.55896,0.5,8.7627,0.003984,0.00032042,0.00050205,0.0047165,-0.002414,0.0080507,,0.23201108,0.013907202
0.0087462,0.5718,0.5,8.7627,0.0089576,-0.01011,1.0507,0.5718,0.5,8.7627,0.0042612,0.0002883,0.00054505,0.0049521,-0.0026847,0.0082792,,0.242277008,0.015098338
0.008981,0.58405,0.5,8.7627,0.010331,-0.011668,1.0531,0.58405,0.5,8.7627,0.0044982,0.0002401,0.00056731,0.0049743,-0.0028362,0.0084896,,0.248781163,0.015714958
0.0090969,0.59575,0.5,8.7627,0.012091,-0.014328,1.055,0.59575,0.5,8.7627,0.0046509,0.00033727,0.00054557,0.0049907,-0.0027361,0.0085522,,0.25199169,0.015112742
0.0092626,0.6069,0.5,8.7627,0.013906,-0.017382,1.0564,0.6069,0.5,8.7627,0.0047801,0.00054659,0.00037634,0.0051445,-0.0026236,0.0086006,,0.256581717,0.010424931
0.0095377,0.61755,0.5,8.7627,0.015871,-0.019933,1.0571,0.61755,0.5,8.7627,0.0049635,0.00066125,0.00020467,0.0053107,-0.00255,0.0088012,,0.264202216,0.005669529
0.0098874,0.6277,0.5,8.7627,0.017881,-0.022692,1.0571,0.6277,0.5,8.7627,0.0052409,0.00077902,8.14E-05,0.0055332,-0.0023513,0.0090006,,0.273889197,0.002254848
0.010425,0.63738,0.5,8.7627,0.019503,-0.025206,1.0579,0.63738,0.5,8.7627,0.0056093,0.00094267,-7.89E-05,0.0058991,-0.0021452,0.0093407,,0.288781163,-0.002185596
0.011026,0.64661,0.5,8.7627,0.020544,-0.026183,1.058,0.64661,0.5,8.7627,0.0060308,0.0010096,-0.00017153,0.0061906,-0.0020791,0.0098311,,0.305429363,-0.004751524
0.011492,0.65542,0.5,8.7627,0.021109,-0.026454,1.0578,0.65542,0.5,8.7627,0.0065201,0.0010755,-0.00014381,0.0061891,-0.0021478,0.010274,,0.31833795,-0.003983657
0.011853,0.66381,0.5,8.7627,0.02138,-0.026823,1.0588,0.66381,0.5,8.7627,0.0071092,0.0012516,-0.00013141,0.0061377,-0.0022351,0.010459,,0.32833795,-0.003640166
0.012099,0.67207,0.5,8.7627,0.021625,-0.026852,1.0598,0.67207,0.5,8.7627,0.0077184,0.0013973,-0.00010674,0.0061579,-0.0022016,0.010321,,0.335152355,-0.002956787
0.012276,0.68032,0.5,8.7627,0.022007,-0.02644,1.0597,0.68032,0.5,8.7627,0.0082704,0.001465,3.66E-05,0.0061405,-0.0021094,0.010141,,0.340055402,0.00101385
0.012634,0.68858,0.5,8.7627,0.022519,-0.026293,1.0586,0.68858,0.5,8.7627,0.0087657,0.0015539,0.00026772,0.0062519,-0.0020615,0.010251,,0.349972299,0.007416066
0.013157,0.69683,0.5,8.7627,0.023064,-0.026357,1.0564,0.69683,0.5,8.7627,0.009189,0.001666,0.00050983,0.0064572,-0.0019542,0.010668,,0.364459834,0.014122715
0.013651,0.70509,0.5,8.7627,0.023522,-0.026316,1.0547,0.70509,0.5,8.7627,0.0095335,0.0018194,0.0007502,0.0067526,-0.0016506,0.011016,,0.378144044,0.020781163
0.01417,0.71335,0.5,8.7627,0.02377,-0.026523,1.0543,0.71335,0.5,8.7627,0.0098817,0.0020442,0.00095063,0.0072377,-0.0013363,0.011222,,0.392520776,0.026333241
0.014809,0.7216,0.5,8.7627,0.023709,-0.027227,1.0543,0.7216,0.5,8.7627,0.010302,0.0023209,0.0010644,0.0077165,-0.0011279,0.011599,,0.410221607,0.029484765
0.015601,0.72986,0.5,8.7627,0.02337,-0.028582,1.0541,0.72986,0.5,8.7627,0.010766,0.0025942,0.0011659,0.0081806,-0.00083931,0.012256,,0.432160665,0.032296399
0.016468,0.73811,0.5,8.7627,0.022767,-0.030536,1.0534,0.73811,0.5,8.7627,0.011266,0.0029083,0.0013841,0.0087256,-0.00042548,0.012944,,0.456177285,0.03834072
0.017414,0.74637,0.5,8.7627,0.02179,-0.032898,1.051,0.74637,0.5,8.7627,0.011834,0.0033077,0.0016522,0.0092852,-0.00010181,0.01371,,0.482382271,0.045767313
0.018528,0.75463,0.5,8.7627,0.020494,-0.034587,1.0478,0.75463,0.5,8.7627,0.012489,0.0037065,0.001924,0.0098055,0.00015388,0.014761,,0.513240997,0.053296399
0.019722,0.76288,0.5,8.7627,0.019208,-0.034815,1.0448,0.76288,0.5,8.7627,0.013245,0.0041052,0.0022463,0.010327,0.00059136,0.015873,,0.546315789,0.062224377
0.020783,0.77114,0.5,8.7627,0.018151,-0.034862,1.0415,0.77114,0.5,8.7627,0.014076,0.0045984,0.0024855,0.010864,0.001126,0.016625,,0.575706371,0.068850416
0.021697,0.7794,0.5,8.7627,0.017419,-0.035822,1.0387,0.7794,0.5,8.7627,0.014857,0.0050946,0.0027349,0.011253,0.0016908,0.017284,,0.601024931,0.075759003
0.022591,0.78765,0.5,8.7627,0.017082,-0.037772,1.0362,0.78765,0.5,8.7627,0.015443,0.0055734,0.003094,0.011756,0.0023335,0.017984,,0.625789474,0.085706371
0.023363,0.79591,0.5,8.7627,0.017017,-0.039931,1.0325,0.79591,0.5,8.7627,0.015874,0.0062206,0.0034989,0.012642,0.0030562,0.018211,,0.647174515,0.096922438
0.024168,0.80416,0.5,8.7627,0.01709,-0.042279,1.0279,0.80416,0.5,8.7627,0.01633,0.0069543,0.0040218,0.013773,0.0038426,0.018232,,0.669473684,0.111407202
0.025289,0.81242,0.5,8.7627,0.017051,-0.045152,1.0223,0.81242,0.5,8.7627,0.016888,0.0075148,0.0047971,0.014874,0.0047044,0.018817,,0.700526316,0.132883657
0.026594,0.82068,0.5,8.7627,0.016513,-0.04722,1.0154,0.82068,0.5,8.7627,0.017547,0.007865,0.0056202,0.015868,0.0052413,0.019773,,0.7366759,0.155684211
0.028095,0.82893,0.5,8.7627,0.015533,-0.048064,1.0087,0.82893,0.5,8.7627,0.018337,0.0082253,0.0062933,0.016886,0.0052858,0.020966,,0.778254848,0.17432964
