K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.029766,0.83719,0.5,8.7627,0.014498,-0.048461,1.0026,0.83719,0.5,8.7627,0.019289,0.008644,0.0068993,0.017843,0.0053354,0.0224,0.19,0.824542936,0.191116343
0.03137,0.84544,0.5,8.7627,0.013601,-0.048781,0.9971,0.84544,0.5,8.7627,0.020359,0.0090313,0.0074546,0.018772,0.0054672,0.02361,,0.868975069,0.206498615
0.032677,0.8537,0.5,8.7627,0.013015,-0.048943,0.99261,0.8537,0.5,8.7627,0.021404,0.0093823,0.0077218,0.019694,0.0055382,0.024256,,0.905180055,0.213900277
0.033712,0.86196,0.5,8.7627,0.013008,-0.049265,0.98853,0.86196,0.5,8.7627,0.022256,0.0097112,0.0076194,0.020816,0.0055137,0.024351,,0.933850416,0.211063712
0.034759,0.87021,0.5,8.7627,0.013658,-0.04936,0.98319,0.87021,0.5,8.7627,0.022807,0.0098665,0.0075231,0.022,0.0054864,0.024711,,0.962853186,0.208396122
0.035718,0.87847,0.5,8.7627,0.014591,-0.047968,0.97618,0.87847,0.5,8.7627,0.023239,0.0096914,0.0075293,0.022646,0.0054603,0.025552,,0.989418283,0.208567867
0.036581,0.88672,0.5,8.7627,0.015112,-0.0457,0.96898,0.88672,0.5,8.7627,0.023826,0.0094475,0.0077148,0.022941,0.0052391,0.026394,,1.0133241,0.213706371
0.037533,0.89498,0.5,8.7627,0.014827,-0.043559,0.9626,0.89498,0.5,8.7627,0.024624,0.0094154,0.007954,0.023464,0.0048756,0.026978,,1.039695291,0.22033241
0.038558,0.90324,0.5,8.7627,0.013819,-0.041099,0.95665,0.90324,0.5,8.7627,0.025609,0.0096645,0.0079487,0.024374,0.0044683,0.027133,,1.068088643,0.220185596
0.039584,0.91149,0.5,8.7627,0.012447,-0.038638,0.94982,0.91149,0.5,8.7627,0.026653,0.010278,0.0078872,0.025485,0.0039644,0.027029,,1.096509695,0.218481994
0.040698,0.91975,0.5,8.7627,0.011175,-0.036928,0.9414,0.91975,0.5,8.7627,0.02761,0.011146,0.0079183,0.026779,0.0035116,0.027007,,1.127368421,0.21934349
0.041824,0.92801,0.5,8.7627,0.01027,-0.035518,0.93227,0.92801,0.5,8.7627,0.028514,0.011909,0.0080518,0.028306,0.0031796,0.026828,,1.158559557,0.223041551
0.043064,0.93626,0.5,8.7627,0.0099075,-0.034696,0.92242,0.93626,0.5,8.7627,0.029356,0.01225,0.0083073,0.029835,0.0029047,0.026937,,1.192908587,0.230119114
0.044753,0.94452,0.5,8.7627,0.010379,-0.034122,0.91096,0.94452,0.5,8.7627,0.029922,0.012096,0.0088333,0.03156,0.0026599,0.028024,,1.239695291,0.244689751
0.046356,0.95277,0.5,8.7627,0.01163,-0.032696,0.89984,0.95277,0.5,8.7627,0.030132,0.011674,0.0094793,0.033349,0.0023251,0.029231,,1.284099723,0.262584488
0.047361,0.96103,0.5,8.7627,0.013067,-0.030666,0.89029,0.96103,0.5,8.7627,0.030263,0.010967,0.010041,0.034382,0.0021732,0.030076,,1.311939058,0.278144044
0.048201,0.96929,0.5,8.7627,0.014061,-0.028079,0.88151,0.96929,0.5,8.7627,0.030617,0.0099475,0.010757,0.034937,0.0024731,0.030848,,1.335207756,0.297977839
0.049007,0.97754,0.5,8.7627,0.014347,-0.024826,0.87312,0.97754,0.5,8.7627,0.03119,0.0090162,0.011574,0.035415,0.0026616,0.03141,,1.357534626,0.320609418
0.049513,0.9858,0.5,8.7627,0.013997,-0.021055,0.86434,0.9858,0.5,8.7627,0.031692,0.0083321,0.012346,0.035522,0.0026697,0.031812,,1.371551247,0.34199446
0.049858,0.99405,0.5,8.7627,0.013076,-0.01723,0.85587,0.99405,0.5,8.7627,0.031988,0.0077125,0.012969,0.035378,0.0027084,0.032349,,1.381108033,0.359252078
0.050266,1.0023,0.5,8.7627,0.011689,-0.014532,0.84725,1.0023,0.5,8.7627,0.032187,0.0071719,0.013452,0.035194,0.00266,0.03315,,1.392409972,0.372631579
0.050761,1.0106,0.5,8.7627,0.0099789,-0.013097,0.83881,1.0106,0.5,8.7627,0.032361,0.0068465,0.013986,0.035002,0.0024884,0.034159,,1.406121884,0.387423823
0.051165,1.0188,0.5,8.7627,0.0080536,-0.011597,0.83266,1.0188,0.5,8.7627,0.032594,0.0066764,0.014536,0.034559,0.0021823,0.035178,,1.417313019,0.40265928
0.051292,1.0271,0.5,8.7627,0.0062174,-0.010215,0.82844,1.0271,0.5,8.7627,0.032856,0.0063997,0.014938,0.034014,0.0020983,0.035714,,1.420831025,0.413795014
0.051044,1.0353,0.5,8.7627,0.0045353,-0.0084019,0.82516,1.0353,0.5,8.7627,0.032996,0.0058172,0.015141,0.0337,0.0020718,0.035392,,1.413961219,0.419418283
0.050505,1.0436,0.5,8.7627,0.0028502,-0.0058252,0.82112,1.0436,0.5,8.7627,0.032903,0.0051895,0.015232,0.033533,0.001993,0.034574,,1.399030471,0.421939058
0.050247,1.0518,0.5,8.7627,0.0014286,-0.0027554,0.81645,1.0518,0.5,8.7627,0.032539,0.0045023,0.015308,0.033828,0.0021786,0.034127,,1.391883657,0.424044321
0.050064,1.0601,0.5,8.7627,0.0005059,0.00084691,0.81179,1.0601,0.5,8.7627,0.032002,0.0036816,0.015436,0.034041,0.0025831,0.034085,,1.386814404,0.427590028
0.049796,1.0684,0.5,8.7627,-7.67E-07,0.0030707,0.80543,1.0684,0.5,8.7627,0.031431,0.0029175,0.015335,0.033777,0.0028481,0.034384,,1.379390582,0.424792244
