K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.030664,1.6711,0.5,8.7627,0.040396,0.0277,0.75669,1.6711,0.5,8.7627,0.019706,0.0030432,-0.0045817,0.023817,0.0038852,0.017806,0.19,0.849418283,-0.126916898
0.030743,1.6793,0.5,8.7627,0.040062,0.025181,0.75724,1.6793,0.5,8.7627,0.019849,0.0030813,-0.0046767,0.023074,0.0036867,0.018563,,0.851606648,-0.129548476
0.030741,1.6876,0.5,8.7627,0.039378,0.02276,0.75655,1.6876,0.5,8.7627,0.019928,0.0030302,-0.0048255,0.022303,0.003524,0.019252,,0.851551247,-0.13367036
0.030542,1.6958,0.5,8.7627,0.038569,0.019841,0.7549,1.6958,0.5,8.7627,0.019882,0.00261,-0.0049189,0.021546,0.0031487,0.019657,,0.846038781,-0.136257618
0.030466,1.7041,0.5,8.7627,0.038015,0.01592,0.75381,1.7041,0.5,8.7627,0.01984,0.0020603,-0.0050045,0.021038,0.0027723,0.020054,,0.843933518,-0.138628809
0.030442,1.7123,0.5,8.7627,0.038178,0.012664,0.75399,1.7123,0.5,8.7627,0.019827,0.0017281,-0.0051854,0.020573,0.0024009,0.020485,,0.843268698,-0.143639889
0.030617,1.7206,0.5,8.7627,0.039199,0.010602,0.7542,1.7206,0.5,8.7627,0.01983,0.0015641,-0.0053497,0.020164,0.002094,0.021239,,0.848116343,-0.148191136
0.030995,1.7289,0.5,8.7627,0.040707,0.0082798,0.75473,1.7289,0.5,8.7627,0.019938,0.0014237,-0.0055533,0.019889,0.0018372,0.022163,,0.858587258,-0.153831025
0.031433,1.7371,0.5,8.7627,0.042246,0.0058504,0.75697,1.7371,0.5,8.7627,0.020263,0.0013246,-0.0059068,0.019836,0.0014511,0.022766,,0.870720222,-0.163623269
0.031768,1.7454,0.5,8.7627,0.043566,0.0045071,0.76079,1.7454,0.5,8.7627,0.020683,0.0013038,-0.0063558,0.019779,0.0012118,0.023074,,0.88,-0.176060942
0.03189,1.7536,0.5,8.7627,0.044785,0.0043375,0.76412,1.7536,0.5,8.7627,0.02101,0.0012395,-0.006797,0.019275,0.0012539,0.023494,,0.883379501,-0.188282548
0.032151,1.7619,0.5,8.7627,0.045964,0.0046007,0.76707,1.7619,0.5,8.7627,0.021268,0.0011924,-0.007243,0.019142,0.0014545,0.023891,,0.890609418,-0.200637119
0.032774,1.7701,0.5,8.7627,0.046612,0.0056354,0.77006,1.7701,0.5,8.7627,0.021377,0.0013272,-0.0075407,0.019543,0.0017619,0.024628,,0.907867036,-0.208883657
0.033585,1.7784,0.5,8.7627,0.04647,0.005778,0.7738,1.7784,0.5,8.7627,0.021194,0.001553,-0.0076596,0.019917,0.002048,0.02606,,0.93033241,-0.212177285
0.034153,1.7866,0.5,8.7627,0.046064,0.0045513,0.78024,1.7866,0.5,8.7627,0.020858,0.0016626,-0.0076257,0.020119,0.0022709,0.027328,,0.946066482,-0.211238227
