K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.0015169,0.030909,0.5,6.2583,-0.0055071,0.016971,0.83477,0.030909,0.5,6.2583,0.00016642,-5.94E-05,-0.00013008,0.0011667,0.00027048,0.0017006,0.19,0.042019391,-0.003603324
0.0027788,0.066184,0.5,6.2583,-0.0098299,0.014295,0.94068,0.066184,0.5,6.2583,0.00037997,-6.32E-06,-0.00013362,0.0016697,-0.00020785,0.0035079,,0.076975069,-0.003701385
0.0031243,0.10006,0.5,6.2583,-0.010358,0.015324,0.97692,0.10006,0.5,6.2583,0.00047235,-3.50E-05,-0.00012206,0.0016199,-0.00024296,0.0041564,,0.086545706,-0.003381163
0.0026371,0.13258,0.5,6.2583,-0.0099171,0.017886,0.99881,0.13258,0.5,6.2583,0.00064446,-9.75E-05,-0.00018044,0.001454,-1.58E-07,0.0031758,,0.073049861,-0.004998338
0.003051,0.16379,0.5,6.2583,-0.0092123,0.012621,1.0052,0.16379,0.5,6.2583,0.00088823,-8.43E-05,-0.0002822,0.0014482,-0.00053846,0.0037656,,0.084515235,-0.007817175
0.0030785,0.19372,0.5,6.2583,-0.0080521,0.0068864,1.0265,0.19372,0.5,6.2583,0.00094487,7.63E-05,-3.67E-05,0.0015129,-0.00042766,0.0036991,,0.085277008,-0.001015235
0.0025277,0.22242,0.5,6.2583,-0.0098277,0.0032088,1.0336,0.22242,0.5,6.2583,0.00093407,0.0003137,6.94E-05,0.0013931,-0.00012923,0.0027282,,0.070019391,0.001923213
0.0023026,0.24993,0.5,6.2583,-0.01453,0.0023345,1.0356,0.24993,0.5,6.2583,0.0011032,0.00038975,-0.00013078,0.0011788,-2.55E-05,0.0023232,,0.063783934,-0.003622715
0.0026526,0.27629,0.5,6.2583,-0.018295,-0.0023182,1.0429,0.27629,0.5,6.2583,0.001273,0.00045847,-0.00025691,0.0013122,0.00028568,0.00272,,0.073479224,-0.00711662
0.0031294,0.30154,0.5,6.2583,-0.020166,-0.00995,1.0517,0.30154,0.5,6.2583,0.0013325,0.00042085,-0.00053533,0.0012464,0.00014842,0.0036799,,0.086686981,-0.014829086
0.0028086,0.32572,0.5,6.2583,-0.021461,-0.014704,1.057,0.32572,0.5,6.2583,0.0014669,0.00041304,-0.00044836,0.0013337,-9.29E-05,0.0028166,,0.077800554,-0.012419945
0.0027569,0.34887,0.5,6.2583,-0.023012,-0.015442,1.0638,0.34887,0.5,6.2583,0.001741,0.00058105,-0.00063805,0.0017536,-0.00040259,0.0020191,,0.076368421,-0.017674515
0.0033099,0.37102,0.5,6.2583,-0.025093,-0.012817,1.0649,0.37102,0.5,6.2583,0.0021851,0.00084175,-0.00089232,0.0020099,-0.0008608,0.0024249,,0.091686981,-0.024718006
