K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.028188,0.83719,0.5,6.2583,-0.081247,-0.016644,1.0175,0.83719,0.5,6.2583,0.01075,0.00069391,-0.011149,0.0063627,-0.0017438,0.039263,0.19,0.780831025,-0.308836565
0.019487,0.84544,0.5,6.2583,-0.079863,-0.015421,1.0791,0.84544,0.5,6.2583,0.0091782,1.31E-06,-0.007028,0.0045391,-0.00025062,0.025256,,0.539806094,-0.19468144
0.013856,0.8537,0.5,6.2583,-0.078476,-0.012886,1.1003,0.8537,0.5,6.2583,0.0074248,2.45E-05,-0.003875,0.0036614,-5.99E-05,0.016625,,0.383822715,-0.10734072
0.0097915,0.86196,0.5,6.2583,-0.077461,-0.010242,1.107,0.86196,0.5,6.2583,0.005818,0.00013648,-0.0020646,0.0030446,-0.00048213,0.01072,,0.271232687,-0.057191136
0.0075382,0.87021,0.5,6.2583,-0.077002,-0.0096743,1.1153,0.87021,0.5,6.2583,0.004566,0.000224,-0.0011127,0.0024284,-0.00097579,0.0080819,,0.208814404,-0.030822715
0.0062299,0.87847,0.5,6.2583,-0.076401,-0.010404,1.1146,0.87847,0.5,6.2583,0.0037031,0.00024327,-0.00033542,0.0021018,-0.0011987,0.0066549,,0.172573407,-0.009291413
0.0056899,0.88672,0.5,6.2583,-0.075795,-0.011532,1.1161,0.88672,0.5,6.2583,0.0031685,0.00015751,-7.57E-06,0.0020816,-0.0014351,0.0061296,,0.157614958,-0.00020956
0.005294,0.89498,0.5,6.2583,-0.075362,-0.012049,1.1143,0.89498,0.5,6.2583,0.0028671,5.21E-05,0.00027963,0.0020861,-0.0015782,0.0056349,,0.146648199,0.007745983
0.0049873,0.90324,0.5,6.2583,-0.075037,-0.011835,1.1138,0.90324,0.5,6.2583,0.0027277,-3.18E-05,0.00043493,0.0020525,-0.0016919,0.0051944,,0.138152355,0.012047922
0.0047543,0.91149,0.5,6.2583,-0.074789,-0.010976,1.113,0.91149,0.5,6.2583,0.0026872,-0.00010146,0.00058201,0.0020269,-0.0017612,0.0047945,,0.131698061,0.016122161
0.0045635,0.91975,0.5,6.2583,-0.074594,-0.0097146,1.1126,0.91975,0.5,6.2583,0.0026944,-0.00016367,0.00067317,0.0019908,-0.0017596,0.0044417,,0.126412742,0.018647368
0.0043984,0.92801,0.5,6.2583,-0.074385,-0.0086338,1.1119,0.92801,0.5,6.2583,0.0027115,-0.00021031,0.00074779,0.0019193,-0.0016807,0.004166,,0.121839335,0.020714404
0.0042702,0.93626,0.5,6.2583,-0.074075,-0.0077318,1.1099,0.93626,0.5,6.2583,0.0027238,-0.00024548,0.00085293,0.0018605,-0.0015761,0.0039561,,0.118288089,0.02362687
0.0041803,0.94452,0.5,6.2583,-0.073801,-0.0067662,1.1075,0.94452,0.5,6.2583,0.0027426,-0.00027504,0.00092912,0.0018524,-0.0014913,0.0037656,,0.115797784,0.025737396
0.0041058,0.95277,0.5,6.2583,-0.07376,-0.0060927,1.1055,0.95277,0.5,6.2583,0.002773,-0.00029541,0.0009592,0.0018659,-0.001411,0.0035728,,0.113734072,0.026570637
0.0040348,0.96103,0.5,6.2583,-0.07399,-0.005953,1.1035,0.96103,0.5,6.2583,0.0028137,-0.00030388,0.00097024,0.0018518,-0.0013265,0.0034041,,0.111767313,0.026876454
0.0039455,0.96929,0.5,6.2583,-0.074441,-0.0063189,1.1013,0.96929,0.5,6.2583,0.0028683,-0.000288,0.00094702,0.0017973,-0.0012463,0.0032255,,0.109293629,0.026233241
0.0038287,0.97754,0.5,6.2583,-0.075022,-0.0069574,1.0989,0.97754,0.5,6.2583,0.0029341,-0.00024956,0.00088798,0.0017199,-0.0011782,0.0030033,,0.106058172,0.024597784
0.0037117,0.9858,0.5,6.2583,-0.07563,-0.0074477,1.0964,0.9858,0.5,6.2583,0.003011,-0.00020298,0.00081353,0.0016575,-0.0011236,0.002755,,0.102817175,0.022535457
0.0036245,0.99405,0.5,6.2583,-0.076262,-0.0078691,1.0938,0.99405,0.5,6.2583,0.0031009,-0.00013563,0.0007171,0.0016595,-0.0010675,0.0024886,,0.100401662,0.019864266
0.0035941,1.0023,0.5,6.2583,-0.076887,-0.0087711,1.0911,1.0023,0.5,6.2583,0.0032037,-5.06E-05,0.0005933,0.0017142,-0.0010001,0.0022702,,0.099559557,0.016434903
0.0036035,1.0106,0.5,6.2583,-0.077413,-0.010458,1.0883,1.0106,0.5,6.2583,0.0033153,2.23E-05,0.00048479,0.0017469,-0.00092782,0.0021449,,0.099819945,0.013429086
0.0036327,1.0188,0.5,6.2583,-0.077761,-0.012408,1.086,1.0188,0.5,6.2583,0.0034262,5.74E-05,0.00037377,0.0017392,-0.00085963,0.0021001,,0.100628809,0.01035374
0.0036918,1.0271,0.5,6.2583,-0.077808,-0.013715,1.0833,1.0271,0.5,6.2583,0.00353,4.35E-05,0.00023152,0.0017221,-0.00079714,0.0021316,,0.102265928,0.006413296
0.0037866,1.0353,0.5,6.2583,-0.077467,-0.014232,1.0805,1.0353,0.5,6.2583,0.0036227,-1.04E-05,8.99E-05,0.0017219,-0.00073017,0.0022285,,0.104891967,0.002489363
0.0039139,1.0436,0.5,6.2583,-0.076784,-0.01405,1.0781,1.0436,0.5,6.2583,0.0037096,-7.74E-05,-3.37E-05,0.0017427,-0.0006709,0.0023754,,0.108418283,-0.000934709
0.004038,1.0518,0.5,6.2583,-0.075804,-0.013349,1.0761,1.0518,0.5,6.2583,0.0037954,-0.00012562,-0.00013023,0.0017387,-0.00063179,0.0025419,,0.111855956,-0.003607479
0.0041232,1.0601,0.5,6.2583,-0.074585,-0.012367,1.074,1.0601,0.5,6.2583,0.003876,-0.00013031,-0.00019059,0.0016721,-0.00062572,0.0026982,,0.114216066,-0.005279501
0.0041737,1.0684,0.5,6.2583,-0.073189,-0.011032,1.0721,1.0684,0.5,6.2583,0.0039371,-9.36E-05,-0.00022648,0.0015783,-0.00064817,0.0028319,,0.115614958,-0.006273684
