K,Points:0,Points:1,Points:2,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.082461,1.6711,0.5,6.2583,-0.015306,0.37776,-0.14765,1.6711,0.5,6.2583,0.052453,0.011771,-0.006474,0.065519,-0.0024589,0.04695,0.19,2.284238227,-0.17933518
0.090891,1.6793,0.5,6.2583,-0.022222,0.34691,-0.10256,1.6793,0.5,6.2583,0.053901,0.014175,-0.011146,0.071051,-0.0056627,0.05683,,2.517756233,-0.308753463
0.10371,1.6876,0.5,6.2583,-0.029453,0.30098,-0.032402,1.6876,0.5,6.2583,0.056475,0.017339,-0.01769,0.081321,-0.010179,0.069626,,2.872853186,-0.490027701
0.11597,1.6958,0.5,6.2583,-0.03563,0.24481,0.060886,1.6958,0.5,6.2583,0.059201,0.020078,-0.024517,0.089719,-0.015357,0.083028,,3.212465374,-0.679141274
0.12277,1.7041,0.5,6.2583,-0.041127,0.18284,0.17303,1.7041,0.5,6.2583,0.060588,0.020197,-0.030927,0.089307,-0.019559,0.095639,,3.400831025,-0.856703601
0.12643,1.7123,0.5,6.2583,-0.044957,0.1195,0.30405,1.7123,0.5,6.2583,0.059127,0.018019,-0.036723,0.084384,-0.019765,0.10935,,3.502216066,-1.017257618
0.12622,1.7206,0.5,6.2583,-0.045521,0.051235,0.45485,1.7206,0.5,6.2583,0.054304,0.015011,-0.040705,0.076926,-0.016596,0.12121,,3.496398892,-1.127562327
0.11833,1.7289,0.5,6.2583,-0.042373,-0.017367,0.62688,1.7289,0.5,6.2583,0.046815,0.011661,-0.042121,0.062436,-0.011617,0.12741,,3.277839335,-1.166786704
0.10127,1.7371,0.5,6.2583,-0.034996,-0.067506,0.80377,1.7371,0.5,6.2583,0.03807,0.0081392,-0.039221,0.04371,-0.0068869,0.12075,,2.805263158,-1.086454294
0.077154,1.7454,0.5,6.2583,-0.022673,-0.097374,0.96845,1.7454,0.5,6.2583,0.029686,0.0047689,-0.031752,0.02819,-0.0037978,0.096431,,2.137229917,-0.879556787
0.053295,1.7536,0.5,6.2583,-0.0054571,-0.11393,1.0987,1.7536,0.5,6.2583,0.022747,0.001623,-0.022347,0.018519,-0.00069992,0.065324,,1.476315789,-0.619030471
0.034805,1.7619,0.5,6.2583,0.013508,-0.1201,1.178,1.7619,0.5,6.2583,0.017498,-0.00082885,-0.013125,0.012843,0.0012593,0.03927,,0.964127424,-0.363573407
0.022118,1.7701,0.5,6.2583,0.02963,-0.1188,1.2132,1.7701,0.5,6.2583,0.013466,-0.0020721,-0.0059701,0.0090141,0.00097263,0.021756,,0.612686981,-0.165376731
0.014655,1.7784,0.5,6.2583,0.040766,-0.11345,1.2192,1.7784,0.5,6.2583,0.010263,-0.0024174,-0.0021719,0.0063337,5.46E-05,0.012714,,0.405955679,-0.060163435
0.010482,1.7866,0.5,6.2583,0.048109,-0.10772,1.2136,1.7866,0.5,6.2583,0.0078239,-0.0022964,-0.00086899,0.0048232,-0.00036527,0.0083166,,0.290360111,-0.024071745
0.008084,1.7949,0.5,6.2583,0.053691,-0.10296,1.2071,1.7949,0.5,6.2583,0.0061899,-0.0020267,-0.00052238,0.0040525,-0.00043081,0.0059256,,0.223933518,-0.01447036
0.0066655,1.8032,0.5,6.2583,0.058309,-0.099357,1.2019,1.8032,0.5,6.2583,0.0051702,-0.0017961,-0.00039477,0.0036029,-0.00033127,0.0045579,,0.184639889,-0.010935457
0.00578,1.8114,0.5,6.2583,0.062038,-0.09674,1.1978,1.8114,0.5,6.2583,0.0045322,-0.0016315,-0.00029168,0.003268,-0.00018989,0.0037598,,0.160110803,-0.008079778
0.0051477,1.8197,0.5,6.2583,0.064976,-0.094699,1.1942,1.8197,0.5,6.2583,0.0041305,-0.0015172,-0.00014799,0.0029795,-8.83E-05,0.0031854,,0.142595568,-0.004099446
0.0046655,1.8279,0.5,6.2583,0.067306,-0.092706,1.1904,1.8279,0.5,6.2583,0.0038579,-0.0014534,1.33E-05,0.0027564,-7.63E-05,0.0027166,,0.129238227,0.000368476
0.0042744,1.8362,0.5,6.2583,0.06913,-0.090383,1.1856,1.8362,0.5,6.2583,0.0036538,-0.0013911,0.00016885,0.0025772,-0.00017739,0.0023178,,0.118404432,0.004677285
0.0039975,1.8446,0.5,6.2583,0.070454,-0.087622,1.1792,1.8446,0.5,6.2583,0.0034856,-0.001331,0.00031124,0.0024402,-0.00033604,0.0020692,,0.110734072,0.008621607
0.0038095,1.8534,0.5,6.2583,0.071204,-0.084499,1.1719,1.8534,0.5,6.2583,0.0033262,-0.0012488,0.00042335,0.002354,-0.00048741,0.0019388,,0.105526316,0.011727147
0.0036906,1.8626,0.5,6.2583,0.071382,-0.081002,1.163,1.8626,0.5,6.2583,0.0031527,-0.0011351,0.0004463,0.0023282,-0.00060912,0.0019003,,0.102232687,0.012362881
